Gene	Geneid	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Acidianus ambivalens	Acidianus ambivalens	1.14372849863592	0.17209971316024303	1.5198134199729754	0.1132373953924576	0.909842349084373	0.9917639207472141
Acidianus brierleyi	Acidianus brierleyi	1.1560525735422542	0.02010271205864606	1.5074719279275421	0.013335380703429133	0.9893602209747752	0.9917639207472141
Acidianus sulfidivorans	Acidianus sulfidivorans	1.0916703591098245	0.4351396473796452	1.477062835612509	0.29459792561851394	0.768301046999927	0.9917639207472141
Acidilobus saccharovorans	Acidilobus saccharovorans	1.1489466848901808	1.5226013046978248	1.462660648156846	1.0409805627959652	0.2978845693435725	0.9917639207472141
Aciduliprofundum boonei	Aciduliprofundum boonei	1.0838450492072702	0.09810590259525914	1.4849245995597449	0.06606793545230909	0.9473237388581754	0.9917639207472141
Aciduliprofundum sp. MAR08-339	Aciduliprofundum sp. MAR08-339	1.0680542761403524	0.020102645339063918	1.4864675332655268	0.013523770206337224	0.989209921453343	0.9917639207472141
Aeropyrum pernix	Aeropyrum pernix	1.0556522505658779	0.020102586803231584	1.4862697199328065	0.01352553075234582	0.9892085168693306	0.9917639207472141
Archaeoglobus fulgidus	Archaeoglobus fulgidus	1.1121575157517383	0.020102653208308112	1.4881469050527147	0.01350851393773924	0.9892220930826682	0.9917639207472141
Archaeoglobus profundus	Archaeoglobus profundus	1.2446535242125412	0.17204625452381603	1.5415028409919347	0.11160943071185439	0.9111330941201945	0.9917639207472141
Archaeoglobus sulfaticallidus	Archaeoglobus sulfaticallidus	1.0789166234149723	-0.9798962793522007	1.0814191764066645	-0.9061206798719774	0.36487198067978427	0.9917639207472141
Archaeoglobus veneficus	Archaeoglobus veneficus	1.094995567083249	0.020102671755268416	1.4921280579924905	0.013472484246636683	0.9892508380011137	0.9917639207472141
Caldisphaera lagunensis	Caldisphaera lagunensis	1.0658290485990023	0.0981048535943729	1.484360165093851	0.06609235137226285	0.9473043002591214	0.9917639207472141
Candidatus Mancarchaeum acidiphilum	Candidatus Mancarchaeum acidiphilum	1.062473682146215	-2.22382403786394	0.7335396337862155	-3.031634468591041	0.00243233554981696	0.3478239836238253
Candidatus Methanomassiliicoccus intestinalis	Candidatus Methanomassiliicoccus intestinalis	859.6804078426056	0.08159289425663979	2.8956325959391562	0.02817791676024987	0.9775202501022433	0.9917639207472141
Candidatus Methanoplasma termitum	Candidatus Methanoplasma termitum	1.466218783023418	0.02010350835133648	1.755850638336244	0.011449441035819286	0.9908648673550995	0.9917639207472141
Candidatus Nitrosocosmicus exaquare	Candidatus Nitrosocosmicus exaquare	2.2064151681441	0.0980796971970843	1.9927960722321956	0.04921712691214914	0.9607462625045314	0.9917639207472141
Candidatus Nitrosocosmicus franklandus	Candidatus Nitrosocosmicus franklandus	1.102856237275179	-0.9018944140160369	1.0801569506912319	-0.8349660791784765	0.4037368074464899	0.9917639207472141
Candidatus Nitrosopelagicus brevis	Candidatus Nitrosopelagicus brevis	11.699951373542513	1.8108179617034474	1.1919460143817449	1.5192113903268578	0.12870929515134502	0.9917639207472141
Candidatus Nitrososphaera evergladensis	Candidatus Nitrososphaera evergladensis	1.0792818659793786	0.02010264731845205	1.4868894202351395	0.013519934330606092	0.9892129817595793	0.9917639207472141
Candidatus Nitrososphaera gargensis	Candidatus Nitrososphaera gargensis	1.9085893047206308	-0.9018815405457637	1.6186346422126945	-0.5571866047009102	0.5773999408829805	0.9917639207472141
Candidatus Nitrosotalea devanaterra	Candidatus Nitrosotalea devanaterra	1.0983018767631256	-0.505972363386188	1.0667692642056594	-0.4743034697038694	0.6352835176236655	0.9917639207472141
Candidatus Nitrosotalea okcheonensis	Candidatus Nitrosotalea okcheonensis	1.1062099598130775	0.17210032179723533	1.483594080122231	0.11600229746337103	0.907650720977607	0.9917639207472141
Candidatus Nitrosotenuis aquarius	Candidatus Nitrosotenuis aquarius	1.0751367482039913	0.09810602953579699	1.484599559921063	0.0660824859337917	0.947312154569387	0.9917639207472141
Candidatus Nitrosotenuis cloacae	Candidatus Nitrosotenuis cloacae	1.4746525612151042	0.2425758211673582	1.6898081768928912	0.14355228272915022	0.8858540231270948	0.9917639207472141
Candidatus Prometheoarchaeum syntrophicum	Candidatus Prometheoarchaeum syntrophicum	1.6773424826922725	-0.9018900045233097	1.2745741172152454	-0.7076010663811415	0.47919303044916134	0.9917639207472141
Cuniculiplasma divulgatum	Cuniculiplasma divulgatum	1.0944239095466428	0.0201025946838522	1.4879791494064047	0.01350999756405973	0.9892209094281464	0.9917639207472141
Desulfurococcus amylolyticus	Desulfurococcus amylolyticus	1.0514725896338528	0.020102558127799187	1.486203359639827	0.013526115384822525	0.9892080504427715	0.9917639207472141
DPANN group archaeon LC1Nh	DPANN group archaeon LC1Nh	1.0711180314593751	0.02010234225350742	1.486545242982602	0.013522859360253383	0.9892106481369196	0.9917639207472141
Ferroplasma acidarmanus	Ferroplasma acidarmanus	1.0496538359568732	0.020102644022724558	1.486187188605643	0.01352632035644519	0.9892078869140386	0.9917639207472141
Geoglobus ahangari	Geoglobus ahangari	1.0701411905199423	0.020102560109741017	1.4866365433980113	0.013522175409325344	0.9892111938009135	0.9917639207472141
Halalkaliarchaeum desulfuricum	Halalkaliarchaeum desulfuricum	1.2301684797243664	0.3096098020713663	1.4919193085788647	0.2075244956553895	0.8356002642792286	0.9917639207472141
Halalkalicoccus jeotgali	Halalkalicoccus jeotgali	1.3916183660721335	0.09810971058335427	1.5939637693476876	0.061550778298746785	0.9509205757974208	0.9917639207472141
Halanaeroarchaeum sulfurireducens	Halanaeroarchaeum sulfurireducens	1.0863195996715675	0.02010259495481491	1.4880380106942863	0.013509463340546975	0.9892213356379431	0.9917639207472141
haloarchaeon 3A1-DGR	haloarchaeon 3A1-DGR	1.17862661314857	0.17209624157111583	1.4877911136949236	0.11567231447142837	0.9079122487849588	0.9917639207472141
Haloarcula sp. JP-L23	Haloarcula sp. JP-L23	1.512012429100153	-0.7575466771603766	1.3121295204416488	-0.5773413869275607	0.5637088606988716	0.9917639207472141
