Gene	Geneid	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Acidianus ambivalens	Acidianus ambivalens	1.14372849863592	0.006928565120317361	0.15101000820821653	0.045881496216887	0.9634047025236904	0.9684092400875248
Acidianus brierleyi	Acidianus brierleyi	1.1560525735422542	0.1918101757041228	0.14440622301013403	1.328268073950401	0.1840895627454009	0.30572016670218366
Acidianus sulfidivorans	Acidianus sulfidivorans	1.0916703591098245	0.01246622823480916	0.14673047398985628	0.08496004882851377	0.9322931522417448	NA
Acidilobus saccharovorans	Acidilobus saccharovorans	1.1489466848901808	0.005798025029309037	0.14640184807261913	0.03960349616920864	0.9684092400875248	0.9684092400875248
Aciduliprofundum boonei	Aciduliprofundum boonei	1.0838450492072702	0.020573240978836428	0.14663411143619154	0.14030324033974156	0.8884204042293358	NA
Aciduliprofundum sp. MAR08-339	Aciduliprofundum sp. MAR08-339	1.0680542761403524	0.03137747303631804	0.14698147485903915	0.21347910045405544	0.8309532888254602	NA
Aeropyrum pernix	Aeropyrum pernix	1.0556522505658779	0.035414834599108935	0.1469063387111385	0.24107084084877384	0.8095002120188218	NA
Archaeoglobus fulgidus	Archaeoglobus fulgidus	1.1121575157517383	0.2262678642372331	0.14200165888181562	1.5934170489201827	0.1110666635483374	NA
Archaeoglobus profundus	Archaeoglobus profundus	1.2446535242125412	0.13664081470768982	0.14701599700170054	0.9294282084561811	0.3526672146183505	0.49694016605313024
Archaeoglobus sulfaticallidus	Archaeoglobus sulfaticallidus	1.0789166234149723	0.0026111732752140057	0.14318257211444066	0.01823666970535345	0.9854500493004701	NA
Archaeoglobus veneficus	Archaeoglobus veneficus	1.094995567083249	0.059389915028248384	0.14716467738754935	0.4035609365136486	0.6865356161565552	NA
Caldisphaera lagunensis	Caldisphaera lagunensis	1.0658290485990023	0.019203238500713666	0.1471436244082491	0.13050676560361457	0.8961655017454127	NA
Candidatus Mancarchaeum acidiphilum	Candidatus Mancarchaeum acidiphilum	1.062473682146215	0.02057170607863381	0.14657244676930656	0.14035179552547178	0.8883820423691264	NA
Candidatus Methanomassiliicoccus intestinalis	Candidatus Methanomassiliicoccus intestinalis	859.6804078426056	4.494388847029326	0.2769211496427422	16.229850456808972	3.1021425701919414e-59	1.4424962951392526e-57
Candidatus Methanoplasma termitum	Candidatus Methanoplasma termitum	1.466218783023418	0.23990147508827667	0.16975763450066905	1.4131999175997658	0.15759695077054836	0.28646784333511355
Candidatus Nitrosocosmicus exaquare	Candidatus Nitrosocosmicus exaquare	2.2064151681441	0.2868281483521798	0.19393109158314836	1.4790209553850813	0.13913471424213925	0.26407200866365205
Candidatus Nitrosocosmicus franklandus	Candidatus Nitrosocosmicus franklandus	1.102856237275179	-8.043164418158124e-4	0.14593462268439983	-0.005511484711583747	0.995602493704986	NA
Candidatus Nitrosopelagicus brevis	Candidatus Nitrosopelagicus brevis	11.699951373542513	-2.005851429144796	0.15179531407652888	-13.21418544009553	7.26687179618024e-40	1.6895476926119059e-38
Candidatus Nitrososphaera evergladensis	Candidatus Nitrososphaera evergladensis	1.0792818659793786	0.0206031405711379	0.14502148547634072	0.14206957337021048	0.8870250512952953	NA
