Feature	sample	counts
Leptotrichiaceae	CM317	6.03402433327231
Leptotrichiaceae	CMCD140	2.24744133216259
Leptotrichiaceae	CMCD147	1.2783857265181764
Leptotrichiaceae	CMCD152	1.526798882441932
Leptotrichiaceae	CMCD154	10.390985777381214
Leptotrichiaceae	CMCD159	5.518325730888328
Leptotrichiaceae	CMCD161	4.833409105399504
Leptotrichiaceae	CMCD174	4.386868083767051
Leptotrichiaceae	CMCD196	3.8591461545749293
Leptotrichiaceae	CMCD198	4.658403890049949
Leptotrichiaceae	CMCD203	2.8342489173096914
Leptotrichiaceae	CMCD211	2.3718917370411106
Leptotrichiaceae	CMCD227	12.598721035693377
Leptotrichiaceae	CMCD240	1.4797390578404492
Leptotrichiaceae	CMCD259	2.985793924232042
Leptotrichiaceae	CMCD270	1.570435803802328
Leptotrichiaceae	CMCD275	3.061192375595784
Leptotrichiaceae	CMCD282	0.6212947903341042
Leptotrichiaceae	CMCD286	7.664730964459852
Leptotrichiaceae	CMCD287	3.0018575204267908
Leptotrichiaceae	CMCD294	6.249814215891934
Leptotrichiaceae	CMCD327	9.3176336588527
Leptotrichiaceae	CMCD335	3.0264632545599017
Leptotrichiaceae	CMCD337	2.9622270672281643
Leptotrichiaceae	CMCD357	8.276309867779025
Leptotrichiaceae	CMCD398	5.816238581126658
Leptotrichiaceae	CMCD403	8.739904037441185
Leptotrichiaceae	CMCD422	12.537151778628015
Leptotrichiaceae	CMCD426	3.114232001868247
Leptotrichiaceae	CMCD71	5.206392088698448
Leptotrichiaceae	CMCD72	7.077438458609187
Leptotrichiaceae	CMCD76	9.84513848432844
Leptotrichiaceae	CMCD88	3.9322985701809197
Leptotrichiaceae	CMSA256	1.4265363849564943
Leptotrichiaceae	CMSA316	11.364612655956407
Leptotrichiaceae	CMUC110	1.5106352471586073
Leptotrichiaceae	CMUC192	4.240072476802178
Leptotrichiaceae	CMUC199	5.662397440508137
Leptotrichiaceae	CMUC200	3.0182263216022744
Leptotrichiaceae	CMUC208	4.074312011148669
Leptotrichiaceae	CMUC231	1.4644940267803368
Leptotrichiaceae	CMUC234	4.779825136263079
Leptotrichiaceae	CMUC285	3.1806363614655804
Leptotrichiaceae	CMUC291	9.197677157351823
Leptotrichiaceae	CMUC295	12.789669617295589
Leptotrichiaceae	CMUC299	1.6965995006802344
Leptotrichiaceae	CMUC301	1.512991400377493
Leptotrichiaceae	CMUC307	1.2939288300308316
Leptotrichiaceae	CMUC313	3.3568222062823194
Leptotrichiaceae	CMUC314	2.1199314548460846
Leptotrichiaceae	CMUC323	4.520486927885667
Leptotrichiaceae	CMUC324	2.4421933081336307
Leptotrichiaceae	CMUC331	1.8230833430958768
Leptotrichiaceae	CMUC333	6.179521370084561
Leptotrichiaceae	CMUC334	7.9023923134613
Leptotrichiaceae	CMUC346	3.5566981883180118
Leptotrichiaceae	CMUC352	1.481790312356228
Leptotrichiaceae	CMUC360	4.2078406302297084
Leptotrichiaceae	CMUC363	3.7888417281674807
Leptotrichiaceae	CMUC365	8.07692397897443
Leptotrichiaceae	CMUC366	5.236191507402757
Leptotrichiaceae	CMUC368	8.06717571232038
Leptotrichiaceae	CMUC377	5.722521905429477
Leptotrichiaceae	CMUC379	5.31925436768584
Leptotrichiaceae	CMUC380	4.153079627115737
Leptotrichiaceae	CMUC383	3.788825078843738
Leptotrichiaceae	CMUC394	11.929074102385293
Leptotrichiaceae	CMUC419	7.116831291126739
Leptotrichiaceae	CMUC427	5.112032749241566
Leptotrichiaceae	CMUC428	2.5955547551874347
Leptotrichiaceae	CMUC431	3.0511840395432253
Leptotrichiaceae	CMUC435	3.956287392635926
Leptotrichiaceae	CMUC439	5.004437659062387
Leptotrichiaceae	CMUC89	1.31821198174837
Leptotrichiaceae	CS219	2.5379736323196864
Leptotrichiaceae	CS256	3.502652928050819
Leptotrichiaceae	CS257	1.7566902830915376
Leptotrichiaceae	CS259	1.4086614958122048
Leptotrichiaceae	CS261	6.06599356731928
Leptotrichiaceae	CS266	2.9353202890236583
Leptotrichiaceae	CS270	6.431393195672475
Leptotrichiaceae	CS277	9.549407715422815
Leptotrichiaceae	CS288	6.349653126643987
Leptotrichiaceae	CS290	2.6915418459608396
Leptotrichiaceae	CS292	8.981061444211829
Leptotrichiaceae	CS293	1.7778139969792142
Leptotrichiaceae	CS301	4.5099845039981155
Leptotrichiaceae	CS306	6.506069434799737
Leptotrichiaceae	CS308	10.782849656989084
Leptotrichiaceae	CS315	5.373141398424547
Leptotrichiaceae	CS317	7.641171127127555
Leptotrichiaceae	CS322	6.233072243923234
Leptotrichiaceae	CS327	2.254148775697697
Leptotrichiaceae	CS328	82.382896452086
Leptotrichiaceae	CS330	6.754636400994945
Leptotrichiaceae	CS331	2.57404824676579
Leptotrichiaceae	CS335	7.612504797428276
Leptotrichiaceae	CS338	3.2141624980312336
Leptotrichiaceae	CS339	3.825057618197117
Leptotrichiaceae	CS343	9.152364886658463
Leptotrichiaceae	CS344	2.780825359980045
Leptotrichiaceae	CS350	3.0689057993166537
Leptotrichiaceae	CS351	10.072100276173787
Leptotrichiaceae	CS361	46.63899663695929
Leptotrichiaceae	CS388	6.721609290356451
Leptotrichiaceae	CS396	3.940675345908001
Leptotrichiaceae	CS405	3.950022549381735
Leptotrichiaceae	CS415	4.647632929449364
Leptotrichiaceae	CS424	6.807296946291748
Leptotrichiaceae	IM293	10.729302489864976
Leptotrichiaceae	IM296	3.2081852138872358
Leptotrichiaceae	IM297	8.027201288953748
Leptotrichiaceae	IM300	1.488163555420602
Leptotrichiaceae	IM305	4.025342295587269
Leptotrichiaceae	IM309	12.098939079984671
Leptotrichiaceae	IM310	12.284177900261014
Leptotrichiaceae	IM311	10.3409576870917
Leptotrichiaceae	IM316	5.085529775588581
Leptotrichiaceae	IM320	11.205828300177558
Leptotrichiaceae	IM330	3.850622382777168
Leptotrichiaceae	IM332	1.3335203742183237
Leptotrichiaceae	IM340	20.49598615952128
Leptotrichiaceae	IM348	3.468978744293594
Leptotrichiaceae	IM354	2.826714984534785
Leptotrichiaceae	IM356	4.200048172166769
Leptotrichiaceae	IM364	5.424289330887779
Leptotrichiaceae	IM372	7.2333839688993375
Leptotrichiaceae	IM374	15.075248614794955
Leptotrichiaceae	IM376	7.583895348304983
