Gene	Geneid	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Acaryochloridaceae	Acaryochloridaceae	1.844946791863492	1.041355018733281	0.1792833291484896	5.808431958951349	6.306064725781416e-9	1.8087162391776154e-8
Acetobacteraceae	Acetobacteraceae	46.19547977656945	-2.204908283885562	0.1971274248767004	-11.185192954580986	4.8185617105442236e-29	3.8757996367420924e-28
Acholeplasmataceae	Acholeplasmataceae	35.19763369991944	0.5747117073692455	0.2222161219388229	2.5862736796723786	0.009701986161721524	0.013913701084639397
Acidaminococcaceae	Acidaminococcaceae	1359.9175108298355	0.10987180863138898	0.27712448536783396	0.39647095234314467	0.6917576325939886	0.7230235142931519
Acidiferrobacteraceae	Acidiferrobacteraceae	3.518064218456545	-1.0913052182618788	0.1340775431325574	-8.139358708139113	3.9737703260615987e-16	1.7714397839069779e-15
Acidimicrobiaceae	Acidimicrobiaceae	2.2294163439660846	0.9190012355994174	0.2079050437776706	4.420293124692917	9.856710751058264e-6	1.9820559662454116e-5
Acidithiobacillaceae	Acidithiobacillaceae	3.490286886380859	-0.39389651012755034	0.16134527916377325	-2.441326527612415	0.014633416863974468	0.02012774810286451
Acidobacteriaceae	Acidobacteriaceae	6.937787389764765	-0.8006807399029034	0.14238880170063153	-5.623200211954254	1.874519331503141e-8	5.0625704573442494e-8
Acidothermaceae	Acidothermaceae	5.762324537342488	0.6722306538094817	0.2396058010468973	2.8055691927004225	0.005022779615483519	0.007534901549009014
Actinomycetaceae	Actinomycetaceae	76.92907065399595	-2.3008121365601633	0.20623850896933743	-11.156074333829853	6.688003791767676e-29	5.265024261604341e-28
Actinopolysporaceae	Actinopolysporaceae	2.0348002612003797	-1.4648820223920116	0.13692313935967207	-10.698571689508478	1.0335909305554621e-26	7.215634798217377e-26
Aerococcaceae	Aerococcaceae	11.610763845380195	-1.0317518194294724	0.18646424462651498	-5.533242158549246	3.143649770191117e-8	8.308217249790809e-8
Aeromonadaceae	Aeromonadaceae	26.902748846992793	-2.715117457012644	0.19384483717698978	-14.00665344795131	1.419374175287469e-44	2.7640444466124396e-43
Akkermansiaceae	Akkermansiaceae	3520.3962978935783	-0.5393163296707243	0.3074582632618406	-1.7541123271467465	0.07941126183003036	0.09761517234920676
Alcaligenaceae	Alcaligenaceae	149.73459843627327	-2.912429201946575	0.239031972719665	-12.184266267016302	3.770312750431152e-34	3.8750436601653514e-33
Alcanivoracaceae	Alcanivoracaceae	5.5200399024633855	-1.0737305926243155	0.15301786521796648	-7.017027659449036	2.2663775743877503e-12	8.088572156971424e-12
Alicyclobacillaceae	Alicyclobacillaceae	19.85497272156554	-0.4890491229190238	0.17070112407307092	-2.864943775705189	0.0041708328889839925	0.0064033533980252175
Alteromonadaceae	Alteromonadaceae	255.38113583610496	-1.7222972824263885	0.22049258474791553	-7.811134711833753	5.667539860540089e-15	2.3299886093331472e-14
Amoebophilaceae	Amoebophilaceae	5.169075742851295	-0.511122030852823	0.1687673539812627	-3.0285598416715716	0.0024572240618048113	0.003885354285759744
Anaerohalosphaeraceae	Anaerohalosphaeraceae	1.8971321820660745	1.229968258326846	0.1840247900181213	6.683709614371676	2.3296822602457367e-11	7.696271752597522e-11
Anaerolineaceae	Anaerolineaceae	7.893622589334447	0.1649290049180534	0.1883094614459353	0.8758402453686877	0.3811168878776743	0.41474484857276317
Anaeromyxobacteraceae	Anaeromyxobacteraceae	2.973632253092563	-0.31485174612536715	0.13795246340963818	-2.2823205787231324	0.02247042046042194	0.030014641048217036
Anaplasmataceae	Anaplasmataceae	5.589654060589376	-0.9198921710344125	0.1517089817836463	-6.063531375790788	1.3316478918027952e-9	3.9734654836051146e-9
Aphanizomenonaceae	Aphanizomenonaceae	3.1803541058050655	0.42452799217947557	0.1751020716476233	2.4244601345082817	0.015331166477246626	0.021009376283634265
Aphanothecaceae	Aphanothecaceae	5.3577185269121745	0.20555993761303432	0.18987057462126722	1.082631882391795	0.278971849964499	0.3109023629122429
Aquificaceae	Aquificaceae	4.816545864507722	0.33879885753380495	0.1793295701463604	1.8892526048955183	0.05885798895565825	0.07407297929793726
Archangiaceae	Archangiaceae	3.8724380794872046	-0.8364890699954628	0.12047741707647396	-6.943119219301448	3.8353547734075474e-12	1.3387559114724458e-11
Ardenticatenaceae	Ardenticatenaceae	2.5711380402151804	0.5167726809181822	0.16743780068247435	3.086356120373197	0.002026259828152593	0.003302714257341231
Atopobiaceae	Atopobiaceae	45.7286260056929	-1.4441544237533361	0.1695002601260691	-8.520072020415887	1.5945413393669556e-17	7.762898625865441e-17
Aurantimonadaceae	Aurantimonadaceae	2.8291905026987636	-0.8478977552698503	0.1238311836886679	-6.847207060554357	7.530568426603252e-12	2.579916960965929e-11
Azonexaceae	Azonexaceae	3.325163293449173	-1.024232599945238	0.13632089477742906	-7.513394051715264	5.761377257208993e-14	2.2439048264919236e-13
Bacillaceae	Bacillaceae	1790.743107627103	-2.3495803925633214	0.18779910977359823	-12.511137009093733	6.48887066867898e-36	8.002940491370743e-35
Bacteriovoracaceae	Bacteriovoracaceae	2.567034389374193	0.0904749551903888	0.15575244607350677	0.5808894657595907	0.5613149525405048	0.5950903508309077
Bacteroidaceae	Bacteroidaceae	398313.3043268055	0.11915870168585452	0.2444475255786639	0.4874612717137483	0.6259314816943834	0.6598138126123131
