Gene	Geneid	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Acholeplasmatales	Acholeplasmatales	28.175668109513346	2.345089311306352	0.40387386287621013	5.806489418764731	6.379630235256971e-9	2.8277279961679547e-8
Acidaminococcales	Acidaminococcales	1122.0608859042916	9.580559614854556	0.6424321362609198	14.912952005507195	2.714797645570669e-50	6.360383055336996e-49
Acidiferrobacterales	Acidiferrobacterales	3.5212363550957892	0.13862654547590406	0.30318205898217565	0.45723861742113847	0.6474995441535736	0.712684062021383
Acidimicrobiales	Acidimicrobiales	20.060536984500523	1.0004927594327115	0.480289601467873	2.083103103575386	0.03724182655623959	0.05872749572330089
Acidithiobacillales	Acidithiobacillales	3.466713154710667	-1.9966337678841186	0.33606742865956735	-5.9411701272207695	2.829947290393105e-9	1.28919821006797e-8
Acidobacteriales	Acidobacteriales	6.305766665998584	1.080317786623607	0.29617398064153616	3.6475783061143776	2.6472364539736464e-4	6.384511447818794e-4
Acidothermales	Acidothermales	5.064337042286533	2.052613394754078	0.5353098518662393	3.834439787719385	1.2585079531682316e-4	3.1753123741475384e-4
Actinomycetales	Actinomycetales	73.92801616412862	0.9730961078992025	0.46146018204788936	2.10873255321998	0.034967673275624125	0.05710291310122412
Actinopolysporales	Actinopolysporales	2.147178236692267	0.06200181253007998	0.37190260212800863	0.1667151888029517	0.8675941538615436	0.8975968101687414
Aeromonadales	Aeromonadales	28.357961189098816	-2.2510743907502624	0.42792758748864784	-5.260409603318644	1.4373485385691844e-7	5.749394154276737e-7
Alteromonadales	Alteromonadales	286.0073191487789	-2.396850109909571	0.4914002851584871	-4.877592020803438	1.0738875323937148e-6	3.7471820279270047e-6
Anaerolineales	Anaerolineales	6.811645208574235	3.2082362249847685	0.3677336963742748	8.724346603579852	2.6772192794093756e-18	2.310862956963882e-17
Aquificales	Aquificales	14.476434415488956	-2.033911650022484	0.39174933088395764	-5.191870131425856	2.0819220883529342e-7	8.129410059282886e-7
Ardenticatenales	Ardenticatenales	2.6367900149424646	0.040218455166481926	0.3568083960012026	0.11271723316271506	0.9102547382344803	0.92149245105219
Bacillales	Bacillales	4415.279513387332	-0.27431909968343676	0.2829876755676663	-0.9693676557933465	0.3323617841164718	0.40375801922297316
Bacteriovoracales	Bacteriovoracales	12.803168632671612	1.0019284367685564	0.4616613588737735	2.1702670529168144	0.029986621023041383	0.05018169232427334
Bacteroidales	Bacteroidales	407219.1736414858	10.449926969267938	0.5121180440542156	20.405309070034747	1.5001056602952913e-92	8.200577609614259e-91
Bacteroidetes Order II. Incertae sedis	Bacteroidetes Order II. Incertae sedis	9.255065303490943	-0.482907212375243	0.3900805045900103	-1.2379680775966928	0.21572789764018285	0.27857775758259834
Bdellovibrionales	Bdellovibrionales	5.1536028233377245	0.9515906934841187	0.3567811956683108	2.6671548417837165	0.007649641901080636	0.014420014618129013
Bifidobacteriales	Bifidobacteriales	6902.53581620068	6.919832142218123	0.5330198516639216	12.98231598807543	1.5414786185308517e-38	2.2982044858096334e-37
Brachyspirales	Brachyspirales	4.927960807964623	2.329466729301739	0.31868952183313476	7.309517789924212	2.681027592015498e-13	1.6911097118866988e-12
Bradymonadales	Bradymonadales	3.643417041716167	-1.9271538031284454	0.26951724603150345	-7.15039141837767	8.653080559794832e-13	5.2559452289124166e-12
Bryobacterales	Bryobacterales	3.723119763137331	0.1205149998019992	0.35481050274291903	0.33966018161902994	0.734112451204616	0.7817820908932274
Burkholderiales	Burkholderiales	11775.160539725995	-8.86637196953776	0.4193045025878775	-21.14542513809413	3.0403815570739957e-99	2.493112876800676e-97
Caldilineales	Caldilineales	2.5991920303299003	0.8024172726970252	0.3927648383414244	2.0429967104119853	0.0410527637632236	0.06351559676574219
Caldisericales	Caldisericales	1.8786268008168496	0.8765610738255966	0.39282867315796355	2.231408076143962	0.02565411038168669	0.044287095816806496
Calditrichales	Calditrichales	3.7695186125890348	1.6624612670919456	0.4989529682442348	3.331899743861589	8.625532371166269e-4	0.0018861164118283572
Campylobacterales	Campylobacterales	181.5192482789068	0.504625964126743	0.3621860208478116	1.3932784124177553	0.16353561603498018	0.22349867524780626
Candidatus Babeliales	Candidatus Babeliales	3.734109288747058	1.0179988941922475	0.4859019378518602	2.0950706611559364	0.036164711549883176	0.05758264751631884
Candidatus Brocadiales	Candidatus Brocadiales	2.200952584571376	-0.6148889812611391	0.31584770570905285	-1.9467894499368374	0.05155998230766022	0.0790265149388437
Candidatus Nanopelagicales	Candidatus Nanopelagicales	2.889542275674779	3.2707942048788183	0.3871292300996247	8.448843307536103	2.942030104124188e-17	2.4124646853818337e-16
Cardiobacteriales	Cardiobacteriales	4.905267439703067	-0.32709106565113927	0.4324063377561611	-0.7564437361128358	0.44938319394307136	0.5226868355082531
Catenulisporales	Catenulisporales	2.1495535343698875	-1.4869521782555493	0.2917754468356854	-5.096221064457603	3.465004837780513e-7	1.2915018031727366e-6
Caulobacterales	Caulobacterales	187.80267834174805	-5.669840040582846	0.5403934008701444	-10.492060101868821	9.395710591810362e-26	9.630603356605621e-25
Cellvibrionales	Cellvibrionales	13.162806079965563	-2.015915357106797	0.3320547618726601	-6.071032819218782	1.2709020955178254e-9	6.148233414614152e-9
Chitinophagales	Chitinophagales	68.24467515521289	1.154485190478484	0.43907581193533995	2.629352742957515	0.008554757313106951	0.015942956810790228
Chlamydiales	Chlamydiales	4.466893237496817	0.4865791690692842	0.4519429079167665	1.0766385765675	0.2816417630810797	0.3525896881320387
Chlorobiales	Chlorobiales	11.197075230707464	0.919577110362694	0.3274128288562584	2.8086166127791192	0.004975485935879566	0.00971404397005058
Chloroflexales	Chloroflexales	3.216063281531626	-0.5818128390759097	0.2762080409325665	-2.1064297661701805	0.03516703794648558	0.05710291310122412
Chromatiales	Chromatiales	48.08597635969549	-0.66314680694238	0.46920914531829233	-1.4133288184153536	0.157559064310321	0.22085202176831317
Chroococcales	Chroococcales	10.256355200635497	1.0718439846042647	0.374601276842661	2.8612929289465763	0.004219170197868634	0.008438340395737268
Chroococcidiopsidales	Chroococcidiopsidales	2.414373648461186	1.4438982008125874	0.42594045659001806	3.3899062145261016	6.991653847404771e-4	0.0015707277136635376
Chrysiogenales	Chrysiogenales	2.597342297980453	-0.9080424767615404	0.3345702555625095	-2.7140562009460703	0.0066464889347035636	0.012674699828969587
Chthonomonadales	Chthonomonadales	2.3567278685485222	-0.6811265957663433	0.4042975108774691	-1.6847162731426586	0.09204332532377162	0.13722823048271404
Clostridiales	Clostridiales	160410.22986708395	8.371357817399073	0.49320967062229676	16.973223186878496	1.2961825082393695e-64	4.2514786270251315e-63
Coprothermobacterales	Coprothermobacterales	2.357385106684325	1.212276435909691	0.3665628022537355	3.3071452653031357	9.425200186851003e-4	0.0020338589876889007
Coriobacteriales	Coriobacteriales	3137.2827522844464	6.654091730838018	0.5236672238311664	12.7067179842887	5.426448807662627e-37	6.845673880435929e-36
Corynebacteriales	Corynebacteriales	381.33034518900115	-2.0200509931241	0.43269513771199936	-4.668531760735061	3.033598861461493e-6	9.75510222117029e-6
Cytophagales	Cytophagales	144.71540970100628	-0.17354974395132297	0.43140964792419545	-0.40228526363837375	0.6874740985935754	0.748082324318703
Deferribacterales	Deferribacterales	15.540771153075061	2.0315467778706595	0.4457865557785426	4.557218587094154	5.183547124911542e-6	1.5742624601583202e-5
Dehalococcoidales	Dehalococcoidales	3.4227716117459046	0.9477722023301234	0.4512799143619579	2.1001869841030505	0.03571239588820146	0.057419930643774895
Deinococcales	Deinococcales	106.63947511524127	-1.7383188914489949	0.4876429306932616	-3.56473719198123	3.6422095002153725e-4	8.412990958243959e-4
Desulfarculales	Desulfarculales	11.318112928849201	0.322777674225713	0.5707313050135685	0.5655510244317846	0.5716990290016319	0.64218247093334
Desulfobacterales	Desulfobacterales	154.73318832323105	2.850352879992361	0.4752904024487349	5.997076451169876	2.0090149375443253e-9	9.41366999306484e-9
Desulfovibrionales	Desulfovibrionales	261.37858714575805	1.7062851696788535	0.42339638829623344	4.029994626418576	5.577812797445312e-5	1.4996086865262805e-4
Desulfurellales	Desulfurellales	2.2057116134348056	-0.16797978671631206	0.32828844807091123	-0.5116835140054272	0.608872525969808	0.6746965828314089
Desulfurobacteriales	Desulfurobacteriales	2.20118222488174	1.3214794179465374	0.39098939011662537	3.3798344695552047	7.252949772600725e-4	0.0016074104901439444
Desulfuromonadales	Desulfuromonadales	19.558781657143356	0.4026960377082101	0.3121396509505453	1.29011497412103	0.19701074152828332	0.25844043068818223
Dictyoglomales	Dictyoglomales	2.260280366059884	1.3560976367424427	0.4480678176104727	3.0265454992381637	0.002473655895414004	0.005070994585598708
Eggerthellales	Eggerthellales	463.1461924752861	5.289184483209365	0.4422137375616322	11.960696907278239	5.708084072207905e-33	6.686612770300688e-32
Egibacterales	Egibacterales	3.074973524239591	1.4558701828271101	0.4528945375744405	3.214589848277458	0.001306310262611857	0.002782271208679799
Egicoccales	Egicoccales	1.9992863780178491	1.352092470720064	0.37564230491790057	3.59941479705161	3.1893410882388143e-4	7.580462876393703e-4
Elusimicrobiales	Elusimicrobiales	2.9688444185192537	1.8167370877443505	0.45767112274352595	3.969525271452249	7.20159689539321e-5	1.8747014140388675e-4
Emcibacterales	Emcibacterales	2.4559802328855476	0.9638942475275729	0.3709212222827657	2.5986494965035027	0.009359128217515097	0.017246034018791864
Endomicrobiales	Endomicrobiales	2.5836242915756835	2.107821911260423	0.41145195352817177	5.122887115217214	3.008925033184807e-7	1.147590012656531e-6
Enterobacterales	Enterobacterales	15185.604848162717	-0.1880315255517114	0.4768497478205978	-0.3943202788951738	0.6933445932709931	0.748082324318703
Entomoplasmatales	Entomoplasmatales	14.541866233026127	0.938871158950433	0.37545612996650607	2.5006148096028915	0.012397794073336722	0.022100415522035025
Erysipelotrichales	Erysipelotrichales	1657.1642937241907	11.096679117285376	0.5224475616969355	21.239795016446845	4.096736664301841e-100	6.718648129455019e-98
Euzebyales	Euzebyales	2.382184232966708	1.4787318244918943	0.39361968127694874	3.756752761179811	1.7213240488577752e-4	4.277229454737502e-4
Fibrobacterales	Fibrobacterales	3.559052636108259	-0.5576368452347991	0.382673069056734	-1.4572147619620588	0.14505710697843247	0.20686404821272109
Fimbriimonadales	Fimbriimonadales	6.285299203405731	2.0011459596901777	0.44112676962198627	4.53644189720115	5.721124166654328e-6	1.705935206056927e-5
Flavobacteriales	Flavobacteriales	569.5881828147641	-0.47854235402312567	0.509404235393611	-0.9394157346441403	0.34751733755701675	0.4190650247011084
Frankiales	Frankiales	4.1915319759399	-1.3284823752898407	0.2969444808389428	-4.473840940018633	7.682690113794376e-6	2.2104582081794346e-5
Fusobacteriales	Fusobacteriales	231.8335577226278	4.504232750681511	0.5418885532769697	8.312101673753773	9.402181288919895e-17	7.008898779013013e-16
Gemmatales	Gemmatales	4.120174751107308	-1.7468569220732846	0.27178538195081847	-6.42733950418787	1.2985658223688114e-10	6.655149839640158e-10
Gemmatimonadales	Gemmatimonadales	5.053227270215872	-1.4823228458141318	0.328170104327386	-4.5169344381697565	6.274132045371901e-6	1.8374243847160567e-5
Geodermatophilales	Geodermatophilales	6.944476579869394	-0.3937787960071527	0.4226032523582703	-0.9317931033652314	0.3514434594909926	0.4207060390987065
Gloeobacterales	Gloeobacterales	3.593923535064309	2.780026458254567	0.4259925307159206	6.525998128611482	6.75501632925554e-11	3.820078199992788e-10
Gloeoemargaritales	Gloeoemargaritales	2.6505688295986056	3.969118300812918	0.4464169193539412	8.891057056164144	6.053028493326261e-19	5.514981516141704e-18
Glycomycetales	Glycomycetales	5.429429797665459	0.12540174995026607	0.5377783073742883	0.23318484258419092	0.81561787532309	0.8574444330319665
Halanaerobiales	Halanaerobiales	11.678017435501404	0.9245666232274952	0.3255967412286021	2.839606501400317	0.004516921433351598	0.00892500138638147
Holosporales	Holosporales	6.537669507650744	0.26620312587684747	0.3675849094882667	0.7241949247792628	0.4689460739442865	0.5415996910342464
Hydrogenophilales	Hydrogenophilales	2.825270949536233	-1.770078603181839	0.29158397465929026	-6.070562023342122	1.2746337566882999e-9	6.148233414614152e-9
Ignavibacteriales	Ignavibacteriales	6.173952577576962	0.31888899791320746	0.4066303781383746	0.7842232530022409	0.43290912321374364	0.5071221157646711
Immundisolibacterales	Immundisolibacterales	2.4296894196271492	-3.2726113265180405	0.2545164395812288	-12.8581530210884	7.740412240582136e-38	1.0578563395462253e-36
Isosphaerales	Isosphaerales	3.628133971799659	0.17455241119755877	0.3380692532450214	0.5163214623101171	0.6056299087043362	0.6746965828314089
Jiangellales	Jiangellales	2.320194787119002	-1.2844330037227973	0.2901679118538147	-4.426516341923738	9.576713030868752e-6	2.7078981673490954e-5
Kineosporiales	Kineosporiales	2.3134086625769257	0.056300388207441564	0.38590095188617907	0.14589336443007087	0.8840055699592493	0.9027110494353215
Kiritimatiellales	Kiritimatiellales	2.1475379897963305	-0.07975379926623288	0.3758244618534306	-0.21221024004908018	0.8319430182667857	0.8690360190812284
Kosmotogales	Kosmotogales	3.2003961075923564	-0.18042533100193628	0.30335076034711733	-0.5947746127139412	0.5519941396845839	0.6243244062639431
Ktedonobacterales	Ktedonobacterales	2.2966078024158745	1.0772965679345468	0.41915229336771054	2.570179347651725	0.01016458769218992	0.018522137572434965
Lactobacillales	Lactobacillales	1204.0872122466976	4.187642893518218	0.5401917332599931	7.752141759456941	9.035543887824171e-15	6.174288323346517e-14
Legionellales	Legionellales	20.607493525151067	-2.698285752047568	0.39295206540283845	-6.866704592279965	6.57019246894586e-12	3.8482555889540034e-11
Leptospirales	Leptospirales	3.8947312483053644	-0.40233298154448355	0.2740545940393956	-1.4680760341008836	0.142083570687821	0.20440092625265477
Limnochordales	Limnochordales	2.286980440180251	1.4780085849893076	0.4175428029446505	3.539777418185394	NA	NA
Magnetococcales	Magnetococcales	2.3255250636341622	0.570107700300273	0.4722427327345655	1.2072344597004412	0.2273418630321888	0.29104039853367997
Marinilabiliales	Marinilabiliales	105.46276613608813	2.213374762720306	0.4456410500463254	4.966721002228633	6.809444311420718e-7	2.4277149284195604e-6
Mariprofundales	Mariprofundales	4.140779520333185	-1.3543031665762755	0.4288230988102711	-3.158186138605082	0.0015875415575043632	0.0033379078901373794
Mesoaciditogales	Mesoaciditogales	1.9213216421971517	0.43062180960246	0.3349393396733222	1.2856710412770869	0.1985578918701888	0.25844043068818223
Methylacidiphilales	Methylacidiphilales	2.3330442763490735	0.22985838843071427	0.3828638706570988	0.6003658376963451	0.5482624500201649	0.6243244062639431
Methylococcales	Methylococcales	17.181525941750362	-1.4329575564003434	0.401277523733341	-3.5709888335350164	3.556360584314453e-4	8.332044797536718e-4
Micrococcales	Micrococcales	508.6951185929774	-0.6304269900379305	0.48447228034085177	-1.3012653470997182	0.19316764428190483	0.2554797875986483
Micromonosporales	Micromonosporales	14.428141946908019	-3.167440804331458	0.4091843461778678	-7.740865049990469	9.874266191303605e-15	6.477518621495165e-14
Mycoplasmatales	Mycoplasmatales	403.3412011232454	-0.015413596261163749	0.4390157527519912	-0.03510943779247757	0.9719924757831415	0.9719924757831415
Myxococcales	Myxococcales	25.59844699960927	-1.2027798394081983	0.3236750319044986	-3.7160105687827123	2.0239311989805512e-4	4.954100248250902e-4
Nakamurellales	Nakamurellales	4.336614857604952	0.555328898355676	0.39653692322389816	1.400446883585967	0.16137953883158354	0.22349867524780626
Natranaerobiales	Natranaerobiales	2.6981932910028976	1.9495513987064308	0.40720855293919006	4.787599338557028	1.6878819572555624e-6	5.649237571222699e-6
Nautiliales	Nautiliales	3.1203030137918533	1.18828164603727	0.47059293820084325	2.525073263063132	0.011567417161328024	0.020846773785250506
Neisseriales	Neisseriales	393.088939788786	0.14064665863849696	0.35430282409057173	0.3969673654154756	0.6913915262017101	0.748082324318703
Nevskiales	Nevskiales	6.5612250325449475	-2.2633398031372685	0.35075539598194694	-6.452758329778511	1.0983243559518339e-10	6.004173145870025e-10
