Gene	Geneid	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
Acholeplasmatales	Acholeplasmatales	28.175668109513346	4.142252232531093	0.18988350735690807	21.81470255205077	1.6826081924332827e-105	1.1997727980828625e-104
Acidaminococcales	Acidaminococcales	1122.0608859042916	8.765300052319084	0.2493346760539054	35.15475741699102	9.832732242864343e-271	1.612568087829752e-269
Acidiferrobacterales	Acidiferrobacterales	3.5212363550957892	-0.9656764834747089	0.14888630136846498	-6.485999548641115	8.814542962300796e-11	1.4601869149670007e-10
Acidimicrobiales	Acidimicrobiales	20.060536984500523	0.8638342887581203	0.21203165649954842	4.074081686759637	4.619626604833003e-5	5.827836639943173e-5
Acidithiobacillales	Acidithiobacillales	3.466713154710667	-0.21713436257309232	0.16422670424866861	-1.3221623338693569	0.1861141006499862	0.20080731912235356
Acidobacteriales	Acidobacteriales	6.305766665998584	0.7799258198635655	0.14299634672796693	5.454166051859206	4.920320777424983e-8	7.204755424086582e-8
Acidothermales	Acidothermales	5.064337042286533	2.348209618262401	0.21345790211542495	11.000809035369574	3.7871872601195966e-28	8.87283872370877e-28
Actinomycetales	Actinomycetales	73.92801616412862	1.1143384751717171	0.19915098801237804	5.5954453768637915	2.2005612447145418e-8	3.341593001233193e-8
Actinopolysporales	Actinopolysporales	2.147178236692267	-2.4721733931675276	0.17031379868944246	-14.515402816394198	9.678744442729874e-48	3.6075320195629526e-47
Aeromonadales	Aeromonadales	28.357961189098816	0.028441339704359667	0.18818231494319904	0.1511371550134475	0.8798675236672682	0.8852654839351655
Alteromonadales	Alteromonadales	286.0073191487789	2.486938173439101	0.21312997873214806	11.668645529048593	1.8433465069003713e-31	4.5804367747221345e-31
Anaerolineales	Anaerolineales	6.811645208574235	1.0421603838825277	0.17426444896377088	5.980338445847839	2.2267447458291444e-9	3.5114051761151893e-9
Aquificales	Aquificales	14.476434415488956	3.7880828140253167	0.19259634354283264	19.668508468764685	4.0141542051456444e-86	2.4382269986810582e-85
Ardenticatenales	Ardenticatenales	2.6367900149424646	-1.3213631454208379	0.16920599732944486	-7.809198056072077	5.75530001688701e-15	1.0372189041422743e-14
Bacillales	Bacillales	4415.279513387332	-2.8443806104947464	0.12105983012837228	-23.495660017683445	4.5174655753657234e-122	3.5279254969522793e-121
Bacteriovoracales	Bacteriovoracales	12.803168632671612	2.8660411791223814	0.21307213476697626	13.451037050230864	3.035844888211363e-41	1.0372470034722157e-40
Bacteroidales	Bacteroidales	407219.1736414858	11.08617687010951	0.21683889367769962	51.126330161910644	0	0
Bacteroidetes Order II. Incertae sedis	Bacteroidetes Order II. Incertae sedis	9.255065303490943	2.909308519086633	0.18315239781334505	15.884632436270795	8.097119049289145e-57	3.404942369444666e-56
Bdellovibrionales	Bdellovibrionales	5.1536028233377245	1.0176813637682378	0.16918311966009802	6.015265387071939	1.795922327776125e-9	2.8595268131581016e-9
Bifidobacteriales	Bifidobacteriales	6902.53581620068	8.61241052838563	0.22599038403383137	38.109632696125374	0	0
Brachyspirales	Brachyspirales	4.927960807964623	0.3093448925123646	0.17029847499061374	1.8164865688281389	0.06929576640885748	0.07783908007570293
Bradymonadales	Bradymonadales	3.643417041716167	-0.12098379790097333	0.15329044266175162	-0.7892455380792027	0.42996851108401996	0.45493442463083406
Bryobacterales	Bryobacterales	3.723119763137331	-1.2377604910265219	0.16728040772155914	-7.399315364455553	1.368884078431948e-13	2.4139461168047256e-13
Burkholderiales	Burkholderiales	11775.160539725995	2.3583160698572874	0.17939560430663454	13.14589662869499	1.79663125772533e-39	5.456435671610262e-39
Caldilineales	Caldilineales	2.5991920303299003	0.061467557934540326	0.17036085254106803	0.36080799677685726	0.7182429843731788	0.7408292417434046
Caldisericales	Caldisericales	1.8786268008168496	-2.0231482361755626	0.16535608053251788	-12.235100334140437	2.0185526358785974e-34	5.254644956890317e-34
Calditrichales	Calditrichales	3.7695186125890348	0.7981138350546716	0.19328537421121647	4.129199316356533	3.640287294484875e-5	4.627962141825733e-5
Campylobacterales	Campylobacterales	181.5192482789068	6.239992796449477	0.16662605465182878	37.449082074758174	6.216854659151345e-307	1.4565202344297437e-305
Candidatus Babeliales	Candidatus Babeliales	3.734109288747058	0.02990210297281641	0.18792391333825126	0.15911813691850116	0.8735757990721906	0.8843606854804893
Candidatus Brocadiales	Candidatus Brocadiales	2.200952584571376	-0.7464313852844766	0.1653675678727877	-4.513771320980447	6.3684884799241616e-6	8.223874887461122e-6
Candidatus Nanopelagicales	Candidatus Nanopelagicales	2.889542275674779	-0.8017944399661788	0.1620545490006861	-4.94768240021935	7.510231703090565e-7	1.01770475368546e-6
Cardiobacteriales	Cardiobacteriales	4.905267439703067	-0.32076846233363104	0.19814772436893668	-1.6188349543514486	0.10548277913406605	0.11688632282423535
Catenulisporales	Catenulisporales	2.1495535343698875	-1.592351185332358	0.1565004973629569	-10.174735621698169	2.5709719556853805e-24	5.4758363731480826e-24
Caulobacterales	Caulobacterales	187.80267834174805	-3.6838495329655876	0.2318579366488106	-15.888390909582801	7.626008311947952e-57	3.2912246398933267e-56
Cellvibrionales	Cellvibrionales	13.162806079965563	1.8207161737337154	0.15943166190830663	11.420041364060154	3.3207585958848555e-30	8.128424025748004e-30
Chitinophagales	Chitinophagales	68.24467515521289	2.4029175239663387	0.19012707788309116	12.638481329018736	1.295316645995096e-36	3.540532165719929e-36
Chlamydiales	Chlamydiales	4.466893237496817	1.1132825029296967	0.19778187245875145	5.628839939119689	1.814256545991393e-8	2.7807296592765274e-8
Chlorobiales	Chlorobiales	11.197075230707464	2.750930368224351	0.15648182171652877	17.57987182183844	3.5136974590364097e-69	1.6464182379484892e-68
Chloroflexales	Chloroflexales	3.216063281531626	0.0989011893253075	0.15130649424311698	0.6536480130614524	0.5133386036243057	0.5362263120661538
Chromatiales	Chromatiales	48.08597635969549	0.7314953387950259	0.20343268098698244	3.5957611886451715	3.2344442009650976e-4	3.9292507330242665e-4
Chroococcales	Chroococcales	10.256355200635497	0.9535201562555417	0.182041401497224	5.237930209354503	1.6238744244656665e-7	2.3361000492313097e-7
Chroococcidiopsidales	Chroococcidiopsidales	2.414373648461186	-1.325608217178834	0.17093731100206513	-7.7549378155528546	8.838677636992354e-15	1.575590361376898e-14
Chrysiogenales	Chrysiogenales	2.597342297980453	-0.4518980451090336	0.16831378115860654	-2.6848546922203482	0.0072561345379317	0.008380324395921119
Chthonomonadales	Chthonomonadales	2.3567278685485222	-0.7148393013185341	0.19067765940054954	-3.748941032556402	1.7758282969200533e-4	2.173401796230513e-4
Clostridiales	Clostridiales	160410.22986708395	8.39127020369071	0.2107920447295182	39.80828695152194	0	0
Coprothermobacterales	Coprothermobacterales	2.357385106684325	-0.7892842315920839	0.167957158699318	-4.699318788817359	2.610307207059049e-6	3.4523417899813226e-6
Coriobacteriales	Coriobacteriales	3137.2827522844464	8.571530987794128	0.21815000240780713	39.29191333113353	0	0
Corynebacteriales	Corynebacteriales	381.33034518900115	0.9319113862244431	0.18578540776102748	5.016063411304856	5.274092809856967e-7	7.330095091665616e-7
Cytophagales	Cytophagales	144.71540970100628	3.657808254934273	0.18817978513570893	19.43783840701266	3.694053935582353e-84	2.1636601622696637e-83
Deferribacterales	Deferribacterales	15.540771153075061	3.0466322626376603	0.1916796167169964	15.894398761949907	6.929005364221426e-57	3.0712348100873345e-56
Dehalococcoidales	Dehalococcoidales	3.4227716117459046	-0.29649143070047856	0.18575049614176892	-1.5961810970033141	0.11044836670073957	0.12156732979141804
Deinococcales	Deinococcales	106.63947511524127	4.042929707860831	0.21503478985285468	18.801281925717007	7.37131192087843e-79	4.029650516746875e-78
Desulfarculales	Desulfarculales	11.318112928849201	2.3176279034112053	0.24141762342717524	9.600077535807277	7.988430798302643e-22	1.6583577859767512e-21
Desulfobacterales	Desulfobacterales	154.73318832323105	7.411262694179159	0.2210055408933885	33.534284544269866	1.5258718680340475e-246	2.274936239614398e-245
Desulfovibrionales	Desulfovibrionales	261.37858714575805	5.255239018185726	0.1896773100335702	27.70620807125335	5.877617688217428e-169	5.670172358045047e-168
Desulfurellales	Desulfurellales	2.2057116134348056	-1.2998538268622368	0.1591180774979819	-8.16911470589332	3.106606785294675e-16	5.789585372594621e-16
Desulfurobacteriales	Desulfurobacteriales	2.20118222488174	-1.009362686950078	0.1587957853588736	-6.356356906255096	2.0659470869239767e-10	3.321718845642472e-10
Desulfuromonadales	Desulfuromonadales	19.558781657143356	4.1164245516534574	0.15980032100934233	25.75980151762524	2.5033467698507715e-146	2.160783527660666e-145
Dictyoglomales	Dictyoglomales	2.260280366059884	-1.1902661884540136	0.17770516423634156	-6.697983109095253	2.1131568394091287e-11	3.609976267323928e-11
Eggerthellales	Eggerthellales	463.1461924752861	8.24889952535782	0.18874863075198392	43.703095977405475	0	0
