Feature	sample	counts
Corynebacterium_maris	CM317	5.55164274490812
Corynebacterium_maris	CMCD140	5.091471228731081
Corynebacterium_maris	CMCD147	4.063266546528601
Corynebacterium_maris	CMCD152	1.2543405549084177
Corynebacterium_maris	CMCD154	4.021130447223132
Corynebacterium_maris	CMCD159	2.9532110145891144
Corynebacterium_maris	CMCD161	2.2985072108378395
Corynebacterium_maris	CMCD174	7.320394840119058
Corynebacterium_maris	CMCD196	1.105569770871789
Corynebacterium_maris	CMCD198	4.582076721051187
Corynebacterium_maris	CMCD203	5.370398934050172
Corynebacterium_maris	CMCD211	1.1740700653077196
Corynebacterium_maris	CMCD227	1.254584612393825
Corynebacterium_maris	CMCD240	1.2450819982281849
Corynebacterium_maris	CMCD259	1.2348476240940158
Corynebacterium_maris	CMCD270	6.1062428279244365
Corynebacterium_maris	CMCD275	1.625401384275059
Corynebacterium_maris	CMCD282	2.0211808562917737
Corynebacterium_maris	CMCD286	1.2579314529084173
Corynebacterium_maris	CMCD287	8.78332349040577
Corynebacterium_maris	CMCD294	5.846889041984819
Corynebacterium_maris	CMCD327	2.075937159270016
Corynebacterium_maris	CMCD335	10.846607390221276
Corynebacterium_maris	CMCD337	2.08378722621297
Corynebacterium_maris	CMCD357	10.332196048554092
Corynebacterium_maris	CMCD398	4.281369029878339
Corynebacterium_maris	CMCD403	6.7280857268635925
Corynebacterium_maris	CMCD422	3.2739924952269366
Corynebacterium_maris	CMCD426	3.033113481255626
Corynebacterium_maris	CMCD71	5.291550610374967
Corynebacterium_maris	CMCD72	62.40620263903448
Corynebacterium_maris	CMCD76	1.1462235320233831
Corynebacterium_maris	CMCD88	1.2239557140655961
Corynebacterium_maris	CMSA256	1.2349498834315344
Corynebacterium_maris	CMSA316	2.19902508258926
Corynebacterium_maris	CMUC110	1.2625745715208956
Corynebacterium_maris	CMUC192	1.1793181722205324
Corynebacterium_maris	CMUC199	2.0549769245311973
Corynebacterium_maris	CMUC200	1.227219088600506
Corynebacterium_maris	CMUC208	3.0935914800507933
Corynebacterium_maris	CMUC231	1.2349498834315344
Corynebacterium_maris	CMUC234	1.2676718562975933
Corynebacterium_maris	CMUC285	3.6984908415920237
Corynebacterium_maris	CMUC291	1.2276579964460468
Corynebacterium_maris	CMUC295	1.161258544350776
Corynebacterium_maris	CMUC299	1.2768196385987194
Corynebacterium_maris	CMUC301	1.255400967187306
Corynebacterium_maris	CMUC307	1.189897190719974
Corynebacterium_maris	CMUC313	5.402455134459081
Corynebacterium_maris	CMUC314	1.1690404028088257
Corynebacterium_maris	CMUC323	1.6405233637558898
Corynebacterium_maris	CMUC324	2.132471000833409
Corynebacterium_maris	CMUC331	3.8538222155628694
Corynebacterium_maris	CMUC333	3.9403664847482607
Corynebacterium_maris	CMUC334	1.0051112809282055
Corynebacterium_maris	CMUC346	6.706585162334844
Corynebacterium_maris	CMUC352	1.8373859856798003
Corynebacterium_maris	CMUC360	2.2926131004748913
Corynebacterium_maris	CMUC363	4.1253463786335605
Corynebacterium_maris	CMUC365	2.3878715214258652
Corynebacterium_maris	CMUC366	2.060881238085782
Corynebacterium_maris	CMUC368	1.0606050887152505
Corynebacterium_maris	CMUC377	1.4723223146793958
Corynebacterium_maris	CMUC379	2.8910350908519966
Corynebacterium_maris	CMUC380	1.5282309095504416
Corynebacterium_maris	CMUC383	2.828348986251321
Corynebacterium_maris	CMUC394	1.906825117342657
Corynebacterium_maris	CMUC419	2.362527604012283
Corynebacterium_maris	CMUC427	1.1460323041592848
Corynebacterium_maris	CMUC428	13.897337087066221
Corynebacterium_maris	CMUC431	6.570699748175031
Corynebacterium_maris	CMUC435	2.3302103158805867
Corynebacterium_maris	CMUC439	1.0902268931620824
Corynebacterium_maris	CMUC89	1.2362886415966772
Corynebacterium_maris	CS219	1.1600013501580453
Corynebacterium_maris	CS256	1.2567251485578759
Corynebacterium_maris	CS257	7.237095268947218
Corynebacterium_maris	CS259	5.854553370169793
Corynebacterium_maris	CS261	1.5187732134537737
Corynebacterium_maris	CS266	7.255797429482014
Corynebacterium_maris	CS270	2.919644079021166
Corynebacterium_maris	CS277	1.854432962395016
Corynebacterium_maris	CS288	2.632024452074535
Corynebacterium_maris	CS290	2.311562200529892
Corynebacterium_maris	CS292	2.3282441710700748
Corynebacterium_maris	CS293	1.2282178431744835
Corynebacterium_maris	CS301	2.3465907212305757
Corynebacterium_maris	CS306	4.543897946259304
Corynebacterium_maris	CS308	7.32465320954769
Corynebacterium_maris	CS315	4.6577115409002525
Corynebacterium_maris	CS317	2.5464440639502555
Corynebacterium_maris	CS322	0.7107960608084105
Corynebacterium_maris	CS327	2.103469080701049
Corynebacterium_maris	CS328	11.06266800560475
Corynebacterium_maris	CS330	5.141574157444392
Corynebacterium_maris	CS331	3.8183243760616894
Corynebacterium_maris	CS335	3.8065140794483154
Corynebacterium_maris	CS338	2.4051175486081915
Corynebacterium_maris	CS339	2.2621217673248086
Corynebacterium_maris	CS343	4.420467716487053
Corynebacterium_maris	CS344	2.034018808716147
Corynebacterium_maris	CS350	3.4920188653813486
Corynebacterium_maris	CS351	3.1698029504637035
Corynebacterium_maris	CS361	6.514320513944146
Corynebacterium_maris	CS388	3.6173626730276194
Corynebacterium_maris	CS396	5.51046003238006
Corynebacterium_maris	CS405	2.1054576692253657
Corynebacterium_maris	CS415	3.1251265180575687
Corynebacterium_maris	CS424	5.68582043349293
Corynebacterium_maris	IM293	1.1289022182802304
Corynebacterium_maris	IM296	0.9498364762481255
Corynebacterium_maris	IM297	2.1118885541029093
Corynebacterium_maris	IM300	2.4365936951121014
Corynebacterium_maris	IM305	2.0130261645212806
Corynebacterium_maris	IM309	2.676658408617718
Corynebacterium_maris	IM310	1.9120977792655065
Corynebacterium_maris	IM311	1.669552942687652
Corynebacterium_maris	IM316	4.667113505342892
Corynebacterium_maris	IM320	3.121122238329621
Corynebacterium_maris	IM330	4.640387220076191
Corynebacterium_maris	IM332	2.7668980228038076
Corynebacterium_maris	IM340	3.5796007268923113
Corynebacterium_maris	IM348	2.1130811727766354
Corynebacterium_maris	IM354	1.1687419103599639
Corynebacterium_maris	IM356	4.398396966264681
Corynebacterium_maris	IM364	1.6202645937715692
Corynebacterium_maris	IM372	7.365240276851064
Corynebacterium_maris	IM374	6.647529192615882
Corynebacterium_maris	IM376	4.114941496434293
Corynebacterium_maris	IM381	13.99153383848951
Corynebacterium_maris	IM382	0.7773702106678635
Corynebacterium_maris	IM385	1.2588732062842571
Corynebacterium_maris	IM390	2.167769210659177
Corynebacterium_maris	IM397	0.6194762278667671
Corynebacterium_maris	IM404	1.0855292251152537
Corynebacterium_maris	IM409	2.0368994084488783
Corynebacterium_maris	IM412	3.286413435447247
Corynebacterium_maris	IM421	1.8227765245122038
Corynebacterium_maris	IM425	2.7983406811191065
Corynebacterium_maris	IM432	1.0103375720803056
Corynebacterium_maris	IM438	1.1787640385621727
Corynebacterium_maris	IM442	4.947248871026718
Corynebacterium_maris	IM445	0.7264283183905975
Corynebacterium_maris	IM448	2.4226238391862616
Corynebacterium_maris	IM449	2.7119478402273223
Corynebacterium_maris	IM451	2.063037961131413
