Gene	Geneid	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
[Arcobacter] porcinus	[Arcobacter] porcinus	1.2482427946326642	-0.02361289314560039	0.8628103324451206	-0.027367420460396835	0.9781666832169602	NA
[Bacillus] caldolyticus	[Bacillus] caldolyticus	1.1848958827338247	0.062013837915922146	0.8639387044965322	0.0717803677427107	0.9427766967834981	NA
[Bacillus] selenitireducens	[Bacillus] selenitireducens	3.5239932883221594	0.018556071028790217	1.0474893201385065	0.017714806893054148	0.9858663683091127	0.9985792977055501
[Brevibacterium] frigoritolerans	[Brevibacterium] frigoritolerans	3.024193007479539	-0.11662384559470347	1.0097275263461822	-0.11550031325452775	0.9080485721980281	0.9985792977055501
[Clostridium] cellulosi	[Clostridium] cellulosi	196.81052210262118	0.060809107381744394	1.289674776331146	0.047150730166820455	0.9623930954428495	0.9985792977055501
[Clostridium] hiranonis	[Clostridium] hiranonis	160.73559608565876	-0.9368320009853771	1.290351974356022	-0.7260282617484454	0.46782144522221686	0.9985792977055501
[Clostridium] hylemonae	[Clostridium] hylemonae	422.0364735009583	0.022105015156496197	1.1596622476650509	0.01906159763414223	0.9847919665082899	0.9985792977055501
[Clostridium] innocuum	[Clostridium] innocuum	143.42347895674322	-0.009866338057790396	1.3197607062597174	-0.007475853774849989	0.9940351872549089	0.9985792977055501
[Clostridium] scindens	[Clostridium] scindens	1128.9555056826607	-0.33741402466640735	1.3054444908231069	-0.2584667728412271	0.7960466893282689	0.9985792977055501
[Clostridium] ultunense	[Clostridium] ultunense	6.421441451914067	-0.34080922541796566	1.1725868313706371	-0.29064732461611703	0.7713210619212704	0.9985792977055501
[Enterobacter] lignolyticus	[Enterobacter] lignolyticus	3.497288520070608	0.018837489836542588	1.089754845730145	0.017285988596748392	0.9862084634147986	0.9985792977055501
[Eubacterium] cellulosolvens	[Eubacterium] cellulosolvens	665.572722360065	-0.9654611699000585	1.2664881504347854	-0.762313622570109	0.4458728453702895	0.9985792977055501
[Eubacterium] minutum	[Eubacterium] minutum	53.06989596806256	-0.3171584855204922	1.282672982133503	-0.2472637140863093	0.8047041389710734	0.9985792977055501
[Eubacterium] sulci	[Eubacterium] sulci	54.92471672146869	-0.7216948043360419	1.292391836338823	-0.5584179534749376	0.5765590160108522	0.9985792977055501
[Haemophilus] ducreyi	[Haemophilus] ducreyi	1.7406688601342155	-0.3876728718723408	0.9150280985908863	-0.42367318825437655	0.6718041714018691	0.9985792977055501
[Mannheimia] succiniciproducens	[Mannheimia] succiniciproducens	1.262843777823757	0.04735340841983528	0.8688298869462511	0.05450250863983542	0.9565348099568357	NA
[Mycobacterium] stephanolepidis	[Mycobacterium] stephanolepidis	1.4858284310675458	-0.009898074751019443	0.9150647940816383	-0.010816802061490279	0.9913696089354429	NA
[Pasteurella] aerogenes	[Pasteurella] aerogenes	1.9443349213568293	-0.051700338052288325	1.0008755684976118	-0.05165511046482466	0.9588035061148416	0.9985792977055501
[Polyangium] brachysporum	[Polyangium] brachysporum	4.00451639533602	-1.991930528424131	1.1069220847238928	-1.7995218958170773	0.0719361635182282	0.9985792977055501
[Pseudomonas] mesoacidophila	[Pseudomonas] mesoacidophila	1.4784736762914301	0.04731120525674142	0.8978861753667936	0.05269176266959943	0.9579775023470609	NA
[Ruminococcus] gnavus	[Ruminococcus] gnavus	5584.353149498733	-0.2179921073477781	1.4095035512695742	-0.1546587854648733	0.8770903233869445	0.9985792977055501
Acaryochloris marina	Acaryochloris marina	1.8924680154545264	-0.46154086908138564	1.0120988170067797	-0.4560235239147542	0.6483730623352639	0.9985792977055501
Acetoanaerobium sticklandii	Acetoanaerobium sticklandii	8.743318032239788	-0.22921362389065392	1.0987731315549194	-0.20860869028193674	0.8347537259691256	0.9985792977055501
Acetobacter aceti	Acetobacter aceti	1.796798241236941	0.003954213372352332	0.9577408542496164	0.004128688209140282	0.9967057927804399	0.9985792977055501
Acetobacter ascendens	Acetobacter ascendens	1.4099375693922318	0.06194657853260095	0.8936565329234245	0.06931810628626493	0.9447364136706334	NA
Acetobacter ghanensis	Acetobacter ghanensis	2.0311434384571974	-0.0903651301268561	0.972125827570557	-0.09295620748261355	0.9259383518902441	0.9985792977055501
Acetobacter orientalis	Acetobacter orientalis	1.8293997466398761	0.03277911574440695	0.9358404457601857	0.03502639354060017	0.9720586947803441	0.9985792977055501
Acetobacter oryzifermentans	Acetobacter oryzifermentans	1.199361877897412	0.06200266434770062	0.8686656564361437	0.071376903056208807	0.9430977914066935	NA
Acetobacter oryzoeni	Acetobacter oryzoeni	1.4446688734618771	0.061846030224817626	0.944797155792753	0.06545958552650843	0.9478080833667903	NA
Acetobacter pasteurianus	Acetobacter pasteurianus	2.1851325324695225	-0.9721575099169044	0.9475414849713518	-1.0259788361100588	0.3049015600229331	0.9985792977055501
Acetobacter persici	Acetobacter persici	2.030344088530754	-0.5988907680264233	0.929748464653189	-0.6441427878558735	0.5194828464445955	0.9985792977055501
Acetobacter pomorum	Acetobacter pomorum	1.1863761243745172	0.062005593389353866	0.8674242443306309	0.07148243064983963	0.9430138070948224	NA
