Species	sample	counts
Bradymonadales_bacterium_V1718	CM317	0
Bradymonadales_bacterium_V1718	CMCD140	0
Bradymonadales_bacterium_V1718	CMCD147	2
Bradymonadales_bacterium_V1718	CMCD152	0
Bradymonadales_bacterium_V1718	CMCD154	1
Bradymonadales_bacterium_V1718	CMCD159	1
Bradymonadales_bacterium_V1718	CMCD161	0
Bradymonadales_bacterium_V1718	CMCD174	15
Bradymonadales_bacterium_V1718	CMCD196	0
Bradymonadales_bacterium_V1718	CMCD198	0
Bradymonadales_bacterium_V1718	CMCD203	2
Bradymonadales_bacterium_V1718	CMCD211	1
Bradymonadales_bacterium_V1718	CMCD227	2
Bradymonadales_bacterium_V1718	CMCD240	1
Bradymonadales_bacterium_V1718	CMCD259	0
Bradymonadales_bacterium_V1718	CMCD270	1
Bradymonadales_bacterium_V1718	CMCD275	5
Bradymonadales_bacterium_V1718	CMCD282	0
Bradymonadales_bacterium_V1718	CMCD286	3
Bradymonadales_bacterium_V1718	CMCD287	2
Bradymonadales_bacterium_V1718	CMCD294	3
Bradymonadales_bacterium_V1718	CMCD327	0
Bradymonadales_bacterium_V1718	CMCD335	4
Bradymonadales_bacterium_V1718	CMCD337	1
Bradymonadales_bacterium_V1718	CMCD357	0
Bradymonadales_bacterium_V1718	CMCD398	0
Bradymonadales_bacterium_V1718	CMCD403	2
Bradymonadales_bacterium_V1718	CMCD422	5
Bradymonadales_bacterium_V1718	CMCD426	0
Bradymonadales_bacterium_V1718	CMCD71	0
Bradymonadales_bacterium_V1718	CMCD72	2
Bradymonadales_bacterium_V1718	CMCD76	0
Bradymonadales_bacterium_V1718	CMCD88	0
Bradymonadales_bacterium_V1718	CMSA256	1
Bradymonadales_bacterium_V1718	CMSA316	0
Bradymonadales_bacterium_V1718	CMUC110	1
Bradymonadales_bacterium_V1718	CMUC192	0
Bradymonadales_bacterium_V1718	CMUC199	4
Bradymonadales_bacterium_V1718	CMUC200	2
Bradymonadales_bacterium_V1718	CMUC208	0
Bradymonadales_bacterium_V1718	CMUC231	4
Bradymonadales_bacterium_V1718	CMUC234	1
Bradymonadales_bacterium_V1718	CMUC285	0
Bradymonadales_bacterium_V1718	CMUC291	0
Bradymonadales_bacterium_V1718	CMUC295	1
Bradymonadales_bacterium_V1718	CMUC299	0
Bradymonadales_bacterium_V1718	CMUC301	0
Bradymonadales_bacterium_V1718	CMUC307	0
Bradymonadales_bacterium_V1718	CMUC313	6
Bradymonadales_bacterium_V1718	CMUC314	1
Bradymonadales_bacterium_V1718	CMUC323	7
Bradymonadales_bacterium_V1718	CMUC324	2
Bradymonadales_bacterium_V1718	CMUC331	0
Bradymonadales_bacterium_V1718	CMUC333	1
Bradymonadales_bacterium_V1718	CMUC334	1
Bradymonadales_bacterium_V1718	CMUC346	0
Bradymonadales_bacterium_V1718	CMUC352	1
Bradymonadales_bacterium_V1718	CMUC360	0
Bradymonadales_bacterium_V1718	CMUC363	1
Bradymonadales_bacterium_V1718	CMUC365	0
Bradymonadales_bacterium_V1718	CMUC366	3
Bradymonadales_bacterium_V1718	CMUC368	2
Bradymonadales_bacterium_V1718	CMUC377	1
Bradymonadales_bacterium_V1718	CMUC379	109
Bradymonadales_bacterium_V1718	CMUC380	0
Bradymonadales_bacterium_V1718	CMUC383	2
Bradymonadales_bacterium_V1718	CMUC394	1
Bradymonadales_bacterium_V1718	CMUC419	2
Bradymonadales_bacterium_V1718	CMUC427	0
Bradymonadales_bacterium_V1718	CMUC428	1
Bradymonadales_bacterium_V1718	CMUC431	0
Bradymonadales_bacterium_V1718	CMUC435	0
Bradymonadales_bacterium_V1718	CMUC439	1
Bradymonadales_bacterium_V1718	CMUC89	1
Bradymonadales_bacterium_V1718	CS219	1
Bradymonadales_bacterium_V1718	CS256	2
Bradymonadales_bacterium_V1718	CS257	3
Bradymonadales_bacterium_V1718	CS259	0
Bradymonadales_bacterium_V1718	CS261	1
Bradymonadales_bacterium_V1718	CS266	1
Bradymonadales_bacterium_V1718	CS270	1
Bradymonadales_bacterium_V1718	CS277	2
Bradymonadales_bacterium_V1718	CS288	25
Bradymonadales_bacterium_V1718	CS290	1
Bradymonadales_bacterium_V1718	CS292	4
Bradymonadales_bacterium_V1718	CS293	2
Bradymonadales_bacterium_V1718	CS301	1
Bradymonadales_bacterium_V1718	CS306	24
Bradymonadales_bacterium_V1718	CS308	0
Bradymonadales_bacterium_V1718	CS315	5
Bradymonadales_bacterium_V1718	CS317	0
Bradymonadales_bacterium_V1718	CS322	0
Bradymonadales_bacterium_V1718	CS327	2
Bradymonadales_bacterium_V1718	CS328	2
Bradymonadales_bacterium_V1718	CS330	4
Bradymonadales_bacterium_V1718	CS331	1
Bradymonadales_bacterium_V1718	CS335	4
Bradymonadales_bacterium_V1718	CS338	0
Bradymonadales_bacterium_V1718	CS339	0
Bradymonadales_bacterium_V1718	CS343	1
Bradymonadales_bacterium_V1718	CS344	0
Bradymonadales_bacterium_V1718	CS350	7
Bradymonadales_bacterium_V1718	CS351	1
Bradymonadales_bacterium_V1718	CS361	2
Bradymonadales_bacterium_V1718	CS388	0
Bradymonadales_bacterium_V1718	CS396	0
Bradymonadales_bacterium_V1718	CS405	0
Bradymonadales_bacterium_V1718	CS415	0
Bradymonadales_bacterium_V1718	CS424	0
Bradymonadales_bacterium_V1718	IM293	0
Bradymonadales_bacterium_V1718	IM296	27
Bradymonadales_bacterium_V1718	IM297	1
Bradymonadales_bacterium_V1718	IM300	1
Bradymonadales_bacterium_V1718	IM305	1
