Species	sample	counts
Candidatus_Erwinia_haradaeae	CM317	7
Candidatus_Erwinia_haradaeae	CMCD140	16
Candidatus_Erwinia_haradaeae	CMCD147	95
Candidatus_Erwinia_haradaeae	CMCD152	0
Candidatus_Erwinia_haradaeae	CMCD154	4
Candidatus_Erwinia_haradaeae	CMCD159	70
Candidatus_Erwinia_haradaeae	CMCD161	0
Candidatus_Erwinia_haradaeae	CMCD174	115
Candidatus_Erwinia_haradaeae	CMCD196	0
Candidatus_Erwinia_haradaeae	CMCD198	18
Candidatus_Erwinia_haradaeae	CMCD203	12
Candidatus_Erwinia_haradaeae	CMCD211	0
Candidatus_Erwinia_haradaeae	CMCD227	0
Candidatus_Erwinia_haradaeae	CMCD240	0
Candidatus_Erwinia_haradaeae	CMCD259	2
Candidatus_Erwinia_haradaeae	CMCD270	0
Candidatus_Erwinia_haradaeae	CMCD275	13
Candidatus_Erwinia_haradaeae	CMCD282	2
Candidatus_Erwinia_haradaeae	CMCD286	0
Candidatus_Erwinia_haradaeae	CMCD287	0
Candidatus_Erwinia_haradaeae	CMCD294	14
Candidatus_Erwinia_haradaeae	CMCD327	11
Candidatus_Erwinia_haradaeae	CMCD335	2
Candidatus_Erwinia_haradaeae	CMCD337	12
Candidatus_Erwinia_haradaeae	CMCD357	3
Candidatus_Erwinia_haradaeae	CMCD398	5
Candidatus_Erwinia_haradaeae	CMCD403	5
Candidatus_Erwinia_haradaeae	CMCD422	0
Candidatus_Erwinia_haradaeae	CMCD426	2
Candidatus_Erwinia_haradaeae	CMCD71	1
Candidatus_Erwinia_haradaeae	CMCD72	21
Candidatus_Erwinia_haradaeae	CMCD76	0
Candidatus_Erwinia_haradaeae	CMCD88	0
Candidatus_Erwinia_haradaeae	CMSA256	0
Candidatus_Erwinia_haradaeae	CMSA316	10
Candidatus_Erwinia_haradaeae	CMUC110	1
Candidatus_Erwinia_haradaeae	CMUC192	0
Candidatus_Erwinia_haradaeae	CMUC199	5
Candidatus_Erwinia_haradaeae	CMUC200	0
Candidatus_Erwinia_haradaeae	CMUC208	6
Candidatus_Erwinia_haradaeae	CMUC231	0
Candidatus_Erwinia_haradaeae	CMUC234	0
Candidatus_Erwinia_haradaeae	CMUC285	0
Candidatus_Erwinia_haradaeae	CMUC291	1
Candidatus_Erwinia_haradaeae	CMUC295	0
Candidatus_Erwinia_haradaeae	CMUC299	0
Candidatus_Erwinia_haradaeae	CMUC301	0
Candidatus_Erwinia_haradaeae	CMUC307	0
Candidatus_Erwinia_haradaeae	CMUC313	24
Candidatus_Erwinia_haradaeae	CMUC314	15
Candidatus_Erwinia_haradaeae	CMUC323	8
Candidatus_Erwinia_haradaeae	CMUC324	1
Candidatus_Erwinia_haradaeae	CMUC331	1
Candidatus_Erwinia_haradaeae	CMUC333	7
Candidatus_Erwinia_haradaeae	CMUC334	2
Candidatus_Erwinia_haradaeae	CMUC346	12
Candidatus_Erwinia_haradaeae	CMUC352	13
Candidatus_Erwinia_haradaeae	CMUC360	12
Candidatus_Erwinia_haradaeae	CMUC363	24
Candidatus_Erwinia_haradaeae	CMUC365	13
Candidatus_Erwinia_haradaeae	CMUC366	1
Candidatus_Erwinia_haradaeae	CMUC368	4
Candidatus_Erwinia_haradaeae	CMUC377	4
Candidatus_Erwinia_haradaeae	CMUC379	24
Candidatus_Erwinia_haradaeae	CMUC380	4
Candidatus_Erwinia_haradaeae	CMUC383	29
Candidatus_Erwinia_haradaeae	CMUC394	34
Candidatus_Erwinia_haradaeae	CMUC419	30
Candidatus_Erwinia_haradaeae	CMUC427	0
Candidatus_Erwinia_haradaeae	CMUC428	1
Candidatus_Erwinia_haradaeae	CMUC431	1
Candidatus_Erwinia_haradaeae	CMUC435	6
Candidatus_Erwinia_haradaeae	CMUC439	1
Candidatus_Erwinia_haradaeae	CMUC89	0
Candidatus_Erwinia_haradaeae	CS219	0
Candidatus_Erwinia_haradaeae	CS256	0
Candidatus_Erwinia_haradaeae	CS257	13
Candidatus_Erwinia_haradaeae	CS259	3
Candidatus_Erwinia_haradaeae	CS261	10
Candidatus_Erwinia_haradaeae	CS266	91
Candidatus_Erwinia_haradaeae	CS270	6
Candidatus_Erwinia_haradaeae	CS277	13
Candidatus_Erwinia_haradaeae	CS288	19
Candidatus_Erwinia_haradaeae	CS290	2
Candidatus_Erwinia_haradaeae	CS292	4
Candidatus_Erwinia_haradaeae	CS293	7
Candidatus_Erwinia_haradaeae	CS301	11
Candidatus_Erwinia_haradaeae	CS306	12
Candidatus_Erwinia_haradaeae	CS308	5
Candidatus_Erwinia_haradaeae	CS315	13
Candidatus_Erwinia_haradaeae	CS317	65
Candidatus_Erwinia_haradaeae	CS322	7
Candidatus_Erwinia_haradaeae	CS327	9
Candidatus_Erwinia_haradaeae	CS328	24
Candidatus_Erwinia_haradaeae	CS330	135
Candidatus_Erwinia_haradaeae	CS331	26
Candidatus_Erwinia_haradaeae	CS335	23
Candidatus_Erwinia_haradaeae	CS338	9
Candidatus_Erwinia_haradaeae	CS339	0
Candidatus_Erwinia_haradaeae	CS343	4
Candidatus_Erwinia_haradaeae	CS344	1
Candidatus_Erwinia_haradaeae	CS350	81
Candidatus_Erwinia_haradaeae	CS351	9
Candidatus_Erwinia_haradaeae	CS361	2
Candidatus_Erwinia_haradaeae	CS388	8
Candidatus_Erwinia_haradaeae	CS396	2
Candidatus_Erwinia_haradaeae	CS405	1
Candidatus_Erwinia_haradaeae	CS415	24
Candidatus_Erwinia_haradaeae	CS424	28
Candidatus_Erwinia_haradaeae	IM293	3
Candidatus_Erwinia_haradaeae	IM296	62
Candidatus_Erwinia_haradaeae	IM297	1
Candidatus_Erwinia_haradaeae	IM300	0
Candidatus_Erwinia_haradaeae	IM305	2
Candidatus_Erwinia_haradaeae	IM309	27
Candidatus_Erwinia_haradaeae	IM310	10
Candidatus_Erwinia_haradaeae	IM311	16
Candidatus_Erwinia_haradaeae	IM316	3
Candidatus_Erwinia_haradaeae	IM320	18
Candidatus_Erwinia_haradaeae	IM330	3
Candidatus_Erwinia_haradaeae	IM332	28
Candidatus_Erwinia_haradaeae	IM340	88
Candidatus_Erwinia_haradaeae	IM348	3
Candidatus_Erwinia_haradaeae	IM354	0
Candidatus_Erwinia_haradaeae	IM356	25
Candidatus_Erwinia_haradaeae	IM364	8
Candidatus_Erwinia_haradaeae	IM372	3
Candidatus_Erwinia_haradaeae	IM374	80
Candidatus_Erwinia_haradaeae	IM376	2
Candidatus_Erwinia_haradaeae	IM381	8
Candidatus_Erwinia_haradaeae	IM382	9
Candidatus_Erwinia_haradaeae	IM385	1
Candidatus_Erwinia_haradaeae	IM390	17
Candidatus_Erwinia_haradaeae	IM397	3
Candidatus_Erwinia_haradaeae	IM404	0
Candidatus_Erwinia_haradaeae	IM409	6
Candidatus_Erwinia_haradaeae	IM412	2
Candidatus_Erwinia_haradaeae	IM421	2
Candidatus_Erwinia_haradaeae	IM425	59
Candidatus_Erwinia_haradaeae	IM432	4
Candidatus_Erwinia_haradaeae	IM438	3
Candidatus_Erwinia_haradaeae	IM442	6
Candidatus_Erwinia_haradaeae	IM445	2
Candidatus_Erwinia_haradaeae	IM448	24
Candidatus_Erwinia_haradaeae	IM449	1
Candidatus_Erwinia_haradaeae	IM451	1
Candidatus_Erwinia_haradaeae	IMSA256	0
Candidatus_Erwinia_haradaeae	IMSA276	0
Candidatus_Erwinia_haradaeae	IMSA286	0
Candidatus_Erwinia_haradaeae	IMSA343	4
Candidatus_Erwinia_haradaeae	IS_238	0
Candidatus_Erwinia_haradaeae	IS238	2
Candidatus_Erwinia_haradaeae	IS243	1
Candidatus_Erwinia_haradaeae	IS253	0
Candidatus_Erwinia_haradaeae	IS283	3
Candidatus_Erwinia_haradaeae	IS322	6
Candidatus_Erwinia_haradaeae	IS399	0
Candidatus_Erwinia_haradaeae	IS418	5
Candidatus_Erwinia_haradaeae	IS430	1
Candidatus_Erwinia_haradaeae	IS437	6
Candidatus_Erwinia_haradaeae	IS444	0
Candidatus_Erwinia_haradaeae	R276CMSA	4
Candidatus_Erwinia_haradaeae	R286CMSA	1
Candidatus_Erwinia_haradaeae	R292CMSA	0
Candidatus_Erwinia_haradaeae	R292IMSA	39
Candidatus_Erwinia_haradaeae	R308CMSA	2
Candidatus_Erwinia_haradaeae	R316IMSA	5
Candidatus_Erwinia_haradaeae	R347CMSA	7
Candidatus_Erwinia_haradaeae	R347IMSA	7
Candidatus_Erwinia_haradaeae	R371CMSA	3
Candidatus_Erwinia_haradaeae	SRR10104064	NA
Candidatus_Erwinia_haradaeae	SRR10104065	NA
Candidatus_Erwinia_haradaeae	SRR10104066	NA
Candidatus_Erwinia_haradaeae	SRR10104067	NA
Candidatus_Erwinia_haradaeae	SRR10104068	NA
Candidatus_Erwinia_haradaeae	SRR10104069	NA
Candidatus_Erwinia_haradaeae	SRR10104070	NA
Candidatus_Erwinia_haradaeae	SRR10104071	NA
Candidatus_Erwinia_haradaeae	SRR10104072	NA
Candidatus_Erwinia_haradaeae	SRR10104073	NA
Candidatus_Erwinia_haradaeae	SRR10104074	NA
Candidatus_Erwinia_haradaeae	SRR10104075	NA
Candidatus_Erwinia_haradaeae	SRR10104076	NA
Candidatus_Erwinia_haradaeae	SRR10104077	NA
Candidatus_Erwinia_haradaeae	SRR10104078	NA
Candidatus_Erwinia_haradaeae	SRR10104079	NA
Candidatus_Erwinia_haradaeae	SRR10104080	NA
Candidatus_Erwinia_haradaeae	SRR10104081	NA
