Species	sample	counts
Corynebacterium_choanis	CM317	0
Corynebacterium_choanis	CMCD140	6
Corynebacterium_choanis	CMCD147	22
Corynebacterium_choanis	CMCD152	3
Corynebacterium_choanis	CMCD154	0
Corynebacterium_choanis	CMCD159	6
Corynebacterium_choanis	CMCD161	0
Corynebacterium_choanis	CMCD174	61
Corynebacterium_choanis	CMCD196	0
Corynebacterium_choanis	CMCD198	6
Corynebacterium_choanis	CMCD203	0
Corynebacterium_choanis	CMCD211	0
Corynebacterium_choanis	CMCD227	0
Corynebacterium_choanis	CMCD240	0
Corynebacterium_choanis	CMCD259	0
Corynebacterium_choanis	CMCD270	0
Corynebacterium_choanis	CMCD275	4
Corynebacterium_choanis	CMCD282	1
Corynebacterium_choanis	CMCD286	0
Corynebacterium_choanis	CMCD287	0
Corynebacterium_choanis	CMCD294	6
Corynebacterium_choanis	CMCD327	0
Corynebacterium_choanis	CMCD335	4
Corynebacterium_choanis	CMCD337	3
Corynebacterium_choanis	CMCD357	0
Corynebacterium_choanis	CMCD398	1
Corynebacterium_choanis	CMCD403	10
Corynebacterium_choanis	CMCD422	0
Corynebacterium_choanis	CMCD426	1
Corynebacterium_choanis	CMCD71	1
Corynebacterium_choanis	CMCD72	23
Corynebacterium_choanis	CMCD76	0
Corynebacterium_choanis	CMCD88	0
Corynebacterium_choanis	CMSA256	0
Corynebacterium_choanis	CMSA316	2
Corynebacterium_choanis	CMUC110	0
Corynebacterium_choanis	CMUC192	2
Corynebacterium_choanis	CMUC199	1
Corynebacterium_choanis	CMUC200	0
Corynebacterium_choanis	CMUC208	3
Corynebacterium_choanis	CMUC231	0
Corynebacterium_choanis	CMUC234	2
Corynebacterium_choanis	CMUC285	0
Corynebacterium_choanis	CMUC291	0
Corynebacterium_choanis	CMUC295	1
Corynebacterium_choanis	CMUC299	0
Corynebacterium_choanis	CMUC301	0
Corynebacterium_choanis	CMUC307	0
Corynebacterium_choanis	CMUC313	2
Corynebacterium_choanis	CMUC314	2
Corynebacterium_choanis	CMUC323	3
Corynebacterium_choanis	CMUC324	0
Corynebacterium_choanis	CMUC331	1
Corynebacterium_choanis	CMUC333	0
Corynebacterium_choanis	CMUC334	0
Corynebacterium_choanis	CMUC346	5
Corynebacterium_choanis	CMUC352	0
Corynebacterium_choanis	CMUC360	0
Corynebacterium_choanis	CMUC363	3
Corynebacterium_choanis	CMUC365	0
Corynebacterium_choanis	CMUC366	0
Corynebacterium_choanis	CMUC368	0
Corynebacterium_choanis	CMUC377	1
Corynebacterium_choanis	CMUC379	2
Corynebacterium_choanis	CMUC380	0
Corynebacterium_choanis	CMUC383	4
Corynebacterium_choanis	CMUC394	0
Corynebacterium_choanis	CMUC419	9
Corynebacterium_choanis	CMUC427	0
Corynebacterium_choanis	CMUC428	1
Corynebacterium_choanis	CMUC431	0
Corynebacterium_choanis	CMUC435	3
Corynebacterium_choanis	CMUC439	3
Corynebacterium_choanis	CMUC89	0
Corynebacterium_choanis	CS219	0
Corynebacterium_choanis	CS256	0
Corynebacterium_choanis	CS257	20
Corynebacterium_choanis	CS259	0
Corynebacterium_choanis	CS261	1
Corynebacterium_choanis	CS266	0
