Species	sample	counts
Corynebacterium_provencense	CM317	0
Corynebacterium_provencense	CMCD140	4
Corynebacterium_provencense	CMCD147	11
Corynebacterium_provencense	CMCD152	0
Corynebacterium_provencense	CMCD154	5
Corynebacterium_provencense	CMCD159	15
Corynebacterium_provencense	CMCD161	2
Corynebacterium_provencense	CMCD174	0
Corynebacterium_provencense	CMCD196	4
Corynebacterium_provencense	CMCD198	1
Corynebacterium_provencense	CMCD203	6
Corynebacterium_provencense	CMCD211	0
Corynebacterium_provencense	CMCD227	0
Corynebacterium_provencense	CMCD240	0
Corynebacterium_provencense	CMCD259	0
Corynebacterium_provencense	CMCD270	0
Corynebacterium_provencense	CMCD275	5
Corynebacterium_provencense	CMCD282	5
Corynebacterium_provencense	CMCD286	0
Corynebacterium_provencense	CMCD287	0
Corynebacterium_provencense	CMCD294	0
Corynebacterium_provencense	CMCD327	2
Corynebacterium_provencense	CMCD335	3
Corynebacterium_provencense	CMCD337	3
Corynebacterium_provencense	CMCD357	1
Corynebacterium_provencense	CMCD398	0
Corynebacterium_provencense	CMCD403	17
Corynebacterium_provencense	CMCD422	0
Corynebacterium_provencense	CMCD426	0
Corynebacterium_provencense	CMCD71	1
Corynebacterium_provencense	CMCD72	41
Corynebacterium_provencense	CMCD76	0
Corynebacterium_provencense	CMCD88	0
Corynebacterium_provencense	CMSA256	0
Corynebacterium_provencense	CMSA316	0
Corynebacterium_provencense	CMUC110	0
Corynebacterium_provencense	CMUC192	0
Corynebacterium_provencense	CMUC199	0
Corynebacterium_provencense	CMUC200	0
Corynebacterium_provencense	CMUC208	0
Corynebacterium_provencense	CMUC231	0
Corynebacterium_provencense	CMUC234	0
Corynebacterium_provencense	CMUC285	0
Corynebacterium_provencense	CMUC291	0
Corynebacterium_provencense	CMUC295	0
Corynebacterium_provencense	CMUC299	0
Corynebacterium_provencense	CMUC301	0
Corynebacterium_provencense	CMUC307	0
Corynebacterium_provencense	CMUC313	5
Corynebacterium_provencense	CMUC314	3
Corynebacterium_provencense	CMUC323	1
Corynebacterium_provencense	CMUC324	2
Corynebacterium_provencense	CMUC331	0
Corynebacterium_provencense	CMUC333	0
Corynebacterium_provencense	CMUC334	0
Corynebacterium_provencense	CMUC346	0
Corynebacterium_provencense	CMUC352	0
Corynebacterium_provencense	CMUC360	7
Corynebacterium_provencense	CMUC363	1
Corynebacterium_provencense	CMUC365	3
Corynebacterium_provencense	CMUC366	0
Corynebacterium_provencense	CMUC368	0
Corynebacterium_provencense	CMUC377	2
Corynebacterium_provencense	CMUC379	1
Corynebacterium_provencense	CMUC380	4
Corynebacterium_provencense	CMUC383	1
Corynebacterium_provencense	CMUC394	0
Corynebacterium_provencense	CMUC419	1
Corynebacterium_provencense	CMUC427	0
Corynebacterium_provencense	CMUC428	2
Corynebacterium_provencense	CMUC431	0
Corynebacterium_provencense	CMUC435	1
Corynebacterium_provencense	CMUC439	0
Corynebacterium_provencense	CMUC89	2
Corynebacterium_provencense	CS219	0
Corynebacterium_provencense	CS256	0
Corynebacterium_provencense	CS257	0
Corynebacterium_provencense	CS259	0
Corynebacterium_provencense	CS261	1
Corynebacterium_provencense	CS266	82
Corynebacterium_provencense	CS270	0
Corynebacterium_provencense	CS277	8
Corynebacterium_provencense	CS288	2
Corynebacterium_provencense	CS290	0
Corynebacterium_provencense	CS292	3
Corynebacterium_provencense	CS293	8
Corynebacterium_provencense	CS301	3
Corynebacterium_provencense	CS306	0
Corynebacterium_provencense	CS308	0
Corynebacterium_provencense	CS315	0
Corynebacterium_provencense	CS317	11
Corynebacterium_provencense	CS322	2
Corynebacterium_provencense	CS327	0
Corynebacterium_provencense	CS328	20
Corynebacterium_provencense	CS330	3
Corynebacterium_provencense	CS331	5
Corynebacterium_provencense	CS335	2
Corynebacterium_provencense	CS338	1
Corynebacterium_provencense	CS339	0
Corynebacterium_provencense	CS343	0
Corynebacterium_provencense	CS344	0
Corynebacterium_provencense	CS350	1
Corynebacterium_provencense	CS351	3
Corynebacterium_provencense	CS361	3
Corynebacterium_provencense	CS388	0
Corynebacterium_provencense	CS396	1
Corynebacterium_provencense	CS405	0
Corynebacterium_provencense	CS415	7
Corynebacterium_provencense	CS424	7
Corynebacterium_provencense	IM293	0
Corynebacterium_provencense	IM296	34
Corynebacterium_provencense	IM297	4
Corynebacterium_provencense	IM300	0
Corynebacterium_provencense	IM305	0
Corynebacterium_provencense	IM309	11
Corynebacterium_provencense	IM310	1
Corynebacterium_provencense	IM311	10
Corynebacterium_provencense	IM316	0
Corynebacterium_provencense	IM320	7
Corynebacterium_provencense	IM330	1
Corynebacterium_provencense	IM332	2
Corynebacterium_provencense	IM340	23
Corynebacterium_provencense	IM348	1
Corynebacterium_provencense	IM354	0
Corynebacterium_provencense	IM356	1
Corynebacterium_provencense	IM364	0
Corynebacterium_provencense	IM372	2
Corynebacterium_provencense	IM374	4
Corynebacterium_provencense	IM376	4
Corynebacterium_provencense	IM381	0
Corynebacterium_provencense	IM382	2
Corynebacterium_provencense	IM385	0
Corynebacterium_provencense	IM390	3
Corynebacterium_provencense	IM397	2
Corynebacterium_provencense	IM404	0
Corynebacterium_provencense	IM409	0
Corynebacterium_provencense	IM412	7
Corynebacterium_provencense	IM421	1
Corynebacterium_provencense	IM425	16
Corynebacterium_provencense	IM432	2
Corynebacterium_provencense	IM438	0
Corynebacterium_provencense	IM442	1
Corynebacterium_provencense	IM445	6
Corynebacterium_provencense	IM448	1
Corynebacterium_provencense	IM449	0
Corynebacterium_provencense	IM451	0
Corynebacterium_provencense	IMSA256	0
Corynebacterium_provencense	IMSA276	0
Corynebacterium_provencense	IMSA286	0
Corynebacterium_provencense	IMSA343	5
Corynebacterium_provencense	IS_238	2
Corynebacterium_provencense	IS238	0
Corynebacterium_provencense	IS243	0
Corynebacterium_provencense	IS253	0
Corynebacterium_provencense	IS283	0
Corynebacterium_provencense	IS322	5
Corynebacterium_provencense	IS399	0
Corynebacterium_provencense	IS418	3
Corynebacterium_provencense	IS430	1
Corynebacterium_provencense	IS437	0
Corynebacterium_provencense	IS444	0
Corynebacterium_provencense	R276CMSA	9
Corynebacterium_provencense	R286CMSA	0
Corynebacterium_provencense	R292CMSA	0
Corynebacterium_provencense	R292IMSA	3
Corynebacterium_provencense	R308CMSA	0
Corynebacterium_provencense	R316IMSA	0
Corynebacterium_provencense	R347CMSA	0
Corynebacterium_provencense	R347IMSA	0
Corynebacterium_provencense	R371CMSA	0
Corynebacterium_provencense	SRR10104064	NA
Corynebacterium_provencense	SRR10104065	NA
Corynebacterium_provencense	SRR10104066	NA
Corynebacterium_provencense	SRR10104067	NA
Corynebacterium_provencense	SRR10104068	NA
Corynebacterium_provencense	SRR10104069	NA
Corynebacterium_provencense	SRR10104070	NA
Corynebacterium_provencense	SRR10104071	NA
Corynebacterium_provencense	SRR10104072	NA
Corynebacterium_provencense	SRR10104073	NA
