Species	sample	counts
Delftia_acidovorans	CM317	2791
Delftia_acidovorans	CMCD140	1965
Delftia_acidovorans	CMCD147	8774
Delftia_acidovorans	CMCD152	10
Delftia_acidovorans	CMCD154	828
Delftia_acidovorans	CMCD159	10318
Delftia_acidovorans	CMCD161	146
Delftia_acidovorans	CMCD174	15824
Delftia_acidovorans	CMCD196	172
Delftia_acidovorans	CMCD198	1321
Delftia_acidovorans	CMCD203	955
Delftia_acidovorans	CMCD211	43
Delftia_acidovorans	CMCD227	18
Delftia_acidovorans	CMCD240	27
Delftia_acidovorans	CMCD259	31
Delftia_acidovorans	CMCD270	40
Delftia_acidovorans	CMCD275	1739
Delftia_acidovorans	CMCD282	398
Delftia_acidovorans	CMCD286	14
Delftia_acidovorans	CMCD287	13
Delftia_acidovorans	CMCD294	1747
Delftia_acidovorans	CMCD327	323
Delftia_acidovorans	CMCD335	810
Delftia_acidovorans	CMCD337	257
Delftia_acidovorans	CMCD357	447
Delftia_acidovorans	CMCD398	185
Delftia_acidovorans	CMCD403	996
Delftia_acidovorans	CMCD422	284
Delftia_acidovorans	CMCD426	321
Delftia_acidovorans	CMCD71	239
Delftia_acidovorans	CMCD72	1955
Delftia_acidovorans	CMCD76	121
Delftia_acidovorans	CMCD88	28
Delftia_acidovorans	CMSA256	30
Delftia_acidovorans	CMSA316	2759
Delftia_acidovorans	CMUC110	26
Delftia_acidovorans	CMUC192	67
Delftia_acidovorans	CMUC199	450
Delftia_acidovorans	CMUC200	33
Delftia_acidovorans	CMUC208	322
Delftia_acidovorans	CMUC231	20
Delftia_acidovorans	CMUC234	17
Delftia_acidovorans	CMUC285	53
Delftia_acidovorans	CMUC291	60
Delftia_acidovorans	CMUC295	130
Delftia_acidovorans	CMUC299	12
Delftia_acidovorans	CMUC301	27
Delftia_acidovorans	CMUC307	89
Delftia_acidovorans	CMUC313	3618
Delftia_acidovorans	CMUC314	1742
Delftia_acidovorans	CMUC323	872
Delftia_acidovorans	CMUC324	269
Delftia_acidovorans	CMUC331	505
Delftia_acidovorans	CMUC333	650
Delftia_acidovorans	CMUC334	443
Delftia_acidovorans	CMUC346	2453
Delftia_acidovorans	CMUC352	894
Delftia_acidovorans	CMUC360	1383
Delftia_acidovorans	CMUC363	2963
Delftia_acidovorans	CMUC365	1223
Delftia_acidovorans	CMUC366	425
Delftia_acidovorans	CMUC368	337
Delftia_acidovorans	CMUC377	635
Delftia_acidovorans	CMUC379	3416
Delftia_acidovorans	CMUC380	549
Delftia_acidovorans	CMUC383	2157
Delftia_acidovorans	CMUC394	2523
Delftia_acidovorans	CMUC419	1848
Delftia_acidovorans	CMUC427	117
Delftia_acidovorans	CMUC428	172
Delftia_acidovorans	CMUC431	166
Delftia_acidovorans	CMUC435	356
Delftia_acidovorans	CMUC439	327
Delftia_acidovorans	CMUC89	12
Delftia_acidovorans	CS219	124
Delftia_acidovorans	CS256	26
Delftia_acidovorans	CS257	4011
Delftia_acidovorans	CS259	63
Delftia_acidovorans	CS261	942
Delftia_acidovorans	CS266	7026
Delftia_acidovorans	CS270	1093
Delftia_acidovorans	CS277	2727
Delftia_acidovorans	CS288	2207
Delftia_acidovorans	CS290	98
Delftia_acidovorans	CS292	361
Delftia_acidovorans	CS293	1209
Delftia_acidovorans	CS301	1463
Delftia_acidovorans	CS306	1770
Delftia_acidovorans	CS308	328
Delftia_acidovorans	CS315	1545
Delftia_acidovorans	CS317	14424
Delftia_acidovorans	CS322	528
Delftia_acidovorans	CS327	602
Delftia_acidovorans	CS328	5563
Delftia_acidovorans	CS330	14396
Delftia_acidovorans	CS331	4206
Delftia_acidovorans	CS335	2353
Delftia_acidovorans	CS338	685
Delftia_acidovorans	CS339	200
Delftia_acidovorans	CS343	334
Delftia_acidovorans	CS344	353
Delftia_acidovorans	CS350	5676
Delftia_acidovorans	CS351	736
Delftia_acidovorans	CS361	155
Delftia_acidovorans	CS388	767
Delftia_acidovorans	CS396	207
Delftia_acidovorans	CS405	345
Delftia_acidovorans	CS415	4979
Delftia_acidovorans	CS424	2566
Delftia_acidovorans	IM293	89
Delftia_acidovorans	IM296	6788
Delftia_acidovorans	IM297	1313
Delftia_acidovorans	IM300	27
Delftia_acidovorans	IM305	374
Delftia_acidovorans	IM309	3362
Delftia_acidovorans	IM310	771
Delftia_acidovorans	IM311	1919
Delftia_acidovorans	IM316	1521
Delftia_acidovorans	IM320	1702
Delftia_acidovorans	IM330	660
Delftia_acidovorans	IM332	2446
Delftia_acidovorans	IM340	9504
Delftia_acidovorans	IM348	260
Delftia_acidovorans	IM354	85
Delftia_acidovorans	IM356	1557
Delftia_acidovorans	IM364	1055
Delftia_acidovorans	IM372	1735
Delftia_acidovorans	IM374	9580
Delftia_acidovorans	IM376	1075
Delftia_acidovorans	IM381	1331
Delftia_acidovorans	IM382	2336
Delftia_acidovorans	IM385	22
Delftia_acidovorans	IM390	3753
Delftia_acidovorans	IM397	664
Delftia_acidovorans	IM404	235
Delftia_acidovorans	IM409	373
Delftia_acidovorans	IM412	421
Delftia_acidovorans	IM421	698
Delftia_acidovorans	IM425	6247
Delftia_acidovorans	IM432	1173
Delftia_acidovorans	IM438	95
Delftia_acidovorans	IM442	432
Delftia_acidovorans	IM445	236
Delftia_acidovorans	IM448	3702
Delftia_acidovorans	IM449	398
Delftia_acidovorans	IM451	363
Delftia_acidovorans	IMSA256	4
Delftia_acidovorans	IMSA276	38
Delftia_acidovorans	IMSA286	26
Delftia_acidovorans	IMSA343	3947
Delftia_acidovorans	IS_238	27
Delftia_acidovorans	IS238	468
Delftia_acidovorans	IS243	45
Delftia_acidovorans	IS253	19
Delftia_acidovorans	IS283	125
Delftia_acidovorans	IS322	790
Delftia_acidovorans	IS399	386
Delftia_acidovorans	IS418	1854
Delftia_acidovorans	IS430	244
Delftia_acidovorans	IS437	332
Delftia_acidovorans	IS444	265
Delftia_acidovorans	R276CMSA	1175
Delftia_acidovorans	R286CMSA	21
Delftia_acidovorans	R292CMSA	169
Delftia_acidovorans	R292IMSA	12856
Delftia_acidovorans	R308CMSA	932
Delftia_acidovorans	R316IMSA	843
Delftia_acidovorans	R347CMSA	2906
Delftia_acidovorans	R347IMSA	778
Delftia_acidovorans	R371CMSA	668
Delftia_acidovorans	SRR10104064	NA
Delftia_acidovorans	SRR10104065	NA
Delftia_acidovorans	SRR10104066	NA
Delftia_acidovorans	SRR10104067	NA
Delftia_acidovorans	SRR10104068	NA
Delftia_acidovorans	SRR10104069	NA
Delftia_acidovorans	SRR10104070	NA
Delftia_acidovorans	SRR10104071	NA
Delftia_acidovorans	SRR10104072	NA
Delftia_acidovorans	SRR10104073	NA
Delftia_acidovorans	SRR10104074	NA
Delftia_acidovorans	SRR10104075	NA
Delftia_acidovorans	SRR10104076	NA
Delftia_acidovorans	SRR10104077	NA
Delftia_acidovorans	SRR10104078	NA
Delftia_acidovorans	SRR10104079	NA
Delftia_acidovorans	SRR10104080	NA
Delftia_acidovorans	SRR10104081	NA
Delftia_acidovorans	SRR10104082	NA
Delftia_acidovorans	SRR10104083	NA
Delftia_acidovorans	SRR10104084	NA
Delftia_acidovorans	SRR10104085	NA
Delftia_acidovorans	SRR10104086	NA
Delftia_acidovorans	SRR10104087	NA
Delftia_acidovorans	SRR10104088	NA
Delftia_acidovorans	SRR10104089	NA
Delftia_acidovorans	SRR10104090	NA
Delftia_acidovorans	SRR10104091	NA
Delftia_acidovorans	SRR10104092	NA
Delftia_acidovorans	SRR10104093	NA
Delftia_acidovorans	SRR10104094	NA
Delftia_acidovorans	SRR10104095	NA
Delftia_acidovorans	SRR10104096	NA
Delftia_acidovorans	SRR10104097	NA
Delftia_acidovorans	SRR10104098	NA
Delftia_acidovorans	SRR10104099	NA
Delftia_acidovorans	SRR10104100	NA
Delftia_acidovorans	SRR10104101	NA
Delftia_acidovorans	SRR10104102	NA
Delftia_acidovorans	SRR10104103	NA
Delftia_acidovorans	SRR10104104	NA
Delftia_acidovorans	SRR10104105	NA
Delftia_acidovorans	SRR10104106	NA
Delftia_acidovorans	SRR10104107	NA
Delftia_acidovorans	SRR10104108	NA
Delftia_acidovorans	SRR10104109	NA
Delftia_acidovorans	SRR10104110	NA
Delftia_acidovorans	SRR10104111	NA
Delftia_acidovorans	SRR10104112	NA
Delftia_acidovorans	SRR10104113	NA
Delftia_acidovorans	SRR10104114	NA
Delftia_acidovorans	SRR10104115	NA
Delftia_acidovorans	SRR10104116	NA
Delftia_acidovorans	SRR10104117	NA
Delftia_acidovorans	SRR10104118	NA
Delftia_acidovorans	SRR10104119	NA
Delftia_acidovorans	SRR10104120	NA
Delftia_acidovorans	SRR10104121	NA
Delftia_acidovorans	SRR10104122	NA
Delftia_acidovorans	SRR10104123	NA
Delftia_acidovorans	SRR10104124	NA
Delftia_acidovorans	SRR10104125	NA
Delftia_acidovorans	SRR10104126	NA
Delftia_acidovorans	SRR10104127	NA
Delftia_acidovorans	SRR10104128	NA
Delftia_acidovorans	SRR10104129	NA
Delftia_acidovorans	SRR10104130	NA
Delftia_acidovorans	SRR10104131	NA
Delftia_acidovorans	SRR10104132	NA
Delftia_acidovorans	SRR10104133	NA
Delftia_acidovorans	SRR10104134	NA
Delftia_acidovorans	SRR10104135	NA
Delftia_acidovorans	SRR10104136	NA
Delftia_acidovorans	SRR10104137	NA
Delftia_acidovorans	SRR10104138	NA
Delftia_acidovorans	SRR10104139	NA
Delftia_acidovorans	SRR10104140	NA
Delftia_acidovorans	SRR10104141	NA
Delftia_acidovorans	SRR10104142	NA
Delftia_acidovorans	SRR10104143	NA
Delftia_acidovorans	SRR10104144	NA
Delftia_acidovorans	SRR10104145	NA
