Species	sample	counts
Flavobacterium_faecale	CM317	2
Flavobacterium_faecale	CMCD140	5
Flavobacterium_faecale	CMCD147	16
Flavobacterium_faecale	CMCD152	0
Flavobacterium_faecale	CMCD154	1
Flavobacterium_faecale	CMCD159	0
Flavobacterium_faecale	CMCD161	0
Flavobacterium_faecale	CMCD174	20
Flavobacterium_faecale	CMCD196	1
Flavobacterium_faecale	CMCD198	0
Flavobacterium_faecale	CMCD203	3
Flavobacterium_faecale	CMCD211	0
Flavobacterium_faecale	CMCD227	0
Flavobacterium_faecale	CMCD240	0
Flavobacterium_faecale	CMCD259	0
Flavobacterium_faecale	CMCD270	0
Flavobacterium_faecale	CMCD275	2
Flavobacterium_faecale	CMCD282	0
Flavobacterium_faecale	CMCD286	0
Flavobacterium_faecale	CMCD287	0
Flavobacterium_faecale	CMCD294	1
Flavobacterium_faecale	CMCD327	0
Flavobacterium_faecale	CMCD335	2
Flavobacterium_faecale	CMCD337	1
Flavobacterium_faecale	CMCD357	0
Flavobacterium_faecale	CMCD398	0
Flavobacterium_faecale	CMCD403	1
Flavobacterium_faecale	CMCD422	0
Flavobacterium_faecale	CMCD426	0
Flavobacterium_faecale	CMCD71	0
Flavobacterium_faecale	CMCD72	0
Flavobacterium_faecale	CMCD76	0
Flavobacterium_faecale	CMCD88	0
Flavobacterium_faecale	CMSA256	0
Flavobacterium_faecale	CMSA316	3
Flavobacterium_faecale	CMUC110	0
Flavobacterium_faecale	CMUC192	1
Flavobacterium_faecale	CMUC199	1
Flavobacterium_faecale	CMUC200	0
Flavobacterium_faecale	CMUC208	0
Flavobacterium_faecale	CMUC231	0
Flavobacterium_faecale	CMUC234	0
Flavobacterium_faecale	CMUC285	0
Flavobacterium_faecale	CMUC291	0
Flavobacterium_faecale	CMUC295	0
Flavobacterium_faecale	CMUC299	0
Flavobacterium_faecale	CMUC301	0
Flavobacterium_faecale	CMUC307	0
Flavobacterium_faecale	CMUC313	1
Flavobacterium_faecale	CMUC314	1
Flavobacterium_faecale	CMUC323	21
Flavobacterium_faecale	CMUC324	0
Flavobacterium_faecale	CMUC331	0
Flavobacterium_faecale	CMUC333	0
Flavobacterium_faecale	CMUC334	0
Flavobacterium_faecale	CMUC346	4
Flavobacterium_faecale	CMUC352	2
Flavobacterium_faecale	CMUC360	0
Flavobacterium_faecale	CMUC363	3
Flavobacterium_faecale	CMUC365	1
Flavobacterium_faecale	CMUC366	0
Flavobacterium_faecale	CMUC368	0
Flavobacterium_faecale	CMUC377	0
Flavobacterium_faecale	CMUC379	74
Flavobacterium_faecale	CMUC380	0
Flavobacterium_faecale	CMUC383	4
Flavobacterium_faecale	CMUC394	1
Flavobacterium_faecale	CMUC419	2
Flavobacterium_faecale	CMUC427	0
Flavobacterium_faecale	CMUC428	0
Flavobacterium_faecale	CMUC431	0
Flavobacterium_faecale	CMUC435	0
Flavobacterium_faecale	CMUC439	0
Flavobacterium_faecale	CMUC89	0
Flavobacterium_faecale	CS219	2
Flavobacterium_faecale	CS256	0
Flavobacterium_faecale	CS257	13
Flavobacterium_faecale	CS259	1
Flavobacterium_faecale	CS261	6
Flavobacterium_faecale	CS266	5
Flavobacterium_faecale	CS270	0
Flavobacterium_faecale	CS277	4
Flavobacterium_faecale	CS288	3
Flavobacterium_faecale	CS290	0
Flavobacterium_faecale	CS292	1
Flavobacterium_faecale	CS293	0
Flavobacterium_faecale	CS301	1
Flavobacterium_faecale	CS306	5
Flavobacterium_faecale	CS308	0
Flavobacterium_faecale	CS315	1
Flavobacterium_faecale	CS317	9
Flavobacterium_faecale	CS322	2
Flavobacterium_faecale	CS327	0
Flavobacterium_faecale	CS328	3
Flavobacterium_faecale	CS330	27
Flavobacterium_faecale	CS331	7
Flavobacterium_faecale	CS335	1
Flavobacterium_faecale	CS338	5
Flavobacterium_faecale	CS339	0
Flavobacterium_faecale	CS343	0
Flavobacterium_faecale	CS344	0
Flavobacterium_faecale	CS350	9
Flavobacterium_faecale	CS351	1
Flavobacterium_faecale	CS361	2
Flavobacterium_faecale	CS388	0
Flavobacterium_faecale	CS396	0
Flavobacterium_faecale	CS405	0
Flavobacterium_faecale	CS415	0
Flavobacterium_faecale	CS424	8
Flavobacterium_faecale	IM293	0
Flavobacterium_faecale	IM296	41
Flavobacterium_faecale	IM297	2
Flavobacterium_faecale	IM300	1
Flavobacterium_faecale	IM305	1
Flavobacterium_faecale	IM309	6
Flavobacterium_faecale	IM310	0
Flavobacterium_faecale	IM311	0
Flavobacterium_faecale	IM316	2
Flavobacterium_faecale	IM320	1
Flavobacterium_faecale	IM330	9
Flavobacterium_faecale	IM332	8
Flavobacterium_faecale	IM340	17
Flavobacterium_faecale	IM348	0
Flavobacterium_faecale	IM354	0
Flavobacterium_faecale	IM356	1
Flavobacterium_faecale	IM364	2
Flavobacterium_faecale	IM372	1
Flavobacterium_faecale	IM374	7
Flavobacterium_faecale	IM376	1
Flavobacterium_faecale	IM381	3
Flavobacterium_faecale	IM382	6
Flavobacterium_faecale	IM385	2
Flavobacterium_faecale	IM390	7
Flavobacterium_faecale	IM397	0
Flavobacterium_faecale	IM404	3
Flavobacterium_faecale	IM409	1
Flavobacterium_faecale	IM412	5
Flavobacterium_faecale	IM421	3
Flavobacterium_faecale	IM425	9
Flavobacterium_faecale	IM432	1
Flavobacterium_faecale	IM438	0
Flavobacterium_faecale	IM442	0
Flavobacterium_faecale	IM445	1
Flavobacterium_faecale	IM448	0
Flavobacterium_faecale	IM449	0
Flavobacterium_faecale	IM451	0
Flavobacterium_faecale	IMSA256	0
Flavobacterium_faecale	IMSA276	0
Flavobacterium_faecale	IMSA286	0
Flavobacterium_faecale	IMSA343	1
Flavobacterium_faecale	IS_238	0
Flavobacterium_faecale	IS238	0
Flavobacterium_faecale	IS243	0
Flavobacterium_faecale	IS253	0
Flavobacterium_faecale	IS283	0
Flavobacterium_faecale	IS322	1
Flavobacterium_faecale	IS399	0
Flavobacterium_faecale	IS418	1
Flavobacterium_faecale	IS430	1
Flavobacterium_faecale	IS437	0
Flavobacterium_faecale	IS444	1
Flavobacterium_faecale	R276CMSA	0
Flavobacterium_faecale	R286CMSA	0
Flavobacterium_faecale	R292CMSA	0
Flavobacterium_faecale	R292IMSA	0
Flavobacterium_faecale	R308CMSA	1
Flavobacterium_faecale	R316IMSA	0
Flavobacterium_faecale	R347CMSA	5
Flavobacterium_faecale	R347IMSA	2
Flavobacterium_faecale	R371CMSA	0
Flavobacterium_faecale	SRR10104064	NA
Flavobacterium_faecale	SRR10104065	NA
Flavobacterium_faecale	SRR10104066	NA
Flavobacterium_faecale	SRR10104067	NA
Flavobacterium_faecale	SRR10104068	NA
Flavobacterium_faecale	SRR10104069	NA
Flavobacterium_faecale	SRR10104070	NA
Flavobacterium_faecale	SRR10104071	NA
Flavobacterium_faecale	SRR10104072	NA
Flavobacterium_faecale	SRR10104073	NA
Flavobacterium_faecale	SRR10104074	NA
Flavobacterium_faecale	SRR10104075	NA
Flavobacterium_faecale	SRR10104076	NA
Flavobacterium_faecale	SRR10104077	NA
Flavobacterium_faecale	SRR10104078	NA
Flavobacterium_faecale	SRR10104079	NA
Flavobacterium_faecale	SRR10104080	NA
Flavobacterium_faecale	SRR10104081	NA
Flavobacterium_faecale	SRR10104082	NA
Flavobacterium_faecale	SRR10104083	NA
Flavobacterium_faecale	SRR10104084	NA
Flavobacterium_faecale	SRR10104085	NA
Flavobacterium_faecale	SRR10104086	NA
Flavobacterium_faecale	SRR10104087	NA
Flavobacterium_faecale	SRR10104088	NA
Flavobacterium_faecale	SRR10104089	NA
Flavobacterium_faecale	SRR10104090	NA
Flavobacterium_faecale	SRR10104091	NA
Flavobacterium_faecale	SRR10104092	NA
Flavobacterium_faecale	SRR10104093	NA
Flavobacterium_faecale	SRR10104094	NA
Flavobacterium_faecale	SRR10104095	NA
Flavobacterium_faecale	SRR10104096	NA
Flavobacterium_faecale	SRR10104097	NA
Flavobacterium_faecale	SRR10104098	NA
Flavobacterium_faecale	SRR10104099	NA
Flavobacterium_faecale	SRR10104100	NA
Flavobacterium_faecale	SRR10104101	NA
Flavobacterium_faecale	SRR10104102	NA
Flavobacterium_faecale	SRR10104103	NA
Flavobacterium_faecale	SRR10104104	NA
Flavobacterium_faecale	SRR10104105	NA
Flavobacterium_faecale	SRR10104106	NA
Flavobacterium_faecale	SRR10104107	NA
Flavobacterium_faecale	SRR10104108	NA
Flavobacterium_faecale	SRR10104109	NA
Flavobacterium_faecale	SRR10104110	NA
Flavobacterium_faecale	SRR10104111	NA
Flavobacterium_faecale	SRR10104112	NA
Flavobacterium_faecale	SRR10104113	NA
Flavobacterium_faecale	SRR10104114	NA
Flavobacterium_faecale	SRR10104115	NA
Flavobacterium_faecale	SRR10104116	NA
Flavobacterium_faecale	SRR10104117	NA
Flavobacterium_faecale	SRR10104118	NA
Flavobacterium_faecale	SRR10104119	NA
Flavobacterium_faecale	SRR10104120	NA
Flavobacterium_faecale	SRR10104121	NA
Flavobacterium_faecale	SRR10104122	NA
Flavobacterium_faecale	SRR10104123	NA
Flavobacterium_faecale	SRR10104124	NA
Flavobacterium_faecale	SRR10104125	NA
Flavobacterium_faecale	SRR10104126	NA
Flavobacterium_faecale	SRR10104127	NA
Flavobacterium_faecale	SRR10104128	NA
Flavobacterium_faecale	SRR10104129	NA
Flavobacterium_faecale	SRR10104130	NA
Flavobacterium_faecale	SRR10104131	NA
Flavobacterium_faecale	SRR10104132	NA
Flavobacterium_faecale	SRR10104133	NA
Flavobacterium_faecale	SRR10104134	NA
Flavobacterium_faecale	SRR10104135	NA
Flavobacterium_faecale	SRR10104136	NA
Flavobacterium_faecale	SRR10104137	NA
Flavobacterium_faecale	SRR10104138	NA
Flavobacterium_faecale	SRR10104139	NA
Flavobacterium_faecale	SRR10104140	NA
Flavobacterium_faecale	SRR10104141	NA
Flavobacterium_faecale	SRR10104142	NA
Flavobacterium_faecale	SRR10104143	NA
Flavobacterium_faecale	SRR10104144	NA
Flavobacterium_faecale	SRR10104145	NA
Flavobacterium_faecale	SRR10104146	NA
Flavobacterium_faecale	SRR10104147	NA
Flavobacterium_faecale	SRR10104148	NA
Flavobacterium_faecale	SRR10104149	NA
Flavobacterium_faecale	SRR10104150	NA
Flavobacterium_faecale	SRR10104151	NA
Flavobacterium_faecale	SRR10104152	NA
Flavobacterium_faecale	SRR10104153	NA
Flavobacterium_faecale	SRR10104154	NA
Flavobacterium_faecale	SRR10104155	NA
Flavobacterium_faecale	SRR10104156	NA
Flavobacterium_faecale	SRR10104157	NA
Flavobacterium_faecale	SRR10104158	NA
Flavobacterium_faecale	SRR10104159	NA
Flavobacterium_faecale	SRR10104160	NA
Flavobacterium_faecale	SRR10104161	NA
