Species	sample	counts
Rhodococcus_qingshengii	CM317	94
Rhodococcus_qingshengii	CMCD140	71
Rhodococcus_qingshengii	CMCD147	401
Rhodococcus_qingshengii	CMCD152	1
Rhodococcus_qingshengii	CMCD154	20
Rhodococcus_qingshengii	CMCD159	330
Rhodococcus_qingshengii	CMCD161	11
Rhodococcus_qingshengii	CMCD174	901
Rhodococcus_qingshengii	CMCD196	5
Rhodococcus_qingshengii	CMCD198	51
Rhodococcus_qingshengii	CMCD203	20
Rhodococcus_qingshengii	CMCD211	0
Rhodococcus_qingshengii	CMCD227	4
Rhodococcus_qingshengii	CMCD240	0
Rhodococcus_qingshengii	CMCD259	4
Rhodococcus_qingshengii	CMCD270	2
Rhodococcus_qingshengii	CMCD275	39
Rhodococcus_qingshengii	CMCD282	5
Rhodococcus_qingshengii	CMCD286	1
Rhodococcus_qingshengii	CMCD287	2
Rhodococcus_qingshengii	CMCD294	83
Rhodococcus_qingshengii	CMCD327	22
Rhodococcus_qingshengii	CMCD335	48
Rhodococcus_qingshengii	CMCD337	10
Rhodococcus_qingshengii	CMCD357	15
Rhodococcus_qingshengii	CMCD398	5
Rhodococcus_qingshengii	CMCD403	52
Rhodococcus_qingshengii	CMCD422	3
Rhodococcus_qingshengii	CMCD426	20
Rhodococcus_qingshengii	CMCD71	8
Rhodococcus_qingshengii	CMCD72	73
Rhodococcus_qingshengii	CMCD76	1
Rhodococcus_qingshengii	CMCD88	3
Rhodococcus_qingshengii	CMSA256	0
Rhodococcus_qingshengii	CMSA316	88
Rhodococcus_qingshengii	CMUC110	0
Rhodococcus_qingshengii	CMUC192	4
Rhodococcus_qingshengii	CMUC199	17
Rhodococcus_qingshengii	CMUC200	0
Rhodococcus_qingshengii	CMUC208	13
Rhodococcus_qingshengii	CMUC231	2
Rhodococcus_qingshengii	CMUC234	0
Rhodococcus_qingshengii	CMUC285	3
Rhodococcus_qingshengii	CMUC291	3
Rhodococcus_qingshengii	CMUC295	4
Rhodococcus_qingshengii	CMUC299	1
Rhodococcus_qingshengii	CMUC301	0
Rhodococcus_qingshengii	CMUC307	2
Rhodococcus_qingshengii	CMUC313	137
Rhodococcus_qingshengii	CMUC314	48
Rhodococcus_qingshengii	CMUC323	27
Rhodococcus_qingshengii	CMUC324	13
Rhodococcus_qingshengii	CMUC331	28
Rhodococcus_qingshengii	CMUC333	16
Rhodococcus_qingshengii	CMUC334	32
Rhodococcus_qingshengii	CMUC346	94
Rhodococcus_qingshengii	CMUC352	33
Rhodococcus_qingshengii	CMUC360	51
Rhodococcus_qingshengii	CMUC363	45
Rhodococcus_qingshengii	CMUC365	35
Rhodococcus_qingshengii	CMUC366	9
Rhodococcus_qingshengii	CMUC368	10
Rhodococcus_qingshengii	CMUC377	24
Rhodococcus_qingshengii	CMUC379	133
Rhodococcus_qingshengii	CMUC380	25
Rhodococcus_qingshengii	CMUC383	69
Rhodococcus_qingshengii	CMUC394	44
Rhodococcus_qingshengii	CMUC419	53
Rhodococcus_qingshengii	CMUC427	6
Rhodococcus_qingshengii	CMUC428	20
Rhodococcus_qingshengii	CMUC431	7
Rhodococcus_qingshengii	CMUC435	9
Rhodococcus_qingshengii	CMUC439	26
Rhodococcus_qingshengii	CMUC89	0
Rhodococcus_qingshengii	CS219	3
Rhodococcus_qingshengii	CS256	0
Rhodococcus_qingshengii	CS257	198
Rhodococcus_qingshengii	CS259	8
Rhodococcus_qingshengii	CS261	24
Rhodococcus_qingshengii	CS266	309
Rhodococcus_qingshengii	CS270	27
Rhodococcus_qingshengii	CS277	75
Rhodococcus_qingshengii	CS288	109
Rhodococcus_qingshengii	CS290	1
Rhodococcus_qingshengii	CS292	20
Rhodococcus_qingshengii	CS293	48
Rhodococcus_qingshengii	CS301	50
Rhodococcus_qingshengii	CS306	91
Rhodococcus_qingshengii	CS308	21
Rhodococcus_qingshengii	CS315	55
Rhodococcus_qingshengii	CS317	519
Rhodococcus_qingshengii	CS322	18
Rhodococcus_qingshengii	CS327	15
Rhodococcus_qingshengii	CS328	151
Rhodococcus_qingshengii	CS330	513
Rhodococcus_qingshengii	CS331	162
Rhodococcus_qingshengii	CS335	84
Rhodococcus_qingshengii	CS338	40
Rhodococcus_qingshengii	CS339	4
Rhodococcus_qingshengii	CS343	15
Rhodococcus_qingshengii	CS344	17
Rhodococcus_qingshengii	CS350	275
Rhodococcus_qingshengii	CS351	60
Rhodococcus_qingshengii	CS361	7
Rhodococcus_qingshengii	CS388	60
Rhodococcus_qingshengii	CS396	8
Rhodococcus_qingshengii	CS405	8
Rhodococcus_qingshengii	CS415	130
Rhodococcus_qingshengii	CS424	147
Rhodococcus_qingshengii	IM293	1
Rhodococcus_qingshengii	IM296	353
Rhodococcus_qingshengii	IM297	36
Rhodococcus_qingshengii	IM300	0
Rhodococcus_qingshengii	IM305	8
Rhodococcus_qingshengii	IM309	70
Rhodococcus_qingshengii	IM310	28
Rhodococcus_qingshengii	IM311	44
Rhodococcus_qingshengii	IM316	36
Rhodococcus_qingshengii	IM320	57
Rhodococcus_qingshengii	IM330	31
Rhodococcus_qingshengii	IM332	151
Rhodococcus_qingshengii	IM340	486
Rhodococcus_qingshengii	IM348	9
Rhodococcus_qingshengii	IM354	4
Rhodococcus_qingshengii	IM356	36
Rhodococcus_qingshengii	IM364	55
Rhodococcus_qingshengii	IM372	54
Rhodococcus_qingshengii	IM374	396
Rhodococcus_qingshengii	IM376	58
Rhodococcus_qingshengii	IM381	43
Rhodococcus_qingshengii	IM382	140
Rhodococcus_qingshengii	IM385	1
Rhodococcus_qingshengii	IM390	132
Rhodococcus_qingshengii	IM397	40
Rhodococcus_qingshengii	IM404	7
Rhodococcus_qingshengii	IM409	17
Rhodococcus_qingshengii	IM412	17
Rhodococcus_qingshengii	IM421	15
Rhodococcus_qingshengii	IM425	95
Rhodococcus_qingshengii	IM432	29
Rhodococcus_qingshengii	IM438	1
Rhodococcus_qingshengii	IM442	22
Rhodococcus_qingshengii	IM445	12
Rhodococcus_qingshengii	IM448	158
Rhodococcus_qingshengii	IM449	27
