Species	sample	counts
Sorangium_cellulosum	CM317	35
Sorangium_cellulosum	CMCD140	44
Sorangium_cellulosum	CMCD147	172
Sorangium_cellulosum	CMCD152	1
Sorangium_cellulosum	CMCD154	22
Sorangium_cellulosum	CMCD159	380
Sorangium_cellulosum	CMCD161	5
Sorangium_cellulosum	CMCD174	359
Sorangium_cellulosum	CMCD196	4
Sorangium_cellulosum	CMCD198	20
Sorangium_cellulosum	CMCD203	18
Sorangium_cellulosum	CMCD211	3
Sorangium_cellulosum	CMCD227	4
Sorangium_cellulosum	CMCD240	1
Sorangium_cellulosum	CMCD259	2
Sorangium_cellulosum	CMCD270	1
Sorangium_cellulosum	CMCD275	86
Sorangium_cellulosum	CMCD282	9
Sorangium_cellulosum	CMCD286	0
Sorangium_cellulosum	CMCD287	1
Sorangium_cellulosum	CMCD294	36
Sorangium_cellulosum	CMCD327	7
Sorangium_cellulosum	CMCD335	21
Sorangium_cellulosum	CMCD337	6
Sorangium_cellulosum	CMCD357	4
Sorangium_cellulosum	CMCD398	3
Sorangium_cellulosum	CMCD403	14
Sorangium_cellulosum	CMCD422	5
Sorangium_cellulosum	CMCD426	7
Sorangium_cellulosum	CMCD71	6
Sorangium_cellulosum	CMCD72	48
Sorangium_cellulosum	CMCD76	11
Sorangium_cellulosum	CMCD88	2
Sorangium_cellulosum	CMSA256	0
Sorangium_cellulosum	CMSA316	36
Sorangium_cellulosum	CMUC110	0
Sorangium_cellulosum	CMUC192	3
Sorangium_cellulosum	CMUC199	2
Sorangium_cellulosum	CMUC200	1
Sorangium_cellulosum	CMUC208	9
Sorangium_cellulosum	CMUC231	5
Sorangium_cellulosum	CMUC234	0
Sorangium_cellulosum	CMUC285	0
Sorangium_cellulosum	CMUC291	1
Sorangium_cellulosum	CMUC295	4
Sorangium_cellulosum	CMUC299	0
Sorangium_cellulosum	CMUC301	0
Sorangium_cellulosum	CMUC307	3
Sorangium_cellulosum	CMUC313	372
Sorangium_cellulosum	CMUC314	14
Sorangium_cellulosum	CMUC323	14
Sorangium_cellulosum	CMUC324	11
Sorangium_cellulosum	CMUC331	6
Sorangium_cellulosum	CMUC333	11
Sorangium_cellulosum	CMUC334	5
Sorangium_cellulosum	CMUC346	60
Sorangium_cellulosum	CMUC352	17
Sorangium_cellulosum	CMUC360	28
Sorangium_cellulosum	CMUC363	85
Sorangium_cellulosum	CMUC365	40
Sorangium_cellulosum	CMUC366	6
Sorangium_cellulosum	CMUC368	4
Sorangium_cellulosum	CMUC377	10
Sorangium_cellulosum	CMUC379	57
Sorangium_cellulosum	CMUC380	5
Sorangium_cellulosum	CMUC383	28
Sorangium_cellulosum	CMUC394	34
Sorangium_cellulosum	CMUC419	95
Sorangium_cellulosum	CMUC427	7
Sorangium_cellulosum	CMUC428	6
Sorangium_cellulosum	CMUC431	6
Sorangium_cellulosum	CMUC435	10
Sorangium_cellulosum	CMUC439	4
Sorangium_cellulosum	CMUC89	1
Sorangium_cellulosum	CS219	2
Sorangium_cellulosum	CS256	0
Sorangium_cellulosum	CS257	78
Sorangium_cellulosum	CS259	3
Sorangium_cellulosum	CS261	19
Sorangium_cellulosum	CS266	124
Sorangium_cellulosum	CS270	28
Sorangium_cellulosum	CS277	118
Sorangium_cellulosum	CS288	26
Sorangium_cellulosum	CS290	2
Sorangium_cellulosum	CS292	14
Sorangium_cellulosum	CS293	46
Sorangium_cellulosum	CS301	31
Sorangium_cellulosum	CS306	35
Sorangium_cellulosum	CS308	7
Sorangium_cellulosum	CS315	30
Sorangium_cellulosum	CS317	301
Sorangium_cellulosum	CS322	8
Sorangium_cellulosum	CS327	9
Sorangium_cellulosum	CS328	84
Sorangium_cellulosum	CS330	260
Sorangium_cellulosum	CS331	104
Sorangium_cellulosum	CS335	60
Sorangium_cellulosum	CS338	18
Sorangium_cellulosum	CS339	3
Sorangium_cellulosum	CS343	11
Sorangium_cellulosum	CS344	3
Sorangium_cellulosum	CS350	134
Sorangium_cellulosum	CS351	14
Sorangium_cellulosum	CS361	3
Sorangium_cellulosum	CS388	24
Sorangium_cellulosum	CS396	5
Sorangium_cellulosum	CS405	6
Sorangium_cellulosum	CS415	103
Sorangium_cellulosum	CS424	56
Sorangium_cellulosum	IM293	3
Sorangium_cellulosum	IM296	131
Sorangium_cellulosum	IM297	36
Sorangium_cellulosum	IM300	0
Sorangium_cellulosum	IM305	9
Sorangium_cellulosum	IM309	116
Sorangium_cellulosum	IM310	14
Sorangium_cellulosum	IM311	43
Sorangium_cellulosum	IM316	25
Sorangium_cellulosum	IM320	55
Sorangium_cellulosum	IM330	12
Sorangium_cellulosum	IM332	122
Sorangium_cellulosum	IM340	264
Sorangium_cellulosum	IM348	5
Sorangium_cellulosum	IM354	0
Sorangium_cellulosum	IM356	60
Sorangium_cellulosum	IM364	21
Sorangium_cellulosum	IM372	48
Sorangium_cellulosum	IM374	217
Sorangium_cellulosum	IM376	37
Sorangium_cellulosum	IM381	33
Sorangium_cellulosum	IM382	64
Sorangium_cellulosum	IM385	2
Sorangium_cellulosum	IM390	78
Sorangium_cellulosum	IM397	21
Sorangium_cellulosum	IM404	10
Sorangium_cellulosum	IM409	7
Sorangium_cellulosum	IM412	33
Sorangium_cellulosum	IM421	8
Sorangium_cellulosum	IM425	246
Sorangium_cellulosum	IM432	25
Sorangium_cellulosum	IM438	1
Sorangium_cellulosum	IM442	7
Sorangium_cellulosum	IM445	13
Sorangium_cellulosum	IM448	141
Sorangium_cellulosum	IM449	4
Sorangium_cellulosum	IM451	12
Sorangium_cellulosum	IMSA256	0
Sorangium_cellulosum	IMSA276	5
Sorangium_cellulosum	IMSA286	4
Sorangium_cellulosum	IMSA343	74
Sorangium_cellulosum	IS_238	1
Sorangium_cellulosum	IS238	18
Sorangium_cellulosum	IS243	1
Sorangium_cellulosum	IS253	2
Sorangium_cellulosum	IS283	5
Sorangium_cellulosum	IS322	24
Sorangium_cellulosum	IS399	12
Sorangium_cellulosum	IS418	33
Sorangium_cellulosum	IS430	11
Sorangium_cellulosum	IS437	3
Sorangium_cellulosum	IS444	16
Sorangium_cellulosum	R276CMSA	16
Sorangium_cellulosum	R286CMSA	0
Sorangium_cellulosum	R292CMSA	6
Sorangium_cellulosum	R292IMSA	250
Sorangium_cellulosum	R308CMSA	19
Sorangium_cellulosum	R316IMSA	12
Sorangium_cellulosum	R347CMSA	57
Sorangium_cellulosum	R347IMSA	11
Sorangium_cellulosum	R371CMSA	15
Sorangium_cellulosum	SRR10104064	NA
Sorangium_cellulosum	SRR10104065	NA
Sorangium_cellulosum	SRR10104066	NA
Sorangium_cellulosum	SRR10104067	NA
Sorangium_cellulosum	SRR10104068	NA
Sorangium_cellulosum	SRR10104069	NA
Sorangium_cellulosum	SRR10104070	NA
Sorangium_cellulosum	SRR10104071	NA
Sorangium_cellulosum	SRR10104072	NA
Sorangium_cellulosum	SRR10104073	NA
Sorangium_cellulosum	SRR10104074	NA
Sorangium_cellulosum	SRR10104075	NA
Sorangium_cellulosum	SRR10104076	NA
Sorangium_cellulosum	SRR10104077	NA
Sorangium_cellulosum	SRR10104078	NA
Sorangium_cellulosum	SRR10104079	NA
Sorangium_cellulosum	SRR10104080	NA
Sorangium_cellulosum	SRR10104081	NA
Sorangium_cellulosum	SRR10104082	NA
Sorangium_cellulosum	SRR10104083	NA
Sorangium_cellulosum	SRR10104084	NA
Sorangium_cellulosum	SRR10104085	NA
Sorangium_cellulosum	SRR10104086	NA
Sorangium_cellulosum	SRR10104087	NA
Sorangium_cellulosum	SRR10104088	NA
Sorangium_cellulosum	SRR10104089	NA
Sorangium_cellulosum	SRR10104090	NA
Sorangium_cellulosum	SRR10104091	NA
Sorangium_cellulosum	SRR10104092	NA
Sorangium_cellulosum	SRR10104093	NA
Sorangium_cellulosum	SRR10104094	NA
Sorangium_cellulosum	SRR10104095	NA
Sorangium_cellulosum	SRR10104096	NA
Sorangium_cellulosum	SRR10104097	NA
Sorangium_cellulosum	SRR10104098	NA
Sorangium_cellulosum	SRR10104099	NA
Sorangium_cellulosum	SRR10104100	NA
Sorangium_cellulosum	SRR10104101	NA
Sorangium_cellulosum	SRR10104102	NA
Sorangium_cellulosum	SRR10104103	NA
Sorangium_cellulosum	SRR10104104	NA
Sorangium_cellulosum	SRR10104105	NA
Sorangium_cellulosum	SRR10104106	NA
Sorangium_cellulosum	SRR10104107	NA
Sorangium_cellulosum	SRR10104108	NA
Sorangium_cellulosum	SRR10104109	NA
Sorangium_cellulosum	SRR10104110	NA
Sorangium_cellulosum	SRR10104111	NA
Sorangium_cellulosum	SRR10104112	NA
Sorangium_cellulosum	SRR10104113	NA
Sorangium_cellulosum	SRR10104114	NA
Sorangium_cellulosum	SRR10104115	NA
Sorangium_cellulosum	SRR10104116	NA
Sorangium_cellulosum	SRR10104117	NA
Sorangium_cellulosum	SRR10104118	NA
Sorangium_cellulosum	SRR10104119	NA
Sorangium_cellulosum	SRR10104120	NA
Sorangium_cellulosum	SRR10104121	NA
Sorangium_cellulosum	SRR10104122	NA
Sorangium_cellulosum	SRR10104123	NA
Sorangium_cellulosum	SRR10104124	NA
Sorangium_cellulosum	SRR10104125	NA
Sorangium_cellulosum	SRR10104126	NA
Sorangium_cellulosum	SRR10104127	NA
Sorangium_cellulosum	SRR10104128	NA
Sorangium_cellulosum	SRR10104129	NA
Sorangium_cellulosum	SRR10104130	NA
Sorangium_cellulosum	SRR10104131	NA
Sorangium_cellulosum	SRR10104132	NA
Sorangium_cellulosum	SRR10104133	NA
Sorangium_cellulosum	SRR10104134	NA
Sorangium_cellulosum	SRR10104135	NA
Sorangium_cellulosum	SRR10104136	NA
Sorangium_cellulosum	SRR10104137	NA
Sorangium_cellulosum	SRR10104138	NA
Sorangium_cellulosum	SRR10104139	NA
Sorangium_cellulosum	SRR10104140	NA
