Species	sample	counts
Tenacibaculum_jejuense	CM317	0
Tenacibaculum_jejuense	CMCD140	2
Tenacibaculum_jejuense	CMCD147	0
Tenacibaculum_jejuense	CMCD152	0
Tenacibaculum_jejuense	CMCD154	0
Tenacibaculum_jejuense	CMCD159	0
Tenacibaculum_jejuense	CMCD161	0
Tenacibaculum_jejuense	CMCD174	19
Tenacibaculum_jejuense	CMCD196	0
Tenacibaculum_jejuense	CMCD198	0
Tenacibaculum_jejuense	CMCD203	0
Tenacibaculum_jejuense	CMCD211	0
Tenacibaculum_jejuense	CMCD227	0
Tenacibaculum_jejuense	CMCD240	1
Tenacibaculum_jejuense	CMCD259	0
Tenacibaculum_jejuense	CMCD270	0
Tenacibaculum_jejuense	CMCD275	0
Tenacibaculum_jejuense	CMCD282	0
Tenacibaculum_jejuense	CMCD286	0
Tenacibaculum_jejuense	CMCD287	0
Tenacibaculum_jejuense	CMCD294	0
Tenacibaculum_jejuense	CMCD327	0
Tenacibaculum_jejuense	CMCD335	0
Tenacibaculum_jejuense	CMCD337	0
Tenacibaculum_jejuense	CMCD357	0
Tenacibaculum_jejuense	CMCD398	1
Tenacibaculum_jejuense	CMCD403	0
Tenacibaculum_jejuense	CMCD422	0
Tenacibaculum_jejuense	CMCD426	0
Tenacibaculum_jejuense	CMCD71	0
Tenacibaculum_jejuense	CMCD72	1
Tenacibaculum_jejuense	CMCD76	0
Tenacibaculum_jejuense	CMCD88	1
Tenacibaculum_jejuense	CMSA256	0
Tenacibaculum_jejuense	CMSA316	2
Tenacibaculum_jejuense	CMUC110	0
Tenacibaculum_jejuense	CMUC192	0
Tenacibaculum_jejuense	CMUC199	0
Tenacibaculum_jejuense	CMUC200	0
Tenacibaculum_jejuense	CMUC208	0
Tenacibaculum_jejuense	CMUC231	1
Tenacibaculum_jejuense	CMUC234	0
Tenacibaculum_jejuense	CMUC285	0
Tenacibaculum_jejuense	CMUC291	0
Tenacibaculum_jejuense	CMUC295	0
Tenacibaculum_jejuense	CMUC299	0
Tenacibaculum_jejuense	CMUC301	0
Tenacibaculum_jejuense	CMUC307	0
Tenacibaculum_jejuense	CMUC313	5
Tenacibaculum_jejuense	CMUC314	0
Tenacibaculum_jejuense	CMUC323	0
Tenacibaculum_jejuense	CMUC324	0
Tenacibaculum_jejuense	CMUC331	0
Tenacibaculum_jejuense	CMUC333	0
Tenacibaculum_jejuense	CMUC334	0
Tenacibaculum_jejuense	CMUC346	1
Tenacibaculum_jejuense	CMUC352	0
Tenacibaculum_jejuense	CMUC360	0
Tenacibaculum_jejuense	CMUC363	0
Tenacibaculum_jejuense	CMUC365	1
Tenacibaculum_jejuense	CMUC366	0
Tenacibaculum_jejuense	CMUC368	0
Tenacibaculum_jejuense	CMUC377	0
Tenacibaculum_jejuense	CMUC379	6
Tenacibaculum_jejuense	CMUC380	0
Tenacibaculum_jejuense	CMUC383	0
Tenacibaculum_jejuense	CMUC394	3
Tenacibaculum_jejuense	CMUC419	0
Tenacibaculum_jejuense	CMUC427	0
Tenacibaculum_jejuense	CMUC428	0
Tenacibaculum_jejuense	CMUC431	0
Tenacibaculum_jejuense	CMUC435	1
Tenacibaculum_jejuense	CMUC439	0
Tenacibaculum_jejuense	CMUC89	0
Tenacibaculum_jejuense	CS219	0
Tenacibaculum_jejuense	CS256	0
Tenacibaculum_jejuense	CS257	0
Tenacibaculum_jejuense	CS259	0
Tenacibaculum_jejuense	CS261	0
Tenacibaculum_jejuense	CS266	0
Tenacibaculum_jejuense	CS270	1
Tenacibaculum_jejuense	CS277	2
Tenacibaculum_jejuense	CS288	2
Tenacibaculum_jejuense	CS290	1
Tenacibaculum_jejuense	CS292	0
Tenacibaculum_jejuense	CS293	0
Tenacibaculum_jejuense	CS301	0
Tenacibaculum_jejuense	CS306	0
Tenacibaculum_jejuense	CS308	0
