Feature	sample	counts
Nitrosomonadaceae	CM317	37
Nitrosomonadaceae	CMCD140	39
Nitrosomonadaceae	CMCD147	123
Nitrosomonadaceae	CMCD152	0
Nitrosomonadaceae	CMCD154	10
Nitrosomonadaceae	CMCD159	191
Nitrosomonadaceae	CMCD161	1
Nitrosomonadaceae	CMCD174	289
Nitrosomonadaceae	CMCD196	12
Nitrosomonadaceae	CMCD198	20
Nitrosomonadaceae	CMCD203	24
Nitrosomonadaceae	CMCD211	5
Nitrosomonadaceae	CMCD227	0
Nitrosomonadaceae	CMCD240	2
Nitrosomonadaceae	CMCD259	9
Nitrosomonadaceae	CMCD270	4
Nitrosomonadaceae	CMCD275	52
Nitrosomonadaceae	CMCD282	15
Nitrosomonadaceae	CMCD286	3
Nitrosomonadaceae	CMCD287	3
Nitrosomonadaceae	CMCD294	36
Nitrosomonadaceae	CMCD327	12
Nitrosomonadaceae	CMCD335	33
Nitrosomonadaceae	CMCD337	9
Nitrosomonadaceae	CMCD357	11
Nitrosomonadaceae	CMCD398	4
Nitrosomonadaceae	CMCD403	26
Nitrosomonadaceae	CMCD422	8
Nitrosomonadaceae	CMCD426	15
Nitrosomonadaceae	CMCD71	4
Nitrosomonadaceae	CMCD72	66
Nitrosomonadaceae	CMCD76	13
Nitrosomonadaceae	CMCD88	1
Nitrosomonadaceae	CMSA256	3
Nitrosomonadaceae	CMSA316	55
Nitrosomonadaceae	CMUC110	1
Nitrosomonadaceae	CMUC192	3
Nitrosomonadaceae	CMUC199	7
Nitrosomonadaceae	CMUC200	0
Nitrosomonadaceae	CMUC208	9
Nitrosomonadaceae	CMUC231	3
Nitrosomonadaceae	CMUC234	3
Nitrosomonadaceae	CMUC285	3
Nitrosomonadaceae	CMUC291	2
Nitrosomonadaceae	CMUC295	2
Nitrosomonadaceae	CMUC299	2
Nitrosomonadaceae	CMUC301	6
Nitrosomonadaceae	CMUC307	2
Nitrosomonadaceae	CMUC313	40
Nitrosomonadaceae	CMUC314	32
Nitrosomonadaceae	CMUC323	59
Nitrosomonadaceae	CMUC324	16
Nitrosomonadaceae	CMUC331	9
Nitrosomonadaceae	CMUC333	11
Nitrosomonadaceae	CMUC334	12
Nitrosomonadaceae	CMUC346	103
Nitrosomonadaceae	CMUC352	13
Nitrosomonadaceae	CMUC360	28
Nitrosomonadaceae	CMUC363	57
Nitrosomonadaceae	CMUC365	40
Nitrosomonadaceae	CMUC366	1
Nitrosomonadaceae	CMUC368	5
Nitrosomonadaceae	CMUC377	19
Nitrosomonadaceae	CMUC379	1011
Nitrosomonadaceae	CMUC380	20
Nitrosomonadaceae	CMUC383	75
Nitrosomonadaceae	CMUC394	68
Nitrosomonadaceae	CMUC419	40
Nitrosomonadaceae	CMUC427	1
Nitrosomonadaceae	CMUC428	5
Nitrosomonadaceae	CMUC431	2
Nitrosomonadaceae	CMUC435	14
Nitrosomonadaceae	CMUC439	2
Nitrosomonadaceae	CMUC89	0
Nitrosomonadaceae	CS219	3
Nitrosomonadaceae	CS256	3
Nitrosomonadaceae	CS257	31
Nitrosomonadaceae	CS259	4
Nitrosomonadaceae	CS261	19
Nitrosomonadaceae	CS266	62
Nitrosomonadaceae	CS270	13
Nitrosomonadaceae	CS277	53
Nitrosomonadaceae	CS288	43
Nitrosomonadaceae	CS290	8
Nitrosomonadaceae	CS292	9
Nitrosomonadaceae	CS293	43
Nitrosomonadaceae	CS301	25
Nitrosomonadaceae	CS306	26
Nitrosomonadaceae	CS308	4
Nitrosomonadaceae	CS315	33
Nitrosomonadaceae	CS317	264
Nitrosomonadaceae	CS322	14
Nitrosomonadaceae	CS327	18
Nitrosomonadaceae	CS328	103
Nitrosomonadaceae	CS330	232
Nitrosomonadaceae	CS331	72
Nitrosomonadaceae	CS335	35
Nitrosomonadaceae	CS338	9
Nitrosomonadaceae	CS339	5
Nitrosomonadaceae	CS343	5
Nitrosomonadaceae	CS344	12
Nitrosomonadaceae	CS350	178
Nitrosomonadaceae	CS351	24
Nitrosomonadaceae	CS361	5
Nitrosomonadaceae	CS388	82
Nitrosomonadaceae	CS396	2
Nitrosomonadaceae	CS405	14
Nitrosomonadaceae	CS415	94
Nitrosomonadaceae	CS424	42
Nitrosomonadaceae	IM293	4
Nitrosomonadaceae	IM296	186
Nitrosomonadaceae	IM297	26
Nitrosomonadaceae	IM300	3
Nitrosomonadaceae	IM305	11
Nitrosomonadaceae	IM309	77
Nitrosomonadaceae	IM310	8
Nitrosomonadaceae	IM311	28
Nitrosomonadaceae	IM316	17
Nitrosomonadaceae	IM320	19
Nitrosomonadaceae	IM330	97
Nitrosomonadaceae	IM332	83
Nitrosomonadaceae	IM340	262
Nitrosomonadaceae	IM348	4
Nitrosomonadaceae	IM354	1
Nitrosomonadaceae	IM356	42
Nitrosomonadaceae	IM364	22
Nitrosomonadaceae	IM372	26
Nitrosomonadaceae	IM374	185
Nitrosomonadaceae	IM376	23
Nitrosomonadaceae	IM381	33
Nitrosomonadaceae	IM382	48
Nitrosomonadaceae	IM385	2
Nitrosomonadaceae	IM390	79
Nitrosomonadaceae	IM397	25
Nitrosomonadaceae	IM404	5
Nitrosomonadaceae	IM409	15
Nitrosomonadaceae	IM412	23
Nitrosomonadaceae	IM421	16
Nitrosomonadaceae	IM425	147
Nitrosomonadaceae	IM432	27
Nitrosomonadaceae	IM438	7
Nitrosomonadaceae	IM442	9
Nitrosomonadaceae	IM445	6
Nitrosomonadaceae	IM448	63
Nitrosomonadaceae	IM449	7
Nitrosomonadaceae	IM451	6
Nitrosomonadaceae	IMSA256	0
Nitrosomonadaceae	IMSA276	8
Nitrosomonadaceae	IMSA286	1
Nitrosomonadaceae	IMSA343	79
Nitrosomonadaceae	IS_238	2
Nitrosomonadaceae	IS238	35
Nitrosomonadaceae	IS243	6
Nitrosomonadaceae	IS253	0
Nitrosomonadaceae	IS283	27
Nitrosomonadaceae	IS322	31
Nitrosomonadaceae	IS399	8
Nitrosomonadaceae	IS418	33
Nitrosomonadaceae	IS430	4
Nitrosomonadaceae	IS437	5
Nitrosomonadaceae	IS444	10
Nitrosomonadaceae	R276CMSA	27
Nitrosomonadaceae	R286CMSA	1
Nitrosomonadaceae	R292CMSA	3
Nitrosomonadaceae	R292IMSA	231
Nitrosomonadaceae	R308CMSA	17
Nitrosomonadaceae	R316IMSA	27
Nitrosomonadaceae	R347CMSA	59
Nitrosomonadaceae	R347IMSA	17
Nitrosomonadaceae	R371CMSA	9
Nitrosomonadaceae	SRR10104064	NA
Nitrosomonadaceae	SRR10104065	NA
Nitrosomonadaceae	SRR10104066	NA
Nitrosomonadaceae	SRR10104067	NA
Nitrosomonadaceae	SRR10104068	NA
Nitrosomonadaceae	SRR10104069	NA
Nitrosomonadaceae	SRR10104070	NA
Nitrosomonadaceae	SRR10104071	NA
Nitrosomonadaceae	SRR10104072	NA
Nitrosomonadaceae	SRR10104073	NA
Nitrosomonadaceae	SRR10104074	NA
Nitrosomonadaceae	SRR10104075	NA
Nitrosomonadaceae	SRR10104076	NA
Nitrosomonadaceae	SRR10104077	NA
Nitrosomonadaceae	SRR10104078	NA
Nitrosomonadaceae	SRR10104079	NA
Nitrosomonadaceae	SRR10104080	NA
Nitrosomonadaceae	SRR10104081	NA
Nitrosomonadaceae	SRR10104082	NA
Nitrosomonadaceae	SRR10104083	NA
Nitrosomonadaceae	SRR10104084	NA
Nitrosomonadaceae	SRR10104085	NA
Nitrosomonadaceae	SRR10104086	NA
