Gene	sample	counts
A1BG-AS1	CM317	22.10590876779531
A1BG-AS1	CMCD140	12.112950473037877
A1BG-AS1	CMCD147	1.0405801793502694
A1BG-AS1	CMCD152	18
A1BG-AS1	CMCD154	3.02951257611111
A1BG-AS1	CMCD159	1.0879251488683968
A1BG-AS1	CMCD161	15.04640417053041
A1BG-AS1	CMCD174	1.0948567840005883
A1BG-AS1	CMCD196	15.141441711352313
A1BG-AS1	CMCD198	7.210198275372481
A1BG-AS1	CMCD203	6.019195056523515
A1BG-AS1	CMCD211	40.1871902667721
A1BG-AS1	CMCD227	21.37487306586985
A1BG-AS1	CMCD240	22.377566651708854
A1BG-AS1	CMCD259	30
A1BG-AS1	CMCD270	6.031296019709485
A1BG-AS1	CMCD275	27.227601745333185
A1BG-AS1	CMCD282	4.053057763980817
A1BG-AS1	CMCD286	16.06184322774398
A1BG-AS1	CMCD287	19
A1BG-AS1	CMCD294	1.065596706440916
A1BG-AS1	CMCD327	16.08151146234074
A1BG-AS1	CMCD335	41.19278974864225
A1BG-AS1	CMCD337	11.073529137365028
A1BG-AS1	CMCD357	6.126753569245395
A1BG-AS1	CMCD398	13.07614365971423
A1BG-AS1	CMCD403	23.1647682968008
A1BG-AS1	CMCD422	29.060502277067652
A1BG-AS1	CMCD426	4.465055726107296
A1BG-AS1	CMCD71	6.0380006806659345
A1BG-AS1	CMCD72	1.153507591320982
A1BG-AS1	CMCD76	12.028096937544815
A1BG-AS1	CMCD88	32.0057572553934
A1BG-AS1	CMSA256	33
A1BG-AS1	CMSA316	16.12884800178582
A1BG-AS1	CMUC110	22
A1BG-AS1	CMUC192	4.053763883139217
A1BG-AS1	CMUC199	9.259715122098644
A1BG-AS1	CMUC200	32.07492516678617
A1BG-AS1	CMUC208	6.0146813821184875
A1BG-AS1	CMUC231	20
A1BG-AS1	CMUC234	38
A1BG-AS1	CMUC285	11.121520438390297
A1BG-AS1	CMUC291	10.065747217021629
A1BG-AS1	CMUC295	21.018897793000082
A1BG-AS1	CMUC299	15.044157475716096
A1BG-AS1	CMUC301	14.007557757288849
A1BG-AS1	CMUC307	25.06977103263486
A1BG-AS1	CMUC313	1.0421599703566413
A1BG-AS1	CMUC314	14.792018436601946
A1BG-AS1	CMUC323	12.287781054770946
A1BG-AS1	CMUC324	38.03135631059566
A1BG-AS1	CMUC331	13.11738431538205
A1BG-AS1	CMUC333	4.092941819873844
A1BG-AS1	CMUC334	9.135886552342152
A1BG-AS1	CMUC346	21.225429789374502
A1BG-AS1	CMUC352	17.100935439597077
A1BG-AS1	CMUC360	5.006827256660719
A1BG-AS1	CMUC363	14.37224490490294
A1BG-AS1	CMUC365	11.072486195420874
A1BG-AS1	CMUC366	18.059860708402184
A1BG-AS1	CMUC368	40
A1BG-AS1	CMUC377	23.09332651933961
A1BG-AS1	CMUC379	4.290655672461839
A1BG-AS1	CMUC380	21.38409366268783
A1BG-AS1	CMUC383	1.0141700299218512
A1BG-AS1	CMUC394	17.12847031795252
A1BG-AS1	CMUC419	2.0505312480224824
A1BG-AS1	CMUC427	80
A1BG-AS1	CMUC428	15.094078846344434
A1BG-AS1	CMUC431	19.034211392787054
A1BG-AS1	CMUC435	21.102332600292883
A1BG-AS1	CMUC439	10.063470586203122
A1BG-AS1	CMUC89	32
A1BG-AS1	CS219	14.03506936505921
A1BG-AS1	CS256	10.02266574999606
A1BG-AS1	CS257	1.097566066656918
A1BG-AS1	CS259	20.030912224546277
A1BG-AS1	CS261	1.0244173651114068
A1BG-AS1	CS266	1.0363781441197382
A1BG-AS1	CS270	1.0131504095393318
A1BG-AS1	CS277	3.902685642111163
A1BG-AS1	CS288	4.036118250886785
A1BG-AS1	CS290	8.064535443744623
A1BG-AS1	CS292	5.070705626693528
A1BG-AS1	CS293	9.155232662468872
A1BG-AS1	CS301	1.0274424133190114
A1BG-AS1	CS306	1.0397105451448088
A1BG-AS1	CS308	2.053131477657178
A1BG-AS1	CS315	1.0280977327929282
A1BG-AS1	CS317	1.074639904418001
A1BG-AS1	CS322	7.093476636775505
A1BG-AS1	CS327	16.075995711952718
A1BG-AS1	CS328	1.059153926433811
A1BG-AS1	CS330	1.0796669003492032
A1BG-AS1	CS331	1.019195220950249
A1BG-AS1	CS335	1.0106122784979463
A1BG-AS1	CS338	3.0931510294953277
A1BG-AS1	CS339	1.174554553094111
A1BG-AS1	CS343	3.0237777652852036
A1BG-AS1	CS344	7.09968876700036
A1BG-AS1	CS350	13.310435786527083
A1BG-AS1	CS351	3.0248782680171185
A1BG-AS1	CS361	11.264497317507953
A1BG-AS1	CS388	1.0351454818099886
A1BG-AS1	CS396	14.150928532853731
A1BG-AS1	CS405	4.101979113545742
A1BG-AS1	CS415	1.079088642619474
A1BG-AS1	CS424	1.0386323617220947
A1BG-AS1	IM293	7.037260071239154
A1BG-AS1	IM296	2.13870039021122
A1BG-AS1	IM297	4.407607962287269
A1BG-AS1	IM300	38
A1BG-AS1	IM305	12.11981047697691
A1BG-AS1	IM309	1.0710522602925363
A1BG-AS1	IM310	16.219547839164946
A1BG-AS1	IM311	11.136751852412475
A1BG-AS1	IM316	9.046175136358668
A1BG-AS1	IM320	1.0484230527074043
A1BG-AS1	IM330	5.052976753408953
A1BG-AS1	IM332	1.0316333002492235
A1BG-AS1	IM340	1.0589639229808667
A1BG-AS1	IM348	6.227773749463057
A1BG-AS1	IM354	10.072190872592303
A1BG-AS1	IM356	1.0090302664981228
A1BG-AS1	IM364	1.0175184396804131
A1BG-AS1	IM372	1
A1BG-AS1	IM374	1.0508278736736867
A1BG-AS1	IM376	2.0312139460346654
A1BG-AS1	IM381	5.061765663960218
A1BG-AS1	IM382	6.193576625606897
A1BG-AS1	IM385	14
A1BG-AS1	IM390	1.0289440666365008
A1BG-AS1	IM397	4.045167656345525
A1BG-AS1	IM404	19.053345129473865
A1BG-AS1	IM409	18.101408654030834
A1BG-AS1	IM412	40
A1BG-AS1	IM421	22.350633057695443
A1BG-AS1	IM425	1.0558354963791774
A1BG-AS1	IM432	3.1306244883522325
A1BG-AS1	IM438	31
A1BG-AS1	IM442	12.52747537898861
A1BG-AS1	IM445	11.128132860106643
A1BG-AS1	IM448	5.116717195633532
A1BG-AS1	IM449	18.149824424802222
A1BG-AS1	IM451	7.035779114495372
A1BG-AS1	IMSA256	4.016285023256244
A1BG-AS1	IMSA276	41
A1BG-AS1	IMSA286	32
A1BG-AS1	IMSA343	6.074490169719462
A1BG-AS1	IS_238	10
A1BG-AS1	IS238	53.20771687142687
A1BG-AS1	IS243	14
A1BG-AS1	IS253	24
A1BG-AS1	IS283	31
A1BG-AS1	IS322	7.073304573486564
A1BG-AS1	IS399	8.059136331577427
A1BG-AS1	IS418	1.0977638324653358
A1BG-AS1	IS430	1.0866656304954692
A1BG-AS1	IS437	1.084033769019979
A1BG-AS1	IS444	1.038269986062024
A1BG-AS1	R276CMSA	1.0669696277752094
A1BG-AS1	R286CMSA	17
A1BG-AS1	R292CMSA	19.07845874283482
A1BG-AS1	R292IMSA	1.0788219939158086
A1BG-AS1	R308CMSA	1.0712088352624616
A1BG-AS1	R316IMSA	7.140409283334096
A1BG-AS1	R347CMSA	1.070052450835456
A1BG-AS1	R347IMSA	3.2020600062712763
A1BG-AS1	R371CMSA	16.06437991860161
A1BG-AS1	SRR10104064	1.1179560603118057
A1BG-AS1	SRR10104065	5.02931168799765
A1BG-AS1	SRR10104066	1.0187893638977605
A1BG-AS1	SRR10104067	1.023521938291243
A1BG-AS1	SRR10104068	4.018808755965097
A1BG-AS1	SRR10104069	1.0115080415029285
A1BG-AS1	SRR10104070	1.0296809562050373
A1BG-AS1	SRR10104071	1.1645245250191503
A1BG-AS1	SRR10104072	2.1486091010944555
A1BG-AS1	SRR10104073	1.0468320490892598
A1BG-AS1	SRR10104074	1.1037284927768123
A1BG-AS1	SRR10104075	1.1607977517009396
A1BG-AS1	SRR10104076	1.0280580636476564
A1BG-AS1	SRR10104077	1.1074748287827698
A1BG-AS1	SRR10104078	2.085103051639672
A1BG-AS1	SRR10104079	1.0967600863718163
A1BG-AS1	SRR10104080	1.1296658995583662
A1BG-AS1	SRR10104081	2.0317975226151828
A1BG-AS1	SRR10104082	1.089411904515549
A1BG-AS1	SRR10104083	1.0681434912332077
A1BG-AS1	SRR10104084	1.0726512519873828
A1BG-AS1	SRR10104085	1.0226307983771519
A1BG-AS1	SRR10104086	1.0250912339435476
A1BG-AS1	SRR10104087	1.0032266090038542
A1BG-AS1	SRR10104088	3.027343107173411
A1BG-AS1	SRR10104089	1.1448723975995108
A1BG-AS1	SRR10104090	1.0265578899448458
A1BG-AS1	SRR10104091	1.0435712655126905
A1BG-AS1	SRR10104092	1.012780166831209
A1BG-AS1	SRR10104093	1.0356287123884913
A1BG-AS1	SRR10104094	1.035188083917684
A1BG-AS1	SRR10104095	3.171648971626683
A1BG-AS1	SRR10104096	1.154072664928297
A1BG-AS1	SRR10104097	1.0681804047616614
A1BG-AS1	SRR10104098	1.0300924267961133
A1BG-AS1	SRR10104099	1.0493908160133256
A1BG-AS1	SRR10104100	1.0295489140959984
A1BG-AS1	SRR10104101	2.0111576347660587
A1BG-AS1	SRR10104102	1.0153862116885626
A1BG-AS1	SRR10104103	1.0542185516886984
A1BG-AS1	SRR10104104	1.015545567873316
A1BG-AS1	SRR10104105	1.0872921557787103
A1BG-AS1	SRR10104106	1.1382385722253068
A1BG-AS1	SRR10104107	1.009713181748909
A1BG-AS1	SRR10104108	3.0206301168920526
A1BG-AS1	SRR10104109	1.1285448548113846
A1BG-AS1	SRR10104110	1.1982558131462344
A1BG-AS1	SRR10104111	1.033999484700198
A1BG-AS1	SRR10104112	1.196151394106599
A1BG-AS1	SRR10104113	1.0367667336286073
A1BG-AS1	SRR10104114	1.1797749232980566
A1BG-AS1	SRR10104115	1.1539300414205504
A1BG-AS1	SRR10104116	1.0484838381678343
A1BG-AS1	SRR10104117	1.0397805115928114
A1BG-AS1	SRR10104118	1.1532185893604232
A1BG-AS1	SRR10104119	2.392232047536874
A1BG-AS1	SRR10104120	1.0276522924898637
A1BG-AS1	SRR10104121	1.0875994884831564
A1BG-AS1	SRR10104122	2.1948481681967955
A1BG-AS1	SRR10104123	1.088908451656757
A1BG-AS1	SRR10104124	1.1238315434764439
A1BG-AS1	SRR10104125	1.1079317051896935
A1BG-AS1	SRR10104126	1.0413760131533707
A1BG-AS1	SRR10104127	1.1950034546227775
A1BG-AS1	SRR10104128	1.0292440228725637
A1BG-AS1	SRR10104129	1.0264953814675468
A1BG-AS1	SRR10104130	1.0428120700793675
A1BG-AS1	SRR10104131	1.0114152828538723
A1BG-AS1	SRR10104132	1.0072357936683587
A1BG-AS1	SRR10104133	1.174211329039626
A1BG-AS1	SRR10104134	1.0306607864494586
A1BG-AS1	SRR10104135	1.1090055968040526
A1BG-AS1	SRR10104136	1.0151059276480439
A1BG-AS1	SRR10104137	1.11571326324573
A1BG-AS1	SRR10104138	1.2032421439416108
A1BG-AS1	SRR10104139	1.011384661421074
A1BG-AS1	SRR10104140	1.1520788995831306
A1BG-AS1	SRR10104141	1.0629712733589745
A1BG-AS1	SRR10104142	1.0543848155228712
A1BG-AS1	SRR10104143	1.0082070886357917
A1BG-AS1	SRR10104144	1.0629170535669703
A1BG-AS1	SRR10104145	1.0674436205705187
A1BG-AS1	SRR10104146	2.0192696708551625
A1BG-AS1	SRR10104147	1.001725803535813
A1BG-AS1	SRR10104148	2.1099706184737177
A1BG-AS1	SRR10104149	2.098057677254834
A1BG-AS1	SRR10104150	1.011649190933472
A1BG-AS1	SRR10104151	2.0153312224635394
A1BG-AS1	SRR10104152	1.0056231596200704
A1BG-AS1	SRR10104153	1.1090448059186007
A1BG-AS1	SRR10104154	1.0308254672852508
A1BG-AS1	SRR10104155	1.0945296244428142
A1BG-AS1	SRR10104156	3.012213767442183
A1BG-AS1	SRR10104157	4.20421213149885
A1BG-AS1	SRR10104158	1.020624122067864
A1BG-AS1	SRR10104159	1.0126835131605874
A1BG-AS1	SRR10104160	1.1341221894029845
A1BG-AS1	SRR10104161	3.0051774106074394
A1BG-AS1	SRR10104162	1.0205680066223681
A1BG-AS1	SRR10104163	1.0307377028341849
A1BG-AS1	SRR10104164	1.0197194059159864
A1BG-AS1	SRR10104165	1.040022775547219
A1BG-AS1	SRR10104166	1.0414489331412757
A1BG-AS1	SRR10104167	1.0226732249526922
A1BG-AS1	SRR10104168	1.0295581876350235
A1BG-AS1	SRR10104169	1.0250719923527887
A1BG-AS1	SRR10104170	1.0302756593832063
A1BG-AS1	SRR10104171	1.024201720753579
A1BG-AS1	SRR10104172	1.0344820282210125
A1BG-AS1	SRR10104173	1.0633328669737119
A1BG-AS1	SRR10104174	1.0345962791600762
A1BG-AS1	SRR10104175	2.0460042028373806
A1BG-AS1	SRR10104176	1.0227388121254402
A1BG-AS1	SRR10104177	1.0255860457106911
A1BG-AS1	SRR10104178	1.0391284878454128
A1BG-AS1	SRR10104179	1.0352438239475827
A1BG-AS1	SRR10104180	1.0221622395262338
A1BG-AS1	SRR10104181	1.0273300586334224
A1BG-AS1	SRR10104182	1.03581310027694
A1BG-AS1	SRR10104183	1.0495457878506822
A1BG-AS1	SRR10104184	1.0216801788447836
A1BG-AS1	SRR10104185	1.0680326934790583
A1BG-AS1	SRR10104186	1.0337126654394952
A1BG-AS1	SRR10104187	1.08314048989755
A1BG-AS1	SRR10104188	1.0575573372950207
A1BG-AS1	SRR10104189	1.0642316786828623
A1BG-AS1	SRR10104190	1.1537351513447252
A1BG-AS1	SRR10104191	1.1479165451510602
A1BG-AS1	SRR10104192	1.0262160163146257
A1BG-AS1	SRR10104193	1.0405156207673774
A1BG-AS1	SRR10104194	1.0440699430515605
A1BG-AS1	SRR10104195	1.043274192034852
A1BG-AS1	SRR10104196	1.0417510007924862
A1BG-AS1	SRR10104197	1.0170404503533719
A1BG-AS1	SRR10104198	1.026098752391176
A1BG-AS1	SRR10104199	1.0872127593680536
A1BG-AS1	SRR10104200	1.0371450754082652
A1BG-AS1	SRR10104201	1.026477521264441
A1BG-AS1	SRR10104202	1.0708063663103926
A1BG-AS1	SRR10104203	1.0228018324887769
A1BG-AS1	SRR10104204	1.0318128567939144
A1BG-AS1	SRR10104205	1.0272725468118635
A1BG-AS1	SRR10104206	1.0296809562050373
A1BG-AS1	SRR10104207	1.03331284099216
A1BG-AS1	SRR10104208	2.035955317031973
A1BG-AS1	SRR10104209	1.0232312727093706
A1BG-AS1	SRR10104210	1.026565738828589
A1BG-AS1	SRR10104211	1.0187996043213206
A1BG-AS1	SRR10104212	1.0188229407442393
A1BG-AS1	SRR10104213	2.1266581248918555
A1BG-AS1	SRR10104214	1.0304964007766504
A1BG-AS1	SRR10104215	2.0214925460281843
A1BG-AS1	SRR10104216	1.0646968641090635
A1BG-AS1	SRR10104217	1.0251225706170004
A1BG-AS1	SRR10104218	1.0673493806865135
A1BG-AS1	SRR10104219	1.0677693536884163
A1BG-AS1	SRR10104220	1.03612780768291
A1BG-AS1	SRR10104221	1.0942222732531273
A1BG-AS1	SRR10104222	1.0390869152633764
A1BG-AS1	SRR10104223	1.1857794402358917
A1BG-AS1	SRR10104224	1.0256121210016478
A1BG-AS1	SRR10104225	1.0325580117038289
A1BG-AS1	SRR10104226	1.0398745671647396
A1BG-AS1	SRR10104227	1.081718148831294
A1BG-AS1	SRR10104228	1.1285448548113846
