Gene	sample	counts
AC096670.3	CM317	2.1053246445519345
AC096670.3	CMCD140	2.018825078839646
AC096670.3	CMCD147	3.121740538050808
AC096670.3	CMCD152	12
AC096670.3	CMCD154	7.06886267759259
AC096670.3	CMCD159	2.1758502977367935
AC096670.3	CMCD161	3.009280834106082
AC096670.3	CMCD174	2.1897135680011766
AC096670.3	CMCD196	2.018858894846975
AC096670.3	CMCD198	2.0600566501064232
AC096670.3	CMCD203	4.01279670434901
AC096670.3	CMCD211	16.074876106708842
AC096670.3	CMCD227	13.153768040535292
AC096670.3	CMCD240	7.459188883902951
AC096670.3	CMCD259	9
AC096670.3	CMCD270	9.046944029564228
AC096670.3	CMCD275	2.016859388543199
AC096670.3	CMCD282	10.132644409952043
AC096670.3	CMCD286	35.902943685545374
AC096670.3	CMCD287	9
AC096670.3	CMCD294	2.131193412881832
AC096670.3	CMCD327	6.030566798377777
AC096670.3	CMCD335	4.018808755965097
AC096670.3	CMCD337	8.053475736265476
AC096670.3	CMCD357	2.042251189748465
AC096670.3	CMCD398	8.046857636747218
AC096670.3	CMCD403	2.014327677982678
AC096670.3	CMCD422	8.016690283329007
AC096670.3	CMCD426	2.232527863053648
AC096670.3	CMCD71	5.031667233888279
AC096670.3	CMCD72	2.307015182641964
AC096670.3	CMCD76	12.028096937544815
AC096670.3	CMCD88	11.001979056541481
AC096670.3	CMSA256	9
AC096670.3	CMSA316	4.032212000446455
AC096670.3	CMUC110	9
AC096670.3	CMUC192	2.0268819415696084
AC096670.3	CMUC199	3.0865717073662147
AC096670.3	CMUC200	6.014048468772407
AC096670.3	CMUC208	5.01223448509874
AC096670.3	CMUC231	8
AC096670.3	CMUC234	25
AC096670.3	CMUC285	5.05523656290468
AC096670.3	CMUC291	5.0328736085108146
AC096670.3	CMUC295	8.007199159238127
AC096670.3	CMUC299	8.023550653715251
AC096670.3	CMUC301	22.01187647573962
AC096670.3	CMUC307	19.053025984802495
AC096670.3	CMUC313	2.0843199407132826
AC096670.3	CMUC314	7.396009218300973
AC096670.3	CMUC323	7.167872281949719
AC096670.3	CMUC324	20.016503321366137
AC096670.3	CMUC331	5.045147813608481
AC096670.3	CMUC333	4.092941819873844
AC096670.3	CMUC334	2.0301970116315893
AC096670.3	CMUC346	6.064408511249858
AC096670.3	CMUC352	3.0178121363994843
AC096670.3	CMUC360	3.0040963539964314
AC096670.3	CMUC363	2.0531778435575627
AC096670.3	CMUC365	10.065896541291703
AC096670.3	CMUC366	8.02660475928986
AC096670.3	CMUC368	9
AC096670.3	CMUC377	12.048692097046752
AC096670.3	CMUC379	2.1453278362309196
AC096670.3	CMUC380	6.109741046482238
AC096670.3	CMUC383	2.0283400598437025
AC096670.3	CMUC394	9.06801369773957
AC096670.3	CMUC419	2.0505312480224824
AC096670.3	CMUC427	9
AC096670.3	CMUC428	4.0250876923585155
AC096670.3	CMUC431	22.039613191648165
AC096670.3	CMUC435	8.038983847730622
AC096670.3	CMUC439	4.025388234481249
AC096670.3	CMUC89	10
AC096670.3	CS219	12.030059455765036
AC096670.3	CS256	11.024932324995666
AC096670.3	CS257	2.195132133313836
AC096670.3	CS259	5.007728056136569
AC096670.3	CS261	2.0488347302228136
AC096670.3	CS266	2.0727562882394763
AC096670.3	CS270	3.0394512286179953
AC096670.3	CS277	13.65939974738907
AC096670.3	CS288	6.054177376330178
AC096670.3	CS290	3.0242007914042337
AC096670.3	CS292	4.056564501354822
AC096670.3	CS293	11.189728809684176
AC096670.3	CS301	6.164654479914069
AC096670.3	CS306	2.0794210902896175
AC096670.3	CS308	2.053131477657178
AC096670.3	CS315	2.0561954655858563
AC096670.3	CS317	2.149279808836002
AC096670.3	CS322	2.0267076105072874
AC096670.3	CS327	11.052247051967495
AC096670.3	CS328	2.118307852867622
AC096670.3	CS330	28.071339409079286
AC096670.3	CS331	2.038390441900498
AC096670.3	CS335	13.137959620473303
AC096670.3	CS338	2.0621006863302185
AC096670.3	CS339	2.349109106188222
