Gene	sample	counts
ACTA1	CM317	1.0526623222759672
ACTA1	CMCD140	3.0282376182594692
ACTA1	CMCD147	1.0405801793502694
ACTA1	CMCD152	5
ACTA1	CMCD154	7.06886267759259
ACTA1	CMCD159	1.0879251488683968
ACTA1	CMCD161	6.018561668212164
ACTA1	CMCD174	1.0948567840005883
ACTA1	CMCD196	15.141441711352313
ACTA1	CMCD198	1.0300283250532116
ACTA1	CMCD203	52.16635715653713
ACTA1	CMCD211	6.429950442683536
ACTA1	CMCD227	6.576884020267646
ACTA1	CMCD240	2.7971958314636067
ACTA1	CMCD259	3
ACTA1	CMCD270	5.0260800164245705
ACTA1	CMCD275	2.016859388543199
ACTA1	CMCD282	4.053057763980817
ACTA1	CMCD286	1.8896286150287038
ACTA1	CMCD287	4
ACTA1	CMCD294	1.065596706440916
ACTA1	CMCD327	5.025472331981481
ACTA1	CMCD335	1.0047021889912742
ACTA1	CMCD337	4.026737868132738
ACTA1	CMCD357	3.0633767846226974
ACTA1	CMCD398	6.035143227560414
ACTA1	CMCD403	7.050146872939374
ACTA1	CMCD422	39.081365131228914
ACTA1	CMCD426	4.465055726107296
ACTA1	CMCD71	2.012666893555312
ACTA1	CMCD72	1.153507591320982
ACTA1	CMCD76	1.002341411462068
ACTA1	CMCD88	5.000899571155219
ACTA1	CMSA256	4
ACTA1	CMSA316	10.080530001116136
ACTA1	CMUC110	5
ACTA1	CMUC192	4.053763883139217
ACTA1	CMUC199	2.0577144715774764
ACTA1	CMUC200	4.009365645848272
ACTA1	CMUC208	4.009787588078992
ACTA1	CMUC231	8
ACTA1	CMUC234	2
ACTA1	CMUC285	2.022094625161872
ACTA1	CMUC291	7.0460230519151406
ACTA1	CMUC295	4.003599579619063
ACTA1	CMUC299	4.0117753268576255
ACTA1	CMUC301	3.001619519419039
ACTA1	CMUC307	2.005581682610789
ACTA1	CMUC313	1.0421599703566413
ACTA1	CMUC314	3.169718236414703
ACTA1	CMUC323	2.047963509128491
ACTA1	CMUC324	6.004950996409842
ACTA1	CMUC331	5.045147813608481
ACTA1	CMUC333	1.023235454968461
ACTA1	CMUC334	2.0301970116315893
ACTA1	CMUC346	6.064408511249858
ACTA1	CMUC352	4.023749515199312
ACTA1	CMUC360	1.0013654513321437
ACTA1	CMUC363	1.0265889217787814
ACTA1	CMUC365	1.0065896541291703
ACTA1	CMUC366	8.02660475928986
ACTA1	CMUC368	4
ACTA1	CMUC377	6.024346048523376
ACTA1	CMUC379	5.363319590577299
ACTA1	CMUC380	2.0365803488274126
ACTA1	CMUC383	1.0141700299218512
ACTA1	CMUC394	1.007557077526619
ACTA1	CMUC419	4.101062496044965
ACTA1	CMUC427	7
ACTA1	CMUC428	2.0125438461792577
ACTA1	CMUC431	13.023407795064825
ACTA1	CMUC435	5.024364904831638
ACTA1	CMUC439	4.025388234481249
ACTA1	CMUC89	9
ACTA1	CS219	6.015029727882518
ACTA1	CS256	8.018132599996848
ACTA1	CS257	1.097566066656918
ACTA1	CS259	6.009273667363884
ACTA1	CS261	2.0488347302228136
ACTA1	CS266	1.0363781441197382
ACTA1	CS270	2.0263008190786636
ACTA1	CS277	14.63507115791686
ACTA1	CS288	2.0180591254433926
ACTA1	CS290	2.0161338609361557
ACTA1	CS292	1.0141411253387056
ACTA1	CS293	1.0172480736076523
ACTA1	CS301	4.109769653276046
ACTA1	CS306	2.0794210902896175
ACTA1	CS308	4.106262955314356
ACTA1	CS315	4.112390931171713
ACTA1	CS317	1.074639904418001
ACTA1	CS322	4.053415221014575
ACTA1	CS327	1.0047497319970449
ACTA1	CS328	1.059153926433811
ACTA1	CS330	1.0796669003492032
ACTA1	CS331	7.134366546651743
ACTA1	CS335	1.0106122784979463
ACTA1	CS338	1.0310503431651092
ACTA1	CS339	1.174554553094111
ACTA1	CS343	1.0079259217617345
ACTA1	CS344	4.056965009714491
ACTA1	CS350	1.0238796758866986
ACTA1	CS351	1.008292756005706
ACTA1	CS361	2.0480904213650826
ACTA1	CS388	1.0351454818099886
ACTA1	CS396	2.0215612189791043
ACTA1	CS405	4.101979113545742
ACTA1	CS415	1.079088642619474
ACTA1	CS424	1.0386323617220947
ACTA1	IM293	4.021291469279516
ACTA1	IM296	1.06935019510561
ACTA1	IM297	1.1019019905718173
ACTA1	IM300	4
ACTA1	IM305	2.019968412829485
ACTA1	IM309	1.0710522602925363
ACTA1	IM310	9.123495659530281
ACTA1	IM311	1.0124319865829523
ACTA1	IM316	1.0051305707065186
ACTA1	IM320	2.0968461054148086
ACTA1	IM330	1.0105953506817906
ACTA1	IM332	1.0316333002492235
ACTA1	IM340	1.0589639229808667
ACTA1	IM348	5.189811457885881
ACTA1	IM354	2.0144381745184607
ACTA1	IM356	8.072242131984982
ACTA1	IM364	3.0525553190412396
ACTA1	IM372	1
ACTA1	IM374	1.0508278736736867
ACTA1	IM376	2.0312139460346654
ACTA1	IM381	3.0370593983761305
ACTA1	IM382	1.032262770934483
ACTA1	IM385	16
ACTA1	IM390	1.0289440666365008
ACTA1	IM397	2.0225838281727624
ACTA1	IM404	5.014038191966806
ACTA1	IM409	3.0169014423384724
ACTA1	IM412	4
ACTA1	IM421	1.0159378662588836
ACTA1	IM425	1.0558354963791774
ACTA1	IM432	1.0435414961174108
ACTA1	IM438	3
ACTA1	IM442	2.0879125631647684
ACTA1	IM445	1.0116484418278766
ACTA1	IM448	1.0233434391267064
ACTA1	IM449	2.016647158311358
ACTA1	IM451	9.046001718636907
ACTA1	IMSA256	3.012213767442183
ACTA1	IMSA276	6
ACTA1	IMSA286	2
ACTA1	IMSA343	10.12415028286577
ACTA1	IS_238	2
ACTA1	IS238	5.627739284477841
ACTA1	IS243	6
ACTA1	IS253	4
ACTA1	IS283	8
ACTA1	IS322	1.010472081926652
ACTA1	IS399	6.044352248683071
ACTA1	IS418	2.1955276649306716
ACTA1	IS430	2.1733312609909383
ACTA1	IS437	1.084033769019979
ACTA1	IS444	1.038269986062024
ACTA1	R276CMSA	1.0669696277752094
ACTA1	R286CMSA	2
ACTA1	R292CMSA	2.0082588150352443
ACTA1	R292IMSA	1.0788219939158086
ACTA1	R308CMSA	1.0712088352624616
ACTA1	R316IMSA	1.020058469047728
ACTA1	R347CMSA	1.070052450835456
ACTA1	R347IMSA	1.0673533354237588
ACTA1	R371CMSA	4.016094979650402
ACTA1	SRR10104064	3.353868180935417
ACTA1	SRR10104065	3.01758701279859
ACTA1	SRR10104066	3.056368091693282
ACTA1	SRR10104067	3.0705658148737296
ACTA1	SRR10104068	3.014106566973823
ACTA1	SRR10104069	3.0345241245087853
ACTA1	SRR10104070	3.089042868615112
ACTA1	SRR10104071	3.493573575057451
ACTA1	SRR10104072	3.2229136516416834
ACTA1	SRR10104073	3.1404961472677795
ACTA1	SRR10104074	3.311185478330437
ACTA1	SRR10104075	3.482393255102819
ACTA1	SRR10104076	3.084174190942969
ACTA1	SRR10104077	3.3224244863483094
ACTA1	SRR10104078	3.127654577459508
ACTA1	SRR10104079	3.290280259115449
ACTA1	SRR10104080	3.3889976986750985
ACTA1	SRR10104081	15.238481419613873
ACTA1	SRR10104082	3.2682357135466473
ACTA1	SRR10104083	3.2044304736996234
ACTA1	SRR10104084	3.217953755962148
ACTA1	SRR10104085	3.067892395131456
ACTA1	SRR10104086	15.376368509153215
ACTA1	SRR10104087	3.0096798270115626
ACTA1	SRR10104088	15.136715535867056
ACTA1	SRR10104089	3.4346171927985325
ACTA1	SRR10104090	3.0796736698345373
ACTA1	SRR10104091	3.1307137965380716
ACTA1	SRR10104092	3.0383405004936272
ACTA1	SRR10104093	3.1068861371654735
ACTA1	SRR10104094	3.105564251753052
ACTA1	SRR10104095	15.858244858133416
ACTA1	SRR10104096	3.462217994784891
ACTA1	SRR10104097	3.2045412142849843
ACTA1	SRR10104098	3.0902772803883396
ACTA1	SRR10104099	3.1481724480399764
ACTA1	SRR10104100	3.0886467422879953
ACTA1	SRR10104101	3.0167364521490883
ACTA1	SRR10104102	3.0461586350656877
ACTA1	SRR10104103	3.1626556550660956
ACTA1	SRR10104104	3.046636703619948
ACTA1	SRR10104105	3.2618764673361307
ACTA1	SRR10104106	3.4147157166759206
ACTA1	SRR10104107	3.029139545246727
ACTA1	SRR10104108	3.0206301168920526
ACTA1	SRR10104109	3.3856345644341532
ACTA1	SRR10104110	3.5947674394387032
ACTA1	SRR10104111	3.101998454100594
ACTA1	SRR10104112	3.588454182319797
ACTA1	SRR10104113	3.110300200885822
ACTA1	SRR10104114	3.53932476989417
ACTA1	SRR10104115	17.308950621308256
ACTA1	SRR10104116	3.145451514503503
ACTA1	SRR10104117	3.119341534778434
ACTA1	SRR10104118	3.45965576808127
ACTA1	SRR10104119	3.5883480713053104
ACTA1	SRR10104120	3.082956877469591
ACTA1	SRR10104121	3.262798465449469
ACTA1	SRR10104122	3.2922722522951933
ACTA1	SRR10104123	3.2667253549702715
ACTA1	SRR10104124	3.3714946304293316
ACTA1	SRR10104125	3.3237951155690806
ACTA1	SRR10104126	3.1241280394601123
ACTA1	SRR10104127	3.585010363868333
ACTA1	SRR10104128	3.087732068617691
ACTA1	SRR10104129	3.0794861444026407
ACTA1	SRR10104130	3.1284362102381023
ACTA1	SRR10104131	3.0342458485616164
ACTA1	SRR10104132	3.0217073810050756
ACTA1	SRR10104133	3.522633987118878
ACTA1	SRR10104134	3.0919823593483757
ACTA1	SRR10104135	3.327016790412158
ACTA1	SRR10104136	3.0453177829441316
ACTA1	SRR10104137	16.73569894868595
ACTA1	SRR10104138	3.6097264318248325
ACTA1	SRR10104139	28.31877051979007
ACTA1	SRR10104140	3.4562366987493918
ACTA1	SRR10104141	3.188913820076923
ACTA1	SRR10104142	3.163154446568613
ACTA1	SRR10104143	3.024621265907375
ACTA1	SRR10104144	3.1887511607009107
ACTA1	SRR10104145	16.01165430855778
ACTA1	SRR10104146	15.144522531413719
ACTA1	SRR10104147	15.025887053037197
ACTA1	SRR10104148	3.1649559277105763
ACTA1	SRR10104149	15.735432579411253
ACTA1	SRR10104150	3.034947572800416
ACTA1	SRR10104151	3.022996833695309
ACTA1	SRR10104152	3.0168694788602117
ACTA1	SRR10104153	3.327134417755802
ACTA1	SRR10104154	3.0924764018557527
ACTA1	SRR10104155	3.283588873328443
ACTA1	SRR10104156	3.012213767442183
ACTA1	SRR10104157	3.153159098624138
ACTA1	SRR10104158	3.0618723662035916
ACTA1	SRR10104159	3.0380505394817616
ACTA1	SRR10104160	3.4023665682089534
ACTA1	SRR10104161	3.0051774106074394
ACTA1	SRR10104162	3.0617040198671046
ACTA1	SRR10104163	15.461065542512774
ACTA1	SRR10104164	3.0591582177479593
ACTA1	SRR10104165	3.1200683266416567
ACTA1	SRR10104166	3.1243467994238276
ACTA1	SRR10104167	3.0680196748580766
ACTA1	SRR10104168	3.0886745629050707
ACTA1	SRR10104169	3.0752159770583662
ACTA1	SRR10104170	3.090826978149619
ACTA1	SRR10104171	3.0726051622607367
