Gene	sample	counts
AE000658.25	CM317	1.052160686909921
AE000658.25	CMCD140	1.0094128350688558
AE000658.25	CMCD147	1.0404565910580479
AE000658.25	CMCD152	1
AE000658.25	CMCD154	1.0098993269771894
AE000658.25	CMCD159	1.0863042186135794
AE000658.25	CMCD161	1.0030629480920839
AE000658.25	CMCD174	1.092629434806816
AE000658.25	CMCD196	1.0091897168260358
AE000658.25	CMCD198	1.029495742835047
AE000658.25	CMCD203	1.0032393128452408
AE000658.25	CMCD211	0.8033786974576899
AE000658.25	CMCD227	0.8221105025334557
AE000658.25	CMCD240	0.9299660389313402
AE000658.25	CMCD259	1
AE000658.25	CMCD270	1.0051908134952228
AE000658.25	CMCD275	1.008539072196977
AE000658.25	CMCD282	1.0131607869251968
AE000658.25	CMCD286	0.9425038392922207
AE000658.25	CMCD287	1
AE000658.25	CMCD294	1.0639520056991958
AE000658.25	CMCD327	1.0051387872752835
AE000658.25	CMCD335	1.0047054282731729
AE000658.25	CMCD337	1.0066743151229853
AE000658.25	CMCD357	1.0211504641864628
AE000658.25	CMCD398	1.0060023577013604
AE000658.25	CMCD403	1.0071810043238532
AE000658.25	CMCD422	1.0020862854161259
AE000658.25	CMCD426	1.1140469611806236
AE000658.25	CMCD71	1.0063862990277392
AE000658.25	CMCD72	1.1510750061651915
AE000658.25	CMCD76	1.0022972139313746
AE000658.25	CMCD88	1.0001799142310437
AE000658.25	CMSA256	1
AE000658.25	CMSA316	1.0081545114583668
AE000658.25	CMUC110	1
AE000658.25	CMUC192	1.0134604497462807
AE000658.25	CMUC199	1.0281874054164815
AE000658.25	CMUC200	1.002341411462068
AE000658.25	CMUC208	1.002446897019748
AE000658.25	CMUC231	1
AE000658.25	CMUC234	1
AE000658.25	CMUC285	1.0111269374447733
AE000658.25	CMUC291	1.0066043693551068
AE000658.25	CMUC295	1.0008998949047658
AE000658.25	CMUC299	1.0029270323451933
AE000658.25	CMUC301	2.0010796796126926
AE000658.25	CMUC307	1.0027601872840743
AE000658.25	CMUC313	1.0420413939922741
AE000658.25	CMUC314	1.055846512835873
AE000658.25	CMUC323	1.0241049068913428
AE000658.25	CMUC324	1.0008998949047658
