Gene	sample	counts
AF186192.5	CM317	3.156482060729763
AF186192.5	CMCD140	1.0094128350688558
AF186192.5	CMCD147	1.0404565910580479
AF186192.5	CMCD152	12
AF186192.5	CMCD154	18.17818788558941
AF186192.5	CMCD159	1.0863042186135794
AF186192.5	CMCD161	4.012251792368335
AF186192.5	CMCD174	1.092629434806816
AF186192.5	CMCD196	3.027569150478107
AF186192.5	CMCD198	1.029495742835047
AF186192.5	CMCD203	66.2137946477859
AF186192.5	CMCD211	16.87095264661149
AF186192.5	CMCD227	2.4663315076003673
AF186192.5	CMCD240	16.739388700764124
AF186192.5	CMCD259	13
AF186192.5	CMCD270	3.0155724404856685
AF186192.5	CMCD275	16.13662515515163
AF186192.5	CMCD282	4.052643147700787
AF186192.5	CMCD286	9.425038392922207
AF186192.5	CMCD287	31
AF186192.5	CMCD294	8.511616045593566
AF186192.5	CMCD327	6.030832723651701
AF186192.5	CMCD335	1.0047054282731729
AF186192.5	CMCD337	16.106789041967765
AF186192.5	CMCD357	6.126902785118777
AF186192.5	CMCD398	18.108042438624487
AF186192.5	CMCD403	1.0071810043238532
AF186192.5	CMCD422	6.012517712496756
AF186192.5	CMCD426	1.1140469611806236
AF186192.5	CMCD71	4.025545196110957
AF186192.5	CMCD72	1.1510750061651915
AF186192.5	CMCD76	8.018377711450997
AF186192.5	CMCD88	11.001979056541481
AF186192.5	CMSA256	14
AF186192.5	CMSA316	9.073390603125302
AF186192.5	CMUC110	19
AF186192.5	CMUC192	2.0269208994925614
AF186192.5	CMUC199	1.0281874054164815
AF186192.5	CMUC200	3.0070242343862037
AF186192.5	CMUC208	2.004893794039496
AF186192.5	CMUC231	15
AF186192.5	CMUC234	12
AF186192.5	CMUC285	1.0111269374447733
AF186192.5	CMUC291	1.0066043693551068
AF186192.5	CMUC295	15.013498423571486
AF186192.5	CMUC299	3.00878109703558
AF186192.5	CMUC301	5.002699199031732
AF186192.5	CMUC307	5.013800936420371
AF186192.5	CMUC313	1.0420413939922741
AF186192.5	CMUC314	5.279232564179365
AF186192.5	CMUC323	1.0241049068913428
AF186192.5	CMUC324	5.004499474523829
AF186192.5	CMUC331	1.0091574614003984
AF186192.5	CMUC333	11.255626294042465
AF186192.5	CMUC334	8.120104057272421
AF186192.5	CMUC346	2.0216987679821035
AF186192.5	CMUC352	9.05448568943439
AF186192.5	CMUC360	2.0028804410204066
AF186192.5	CMUC363	5.131877838521642
AF186192.5	CMUC365	12.08030809283886
AF186192.5	CMUC366	18.060281889744136
AF186192.5	CMUC368	8
AF186192.5	CMUC377	3.012245681593573
AF186192.5	CMUC379	3.212419098931178
AF186192.5	CMUC380	1.01827642435426
AF186192.5	CMUC383	1.0142859766464112
AF186192.5	CMUC394	1.0076216931317499
AF186192.5	CMUC419	1.0249492522957178
AF186192.5	CMUC427	7
AF186192.5	CMUC428	7.044429410342185
AF186192.5	CMUC431	9.01672757835125
AF186192.5	CMUC435	1.0050194243862136
AF186192.5	CMUC439	8.051488860651798
AF186192.5	CMUC89	7
AF186192.5	CS219	15.037163121958445
AF186192.5	CS256	4.009159542994352
AF186192.5	CS257	1.0944271775349645
AF186192.5	CS259	2.003091222454628
AF186192.5	CS261	5.119115178419638
AF186192.5	CS266	1.0357806251843706
AF186192.5	CS270	3.039028512189526
AF186192.5	CS277	24.118612348574025
AF186192.5	CS288	11.099173009713919
AF186192.5	CS290	1.0079916665289268
AF186192.5	CS292	3.0419385940029877
AF186192.5	CS293	1.016848591736414
AF186192.5	CS301	4.1069833746350355
AF186192.5	CS306	1.0388615456941386
AF186192.5	CS308	2.0531532304124136
AF186192.5	CS315	1.028018282586956
AF186192.5	CS317	1.0722984600508352
AF186192.5	CS322	1.0134187324826138
AF186192.5	CS327	6.028562263415439
AF186192.5	CS328	1.0566294945036847
AF186192.5	CS330	1.0768616883015538
AF186192.5	CS331	1.0187996043213206
AF186192.5	CS335	7.067368969813548
AF186192.5	CS338	1.030832702181411
AF186192.5	CS339	2.341509547806935
AF186192.5	CS343	2.0161578239049964
AF186192.5	CS344	9.127181304821395
AF186192.5	CS350	1.0232380192782662
AF186192.5	CS351	1.008311894542825
AF186192.5	CS361	2.0479807876792298
AF186192.5	CS388	1.034963282410878
AF186192.5	CS396	2.02180759276634
AF186192.5	CS405	6.152234729192944
AF186192.5	CS415	1.0768988297741249
AF186192.5	CS424	1.0376219614625826
AF186192.5	IM293	2.0106670372621225
AF186192.5	IM296	1.0674965693084089
AF186192.5	IM297	1.098769887658002
AF186192.5	IM300	19
AF186192.5	IM305	2.0201001708785338
AF186192.5	IM309	1.068243382745569
AF186192.5	IM310	1.0137597798867521
AF186192.5	IM311	23.286969334004542
AF186192.5	IM316	5.025931754705508
AF186192.5	IM320	1.0476097382082026
AF186192.5	IM330	4.042377913421242
AF186192.5	IM332	1.0306075684228129
AF186192.5	IM340	1.056280146775053
AF186192.5	IM348	7.258730238946168
AF186192.5	IM354	5.036243447811597
AF186192.5	IM356	1.0086100524478088
AF186192.5	IM364	4.06954673393178
AF186192.5	IM372	6.999935025078027
AF186192.5	IM374	1.0494515301768887
AF186192.5	IM376	4.0606960122655344
AF186192.5	IM381	1.012555790998895
AF186192.5	IM382	1.0318406015848964
AF186192.5	IM385	31
AF186192.5	IM390	6.1722227954772775
AF186192.5	IM397	4.045538645684296
AF186192.5	IM404	8.023060122044196
AF186192.5	IM409	4.022915962184543
AF186192.5	IM412	4
AF186192.5	IM421	1.0158984637588822
AF186192.5	IM425	1.0543133661346646
AF186192.5	IM432	1.0420143643186235
AF186192.5	IM438	6
AF186192.5	IM442	3.1278291843562753
AF186192.5	IM445	4.0462191885929375
AF186192.5	IM448	1.0230255913150224
AF186192.5	IM449	2.016893171624546
AF186192.5	IM451	6.03111810564661
AF186192.5	IMSA256	3.01229766320897
AF186192.5	IMSA276	13
AF186192.5	IMSA286	7
AF186192.5	IMSA343	5.062603934401359
AF186192.5	IS_238	13
AF186192.5	IS238	7.677469953364676
AF186192.5	IS243	16
AF186192.5	IS253	17
AF186192.5	IS283	5
AF186192.5	IS322	1.0106397239474434
AF186192.5	IS399	10.072529602272132
AF186192.5	IS418	4.379004411144943
AF186192.5	IS430	2.1695096796608326
AF186192.5	IS437	4.328953514897507
AF186192.5	IS444	8.302797781194446
AF186192.5	R276CMSA	1.0649255307900556
AF186192.5	R286CMSA	7
AF186192.5	R292CMSA	3.012622862248584
AF186192.5	R292IMSA	1.0768750693977573
AF186192.5	R308CMSA	1.070354522560454
AF186192.5	R316IMSA	6.119190323867562
AF186192.5	R347CMSA	1.0679448775774594
AF186192.5	R347IMSA	5.327042456390598
AF186192.5	R371CMSA	3.011988870595703
AF186192.5	SRR10104064	1.1130827181735787
AF186192.5	SRR10104065	4.023462322487554
AF186192.5	SRR10104066	1.0187563340359607
AF186192.5	SRR10104067	1.0232571372704031
AF186192.5	SRR10104068	3.0140144296275695
AF186192.5	SRR10104069	3.034472407274847
AF186192.5	SRR10104070	2.0591731091145022
AF186192.5	SRR10104071	2.3239670595388677
AF186192.5	SRR10104072	1.071723239794756
AF186192.5	SRR10104073	1.0458357877247761
AF186192.5	SRR10104074	1.099722320793923
AF186192.5	SRR10104075	2.3095084571201157
AF186192.5	SRR10104076	1.0278239688724724
AF186192.5	SRR10104077	2.2081504641607186
AF186192.5	SRR10104078	4.167685606467321
AF186192.5	SRR10104079	1.092856600461782
AF186192.5	SRR10104080	1.1254280913603063
AF186192.5	SRR10104081	4.063574472769127
AF186192.5	SRR10104082	1.085647260281074
AF186192.5	SRR10104083	1.065596706440916
AF186192.5	SRR10104084	2.140248309671077
AF186192.5	SRR10104085	1.0224852129879336
AF186192.5	SRR10104086	1.0249330155513252
AF186192.5	SRR10104087	3.0096294146943134
AF186192.5	SRR10104088	2.0182376595862515
AF186192.5	SRR10104089	1.1387124115642702
AF186192.5	SRR10104090	3.0795164805366944
AF186192.5	SRR10104091	1.0429313075146665
AF186192.5	SRR10104092	3.0382960839698194
