Gene	sample	counts
ANKRD34B	CM317	2.104321373819842
ANKRD34B	CMCD140	1.0094128350688558
ANKRD34B	CMCD147	1.0404565910580479
ANKRD34B	CMCD152	7
ANKRD34B	CMCD154	1.0098993269771894
ANKRD34B	CMCD159	33.675430777020956
ANKRD34B	CMCD161	1.0030629480920839
ANKRD34B	CMCD174	1.092629434806816
ANKRD34B	CMCD196	1.0091897168260358
ANKRD34B	CMCD198	3.088487228505141
ANKRD34B	CMCD203	1.0032393128452408
ANKRD34B	CMCD211	20.887846133899938
ANKRD34B	CMCD227	1.6442210050669115
ANKRD34B	CMCD240	1.8599320778626804
ANKRD34B	CMCD259	16
ANKRD34B	CMCD270	2.0103816269904455
ANKRD34B	CMCD275	1.008539072196977
ANKRD34B	CMCD282	1.0131607869251968
ANKRD34B	CMCD286	0.9425038392922207
ANKRD34B	CMCD287	4
ANKRD34B	CMCD294	1.0639520056991958
ANKRD34B	CMCD327	3.0154163618258507
ANKRD34B	CMCD335	1.0047054282731729
ANKRD34B	CMCD337	1.0066743151229853
ANKRD34B	CMCD357	1.0211504641864628
ANKRD34B	CMCD398	1.0060023577013604
ANKRD34B	CMCD403	1.0071810043238532
ANKRD34B	CMCD422	1.0020862854161259
ANKRD34B	CMCD426	3.342140883541871
ANKRD34B	CMCD71	1.0063862990277392
ANKRD34B	CMCD72	1.1510750061651915
ANKRD34B	CMCD76	2.004594427862749
ANKRD34B	CMCD88	2.0003598284620874
ANKRD34B	CMSA256	1
ANKRD34B	CMSA316	1.0081545114583668
ANKRD34B	CMUC110	34
ANKRD34B	CMUC192	1.0134604497462807
ANKRD34B	CMUC199	1.0281874054164815
ANKRD34B	CMUC200	1.002341411462068
ANKRD34B	CMUC208	1.002446897019748
ANKRD34B	CMUC231	2
ANKRD34B	CMUC234	32
ANKRD34B	CMUC285	7.077888562113412
ANKRD34B	CMUC291	3.0198131080653203
ANKRD34B	CMUC295	1.0008998949047658
ANKRD34B	CMUC299	4.011708129380773
ANKRD34B	CMUC301	1.0005398398063463
ANKRD34B	CMUC307	4.011040749136297
ANKRD34B	CMUC313	1.0420413939922741
ANKRD34B	CMUC314	1.055846512835873
ANKRD34B	CMUC323	2.0482098137826856
ANKRD34B	CMUC324	1.0008998949047658
ANKRD34B	CMUC331	4.036629845601594
ANKRD34B	CMUC333	1.0232387540038606
ANKRD34B	CMUC334	3.045039021477158
ANKRD34B	CMUC346	1.0108493839910517
ANKRD34B	CMUC352	2.01210793098542
ANKRD34B	CMUC360	4.005760882040813
ANKRD34B	CMUC363	1.0263755677043285
ANKRD34B	CMUC365	3.020077023209715
ANKRD34B	CMUC366	2.0066979877493485
ANKRD34B	CMUC368	63
ANKRD34B	CMUC377	1.0040818938645244
ANKRD34B	CMUC379	1.0708063663103926
ANKRD34B	CMUC380	1.01827642435426
ANKRD34B	CMUC383	7.1000018365248785
ANKRD34B	CMUC394	6.0457301587905
ANKRD34B	CMUC419	1.0249492522957178
ANKRD34B	CMUC427	39
ANKRD34B	CMUC428	14.08885882068437
ANKRD34B	CMUC431	3.0055758594504165
ANKRD34B	CMUC435	20.100388487724274
ANKRD34B	CMUC439	10.064361075814746
ANKRD34B	CMUC89	1
ANKRD34B	CS219	3.007432624391689
ANKRD34B	CS256	1.002289885748588
ANKRD34B	CS257	1.0944271775349645
ANKRD34B	CS259	2.003091222454628
ANKRD34B	CS261	1.0238230356839277
ANKRD34B	CS266	1.0357806251843706
ANKRD34B	CS270	1.0130095040631752
ANKRD34B	CS277	15.435911903087376
ANKRD34B	CS288	1.009015728155811
ANKRD34B	CS290	1.0079916665289268
ANKRD34B	CS292	1.0139795313343294
ANKRD34B	CS293	1.016848591736414
ANKRD34B	CS301	1.0267458436587589
ANKRD34B	CS306	1.0388615456941386
ANKRD34B	CS308	6.159459691237241
ANKRD34B	CS315	1.028018282586956
ANKRD34B	CS317	1.0722984600508352
ANKRD34B	CS322	6.080512394895683
ANKRD34B	CS327	63.29990376586211
ANKRD34B	CS328	1.0566294945036847
ANKRD34B	CS330	1.0768616883015538
ANKRD34B	CS331	5.093998021606602
ANKRD34B	CS335	8.581805177630736
ANKRD34B	CS338	3.092498106544233
ANKRD34B	CS339	1.1707547739034676
ANKRD34B	CS343	7.056552383667488
ANKRD34B	CS344	3.042393768273798
ANKRD34B	CS350	6.139428115669597
ANKRD34B	CS351	10.08311894542825
ANKRD34B	CS361	7.167932756877304
ANKRD34B	CS388	2.069926564821756
ANKRD34B	CS396	18.196268334897056
ANKRD34B	CS405	1.0253724548654906
ANKRD34B	CS415	1.0768988297741249
ANKRD34B	CS424	19.71481726778907
ANKRD34B	IM293	3.0160005558931835
ANKRD34B	IM296	1.0674965693084089
ANKRD34B	IM297	1.098769887658002
ANKRD34B	IM300	1
ANKRD34B	IM305	1.0100500854392669
ANKRD34B	IM309	1.068243382745569
ANKRD34B	IM310	5.0687988994337605
ANKRD34B	IM311	1.0124769275654149
ANKRD34B	IM316	7.036304456587711
ANKRD34B	IM320	1.0476097382082026
ANKRD34B	IM330	3.0317834350659316
ANKRD34B	IM332	40.1936951684897
ANKRD34B	IM340	1.056280146775053
ANKRD34B	IM348	1.0369614627065955
ANKRD34B	IM354	2.0144973791246388
ANKRD34B	IM356	10.086100524478086
ANKRD34B	IM364	5.086933417414724
ANKRD34B	IM372	7.999925742946316
ANKRD34B	IM374	1.0494515301768887
ANKRD34B	IM376	5.075870015331918
ANKRD34B	IM381	9.113002118990053
ANKRD34B	IM382	1.0318406015848964
ANKRD34B	IM385	1
ANKRD34B	IM390	2.057407598492426
ANKRD34B	IM397	2.022769322842148
ANKRD34B	IM404	8.023060122044196
ANKRD34B	IM409	5.028644952730678
ANKRD34B	IM412	1
ANKRD34B	IM421	1.0158984637588822
ANKRD34B	IM425	1.0543133661346646
ANKRD34B	IM432	1.0420143643186235
ANKRD34B	IM438	16
ANKRD34B	IM442	1.0426097281187585
