Gene	sample	counts
ANP32AP1	CM317	1.052160686909921
ANP32AP1	CMCD140	5.047064175344279
ANP32AP1	CMCD147	2.0809131821160958
ANP32AP1	CMCD152	5
ANP32AP1	CMCD154	5.049496634885947
ANP32AP1	CMCD159	2.172608437227159
ANP32AP1	CMCD161	1.0030629480920839
ANP32AP1	CMCD174	1.092629434806816
ANP32AP1	CMCD196	8.073517734608286
ANP32AP1	CMCD198	3.088487228505141
ANP32AP1	CMCD203	1.0032393128452408
ANP32AP1	CMCD211	4.820272184746139
ANP32AP1	CMCD227	4.932663015200735
ANP32AP1	CMCD240	1.8599320778626804
ANP32AP1	CMCD259	6
ANP32AP1	CMCD270	3.0155724404856685
ANP32AP1	CMCD275	3.0256172165909305
ANP32AP1	CMCD282	6.078964721551181
ANP32AP1	CMCD286	9.425038392922207
ANP32AP1	CMCD287	9
ANP32AP1	CMCD294	2.1279040113983916
ANP32AP1	CMCD327	8.041110298202268
ANP32AP1	CMCD335	2.0094108565463458
ANP32AP1	CMCD337	2.0133486302459707
ANP32AP1	CMCD357	3.0634513925593887
ANP32AP1	CMCD398	5.030011788506802
ANP32AP1	CMCD403	3.0215430129715592
ANP32AP1	CMCD422	1.0020862854161259
ANP32AP1	CMCD426	1.1140469611806236
ANP32AP1	CMCD71	6.038317794166435
ANP32AP1	CMCD72	3.453225018495575
ANP32AP1	CMCD76	2.004594427862749
ANP32AP1	CMCD88	2.0003598284620874
ANP32AP1	CMSA256	6
ANP32AP1	CMSA316	9.073390603125302
ANP32AP1	CMUC110	5
ANP32AP1	CMUC192	7.094223148223964
ANP32AP1	CMUC199	5.1409370270824075
ANP32AP1	CMUC200	5.011707057310339
ANP32AP1	CMUC208	9.022022073177732
ANP32AP1	CMUC231	5
ANP32AP1	CMUC234	8
ANP32AP1	CMUC285	3.03338081233432
ANP32AP1	CMUC291	3.0198131080653203
ANP32AP1	CMUC295	4.003599579619063
ANP32AP1	CMUC299	6.01756219407116
ANP32AP1	CMUC301	6.003239038838078
ANP32AP1	CMUC307	2.0055203745681487
ANP32AP1	CMUC313	1.0420413939922741
ANP32AP1	CMUC314	3.167539538507619
ANP32AP1	CMUC323	1.0241049068913428
ANP32AP1	CMUC324	8.007199159238127
ANP32AP1	CMUC331	6.0549447684023905
ANP32AP1	CMUC333	3.0697162620115814
ANP32AP1	CMUC334	6.090078042954316
ANP32AP1	CMUC346	7.075945687937362
ANP32AP1	CMUC352	3.0181618964781305
ANP32AP1	CMUC360	2.0028804410204066
ANP32AP1	CMUC363	2.052751135408657
ANP32AP1	CMUC365	2.0133846821398103
ANP32AP1	CMUC366	3.0100469816240225
ANP32AP1	CMUC368	5
ANP32AP1	CMUC377	5.0204094693226224
ANP32AP1	CMUC379	1.0708063663103926
ANP32AP1	CMUC380	4.07310569741704
ANP32AP1	CMUC383	3.0428579299392338
ANP32AP1	CMUC394	6.0457301587905
ANP32AP1	CMUC419	1.0249492522957178
ANP32AP1	CMUC427	15
ANP32AP1	CMUC428	2.0126941172406245
ANP32AP1	CMUC431	7.013010338717639
ANP32AP1	CMUC435	1.0050194243862136
ANP32AP1	CMUC439	2.0128722151629495
