Gene	sample	counts
ATP5A1P2	CM317	10.526623222759671
ATP5A1P2	CMCD140	13.1223630124577
ATP5A1P2	CMCD147	10.405801793502693
ATP5A1P2	CMCD152	4
ATP5A1P2	CMCD154	4.03935010148148
ATP5A1P2	CMCD159	1.0879251488683968
ATP5A1P2	CMCD161	3.009280834106082
ATP5A1P2	CMCD174	1.0948567840005883
ATP5A1P2	CMCD196	5.0471472371174375
ATP5A1P2	CMCD198	5.150141625266058
ATP5A1P2	CMCD203	1.0031991760872525
ATP5A1P2	CMCD211	0.803743805335442
ATP5A1P2	CMCD227	0.8221105025334557
ATP5A1P2	CMCD240	0.9323986104878689
ATP5A1P2	CMCD259	1
ATP5A1P2	CMCD270	2.0104320065698285
ATP5A1P2	CMCD275	4.033718777086398
ATP5A1P2	CMCD282	5.0663222049760215
ATP5A1P2	CMCD286	0.9448143075143519
ATP5A1P2	CMCD287	2
ATP5A1P2	CMCD294	1.065596706440916
ATP5A1P2	CMCD327	1.0050944663962962
ATP5A1P2	CMCD335	1.0047021889912742
ATP5A1P2	CMCD337	1.0066844670331845
ATP5A1P2	CMCD357	2.042251189748465
ATP5A1P2	CMCD398	1.0058572045934022
ATP5A1P2	CMCD403	4.028655355965356
ATP5A1P2	CMCD422	1.0020862854161259
ATP5A1P2	CMCD426	1.116263931526824
ATP5A1P2	CMCD71	1.006333446777656
ATP5A1P2	CMCD72	1.153507591320982
ATP5A1P2	CMCD76	1.002341411462068
ATP5A1P2	CMCD88	1.0001799142310437
ATP5A1P2	CMSA256	3
ATP5A1P2	CMSA316	1.0080530001116137
ATP5A1P2	CMUC110	2
ATP5A1P2	CMUC192	1.0134409707848042
ATP5A1P2	CMUC199	1.0288572357887382
ATP5A1P2	CMUC200	2.004682822924136
ATP5A1P2	CMUC208	3.0073406910592437
ATP5A1P2	CMUC231	2
ATP5A1P2	CMUC234	1
ATP5A1P2	CMUC285	2.022094625161872
ATP5A1P2	CMUC291	2.013149443404326
ATP5A1P2	CMUC295	4.003599579619063
ATP5A1P2	CMUC299	1.0029438317144064
ATP5A1P2	CMUC301	1.0005398398063463
ATP5A1P2	CMUC307	1.0027908413053945
ATP5A1P2	CMUC313	1.0421599703566413
ATP5A1P2	CMUC314	6.339436472829406
ATP5A1P2	CMUC323	1.0239817545642456
ATP5A1P2	CMUC324	1.000825166068307
ATP5A1P2	CMUC331	2.0180591254433926
ATP5A1P2	CMUC333	1.023235454968461
ATP5A1P2	CMUC334	2.0301970116315893
ATP5A1P2	CMUC346	5.053673759374881
ATP5A1P2	CMUC352	2.011874757599656
ATP5A1P2	CMUC360	95.12971787655366
ATP5A1P2	CMUC363	14.37224490490294
ATP5A1P2	CMUC365	2.0131793082583407
ATP5A1P2	CMUC366	1.0033255949112325
ATP5A1P2	CMUC368	2
ATP5A1P2	CMUC377	4.016230699015584
ATP5A1P2	CMUC379	13.944630935500978
ATP5A1P2	CMUC380	2.0365803488274126
ATP5A1P2	CMUC383	3.042510089765554
ATP5A1P2	CMUC394	60.45342465159713
ATP5A1P2	CMUC419	6.151593744067448
ATP5A1P2	CMUC427	1
ATP5A1P2	CMUC428	1.0062719230896289
ATP5A1P2	CMUC431	1.0018005996203712
ATP5A1P2	CMUC435	1.0048729809663277
ATP5A1P2	CMUC439	1.0063470586203123
ATP5A1P2	CMUC89	2
ATP5A1P2	CS219	1.0025049546470863
ATP5A1P2	CS256	1.002266574999606
ATP5A1P2	CS257	1.097566066656918
ATP5A1P2	CS259	4.006182444909256
ATP5A1P2	CS261	1.0244173651114068
ATP5A1P2	CS266	1.0363781441197382
ATP5A1P2	CS270	3.0394512286179953
ATP5A1P2	CS277	4.878357052638953
ATP5A1P2	CS288	2.0180591254433926
ATP5A1P2	CS290	4.032267721872311
ATP5A1P2	CS292	2.028282250677411
ATP5A1P2	CS293	6.103488441645915
ATP5A1P2	CS301	1.0274424133190114
