Gene	sample	counts
B3GALT4	CM317	127.31144311610043
B3GALT4	CMCD140	1613.0417104400317
B3GALT4	CMCD147	478.6100318867021
B3GALT4	CMCD152	729
B3GALT4	CMCD154	956.3746626473984
B3GALT4	CMCD159	96.68107545660855
B3GALT4	CMCD161	1296.9603918830644
B3GALT4	CMCD174	229.45218130943138
B3GALT4	CMCD196	1646.9976178600903
B3GALT4	CMCD198	493.1284608179875
B3GALT4	CMCD203	314.01390492056044
B3GALT4	CMCD211	345.4528399068067
B3GALT4	CMCD227	360.90651061218705
B3GALT4	CMCD240	475.21264589391484
B3GALT4	CMCD259	578
B3GALT4	CMCD270	759.9242550023885
B3GALT4	CMCD275	1155.7857767377354
B3GALT4	CMCD282	1001.0028574820944
B3GALT4	CMCD286	411.87417777070044
B3GALT4	CMCD287	556
B3GALT4	CMCD294	319.1856017097587
B3GALT4	CMCD327	627.2066032597769
B3GALT4	CMCD335	579.7150321136207
B3GALT4	CMCD337	691.5852544894909
B3GALT4	CMCD357	325.74699807548166
B3GALT4	CMCD398	212.26649747498706
B3GALT4	CMCD403	748.3354862126229
B3GALT4	CMCD422	260.54243420819273
B3GALT4	CMCD426	96.92208562271425
B3GALT4	CMCD71	813.1601296144132
B3GALT4	CMCD72	42.58977522811209
B3GALT4	CMCD76	899.060600896443
B3GALT4	CMCD88	1158.2083406795487
B3GALT4	CMSA256	806
B3GALT4	CMSA316	265.1446365135505
B3GALT4	CMUC110	505
B3GALT4	CMUC192	687.1261849279783
B3GALT4	CMUC199	616.9124432498888
B3GALT4	CMUC200	859.0065896229921
B3GALT4	CMUC208	1115.7233963829794
B3GALT4	CMUC231	339
B3GALT4	CMUC234	415
B3GALT4	CMUC285	381.1948554166795
B3GALT4	CMUC291	528.46729391143106
B3GALT4	CMUC295	810.7289148728603
B3GALT4	CMUC299	500.46058914025144
B3GALT4	CMUC301	523.2823362187191
B3GALT4	CMUC307	390.0737128535049
B3GALT4	CMUC313	128.1710914610497
B3GALT4	CMUC314	124.58988851463302
B3GALT4	CMUC323	118.79616919939575
B3GALT4	CMUC324	334.3005648981918
B3GALT4	CMUC331	245.22526312029683
B3GALT4	CMUC333	144.27666431454432
B3GALT4	CMUC334	193.86748436737903
B3GALT4	CMUC346	694.4535268018526
B3GALT4	CMUC352	261.5740310281046
B3GALT4	CMUC360	184.2650005738774
B3GALT4	CMUC363	256.5938919260821
