Gene	sample	counts
BAIAP2-AS1	CM317	122.10882938401218
BAIAP2-AS1	CMCD140	556.1863092203225
BAIAP2-AS1	CMCD147	55.15074950556428
BAIAP2-AS1	CMCD152	402
BAIAP2-AS1	CMCD154	635.1878034579627
BAIAP2-AS1	CMCD159	60.923808336630216
BAIAP2-AS1	CMCD161	395.21888287926544
BAIAP2-AS1	CMCD174	32.84570352001765
BAIAP2-AS1	CMCD196	584.4596500581993
BAIAP2-AS1	CMCD198	322.39886574165524
BAIAP2-AS1	CMCD203	1073.42311841336
BAIAP2-AS1	CMCD211	397.8531836410438
BAIAP2-AS1	CMCD227	334.5989745311165
BAIAP2-AS1	CMCD240	979.0185410122623
BAIAP2-AS1	CMCD259	464
BAIAP2-AS1	CMCD270	485.51932958661354
BAIAP2-AS1	CMCD275	341.8576663580722
BAIAP2-AS1	CMCD282	334.3772655284174
BAIAP2-AS1	CMCD286	482.8001111398338
BAIAP2-AS1	CMCD287	1077
BAIAP2-AS1	CMCD294	105.49407393765068
BAIAP2-AS1	CMCD327	291.4773952549259
BAIAP2-AS1	CMCD335	288.3495282404957
BAIAP2-AS1	CMCD337	404.6871557473401
BAIAP2-AS1	CMCD357	87.816801159184
BAIAP2-AS1	CMCD398	195.13629769112003
BAIAP2-AS1	CMCD403	213.5187338661639
BAIAP2-AS1	CMCD422	274.57164220401853
BAIAP2-AS1	CMCD426	24.557806493590125
BAIAP2-AS1	CMCD71	226.42502552497257
BAIAP2-AS1	CMCD72	16.14910627849375
BAIAP2-AS1	CMCD76	450.05129374646845
BAIAP2-AS1	CMCD88	679.1221617628787
BAIAP2-AS1	CMSA256	586
BAIAP2-AS1	CMSA316	221.771660024555
BAIAP2-AS1	CMUC110	834
BAIAP2-AS1	CMUC192	195.5941073614672
BAIAP2-AS1	CMUC199	102.88572357887382
BAIAP2-AS1	CMUC200	458.070025038165
BAIAP2-AS1	CMUC208	466.1378071141828
BAIAP2-AS1	CMUC231	719
BAIAP2-AS1	CMUC234	358
BAIAP2-AS1	CMUC285	151.6570968871404
BAIAP2-AS1	CMUC291	168.0979785242612
BAIAP2-AS1	CMUC295	793.7136166594793
BAIAP2-AS1	CMUC299	618.8163441677888
BAIAP2-AS1	CMUC301	673.3633121896711
BAIAP2-AS1	CMUC307	210.58607667413284
BAIAP2-AS1	CMUC313	170.91423513848918
BAIAP2-AS1	CMUC314	151.08990260243417
BAIAP2-AS1	CMUC323	112.637993002067
BAIAP2-AS1	CMUC324	363.29953528279543
BAIAP2-AS1	CMUC331	135.2099614047073
BAIAP2-AS1	CMUC333	210.786503723503
BAIAP2-AS1	CMUC334	274.0765965702646
BAIAP2-AS1	CMUC346	331.5209986149922
BAIAP2-AS1	CMUC352	261.5437184879553
BAIAP2-AS1	CMUC360	117.15975780586082
BAIAP2-AS1	CMUC363	151.93516042325965
BAIAP2-AS1	CMUC365	204.33769978822158
BAIAP2-AS1	CMUC366	440.45993616603107
BAIAP2-AS1	CMUC368	254
BAIAP2-AS1	CMUC377	379.5338010569727
BAIAP2-AS1	CMUC379	91.17643303981409
BAIAP2-AS1	CMUC380	94.70098622047469
BAIAP2-AS1	CMUC383	117.64372347093476
BAIAP2-AS1	CMUC394	134.0050913110403
BAIAP2-AS1	CMUC419	185.5730779460347
BAIAP2-AS1	CMUC427	489
BAIAP2-AS1	CMUC428	161.00350769434064
BAIAP2-AS1	CMUC431	265.4771588993984
BAIAP2-AS1	CMUC435	177.86251763104002
BAIAP2-AS1	CMUC439	190.199594079239
BAIAP2-AS1	CMUC89	785
BAIAP2-AS1	CS219	1033.582608241146
BAIAP2-AS1	CS256	271.6142418248932
BAIAP2-AS1	CS257	32.92698199970754
BAIAP2-AS1	CS259	414.63988304810795
BAIAP2-AS1	CS261	307.325209533422
BAIAP2-AS1	CS266	448.7517364038466
BAIAP2-AS1	CS270	556.2195748370931
BAIAP2-AS1	CS277	113.17788362122371
BAIAP2-AS1	CS288	641.7428018909989
BAIAP2-AS1	CS290	529.2351384957409
BAIAP2-AS1	CS292	478.6746111598691
BAIAP2-AS1	CS293	348.9160892474248
BAIAP2-AS1	CS301	272.272239529538
BAIAP2-AS1	CS306	240.17313592845082
BAIAP2-AS1	CS308	58.514247113229565
BAIAP2-AS1	CS315	66.82635263154033
BAIAP2-AS1	CS317	1.074639904418001
BAIAP2-AS1	CS322	76.00153539402326
BAIAP2-AS1	CS327	246.16368433927602
BAIAP2-AS1	CS328	21.18307852867622
BAIAP2-AS1	CS330	90.69201962933307
BAIAP2-AS1	CS331	273.1443192146667
BAIAP2-AS1	CS335	51.03592006414629
BAIAP2-AS1	CS338	75.26667505105297
BAIAP2-AS1	CS339	14.094654637129333
BAIAP2-AS1	CS343	178.40288815182703
BAIAP2-AS1	CS344	208.9336980002963
BAIAP2-AS1	CS350	154.6058310588915
BAIAP2-AS1	CS351	182.5009888370328
BAIAP2-AS1	CS361	86.01979769733346
BAIAP2-AS1	CS388	102.47940269918887
BAIAP2-AS1	CS396	113.20742826282985
BAIAP2-AS1	CS405	121.00838384959938
BAIAP2-AS1	CS415	41.005368419540005
BAIAP2-AS1	CS424	99.70870672532108
BAIAP2-AS1	IM293	249.32007109533
BAIAP2-AS1	IM296	72.71581326718147
BAIAP2-AS1	IM297	13.222823886861807
BAIAP2-AS1	IM300	670
BAIAP2-AS1	IM305	195.93693604446005
BAIAP2-AS1	IM309	1.0710522602925363
BAIAP2-AS1	IM310	161.18175665170165
BAIAP2-AS1	IM311	374.5998350356923
BAIAP2-AS1	IM316	156.8003690302169
BAIAP2-AS1	IM320	94.35807474366638
BAIAP2-AS1	IM330	99.03834436681548
BAIAP2-AS1	IM332	10.316333002492234
BAIAP2-AS1	IM340	46.594412611158134
BAIAP2-AS1	IM348	76.80920957671104
BAIAP2-AS1	IM354	320.2956697484352
BAIAP2-AS1	IM356	59.532785723389246
BAIAP2-AS1	IM364	98.69928864900008
BAIAP2-AS1	IM372	80
BAIAP2-AS1	IM374	77.7612626518528
BAIAP2-AS1	IM376	121.87283676207993
BAIAP2-AS1	IM381	201.45827342561665
BAIAP2-AS1	IM382	116.64569311559657
BAIAP2-AS1	IM385	659
BAIAP2-AS1	IM390	117.2996235965611
BAIAP2-AS1	IM397	145.6260356284389
BAIAP2-AS1	IM404	414.1595546564582
BAIAP2-AS1	IM409	295.6563413491703
BAIAP2-AS1	IM412	134
BAIAP2-AS1	IM421	125.97629541610158
BAIAP2-AS1	IM425	14.781696949308484
BAIAP2-AS1	IM432	51.133533309753126
BAIAP2-AS1	IM438	257
BAIAP2-AS1	IM442	160.76926736368716
BAIAP2-AS1	IM445	239.76068071320674
BAIAP2-AS1	IM448	89.03087920402346
BAIAP2-AS1	IM449	147.21524255672912
BAIAP2-AS1	IM451	378.9269608806793
BAIAP2-AS1	IMSA256	200.8142511628122
BAIAP2-AS1	IMSA276	646
BAIAP2-AS1	IMSA286	496
BAIAP2-AS1	IMSA343	197.42093051588253
BAIAP2-AS1	IS_238	397
BAIAP2-AS1	IS238	859.509272538434
BAIAP2-AS1	IS243	479
BAIAP2-AS1	IS253	479
BAIAP2-AS1	IS283	443
BAIAP2-AS1	IS322	199.06300013955044
BAIAP2-AS1	IS399	121.8944370151086
BAIAP2-AS1	IS418	53.79042779080146
BAIAP2-AS1	IS430	26.079975131891263
BAIAP2-AS1	IS437	88.89076905963827
BAIAP2-AS1	IS444	103.8269986062024
BAIAP2-AS1	R276CMSA	85.35757022201676
BAIAP2-AS1	R286CMSA	560
BAIAP2-AS1	R292CMSA	242.99931661926456
BAIAP2-AS1	R292IMSA	78.75400555585404
BAIAP2-AS1	R308CMSA	70.69978312732246
BAIAP2-AS1	R316IMSA	195.85122605716376
BAIAP2-AS1	R347CMSA	43.8721504842537
BAIAP2-AS1	R347IMSA	97.12915352356204
BAIAP2-AS1	R371CMSA	324.29966960677
BAIAP2-AS1	SRR10104064	16.769340904677087
BAIAP2-AS1	SRR10104065	68.39863895676804
BAIAP2-AS1	SRR10104066	38.7139958281149
BAIAP2-AS1	SRR10104067	46.05848722310594
BAIAP2-AS1	SRR10104068	45.211598504607345
BAIAP2-AS1	SRR10104069	68.78254682219914
BAIAP2-AS1	SRR10104070	19.56393816789571
BAIAP2-AS1	SRR10104071	1.1645245250191503
BAIAP2-AS1	SRR10104072	11.817350056019507
BAIAP2-AS1	SRR10104073	31.404961472677794
BAIAP2-AS1	SRR10104074	13.244741913321748
BAIAP2-AS1	SRR10104075	5.8039887585046985
BAIAP2-AS1	SRR10104076	35.98203222766797
BAIAP2-AS1	SRR10104077	13.289697945393238
BAIAP2-AS1	SRR10104078	22.936133568036393
BAIAP2-AS1	SRR10104079	8.77408069097453
BAIAP2-AS1	SRR10104080	6.777995397350197
BAIAP2-AS1	SRR10104081	33.52465912315052
