Gene	sample	counts
BUB1B	CM317	50.527791469246424
BUB1B	CMCD140	11.103537933618053
BUB1B	CMCD147	1.0405801793502694
BUB1B	CMCD152	88
BUB1B	CMCD154	4.03935010148148
BUB1B	CMCD159	1.0879251488683968
BUB1B	CMCD161	73.22583362991466
BUB1B	CMCD174	1.0948567840005883
BUB1B	CMCD196	48.4526134763274
BUB1B	CMCD198	50.47138792760737
BUB1B	CMCD203	1.0031991760872525
BUB1B	CMCD211	367.310919038297
BUB1B	CMCD227	301.7145544297783
BUB1B	CMCD240	583.6815301654059
BUB1B	CMCD259	589
BUB1B	CMCD270	94.49030430878193
BUB1B	CMCD275	12.101156331259194
BUB1B	CMCD282	30.397933229856132
BUB1B	CMCD286	450.6764246843458
BUB1B	CMCD287	428
BUB1B	CMCD294	8.524773651527328
BUB1B	CMCD327	56.285290118192584
BUB1B	CMCD335	51.23981163855499
BUB1B	CMCD337	29.193849543962347
BUB1B	CMCD357	77.60554521044168
BUB1B	CMCD398	27.15814452402186
BUB1B	CMCD403	28.200587491757496
BUB1B	CMCD422	89.18567940203522
BUB1B	CMCD426	8.930111452214591
BUB1B	CMCD71	52.3293392324381
BUB1B	CMCD72	1.153507591320982
BUB1B	CMCD76	62.14516751064821
BUB1B	CMCD88	171.03076533350847
BUB1B	CMSA256	55
BUB1B	CMSA316	5.040265000558068
BUB1B	CMUC110	439
BUB1B	CMUC192	21.28226038648089
BUB1B	CMUC199	22.63485918735224
BUB1B	CMUC200	72.16858162526889
BUB1B	CMUC208	43.10521657184916
BUB1B	CMUC231	18
BUB1B	CMUC234	647
BUB1B	CMUC285	109.19310975874109
BUB1B	CMUC291	48.31558664170382
BUB1B	CMUC295	97.08728980576228
BUB1B	CMUC299	184.5416650354508
BUB1B	CMUC301	335.18084633512603
BUB1B	CMUC307	83.23163982834774
BUB1B	CMUC313	48.981518606762144
BUB1B	CMUC314	16.905163927545082
BUB1B	CMUC323	60.41492351929048
BUB1B	CMUC324	91.07509011221593
BUB1B	CMUC331	58.52371463785838
BUB1B	CMUC333	56.27795002326536
BUB1B	CMUC334	65.98140287802666
BUB1B	CMUC346	12.128817022499716
BUB1B	CMUC352	72.42749127358762
BUB1B	CMUC360	67.09148523925363
BUB1B	CMUC363	60.568746384948106
BUB1B	CMUC365	94.61942748814202
BUB1B	CMUC366	24.07981427786958
BUB1B	CMUC368	607
BUB1B	CMUC377	111.45040189768245
BUB1B	CMUC379	6.435983508692759
BUB1B	CMUC380	54.98766941834014
BUB1B	CMUC383	90.26113266304476
BUB1B	CMUC394	95.7179223650288
BUB1B	CMUC419	13.328453112146137
BUB1B	CMUC427	649
BUB1B	CMUC428	224.39863884898728
BUB1B	CMUC431	182.32770913090755
BUB1B	CMUC435	204.99408811713087
BUB1B	CMUC439	81.51411174824528
BUB1B	CMUC89	121
BUB1B	CS219	104.26051528329698
BUB1B	CS256	23.052131224990937
BUB1B	CS257	19.756189199824526
BUB1B	CS259	111.17156284623185
BUB1B	CS261	4.097669460445627
BUB1B	CS266	41.45512576478952
BUB1B	CS270	12.157804914471981
BUB1B	CS277	33.17282795794488
BUB1B	CS288	37.33409382070276
BUB1B	CS290	70.56468513276545
BUB1B	CS292	12.169693504064467
BUB1B	CS293	11.189728809684176
BUB1B	CS301	20.54884826638023
BUB1B	CS306	8.31768436115847
BUB1B	CS308	28.743840687200485
BUB1B	CS315	10.280977327929282
BUB1B	CS317	58.03055483857205
BUB1B	CS322	150.98971698279288
BUB1B	CS327	700.3105632019403
BUB1B	CS328	59.31261988029342
BUB1B	CS330	4.318667601396813
BUB1B	CS331	7.134366546651743
BUB1B	CS335	32.33959291193428
BUB1B	CS338	17.527855833806857
BUB1B	CS339	7.047327318564666
BUB1B	CS343	48.38044424456326
BUB1B	CS344	28.39875506800144
BUB1B	CS350	23.54923254539407
BUB1B	CS351	102.84586111258203
BUB1B	CS361	84.99575248665091
BUB1B	CS388	43.47611023601952
BUB1B	CS396	276.95388700013734
BUB1B	CS405	3.0764843351593063
BUB1B	CS415	1.079088642619474
BUB1B	CS424	14.540853064109324
BUB1B	IM293	28.149040284956616
BUB1B	IM296	1.06935019510561
BUB1B	IM297	1.1019019905718173
BUB1B	IM300	127
BUB1B	IM305	28.27955777961279
BUB1B	IM309	1.0710522602925363
BUB1B	IM310	100.3584522548331
BUB1B	IM311	49.60916734256466
BUB1B	IM316	66.33861766663023
BUB1B	IM320	15.726345790611063
BUB1B	IM330	90.95358156136115
BUB1B	IM332	7.221433101744564
BUB1B	IM340	1.0589639229808667
BUB1B	IM348	16.60739666523482
BUB1B	IM354	16.115505396147686
BUB1B	IM356	53.47860412440051
BUB1B	IM364	12.210221276164958
BUB1B	IM372	14
BUB1B	IM374	24.16904109449479
BUB1B	IM376	20.312139460346653
BUB1B	IM381	43.53118471005787
BUB1B	IM382	17.54846710588621
BUB1B	IM385	21
BUB1B	IM390	1.0289440666365008
BUB1B	IM397	52.587179532491824
BUB1B	IM404	39.10949789734109
BUB1B	IM409	30.169014423384724
BUB1B	IM412	37
BUB1B	IM421	24.38250879021321
BUB1B	IM425	133.03527254377636
BUB1B	IM432	1.0435414961174108
BUB1B	IM438	152
BUB1B	IM442	1.0439562815823842
BUB1B	IM445	42.48923455677082
BUB1B	IM448	64.470636664982507
BUB1B	IM449	12.099882949868148
BUB1B	IM451	8.040890416566139
BUB1B	IMSA256	48.19542027907493
BUB1B	IMSA276	77
BUB1B	IMSA286	210
BUB1B	IMSA343	55.682826555761736
BUB1B	IS_238	134
BUB1B	IS238	315.6650125929844
BUB1B	IS243	216
