Gene	sample	counts
CD5	CM317	4.210649289103869
CD5	CMCD140	347.23791356041914
CD5	CMCD147	1.0405801793502694
CD5	CMCD152	1499
CD5	CMCD154	10.0983752537037
CD5	CMCD159	81.59438616512975
CD5	CMCD161	640.9768176645955
CD5	CMCD174	1.0948567840005883
CD5	CMCD196	225.10276677543771
CD5	CMCD198	82.40226600425693
CD5	CMCD203	68.21754397393316
CD5	CMCD211	1079.4279305654986
CD5	CMCD227	1033.3929016845539
CD5	CMCD240	805.5923994615187
CD5	CMCD259	2445
CD5	CMCD270	364.89340919242386
CD5	CMCD275	364.0431196320474
CD5	CMCD282	375.9211076092208
CD5	CMCD286	348.6364794727958
CD5	CMCD287	292
CD5	CMCD294	62.870205680014045
CD5	CMCD327	1559.9066118470516
CD5	CMCD335	1097.1347903784715
CD5	CMCD337	270.7981216319266
CD5	CMCD357	602.4641009757972
CD5	CMCD398	614.5787520065688
CD5	CMCD403	1229.747047408425
CD5	CMCD422	903.8818294453456
CD5	CMCD426	22.325278630536477
CD5	CMCD71	306.931701267185
CD5	CMCD72	8.074553139246875
CD5	CMCD76	117.27394514106194
CD5	CMCD88	474.0852793455147
CD5	CMSA256	907
CD5	CMSA316	140.11936701551429
CD5	CMUC110	1433
CD5	CMUC192	201.67475318617602
CD5	CMUC199	183.1365879703954
CD5	CMUC200	756.7677656538613
CD5	CMUC208	666.6271865181324
CD5	CMUC231	218
CD5	CMUC234	1675
CD5	CMUC285	721.8877811827883
CD5	CMUC291	436.8534292187387
CD5	CMUC295	162.14578297457206
CD5	CMUC299	467.3718255789134
CD5	CMUC301	913.4928737431943
CD5	CMUC307	266.7423637872349
CD5	CMUC313	58.360958339971916
CD5	CMUC314	53.88521001904995
CD5	CMUC323	281.59498250516754
CD5	CMUC324	420.3465697486889
CD5	CMUC331	1526.6617283979265
CD5	CMUC333	53.208243658359976
CD5	CMUC334	171.5516474828693
CD5	CMUC346	113.20229220999734
CD5	CMUC352	256.5140315939562
CD5	CMUC360	228.31132290372878
CD5	CMUC363	82.12711374230251
CD5	CMUC365	280.83851350203855
CD5	CMUC366	1268.203551967798
CD5	CMUC368	1985
CD5	CMUC377	731.9580448955902
CD5	CMUC379	13.944630935500978
CD5	CMUC380	203.65803488274125
CD5	CMUC383	679.4939200476404
CD5	CMUC394	767.7584930752836
CD5	CMUC419	86.12231241694427
CD5	CMUC427	3323
CD5	CMUC428	588.669075007433
CD5	CMUC431	1802.2392787170477
CD5	CMUC435	381.85173276720457
CD5	CMUC439	263.6629293585218
CD5	CMUC89	543
CD5	CS219	328.82162512424435
CD5	CS256	371.8408993248538
CD5	CS257	38.414812332992135
CD5	CS259	1378.126761048784
CD5	CS261	203.85905565716993
CD5	CS266	114.0015958531712
CD5	CS270	90.17038644900053
CD5	CS277	35.124170779000465
CD5	CS288	287.5734253756834
CD5	CS290	295.3636106271468
CD5	CS292	232.2383177025636
CD5	CS293	59.00038826924384
CD5	CS301	122.26564718496236
CD5	CS306	50.94581671209563
CD5	CS308	519.442263847266
CD5	CS315	116.1750438056009
CD5	CS317	1.074639904418001
CD5	CS322	906.9516557020111
CD5	CS327	203.96419559540013
CD5	CS328	10.59153926433811
CD5	CS330	33.4696739108253
CD5	CS331	31.59505184945772
CD5	CS335	127.84245322999021
CD5	CS338	359.8365697646231
CD5	CS339	2.349109106188222
CD5	CS343	1238.7409578451718
CD5	CS344	1.0142412524286228
CD5	CS350	150.5103123553447
CD5	CS351	865.1151846528959
CD5	CS361	403.47381300892124
CD5	CS388	406.81217435132555
CD5	CS396	283.01857065707463
CD5	CS405	213.30291390437858
CD5	CS415	3.2372659278584215
CD5	CS424	149.56306008798163
CD5	IM293	390.06527252011307
CD5	IM296	71.64646307207587
CD5	IM297	28.649451754867247
CD5	IM300	492
CD5	IM305	322.1849618463029
CD5	IM309	152.08942096154013
CD5	IM310	957.9670442506796
CD5	IM311	168.06370977277007
CD5	IM316	103.52844878277142
CD5	IM320	97.5033439017886
CD5	IM330	144.51513514749607
CD5	IM332	71.18269771719642
CD5	IM340	1.0589639229808667
CD5	IM348	47.74626541255011
CD5	IM354	150.0756440016253
CD5	IM356	48.43345279190989
CD5	IM364	65.12118013954644
CD5	IM372	25
CD5	IM374	822.7982250864966
CD5	IM376	77.18612994931729
CD5	IM381	520.3495102551104
CD5	IM382	112.51664203185864
CD5	IM385	642
CD5	IM390	261.35179292567125
CD5	IM397	68.76785015787392
CD5	IM404	532.4908559868749
CD5	IM409	684.8366274108332
CD5	IM412	923
CD5	IM421	53.844706911720834
CD5	IM425	1.0558354963791774
CD5	IM432	114.78956457291518
CD5	IM438	1386
CD5	IM442	10.439562815823841
CD5	IM445	276.1800246190103
CD5	IM448	451.29445665487754
CD5	IM449	770.3592144749388
CD5	IM451	315.604948850221
CD5	IMSA256	234.95267386049028
CD5	IMSA276	997
CD5	IMSA286	1094
CD5	IMSA343	508.2323441998617
CD5	IS_238	329
CD5	IS238	3264.6003976593734
CD5	IS243	495
CD5	IS253	417
CD5	IS283	1491
CD5	IS322	586.0738075174581
CD5	IS399	12.088704497366143
CD5	IS418	14.270929822049366
CD5	IS430	13.039987565945632
CD5	IS437	9.75630392117981
CD5	IS444	28.033289623674644
CD5	R276CMSA	138.70605161077722
CD5	R286CMSA	530
CD5	R292CMSA	1386.7027117818361
CD5	R292IMSA	113.27630936115992
CD5	R308CMSA	20.35296786998677
CD5	R316IMSA	118.32678240953645
CD5	R347CMSA	42.80209803341825
CD5	R347IMSA	34.15530673356028
CD5	R371CMSA	373.4968331074874
CD5	SRR10104064	30.184813628418755
CD5	SRR10104065	572.3356700941325
CD5	SRR10104066	68.25888738114996
CD5	SRR10104067	131.0108081012791
CD5	SRR10104068	111.52194297803145
CD5	SRR10104069	190.16351180255054
CD5	SRR10104070	121.5023528321944
CD5	SRR10104071	2.3290490500383005
CD5	SRR10104072	18.263177359302873
CD5	SRR10104073	50.24793835628447
CD5	SRR10104074	69.53489504493918
CD5	SRR10104075	39.46712355783195
CD5	SRR10104076	23.645335463896096
CD5	SRR10104077	18.827072089307087
CD5	SRR10104078	22.936133568036393
CD5	SRR10104079	30.70928241841086
CD5	SRR10104080	13.555990794700394
CD5	SRR10104081	132.0668389699869
CD5	SRR10104082	69.72236188899514
CD5	SRR10104083	63.02046598275926
CD5	SRR10104084	23.59832754372242
CD5	SRR10104085	248.49928400564792
CD5	SRR10104086	49.20437922929029
CD5	SRR10104087	195.62918875575156
CD5	SRR10104088	61.55597651252603
CD5	SRR10104089	18.317958361592172
CD5	SRR10104090	52.35445238718714
CD5	SRR10104091	28.176424168842644
CD5	SRR10104092	93.17577534847123
CD5	SRR10104093	252.69340582279185
CD5	SRR10104094	158.38377683940564
CD5	SRR10104095	11.62937956263117
CD5	SRR10104096	24.235525963494236
CD5	SRR10104097	51.27265942855975
CD5	SRR10104098	33.99305008427174
CD5	SRR10104099	28.33355203235979
CD5	SRR10104100	40.15240764974394
CD5	SRR10104101	70.39051721681206
CD5	SRR10104102	89.3539866285935
CD5	SRR10104103	13.70484117195308
CD5	SRR10104104	75.15037202262539
CD5	SRR10104105	41.31710191959099
CD5	SRR10104106	109.27090293362946
CD5	SRR10104107	268.5837063452098
CD5	SRR10104108	230.57476558942668
CD5	SRR10104109	41.75615962802122
CD5	SRR10104110	4.793023252584938
CD5	SRR10104111	27.917986086905344
CD5	SRR10104112	7.176908364639594
CD5	SRR10104113	24.882401607086575
CD5	SRR10104114	23.595498465961132
CD5	SRR10104115	19.61681070414936
CD5	SRR10104116	14.67877373434968
CD5	SRR10104117	13.517146650706549
CD5	SRR10104118	6.91931153616254
CD5	SRR10104119	9.568928190147496
CD5	SRR10104120	81.18453110669924
CD5	SRR10104121	14.138793350281032
CD5	SRR10104122	17.558785345574364
CD5	SRR10104123	42.46742961461353
CD5	SRR10104124	37.086440934722646
CD5	SRR10104125	6.647590231138161
CD5	SRR10104126	202.02694655175392
CD5	SRR10104127	2.390006909245555
CD5	SRR10104128	29.848076663304347
CD5	SRR10104129	67.74869517685809
CD5	SRR10104130	28.15592589214292
CD5	SRR10104131	132.49540205385725
CD5	SRR10104132	190.36756500331978
CD5	SRR10104133	30.52949455503028
CD5	SRR10104134	13.39859022384296
CD5	SRR10104135	31.052156710513472
CD5	SRR10104136	124.8580291007094
CD5	SRR10104137	44.6285305298292
CD5	SRR10104138	4.812968575766443
CD5	SRR10104139	87.99046554363343
CD5	SRR10104140	18.43326239333009
CD5	SRR10104141	47.833707301153844
CD5	SRR10104142	80.1332459797382
CD5	SRR10104143	224.83018076578153
CD5	SRR10104144	94.59961776746034
CD5	SRR10104145	138.76767067416745
CD5	SRR10104146	55.529915948516965
CD5	SRR10104147	350.60403123753457
CD5	SRR10104148	60.13416262650095
CD5	SRR10104149	107.00094153999652
CD5	SRR10104150	49.57081035574013
CD5	SRR10104151	45.34495250542963
CD5	SRR10104152	125.70289495250881
CD5	SRR10104153	17.74471689469761
CD5	SRR10104154	39.17136775683953
CD5	SRR10104155	99.6021958242961
CD5	SRR10104156	633.5689624186725
CD5	SRR10104157	83.0331895971023
CD5	SRR10104158	79.60868152129339
CD5	SRR10104159	100.25566780289815
CD5	SRR10104160	32.88954349268655
CD5	SRR10104161	459.7921438229382
CD5	SRR10104162	38.78158425164999
CD5	SRR10104163	96.88934406641339
CD5	SRR10104164	139.70155861049014
CD5	SRR10104165	102.96225477917467
CD5	SRR10104166	29.160570127955722
CD5	SRR10104167	42.952275448013076
CD5	SRR10104168	85.45332957370695
CD5	SRR10104169	316.7472456370117
CD5	SRR10104170	74.17984747559086
CD5	SRR10104171	385.09984700334564
CD5	SRR10104172	53.79306546749265
CD5	SRR10104173	3.189998600921136
CD5	SRR10104174	100.3558390785274
CD5	SRR10104175	249.6125127461604
CD5	SRR10104176	220.91158341909508
CD5	SRR10104177	28.71640927989935
CD5	SRR10104178	27.017340683980734
CD5	SRR10104179	73.50231150027838
CD5	SRR10104180	96.08325051546598
CD5	SRR10104181	74.99509428023984
CD5	SRR10104182	39.36089781052372
CD5	SRR10104183	26.238644696267055
CD5	SRR10104184	165.51218897285494
CD5	SRR10104185	159.1368713283797
CD5	SRR10104186	73.39359924620416
CD5	SRR10104187	62.8221484140579
CD5	SRR10104188	13.748245384835268
CD5	SRR10104189	40.44080378994877
CD5	SRR10104190	2.3074703026894503
CD5	SRR10104191	39.02916253513605
CD5	SRR10104192	32.83891252206802
CD5	SRR10104193	63.47145286681001
CD5	SRR10104194	17.74918903187653
CD5	SRR10104195	27.125128992906152
CD5	SRR10104196	16.66801601267978
CD5	SRR10104197	274.6009215954104
CD5	SRR10104198	27.704666314561752
CD5	SRR10104199	17.395404149888858
CD5	SRR10104200	89.1944764851108
CD5	SRR10104201	83.14467922241973
CD5	SRR10104202	35.336610088242956
CD5	SRR10104203	62.39091178181538
CD5	SRR10104204	42.30432712855049
CD5	SRR10104205	141.76361146003717
CD5	SRR10104206	65.89958119712239
CD5	SRR10104207	34.09932375274128
CD5	SRR10104208	183.2359785328776
CD5	SRR10104209	60.37064508985287
CD5	SRR10104210	34.90323512017202
CD5	SRR10104211	248.58710345440218
CD5	SRR10104212	90.6752417262373
CD5	SRR10104213	60.60975655941788
CD5	SRR10104214	155.60495651727422
CD5	SRR10104215	433.6101511230455
CD5	SRR10104216	79.85226480817975
CD5	SRR10104217	52.28125110146702
CD5	SRR10104218	35.22252956265494
CD5	SRR10104219	11.745462890572579
CD5	SRR10104220	64.23992407634042
