Gene	sample	counts
CFAP43	CM317	1.052160686909921
CFAP43	CMCD140	1.0094128350688558
CFAP43	CMCD147	7.283196137406335
CFAP43	CMCD152	17
CFAP43	CMCD154	7.069295288840326
CFAP43	CMCD159	1.0863042186135794
CFAP43	CMCD161	1.0030629480920839
CFAP43	CMCD174	24.037847565749953
CFAP43	CMCD196	4.036758867304143
CFAP43	CMCD198	2.058991485670094
CFAP43	CMCD203	18.058307631214337
CFAP43	CMCD211	12.854059159323038
CFAP43	CMCD227	5.75477351773419
CFAP43	CMCD240	10.229626428244742
CFAP43	CMCD259	13
CFAP43	CMCD270	3.0155724404856685
CFAP43	CMCD275	13.1110079385607
CFAP43	CMCD282	1.0131607869251968
CFAP43	CMCD286	14.137557589383311
CFAP43	CMCD287	22
CFAP43	CMCD294	1.0639520056991958
CFAP43	CMCD327	3.0154163618258507
CFAP43	CMCD335	13.061170567551248
CFAP43	CMCD337	1.0066743151229853
CFAP43	CMCD357	2.0423009283729257
CFAP43	CMCD398	10.060023577013604
CFAP43	CMCD403	1.0071810043238532
CFAP43	CMCD422	12.025035424993511
CFAP43	CMCD426	2.2280939223612473
CFAP43	CMCD71	4.025545196110957
CFAP43	CMCD72	1.1510750061651915
CFAP43	CMCD76	7.0160804975196225
CFAP43	CMCD88	5.000899571155219
CFAP43	CMSA256	20
CFAP43	CMSA316	12.097854137500402
CFAP43	CMUC110	22
CFAP43	CMUC192	2.0269208994925614
CFAP43	CMUC199	1.0281874054164815
CFAP43	CMUC200	4.009365645848272
CFAP43	CMUC208	9.022022073177732
CFAP43	CMUC231	33
CFAP43	CMUC234	12
CFAP43	CMUC285	1.0111269374447733
CFAP43	CMUC291	1.0066043693551068
CFAP43	CMUC295	14.012598528666722
CFAP43	CMUC299	7.020489226416354
CFAP43	CMUC301	9.004858558257117
CFAP43	CMUC307	7.01932131098852
CFAP43	CMUC313	8.336331151938193
CFAP43	CMUC314	13.726004666866348
CFAP43	CMUC323	3.072314720674028
CFAP43	CMUC324	6.005399369428595
CFAP43	CMUC331	3.0274723842011952
CFAP43	CMUC333	3.0697162620115814
CFAP43	CMUC334	2.0300260143181053
CFAP43	CMUC346	11.11934322390157
CFAP43	CMUC352	10.060539654927101
CFAP43	CMUC360	8.011521764081627
CFAP43	CMUC363	2.052751135408657
CFAP43	CMUC365	4.0267693642796205
CFAP43	CMUC366	12.04018792649609
CFAP43	CMUC368	10
CFAP43	CMUC377	8.032655150916195
CFAP43	CMUC379	1.0708063663103926
CFAP43	CMUC380	1.01827642435426
CFAP43	CMUC383	2.0285719532928224
CFAP43	CMUC394	1.0076216931317499
CFAP43	CMUC419	1.0249492522957178
CFAP43	CMUC427	12
CFAP43	CMUC428	5.031735293101561
CFAP43	CMUC431	5.009293099084028
CFAP43	CMUC435	12.060233092634563
CFAP43	CMUC439	13.08366939855917
CFAP43	CMUC89	8
CFAP43	CS219	7.017342790247274
CFAP43	CS256	7.016029200240117
CFAP43	CS257	1.0944271775349645
CFAP43	CS259	5.007728056136569
CFAP43	CS261	1.0238230356839277
CFAP43	CS266	33.14498000589986
CFAP43	CS270	6.078057024379052
CFAP43	CS277	15.435911903087376
CFAP43	CS288	8.072125825246488
CFAP43	CS290	2.0159833330578536
CFAP43	CS292	4.0559181253373175
CFAP43	CS293	7.1179401421548985
CFAP43	CS301	1.0267458436587589
CFAP43	CS306	1.0388615456941386
CFAP43	CS308	1.0265766152062068
CFAP43	CS315	1.028018282586956
CFAP43	CS317	1.0722984600508352
CFAP43	CS322	5.067093662413069
CFAP43	CS327	9.042843395123159
CFAP43	CS328	16.906071912058955
CFAP43	CS330	1.0768616883015538
CFAP43	CS331	1.0187996043213206
CFAP43	CS335	45.93789830378806
CFAP43	CS338	4.123330808725644
CFAP43	CS339	1.1707547739034676
CFAP43	CS343	1.0080789119524982
CFAP43	CS344	8.113050048730129
CFAP43	CS350	1.0232380192782662
CFAP43	CS351	5.041559472714125
CFAP43	CS361	1.0239903938396149
CFAP43	CS388	1.034963282410878
CFAP43	CS396	12.130845556598038
CFAP43	CS405	9.228352093789416
CFAP43	CS415	1.0768988297741249
CFAP43	CS424	3.1128658843877477
CFAP43	IM293	5.026667593155306
CFAP43	IM296	1.0674965693084089
CFAP43	IM297	1.098769887658002
CFAP43	IM300	22
CFAP43	IM305	5.050250427196334
CFAP43	IM309	11.75067721020126
CFAP43	IM310	2.0275195597735043
CFAP43	IM311	1.0124769275654149
CFAP43	IM316	7.036304456587711
CFAP43	IM320	14.666536334914836
CFAP43	IM330	9.095350305197794
CFAP43	IM332	1.0306075684228129
CFAP43	IM340	1.056280146775053
CFAP43	IM348	3.1108843881197865
CFAP43	IM354	9.065238206060876
CFAP43	IM356	6.051660314686852
CFAP43	IM364	15.260800252244174
CFAP43	IM372	33.99968440752185
CFAP43	IM374	4.197806120707555
CFAP43	IM376	3.045522009199151
CFAP43	IM381	1.012555790998895
CFAP43	IM382	1.0318406015848964
CFAP43	IM385	8
CFAP43	IM390	1.028703799246213
CFAP43	IM397	11.125231275631814
CFAP43	IM404	5.014412576277622
CFAP43	IM409	6.034373943276814
CFAP43	IM412	10
CFAP43	IM421	5.079492318794411
CFAP43	IM425	20.031953956558628
CFAP43	IM432	1.0420143643186235
CFAP43	IM438	6
CFAP43	IM442	4.170438912475034
CFAP43	IM445	7.08088358003764
CFAP43	IM448	1.0230255913150224
CFAP43	IM449	6.0506795148736385
CFAP43	IM451	4.020745403764407
CFAP43	IMSA256	4.0163968842786275
CFAP43	IMSA276	14
CFAP43	IMSA286	1
CFAP43	IMSA343	3.0375623606408153
CFAP43	IS_238	13
CFAP43	IS238	20.985084539196784
CFAP43	IS243	19
CFAP43	IS253	14
CFAP43	IS283	6
CFAP43	IS322	1.0106397239474434
CFAP43	IS399	8.058023681817705
CFAP43	IS418	3.284253308358707
CFAP43	IS430	2.1695096796608326
CFAP43	IS437	2.1644767574487536
CFAP43	IS444	11.416346949142364
CFAP43	R276CMSA	2.129851061580111
CFAP43	R286CMSA	5
CFAP43	R292CMSA	3.012622862248584
CFAP43	R292IMSA	1.0768750693977573
CFAP43	R308CMSA	1.070354522560454
CFAP43	R316IMSA	10.198650539779269
CFAP43	R347CMSA	1.0679448775774594
CFAP43	R347IMSA	1.0654084912781197
CFAP43	R371CMSA	21.08392209416992
CFAP43	SRR10104064	2.2261654363471575
CFAP43	SRR10104065	5.0293279031094436
CFAP43	SRR10104066	3.0562690021078818
CFAP43	SRR10104067	2.0465142745408063
CFAP43	SRR10104068	4.018685906170092
CFAP43	SRR10104069	4.045963209699796
CFAP43	SRR10104070	1.0295865545572511
CFAP43	SRR10104071	2.3239670595388677
CFAP43	SRR10104072	2.143446479589512
CFAP43	SRR10104073	1.0458357877247761
CFAP43	SRR10104074	2.199444641587846
CFAP43	SRR10104075	1.1547542285600578
CFAP43	SRR10104076	5.139119844362362
CFAP43	SRR10104077	1.1040752320803593
CFAP43	SRR10104078	1.0419214016168303
CFAP43	SRR10104079	2.185713200923564
CFAP43	SRR10104080	2.2508561827206126
CFAP43	SRR10104081	4.063574472769127
CFAP43	SRR10104082	1.085647260281074
CFAP43	SRR10104083	1.065596706440916
CFAP43	SRR10104084	6.420744929013232
CFAP43	SRR10104085	2.044970425975867
CFAP43	SRR10104086	8.199464124410602
CFAP43	SRR10104087	3.0096294146943134
CFAP43	SRR10104088	2.0182376595862515
CFAP43	SRR10104089	1.1387124115642702
CFAP43	SRR10104090	5.132527467561157
CFAP43	SRR10104091	2.085862615029333
CFAP43	SRR10104092	4.051061445293093
CFAP43	SRR10104093	1.0347712127539488
CFAP43	SRR10104094	1.0344440824548444
CFAP43	SRR10104095	4.2221186344508945
CFAP43	SRR10104096	1.1499993829134103
CFAP43	SRR10104097	1.0654329597407752
CFAP43	SRR10104098	6.179799264782089
CFAP43	SRR10104099	1.0483148195050975
CFAP43	SRR10104100	4.117120223975337
CFAP43	SRR10104101	5.027894086915147
CFAP43	SRR10104102	2.0307079369442187
CFAP43	SRR10104103	1.0533097010473917
CFAP43	SRR10104104	2.031032005931729
CFAP43	SRR10104105	1.0837919884500646
CFAP43	SRR10104106	1.1337110372727635
CFAP43	SRR10104107	1.0095882284245328
CFAP43	SRR10104108	3.0205795211567925
CFAP43	SRR10104109	3.3669232326767764
CFAP43	SRR10104110	1.1932010382175424
CFAP43	SRR10104111	2.0659422190142065
CFAP43	SRR10104112	1.189872391069202
CFAP43	SRR10104113	4.145141671498642
CFAP43	SRR10104114	1.1753108824133915
CFAP43	SRR10104115	2.296239124621419
CFAP43	SRR10104116	2.095246382483523
CFAP43	SRR10104117	3.1178782866274166
CFAP43	SRR10104118	1.1479902353871632
CFAP43	SRR10104119	1.1922096850664645
CFAP43	SRR10104120	1.0274397025883788
CFAP43	SRR10104121	1.0845670123047944
CFAP43	SRR10104122	2.186190212028249
CFAP43	SRR10104123	1.085068060584876
CFAP43	SRR10104124	1.1194016065014738
CFAP43	SRR10104125	3.309696626610502
CFAP43	SRR10104126	2.0807179693654545
CFAP43	SRR10104127	2.379320301396905
CFAP43	SRR10104128	3.0868743532825693
CFAP43	SRR10104129	3.0792757934334203
CFAP43	SRR10104130	3.126306819203575
CFAP43	SRR10104131	5.056768723488842
