Gene	sample	counts
CGRRF1	CM317	31.56482060729763
CGRRF1	CMCD140	118.10130170305614
CGRRF1	CMCD147	99.8838327415726
CGRRF1	CMCD152	338
CGRRF1	CMCD154	165.62348962425907
CGRRF1	CMCD159	1.0863042186135794
CGRRF1	CMCD161	168.51457527947008
CGRRF1	CMCD174	1.092629434806816
CGRRF1	CMCD196	58.533003575910065
CGRRF1	CMCD198	31.914368027886457
CGRRF1	CMCD203	184.59603356352432
CGRRF1	CMCD211	236.99671575001852
CGRRF1	CMCD227	203.06129412576357
CGRRF1	CMCD240	251.09083051146186
CGRRF1	CMCD259	275
CGRRF1	CMCD270	104.53984460350317
CGRRF1	CMCD275	159.34917340712235
CGRRF1	CMCD282	41.539592263933066
CGRRF1	CMCD286	196.0407985727819
CGRRF1	CMCD287	231
CGRRF1	CMCD294	5.3197600284959785
CGRRF1	CMCD327	123.63207083485987
CGRRF1	CMCD335	119.55994596450758
CGRRF1	CMCD337	154.02117021381676
CGRRF1	CMCD357	39.82486810327205
CGRRF1	CMCD398	107.64225227404557
CGRRF1	CMCD403	134.96225457939633
CGRRF1	CMCD422	168.35049594990917
CGRRF1	CMCD426	30.079267951876837
CGRRF1	CMCD71	125.7982873784674
CGRRF1	CMCD72	6.90645003699115
CGRRF1	CMCD76	313.71902796052024
CGRRF1	CMCD88	235.04227984429525
CGRRF1	CMSA256	356
CGRRF1	CMSA316	184.49227559688114
CGRRF1	CMUC110	266
CGRRF1	CMUC192	63.84800833401568
CGRRF1	CMUC199	24.676497729995553
CGRRF1	CMUC200	162.379308656855
CGRRF1	CMUC208	187.45756974269287
CGRRF1	CMUC231	387
CGRRF1	CMUC234	186
CGRRF1	CMUC285	91.0014243700296
CGRRF1	CMUC291	147.9708422952007
CGRRF1	CMUC295	199.17907908604838
CGRRF1	CMUC299	182.5327198868252
CGRRF1	CMUC301	221.11930459720256
CGRRF1	CMUC307	194.5354763331104
CGRRF1	CMUC313	36.47144878972959
CGRRF1	CMUC314	25.340316308060952
CGRRF1	CMUC323	53.25345515834982
CGRRF1	CMUC324	162.14578297457206
CGRRF1	CMUC331	86.78754168043426
CGRRF1	CMUC333	58.32460897822005
CGRRF1	CMUC334	51.765663365111685
CGRRF1	CMUC346	123.32362484690832
CGRRF1	CMUC352	108.6538282732127
CGRRF1	CMUC360	66.0950545536734
CGRRF1	CMUC363	33.87039373424284
CGRRF1	CMUC365	89.59561835522155
CGRRF1	CMUC366	229.7669195973004
CGRRF1	CMUC368	171
CGRRF1	CMUC377	138.56330135330438
CGRRF1	CMUC379	8.56645093048314
CGRRF1	CMUC380	91.6448781918834
CGRRF1	CMUC383	45.64286894908851
CGRRF1	CMUC394	70.5335185192225
CGRRF1	CMUC419	42.022919344124425
CGRRF1	CMUC427	296
CGRRF1	CMUC428	126.79972938615934
CGRRF1	CMUC431	197.3661481039107
CGRRF1	CMUC435	121.60735035073185
CGRRF1	CMUC439	132.84956620075465
CGRRF1	CMUC89	200
CGRRF1	CS219	127.31464776591483
CGRRF1	CS256	219.5014849789408
CGRRF1	CS257	3.283281532604894
CGRRF1	CS259	140.21638557182393
CGRRF1	CS261	25.595575892098193
CGRRF1	CS266	49.71747000884979
CGRRF1	CS270	69.8976557803591
CGRRF1	CS277	11.576933927315531
CGRRF1	CS288	100.90157281558109
CGRRF1	CS290	116.9270333173555
CGRRF1	CS292	58.8108128173911
CGRRF1	CS293	36.606549302510906
CGRRF1	CS301	35.93610452805656
CGRRF1	CS306	10.388615456941386
CGRRF1	CS308	56.461713836341374
CGRRF1	CS315	63.73713352039127
CGRRF1	CS317	1.0722984600508352
CGRRF1	CS322	92.22110465591786
CGRRF1	CS327	103.49031885529837
CGRRF1	CS328	5.283147472518424
CGRRF1	CS330	18.306648701126413
CGRRF1	CS331	175.2335319432671
CGRRF1	CS335	24.735791394347416
CGRRF1	CS338	58.75746402434042
CGRRF1	CS339	19.90283115635895
CGRRF1	CS343	135.08257420163477
CGRRF1	CS344	82.14463174339255
CGRRF1	CS350	40.92952077113065
CGRRF1	CS351	98.81456566519685
CGRRF1	CS361	31.74370220902806
CGRRF1	CS388	66.2376500742962
CGRRF1	CS396	62.676035375756534
CGRRF1	CS405	67.67458202112238
CGRRF1	CS415	54.92184031848037
CGRRF1	CS424	20.75243922925165
CGRRF1	IM293	103.5493524189993
CGRRF1	IM296	1.0674965693084089
CGRRF1	IM297	4.395079550632008
CGRRF1	IM300	357
CGRRF1	IM305	80.80400683514135
CGRRF1	IM309	3.2047301482367074
CGRRF1	IM310	51.701748774224356
CGRRF1	IM311	88.08549269819109
CGRRF1	IM316	83.43046712811143
CGRRF1	IM320	40.8567797901199
CGRRF1	IM330	74.78399139829298
CGRRF1	IM332	1.0306075684228129
CGRRF1	IM340	28.519563962926433
CGRRF1	IM348	44.589342896383606
CGRRF1	IM354	128.92783226397688
CGRRF1	IM356	20.172201048956172
CGRRF1	IM364	53.92149422459608
CGRRF1	IM372	10.999897896551184
CGRRF1	IM374	55.620931099375106
CGRRF1	IM376	35.53109010732343
CGRRF1	IM381	88.09235381690385
CGRRF1	IM382	75.32436391569743
CGRRF1	IM385	294
CGRRF1	IM390	53.49259756080307
CGRRF1	IM397	72.81969562231733
CGRRF1	IM404	152.4381423188397
CGRRF1	IM409	163.9338254590201
CGRRF1	IM412	105
CGRRF1	IM421	78.22418170943394
CGRRF1	IM425	17.9233272242893
CGRRF1	IM432	31.260430929558705
CGRRF1	IM438	227
CGRRF1	IM442	54.21570586217544
CGRRF1	IM445	49.56618506026348
CGRRF1	IM448	66.49666343547645
CGRRF1	IM449	132.10650274140778
CGRRF1	IM451	161.83500250151735
CGRRF1	IMSA256	169.692768360772
CGRRF1	IMSA276	243
CGRRF1	IMSA286	195
CGRRF1	IMSA343	123.52753599939315
CGRRF1	IS_238	289
