Gene	sample	counts
CLEC16A	CM317	73.65124808369447
CLEC16A	CMCD140	593.5347470204872
CLEC16A	CMCD147	115.49068160744332
CLEC16A	CMCD152	1087
CLEC16A	CMCD154	321.14798597874625
CLEC16A	CMCD159	34.76173499563454
CLEC16A	CMCD161	592.8102023224216
CLEC16A	CMCD174	96.15139026299981
CLEC16A	CMCD196	746.8003904512664
CLEC16A	CMCD198	160.60133588226734
CLEC16A	CMCD203	823.6594758459428
CLEC16A	CMCD211	1056.4429871568623
CLEC16A	CMCD227	1074.4984268112266
CLEC16A	CMCD240	1149.4380241191366
CLEC16A	CMCD259	1577
CLEC16A	CMCD270	523.7044138310112
CLEC16A	CMCD275	515.3634658926552
CLEC16A	CMCD282	376.8958127361732
CLEC16A	CMCD286	1097.074468936145
CLEC16A	CMCD287	1541
CLEC16A	CMCD294	126.6102886782043
CLEC16A	CMCD327	614.1397990251983
CLEC16A	CMCD335	673.1526369430259
CLEC16A	CMCD337	404.6830746794401
CLEC16A	CMCD357	335.9585027173463
CLEC16A	CMCD398	428.5570043807796
CLEC16A	CMCD403	671.7897298840101
CLEC16A	CMCD422	556.15788840595
CLEC16A	CMCD426	70.18495855437929
CLEC16A	CMCD71	448.84828936637166
CLEC16A	CMCD72	13.8129000739823
CLEC16A	CMCD76	529.2129289557658
CLEC16A	CMCD88	1102.1982654826102
CLEC16A	CMSA256	1071
CLEC16A	CMSA316	301.4381989260517
CLEC16A	CMUC110	1426
CLEC16A	CMUC192	267.55355873301806
CLEC16A	CMUC199	146.00261156914036
CLEC16A	CMUC200	606.4165539345511
CLEC16A	CMUC208	600.4656913148291
CLEC16A	CMUC231	985
CLEC16A	CMUC234	1306
CLEC16A	CMUC285	433.77345616380774
CLEC16A	CMUC291	382.5096603549406
CLEC16A	CMUC295	608.5471361020976
CLEC16A	CMUC299	839.4499260729268
CLEC16A	CMUC301	839.4529255975247
CLEC16A	CMUC307	409.12615641190234
CLEC16A	CMUC313	103.16209800523514
CLEC16A	CMUC314	59.12740471880889
CLEC16A	CMUC323	226.32718442298673
CLEC16A	CMUC324	527.4742446148116
CLEC16A	CMUC331	291.64650634471514
CLEC16A	CMUC333	211.81042207879912
CLEC16A	CMUC334	277.09855095442134
CLEC16A	CMUC346	261.8099904536824
CLEC16A	CMUC352	468.8211479196029
CLEC16A	CMUC360	318.4579901222446
CLEC16A	CMUC363	141.6398283431973
CLEC16A	CMUC365	399.6568594047523
CLEC16A	CMUC366	525.7548727903293
CLEC16A	CMUC368	1212
CLEC16A	CMUC377	542.2042226868432
CLEC16A	CMUC379	114.57628119521202
CLEC16A	CMUC380	185.3263092324753
CLEC16A	CMUC383	441.2143998411889
CLEC16A	CMUC394	404.0562989458317
CLEC16A	CMUC419	298.2602324180539
CLEC16A	CMUC427	1666
CLEC16A	CMUC428	583.6812939997811
CLEC16A	CMUC431	712.3214786897488
CLEC16A	CMUC435	709.5437136166669
CLEC16A	CMUC439	359.29769040658647
CLEC16A	CMUC89	931
CLEC16A	CS219	723.7887849369331
CLEC16A	CS256	810.8525175706077
CLEC16A	CS257	103.97058186582164
CLEC16A	CS259	776.1978487011683
CLEC16A	CS261	231.38400606456764
CLEC16A	CS266	351.12963193750164
CLEC16A	CS270	403.17778261714375
CLEC16A	CS277	253.72780190699874
CLEC16A	CS288	616.5086099032004
CLEC16A	CS290	526.1716499280998
CLEC16A	CS292	411.6756897217377
CLEC16A	CS293	220.65614440680187
CLEC16A	CS301	169.4130642036952
CLEC16A	CS306	131.9354163031556
CLEC16A	CS308	183.75721412191103
CLEC16A	CS315	215.88383934326075
CLEC16A	CS317	265.9300180926071
CLEC16A	CS322	461.10552327958925
CLEC16A	CS327	804.8130621659611
CLEC16A	CS328	101.43643147235375
CLEC16A	CS330	94.76382857053673
CLEC16A	CS331	443.1778278797744
CLEC16A	CS335	117.62121214046833
CLEC16A	CS338	192.76571530792384
CLEC16A	CS339	31.610378895393627
CLEC16A	CS343	424.40122193200176
CLEC16A	CS344	206.88277624261826
CLEC16A	CS350	218.97293612554898
CLEC16A	CS351	729.0094997544626
CLEC16A	CS361	258.04557924758296
CLEC16A	CS388	247.35622449619987
CLEC16A	CS396	504.44099439520176
CLEC16A	CS405	128.17155685818634
CLEC16A	CS415	62.460132126899246
CLEC16A	CS424	133.85323302867315
CLEC16A	IM293	495.6294246851132
CLEC16A	IM296	114.22213291599975
CLEC16A	IM297	20.87662786550204
CLEC16A	IM300	1258
CLEC16A	IM305	400.989883919389
CLEC16A	IM309	142.0763699051607
CLEC16A	IM310	329.47192846319444
CLEC16A	IM311	241.98198568813416
CLEC16A	IM316	328.69593675774024
CLEC16A	IM320	92.18965696232182
CLEC16A	IM330	288.0194263312635
CLEC16A	IM332	169.0196412213413
CLEC16A	IM340	147.87922054850742
CLEC16A	IM348	147.24852770433654
CLEC16A	IM354	333.39931624512775
CLEC16A	IM356	225.92865174830914
CLEC16A	IM364	197.37301659569133
CLEC16A	IM372	213.99801362381396
CLEC16A	IM374	176.30785706971733
CLEC16A	IM376	134.00296840476264
CLEC16A	IM381	364.5200847596021
CLEC16A	IM382	166.12633685516832
CLEC16A	IM385	637
CLEC16A	IM390	329.1852157587881
CLEC16A	IM397	315.55201436337506
CLEC16A	IM404	541.5565582379833
CLEC16A	IM409	465.65252262286083
CLEC16A	IM412	634
CLEC16A	IM421	215.37047431688302
CLEC16A	IM425	343.70615735990066
CLEC16A	IM432	100.03337897458786
CLEC16A	IM438	931
CLEC16A	IM442	117.8148992774197
CLEC16A	IM445	308.5242131302115
CLEC16A	IM448	345.7826498644775
CLEC16A	IM449	326.7366938031765
CLEC16A	IM451	336.73742756526906
CLEC16A	IMSA256	587.3980443257492
CLEC16A	IMSA276	794
CLEC16A	IMSA286	987
CLEC16A	IMSA343	399.9457108177073
CLEC16A	IS_238	1228
CLEC16A	IS238	2573.4879283678397
CLEC16A	IS243	1711
CLEC16A	IS253	1124
CLEC16A	IS283	1268
CLEC16A	IS322	405.2665293029248
CLEC16A	IS399	155.11695587499082
CLEC16A	IS418	74.44307498946404
CLEC16A	IS430	145.3571485372758
CLEC16A	IS437	108.22383787243768
CLEC16A	IS444	247.00823399053476
CLEC16A	R276CMSA	108.62240414058567
CLEC16A	R286CMSA	899
CLEC16A	R292CMSA	541.2679075839956
CLEC16A	R292IMSA	94.76500610700265
CLEC16A	R308CMSA	109.17616130116632
CLEC16A	R316IMSA	206.01274090354124
CLEC16A	R347CMSA	104.658598002591
CLEC16A	R347IMSA	117.19493404059315
CLEC16A	R371CMSA	365.45464963227863
CLEC16A	SRR10104064	38.95789513607526
CLEC16A	SRR10104065	151.88570267390517
CLEC16A	SRR10104066	142.6258867650345
CLEC16A	SRR10104067	76.74428529528024
CLEC16A	SRR10104068	137.63999228632568
CLEC16A	SRR10104069	165.88449159769164
CLEC16A	SRR10104070	102.95865545572511
CLEC16A	SRR10104071	5.809917648847169
CLEC16A	SRR10104072	47.15582255096926
CLEC16A	SRR10104073	48.108446235339706
CLEC16A	SRR10104074	41.789448190169075
CLEC16A	SRR10104075	31.17836417112156
CLEC16A	SRR10104076	78.11462163430791
CLEC16A	SRR10104077	43.05893405113401
CLEC16A	SRR10104078	69.80873390832764
CLEC16A	SRR10104079	42.6214074180095
CLEC16A	SRR10104080	45.01712365441226
CLEC16A	SRR10104081	100.5734682010359
CLEC16A	SRR10104082	43.42589041124296
CLEC16A	SRR10104083	44.75506167051847
CLEC16A	SRR10104084	35.31409710957277
CLEC16A	SRR10104085	89.97869874293816
CLEC16A	SRR10104086	60.47104791752818
CLEC16A	SRR10104087	280.89874537146926
CLEC16A	SRR10104088	144.30399266041695
CLEC16A	SRR10104089	35.300084758492375
CLEC16A	SRR10104090	79.04092300044182
CLEC16A	SRR10104091	50.060702760704
CLEC16A	SRR10104092	156.97863100510733
CLEC16A	SRR10104093	90.02509550959356
CLEC16A	SRR10104094	76.54886210165849
CLEC16A	SRR10104095	53.8320125892489
CLEC16A	SRR10104096	22.999987658268203
CLEC16A	SRR10104097	45.813617268853335
CLEC16A	SRR10104098	114.32628639846865
CLEC16A	SRR10104099	68.14046326783134
CLEC16A	SRR10104100	90.57664492745741
CLEC16A	SRR10104101	200.11018465922285
CLEC16A	SRR10104102	150.2723873338722
CLEC16A	SRR10104103	68.46513056808047
CLEC16A	SRR10104104	107.64469631438165
CLEC16A	SRR10104105	40.100303572652386
CLEC16A	SRR10104106	26.07535385727356
CLEC16A	SRR10104107	128.21770500991565
CLEC16A	SRR10104108	215.46800584251787
CLEC16A	SRR10104109	21.32384714028625
CLEC16A	SRR10104110	22.670819726133303
CLEC16A	SRR10104111	70.24203544648302
CLEC16A	SRR10104112	9.518979128553616
CLEC16A	SRR10104113	67.35855216185294
CLEC16A	SRR10104114	25.85683941309461
CLEC16A	SRR10104115	30.999228182389157
CLEC16A	SRR10104116	63.90501466574746
CLEC16A	SRR10104117	74.829078879058
CLEC16A	SRR10104118	19.515834001581773
CLEC16A	SRR10104119	17.883145275996966
CLEC16A	SRR10104120	67.81102037083299
CLEC16A	SRR10104121	36.875278418363
CLEC16A	SRR10104122	31.69975807440961
CLEC16A	SRR10104123	41.232586302225286
CLEC16A	SRR10104124	23.507433736530952
CLEC16A	SRR10104125	35.303430683845356
CLEC16A	SRR10104126	65.54261603501182
CLEC16A	SRR10104127	24.982863164667503
CLEC16A	SRR10104128	105.98268612936822
CLEC16A	SRR10104129	83.14044642270234
CLEC16A	SRR10104130	52.10511365339291
CLEC16A	SRR10104131	126.41921808722105
CLEC16A	SRR10104132	137.99130373256514
CLEC16A	SRR10104133	23.356208229503668
CLEC16A	SRR10104134	102.01162584320004
CLEC16A	SRR10104135	27.619813068427014
CLEC16A	SRR10104136	97.44513105301444
CLEC16A	SRR10104137	43.33501907246182
CLEC16A	SRR10104138	19.17940063303222
CLEC16A	SRR10104139	167.8897939828582
CLEC16A	SRR10104140	22.91504571821293
CLEC16A	SRR10104141	57.30578321630191
CLEC16A	SRR10104142	57.901317428817464
CLEC16A	SRR10104143	189.5403801526485
CLEC16A	SRR10104144	48.80982773510112
CLEC16A	SRR10104145	60.6782193928667
CLEC16A	SRR10104146	194.85825518116144
CLEC16A	SRR10104147	332.5673961567901
CLEC16A	SRR10104148	51.60418177476204
CLEC16A	SRR10104149	46.10980056931029
CLEC16A	SRR10104150	125.4448585983866
CLEC16A	SRR10104151	206.57027194754588
CLEC16A	SRR10104152	326.82752687652294
CLEC16A	SRR10104153	33.15257901072844
CLEC16A	SRR10104154	59.77832561406859
CLEC16A	SRR10104155	38.171177811649386
CLEC16A	SRR10104156	261.057459489994
CLEC16A	SRR10104157	70.36068010506911
CLEC16A	SRR10104158	103.08054989873733
CLEC16A	SRR10104159	132.66013470107305
CLEC16A	SRR10104160	30.4740423941747
CLEC16A	SRR10104161	299.5160152572081
CLEC16A	SRR10104162	81.63852761630775
CLEC16A	SRR10104163	60.786981094211185
CLEC16A	SRR10104164	71.37758944102312
CLEC16A	SRR10104165	37.40830210731816
CLEC16A	SRR10104166	66.63106500423838
CLEC16A	SRR10104167	129.87534867213225
CLEC16A	SRR10104168	79.23329200894993
CLEC16A	SRR10104169	67.64431338100111
CLEC16A	SRR10104170	62.842349611733965
CLEC16A	SRR10104171	55.30161453871204
CLEC16A	SRR10104172	75.50005920816943
CLEC16A	SRR10104173	41.410532678510364
CLEC16A	SRR10104174	55.84714971416891
CLEC16A	SRR10104175	94.0848302968675
CLEC16A	SRR10104176	104.30551142732126
CLEC16A	SRR10104177	74.85832134212603
