Gene	sample	counts
CMIP	CM317	1111.0816853768765
CMIP	CMCD140	1221.3895304333155
CMIP	CMCD147	1010.2833499173645
CMIP	CMCD152	3551
CMIP	CMCD154	1176.5327159284257
CMIP	CMCD159	939.6531491007461
CMIP	CMCD161	1623.9589129610838
CMIP	CMCD174	964.7917909344186
CMIP	CMCD196	1134.3292417124642
CMIP	CMCD198	964.637511036439
CMIP	CMCD203	2447.9039233423878
CMIP	CMCD211	3360.533091465517
CMIP	CMCD227	2724.474205395872
CMIP	CMCD240	2760.1392035482177
CMIP	CMCD259	1846
CMIP	CMCD270	1272.5715698849522
CMIP	CMCD275	1392.7924587040252
CMIP	CMCD282	1002.0160182690196
CMIP	CMCD286	2732.3186301081478
CMIP	CMCD287	2622
CMIP	CMCD294	951.173093095081
CMIP	CMCD327	1652.448166280566
CMIP	CMCD335	1463.855808994013
CMIP	CMCD337	1459.6777569283288
CMIP	CMCD357	962.9448877278345
CMIP	CMCD398	1253.4789376958952
CMIP	CMCD403	1323.435839681543
CMIP	CMCD422	1796.7407097511139
CMIP	CMCD426	1067.2569888110374
CMIP	CMCD71	1381.7683885650858
CMIP	CMCD72	1065.8954557089673
CMIP	CMCD76	1429.2758270661402
CMIP	CMCD88	2674.481090653811
CMIP	CMSA256	3131
CMIP	CMSA316	1362.0167449802536
CMIP	CMUC110	3224
CMIP	CMUC192	1171.5602799067005
CMIP	CMUC199	1016.8773439569002
CMIP	CMUC200	1976.6172634031977
CMIP	CMUC208	1403.4256558276472
CMIP	CMUC231	2887
CMIP	CMUC234	2556
CMIP	CMUC285	1170.8849935610474
CMIP	CMUC291	1528.025432681052
CMIP	CMUC295	1930.7358972712932
CMIP	CMUC299	2568.49612983604
CMIP	CMUC301	3085.664865962772
CMIP	CMUC307	2046.6335422467957
CMIP	CMUC313	1619.332326263994
CMIP	CMUC314	1070.6283640155752
CMIP	CMUC323	1175.6724331112614
CMIP	CMUC324	2241.0148646917705
CMIP	CMUC331	1352.2709982765339
CMIP	CMUC333	1712.9016742024623
CMIP	CMUC334	1703.1918260128903
CMIP	CMUC346	1179.6612311175575
CMIP	CMUC352	2015.1260928818983
CMIP	CMUC360	1249.7973951967335
CMIP	CMUC363	1401.0026499164082
CMIP	CMUC365	1604.6675916654287
CMIP	CMUC366	1839.138705772278
CMIP	CMUC368	1826
CMIP	CMUC377	1825.4208830457055
CMIP	CMUC379	965.8673424119742
CMIP	CMUC380	1124.1771724871028
CMIP	CMUC383	1078.185993175135
CMIP	CMUC394	1014.6750449836721
CMIP	CMUC419	1247.3632400438885
CMIP	CMUC427	2859
CMIP	CMUC428	1449.1397644132496
CMIP	CMUC431	1641.0444192599275
CMIP	CMUC435	1542.704816432838
CMIP	CMUC439	1900.151371113824
CMIP	CMUC89	2740
CMIP	CS219	1436.5503169177634
CMIP	CS256	1982.5293940107072
CMIP	CS257	968.5680521184437
CMIP	CS259	1263.9505613688702
CMIP	CS261	1058.6330188971813
CMIP	CS266	1058.5677989384267
CMIP	CS270	1314.8863362740015
CMIP	CS277	910.7188022821551
CMIP	CS288	1318.7835566996448
CMIP	CS290	1334.5809664842989
CMIP	CS292	1166.0764610344786
CMIP	CS293	1011.764348777732
CMIP	CS301	1061.6552023431566
CMIP	CS306	1040.9392687855268
CMIP	CS308	1020.4171555149696
CMIP	CS315	1141.100293671521
CMIP	CS317	901.8030049027524
CMIP	CS322	1064.0896691067444
CMIP	CS327	1479.0072752912545
CMIP	CS328	922.4375487017169
CMIP	CS330	909.9481266148128
CMIP	CS331	1114.5667671275246
CMIP	CS335	471.4944727004181
CMIP	CS338	999.9077211159687
CMIP	CS339	1045.4840130957966
CMIP	CS343	1189.533116103948
CMIP	CS344	1560.7480031244584
CMIP	CS350	1022.214781258988
CMIP	CS351	1270.4729871239597
CMIP	CS361	1110.0055869221426
CMIP	CS388	1001.8444573737299
CMIP	CS396	1291.9350517776911
