Gene	sample	counts
CNGA1	CM317	8.417285495279367
CNGA1	CMCD140	118.10130170305614
CNGA1	CMCD147	11.445022501638528
CNGA1	CMCD152	92
CNGA1	CMCD154	28.277181155361305
CNGA1	CMCD159	1.0863042186135794
CNGA1	CMCD161	162.49619759091757
CNGA1	CMCD174	1.092629434806816
CNGA1	CMCD196	38.34920923938935
CNGA1	CMCD198	53.53377862742244
CNGA1	CMCD203	15.048589692678613
CNGA1	CMCD211	50.61285793983446
CNGA1	CMCD227	36.17286211147205
CNGA1	CMCD240	83.69694350382062
CNGA1	CMCD259	62
CNGA1	CMCD270	50.25954067476114
CNGA1	CMCD275	285.4165574317445
CNGA1	CMCD282	52.68436092011023
CNGA1	CMCD286	57.49273419682547
CNGA1	CMCD287	110
CNGA1	CMCD294	5.3197600284959785
CNGA1	CMCD327	8.041110298202268
CNGA1	CMCD335	49.230565985385475
CNGA1	CMCD337	13.08676609659881
CNGA1	CMCD357	9.190354177678165
CNGA1	CMCD398	21.12604951172857
CNGA1	CMCD403	28.201068121067888
CNGA1	CMCD422	7.014603997912882
CNGA1	CMCD426	8.912375689444989
CNGA1	CMCD71	95.60669840763522
CNGA1	CMCD72	8.05752504315634
CNGA1	CMCD76	92.21134368168647
CNGA1	CMCD88	60.01079485386262
CNGA1	CMSA256	196
CNGA1	CMSA316	216.75321996354887
CNGA1	CMUC110	59
CNGA1	CMUC192	10.134604497462806
CNGA1	CMUC199	25.704685135412035
CNGA1	CMUC200	45.10536351579305
CNGA1	CMUC208	231.56523321156178
CNGA1	CMUC231	23
CNGA1	CMUC234	29
CNGA1	CMUC285	8.089015499558187
CNGA1	CMUC291	35.23115292742874
CNGA1	CMUC295	148.13318444590533
CNGA1	CMUC299	16.046832517523093
CNGA1	CMUC301	40.02159359225386
CNGA1	CMUC307	17.046923183829264
CNGA1	CMUC313	1.0420413939922741
CNGA1	CMUC314	4.223386051343492
CNGA1	CMUC323	2.0482098137826856
CNGA1	CMUC324	48.04319495542876
CNGA1	CMUC331	12.109889536804781
CNGA1	CMUC333	7.162671278027023
CNGA1	CMUC334	15.225195107385789
CNGA1	CMUC346	95.01984209515886
CNGA1	CMUC352	38.23005068872298
CNGA1	CMUC360	33.0475272768367
CNGA1	CMUC363	132.40244823385837
CNGA1	CMUC365	19.127154480328198
CNGA1	CMUC366	89.29806045484601
CNGA1	CMUC368	16
CNGA1	CMUC377	15.061228407967867
CNGA1	CMUC379	62.10676924600278
CNGA1	CMUC380	14.255869940959638
CNGA1	CMUC383	9.1285737898177
CNGA1	CMUC394	36.274380952742995
CNGA1	CMUC419	45.09776710101158
CNGA1	CMUC427	49
CNGA1	CMUC428	15.095205879304682
CNGA1	CMUC431	37.068768933221804
CNGA1	CMUC435	9.045174819475923
CNGA1	CMUC439	27.173774904699815
CNGA1	CMUC89	50
CNGA1	CS219	81.20068085857561
CNGA1	CS256	307.70299492481655
CNGA1	CS257	6.566563065209788
CNGA1	CS259	64.0989191185481
CNGA1	CS261	51.191151784196386
CNGA1	CS266	77.68354688882779
CNGA1	CS270	244.13529047922526
CNGA1	CS277	77.17955951543688
CNGA1	CS288	94.84747844664622
CNGA1	CS290	154.22272497892578
CNGA1	CS292	142.97111391814045
CNGA1	CS293	217.6055986315926
CNGA1	CS301	114.995534489781
CNGA1	CS306	89.34209292969591
CNGA1	CS308	40.036487993042066
CNGA1	CS315	88.40957230247821
CNGA1	CS317	8.578387680406681
CNGA1	CS322	31.415980706961026
CNGA1	CS327	19.090447167482225
CNGA1	CS328	41.20855028564371
CNGA1	CS330	82.91834999921964
CNGA1	CS331	488.0050104699125
CNGA1	CS335	20.19248277089585
CNGA1	CS338	7.215828915269877
CNGA1	CS339	1.1707547739034676
CNGA1	CS343	16.12926259123997
CNGA1	CS344	10.141312560912661
CNGA1	CS350	105.39351598566142
CNGA1	CS351	95.78962998156838
CNGA1	CS361	24.57576945215076
CNGA1	CS388	25.874082060271952
CNGA1	CS396	6.065422778299019
CNGA1	CS405	9.228352093789416
CNGA1	CS415	13.999684787063623
CNGA1	CS424	22.827683152176814
CNGA1	IM293	42.22400778250457
CNGA1	IM296	24.552421094093404
CNGA1	IM297	1.098769887658002
CNGA1	IM300	281
CNGA1	IM305	179.7889152081895
CNGA1	IM309	14.955407358437968
CNGA1	IM310	5.0687988994337605
CNGA1	IM311	55.68623101609782
CNGA1	IM316	45.23338579234957
CNGA1	IM320	9.428487643873822
CNGA1	IM330	28.296645393948694
CNGA1	IM332	27.826404347415945
CNGA1	IM340	1.056280146775053
CNGA1	IM348	18.665306328718717
CNGA1	IM354	60.434921373739165
CNGA1	IM356	83.71463435316812
CNGA1	IM364	27.469440454039514
CNGA1	IM372	34.999675125390134
CNGA1	IM374	53.52202803902133
CNGA1	IM376	51.77387415638557
CNGA1	IM381	56.70312429593811
CNGA1	IM382	20.63681203169793
CNGA1	IM385	20
CNGA1	IM390	22.63148358341668
CNGA1	IM397	62.70584900810659
CNGA1	IM404	36.103770549198885
CNGA1	IM409	87.4984221775138
CNGA1	IM412	16
CNGA1	IM421	26.413360057730937
CNGA1	IM425	46.38978810992525
CNGA1	IM432	18.756258557735222
CNGA1	IM438	5
CNGA1	IM442	36.491340484156545
CNGA1	IM445	36.415972697336436
CNGA1	IM448	11.253281504465244
CNGA1	IM449	11.092912443935004
CNGA1	IM451	24.12447242258644
CNGA1	IMSA256	109.44681509659259
CNGA1	IMSA276	19
CNGA1	IMSA286	80
CNGA1	IMSA343	82.01418373730202
CNGA1	IS_238	404
CNGA1	IS238	416.6307028025898
CNGA1	IS243	546
CNGA1	IS253	138
CNGA1	IS283	190
CNGA1	IS322	74.78733957211081
CNGA1	IS399	39.282865448861315
CNGA1	IS418	13.137013233434828
CNGA1	IS430	53.152987151690404
CNGA1	IS437	11.904622165968144
CNGA1	IS444	26.98409278888195
CNGA1	R276CMSA	1.0649255307900556
CNGA1	R286CMSA	53
CNGA1	R292CMSA	40.16830482998112
CNGA1	R292IMSA	16.153126040966363
CNGA1	R308CMSA	12.844254270725449
CNGA1	R316IMSA	45.89392742900671
CNGA1	R347CMSA	11.747393653352052
CNGA1	R347IMSA	8.523267930224957
CNGA1	R371CMSA	14.055948062779947
CNGA1	SRR10104064	38.95789513607526
CNGA1	SRR10104065	85.49857435286053
CNGA1	SRR10104066	133.45707975871085
