Gene	sample	counts
CNIH2	CM317	2.1053246445519345
CNIH2	CMCD140	17.160013170136992
CNIH2	CMCD147	2.0811603587005387
CNIH2	CMCD152	76
CNIH2	CMCD154	85.83618965648145
CNIH2	CMCD159	1.0879251488683968
CNIH2	CMCD161	83.2567697436016
CNIH2	CMCD174	1.0948567840005883
CNIH2	CMCD196	63.594055187679714
CNIH2	CMCD198	45.32124630234131
CNIH2	CMCD203	52.16635715653713
CNIH2	CMCD211	28.934776992075914
CNIH2	CMCD227	45.216077639340064
CNIH2	CMCD240	30.769154146099673
CNIH2	CMCD259	36
CNIH2	CMCD270	33.17212810840217
CNIH2	CMCD275	129.07900086676474
CNIH2	CMCD282	74.98156863364513
CNIH2	CMCD286	28.344429225430556
CNIH2	CMCD287	25
CNIH2	CMCD294	1.065596706440916
CNIH2	CMCD327	20.101889327925925
CNIH2	CMCD335	34.15987442570333
CNIH2	CMCD337	31.207218478028715
CNIH2	CMCD357	29.612642251352742
CNIH2	CMCD398	29.169858933208666
CNIH2	CMCD403	56.40117498351499
CNIH2	CMCD422	35.07301998956441
CNIH2	CMCD426	2.232527863053648
CNIH2	CMCD71	68.43067438088059
CNIH2	CMCD72	1.153507591320982
CNIH2	CMCD76	13.030438349006882
CNIH2	CMCD88	28.005037598469222
CNIH2	CMSA256	78
CNIH2	CMSA316	97.78114101082652
CNIH2	CMUC110	71
CNIH2	CMUC192	23.309142328050495
CNIH2	CMUC199	31.894574309450885
CNIH2	CMUC200	36.08429081263444
CNIH2	CMUC208	46.1125572629084
CNIH2	CMUC231	51
CNIH2	CMUC234	42
CNIH2	CMUC285	21.231993564199655
CNIH2	CMUC291	36.23668998127786
CNIH2	CMUC295	48.04319495542876
CNIH2	CMUC299	15.044157475716096
CNIH2	CMUC301	32.01727487380308
CNIH2	CMUC307	28.078143556551044
CNIH2	CMUC313	1.0421599703566413
CNIH2	CMUC314	1.0565727454715677
CNIH2	CMUC323	10.239817545642454
CNIH2	CMUC324	14.011552324956297
CNIH2	CMUC331	12.108354752660356
CNIH2	CMUC333	18.418238189432298
CNIH2	CMUC334	9.135886552342152
CNIH2	CMUC346	53.56894184937374
CNIH2	CMUC352	26.15437184879553
CNIH2	CMUC360	28.038232637300027
CNIH2	CMUC363	23.611545200911973
CNIH2	CMUC365	25.16474135322926
CNIH2	CMUC366	43.143000581182996
CNIH2	CMUC368	80
CNIH2	CMUC377	45.18259536392532
CNIH2	CMUC379	23.598606198540118
CNIH2	CMUC380	14.256062441791888
CNIH2	CMUC383	41.5809712267959
CNIH2	CMUC394	34.25694063590504
CNIH2	CMUC419	20.505312480224827
CNIH2	CMUC427	65
CNIH2	CMUC428	13.081535000165177
CNIH2	CMUC431	50.09002998101856
CNIH2	CMUC435	23.112078562225538
CNIH2	CMUC439	58.36812939997811
CNIH2	CMUC89	26
CNIH2	CS219	58.145287369531005
CNIH2	CS256	69.15639367497282
CNIH2	CS257	10.975660666569182
CNIH2	CS259	45.069552505229126
CNIH2	CS261	36.87902514401064
CNIH2	CS266	52.85528535010664
CNIH2	CS270	30.394512286179953
CNIH2	CS277	52.6862561685007
CNIH2	CS288	51.46050769880651
CNIH2	CS290	33.266208705446566
CNIH2	CS292	41.57978613888693
CNIH2	CS293	28.482946061014268
CNIH2	CS301	31.850714812889354
CNIH2	CS306	17.675079267461747
CNIH2	CS308	14.371920343600243
CNIH2	CS315	40.0958115789242
CNIH2	CS317	1.074639904418001
CNIH2	CS322	55.7344592889504
CNIH2	CS327	21.099744371937945
CNIH2	CS328	22.24223245511003
CNIH2	CS330	1.0796669003492032
CNIH2	CS331	10.19195220950249
CNIH2	CS335	5.053061392489732
CNIH2	CS338	10.310503431651092
CNIH2	CS339	4.698218212376444
CNIH2	CS343	42.33288871399285
CNIH2	CS344	22.313307553429702
CNIH2	CS350	12.286556110640383
CNIH2	CS351	81.6717132364622
CNIH2	CS361	7.1683164747777885
CNIH2	CS388	10.351454818099887
CNIH2	CS396	8.086244875916417
CNIH2	CS405	12.305937340637225
CNIH2	CS415	1.079088642619474
CNIH2	CS424	1.0386323617220947
CNIH2	IM293	43.2288832947548
CNIH2	IM296	1.06935019510561
CNIH2	IM297	4.407607962287269
CNIH2	IM300	95
CNIH2	IM305	43.42932087583393
CNIH2	IM309	1.0710522602925363
CNIH2	IM310	22.3018782788518
CNIH2	IM311	38.47241549015219
CNIH2	IM316	31.159047691902078
CNIH2	IM320	1.0484230527074043
CNIH2	IM330	37.39202797522625
CNIH2	IM332	1.0316333002492235
CNIH2	IM340	1.0589639229808667
CNIH2	IM348	22.835170414697878
CNIH2	IM354	16.115505396147686
CNIH2	IM356	18.16254479696621
CNIH2	IM364	45.78832978561859
CNIH2	IM372	45
CNIH2	IM374	22.067385347147418
CNIH2	IM376	26.405781298450652
CNIH2	IM381	37.45706591330561
CNIH2	IM382	1.032262770934483
CNIH2	IM385	52
CNIH2	IM390	22.63676946600302
CNIH2	IM397	19.214546367641244
CNIH2	IM404	66.18530413396185
CNIH2	IM409	46.25915544918991
CNIH2	IM412	25
CNIH2	IM421	11.175316528847722
CNIH2	IM425	1.0558354963791774
CNIH2	IM432	14.609580945643751
CNIH2	IM438	51
CNIH2	IM442	5.2197814079119205
CNIH2	IM445	11.128132860106643
CNIH2	IM448	88.00753576489676
CNIH2	IM449	25.208089478891974
CNIH2	IM451	43.219785989043004
CNIH2	IMSA256	61.248346604657726
