Gene	sample	counts
CTB-113P19.3	CM317	1.052160686909921
CTB-113P19.3	CMCD140	1.0094128350688558
CTB-113P19.3	CMCD147	1.0404565910580479
CTB-113P19.3	CMCD152	3
CTB-113P19.3	CMCD154	1.0098993269771894
CTB-113P19.3	CMCD159	1.0863042186135794
CTB-113P19.3	CMCD161	2.0061258961841677
CTB-113P19.3	CMCD174	1.092629434806816
CTB-113P19.3	CMCD196	1.0091897168260358
CTB-113P19.3	CMCD198	1.029495742835047
CTB-113P19.3	CMCD203	2.0064786256904816
CTB-113P19.3	CMCD211	8.033786974576898
CTB-113P19.3	CMCD227	6.576884020267646
CTB-113P19.3	CMCD240	5.579796233588041
CTB-113P19.3	CMCD259	10
CTB-113P19.3	CMCD270	1.0051908134952228
CTB-113P19.3	CMCD275	3.0256172165909305
CTB-113P19.3	CMCD282	1.0131607869251968
CTB-113P19.3	CMCD286	5.655023035753325
CTB-113P19.3	CMCD287	7
CTB-113P19.3	CMCD294	1.0639520056991958
CTB-113P19.3	CMCD327	4.020555149101134
CTB-113P19.3	CMCD335	3.0141162848195187
CTB-113P19.3	CMCD337	2.0133486302459707
CTB-113P19.3	CMCD357	1.0211504641864628
CTB-113P19.3	CMCD398	1.0060023577013604
CTB-113P19.3	CMCD403	1.0071810043238532
CTB-113P19.3	CMCD422	1.0020862854161259
CTB-113P19.3	CMCD426	1.1140469611806236
CTB-113P19.3	CMCD71	1.0063862990277392
CTB-113P19.3	CMCD72	1.1510750061651915
CTB-113P19.3	CMCD76	2.004594427862749
CTB-113P19.3	CMCD88	5.000899571155219
CTB-113P19.3	CMSA256	7
CTB-113P19.3	CMSA316	2.0163090229167335
CTB-113P19.3	CMUC110	2
CTB-113P19.3	CMUC192	1.0134604497462807
CTB-113P19.3	CMUC199	1.0281874054164815
CTB-113P19.3	CMUC200	3.0070242343862037
CTB-113P19.3	CMUC208	1.002446897019748
CTB-113P19.3	CMUC231	6
CTB-113P19.3	CMUC234	6
CTB-113P19.3	CMUC285	1.0111269374447733
CTB-113P19.3	CMUC291	2.0132087387102136
CTB-113P19.3	CMUC295	3.0026996847142975
CTB-113P19.3	CMUC299	2.0058540646903866
CTB-113P19.3	CMUC301	1.0005398398063463
CTB-113P19.3	CMUC307	2.0055203745681487
CTB-113P19.3	CMUC313	1.0420413939922741
CTB-113P19.3	CMUC314	6.335079077015238
CTB-113P19.3	CMUC323	1.0241049068913428
CTB-113P19.3	CMUC324	7.006299264333361
CTB-113P19.3	CMUC331	8.073259691203187
CTB-113P19.3	CMUC333	1.0232387540038606
CTB-113P19.3	CMUC334	1.0150130071590526
CTB-113P19.3	CMUC346	1.0108493839910517
CTB-113P19.3	CMUC352	1.00605396549271
CTB-113P19.3	CMUC360	1.0014402205102033
CTB-113P19.3	CMUC363	1.0263755677043285
CTB-113P19.3	CMUC365	2.0133846821398103
CTB-113P19.3	CMUC366	3.0100469816240225
CTB-113P19.3	CMUC368	2
CTB-113P19.3	CMUC377	4.016327575458098
CTB-113P19.3	CMUC379	1.0708063663103926
CTB-113P19.3	CMUC380	1.01827642435426
CTB-113P19.3	CMUC383	1.0142859766464112
CTB-113P19.3	CMUC394	1.0076216931317499
CTB-113P19.3	CMUC419	1.0249492522957178
CTB-113P19.3	CMUC427	6
CTB-113P19.3	CMUC428	3.0190411758609366
CTB-113P19.3	CMUC431	6.011151718900833
CTB-113P19.3	CMUC435	3.015058273158641
CTB-113P19.3	CMUC439	3.019308322744424
CTB-113P19.3	CMUC89	5
CTB-113P19.3	CS219	3.007432624391689
CTB-113P19.3	CS256	4.009159542994352
CTB-113P19.3	CS257	1.0944271775349645
CTB-113P19.3	CS259	5.007728056136569
CTB-113P19.3	CS261	1.0238230356839277
CTB-113P19.3	CS266	1.0357806251843706
CTB-113P19.3	CS270	1.0130095040631752
CTB-113P19.3	CS277	7.717955951543688
CTB-113P19.3	CS288	1.009015728155811
CTB-113P19.3	CS290	1.0079916665289268
CTB-113P19.3	CS292	1.0139795313343294
CTB-113P19.3	CS293	1.016848591736414
CTB-113P19.3	CS301	1.0267458436587589
CTB-113P19.3	CS306	1.0388615456941386
CTB-113P19.3	CS308	2.0531532304124136
CTB-113P19.3	CS315	5.14009141293478
CTB-113P19.3	CS317	1.0722984600508352
CTB-113P19.3	CS322	1.0134187324826138
CTB-113P19.3	CS327	5.023801886179532
CTB-113P19.3	CS328	1.0566294945036847
CTB-113P19.3	CS330	1.0768616883015538
CTB-113P19.3	CS331	1.0187996043213206
CTB-113P19.3	CS335	3.533684484906774
