Gene	sample	counts
CTD-2349P21.10	CM317	1.0526623222759672
CTD-2349P21.10	CMCD140	38.35767649795328
CTD-2349P21.10	CMCD147	1.0405801793502694
CTD-2349P21.10	CMCD152	10
CTD-2349P21.10	CMCD154	8.07870020296296
CTD-2349P21.10	CMCD159	625.5569605993281
CTD-2349P21.10	CMCD161	19.058778616005185
CTD-2349P21.10	CMCD174	44.88912814402412
CTD-2349P21.10	CMCD196	9.084865026811388
CTD-2349P21.10	CMCD198	24.72067980127708
CTD-2349P21.10	CMCD203	24.07678022609406
CTD-2349P21.10	CMCD211	41.794677877442986
CTD-2349P21.10	CMCD227	34.52864110640514
CTD-2349P21.10	CMCD240	34.49874858805115
CTD-2349P21.10	CMCD259	39
CTD-2349P21.10	CMCD270	3.0156480098547425
CTD-2349P21.10	CMCD275	15.126445414073991
CTD-2349P21.10	CMCD282	6.079586645971226
CTD-2349P21.10	CMCD286	28.344429225430556
CTD-2349P21.10	CMCD287	56
CTD-2349P21.10	CMCD294	86.3133332217142
CTD-2349P21.10	CMCD327	8.04075573117037
CTD-2349P21.10	CMCD335	5.023510944956372
CTD-2349P21.10	CMCD337	3.020053401099553
CTD-2349P21.10	CMCD357	1.0211255948742326
CTD-2349P21.10	CMCD398	9.05271484134062
CTD-2349P21.10	CMCD403	2.014327677982678
CTD-2349P21.10	CMCD422	6.012517712496756
CTD-2349P21.10	CMCD426	1.116263931526824
CTD-2349P21.10	CMCD71	7.044334127443591
CTD-2349P21.10	CMCD72	1.153507591320982
CTD-2349P21.10	CMCD76	11.025755526082746
CTD-2349P21.10	CMCD88	7.001259399617306
CTD-2349P21.10	CMSA256	11
CTD-2349P21.10	CMSA316	7.056371000781295
CTD-2349P21.10	CMUC110	14
CTD-2349P21.10	CMUC192	2.0268819415696084
CTD-2349P21.10	CMUC199	6.173143414732429
CTD-2349P21.10	CMUC200	4.009365645848272
CTD-2349P21.10	CMUC208	10.02446897019748
CTD-2349P21.10	CMUC231	15
CTD-2349P21.10	CMUC234	15
CTD-2349P21.10	CMUC285	3.033141937742808
CTD-2349P21.10	CMUC291	5.0328736085108146
CTD-2349P21.10	CMUC295	11.009898843952424
CTD-2349P21.10	CMUC299	3.008831495143219
CTD-2349P21.10	CMUC301	7.003778878644424
CTD-2349P21.10	CMUC307	12.033490095664733
CTD-2349P21.10	CMUC313	1.0421599703566413
CTD-2349P21.10	CMUC314	1.0565727454715677
CTD-2349P21.10	CMUC323	6.143890527385473
CTD-2349P21.10	CMUC324	6.004950996409842
CTD-2349P21.10	CMUC331	9.081266064495267
CTD-2349P21.10	CMUC333	1.023235454968461
CTD-2349P21.10	CMUC334	1.0150985058157946
CTD-2349P21.10	CMUC346	6.064408511249858
CTD-2349P21.10	CMUC352	5.02968689399914
CTD-2349P21.10	CMUC360	1.0013654513321437
CTD-2349P21.10	CMUC363	8.21271137423025
CTD-2349P21.10	CMUC365	1.0065896541291703
CTD-2349P21.10	CMUC366	3.0099767847336976
CTD-2349P21.10	CMUC368	17
CTD-2349P21.10	CMUC377	14.056807446554544
CTD-2349P21.10	CMUC379	1.0726639181154598
CTD-2349P21.10	CMUC380	1.0182901744137063
CTD-2349P21.10	CMUC383	46.65182137640516
CTD-2349P21.10	CMUC394	18.13602739547914
CTD-2349P21.10	CMUC419	43.061156208472134
CTD-2349P21.10	CMUC427	20
CTD-2349P21.10	CMUC428	4.0250876923585155
CTD-2349P21.10	CMUC431	9.01620539658334
CTD-2349P21.10	CMUC435	7.034110866764294
CTD-2349P21.10	CMUC439	4.025388234481249
CTD-2349P21.10	CMUC89	5
CTD-2349P21.10	CS219	4.010019818588345
CTD-2349P21.10	CS256	4.009066299998424
CTD-2349P21.10	CS257	189.87892953164683
CTD-2349P21.10	CS259	4.006182444909256
CTD-2349P21.10	CS261	64.53829400201862
CTD-2349P21.10	CS266	4.145512576478953
CTD-2349P21.10	CS270	57.74957334374191
CTD-2349P21.10	CS277	93.66445541066791
CTD-2349P21.10	CS288	22.198650379877318
CTD-2349P21.10	CS290	4.032267721872311
CTD-2349P21.10	CS292	29.410092634822465
CTD-2349P21.10	CS293	64.0866286372821
CTD-2349P21.10	CS301	20.54884826638023
CTD-2349P21.10	CS306	13.516237086882514
CTD-2349P21.10	CS308	1.026565738828589
CTD-2349P21.10	CS315	1.0280977327929282
CTD-2349P21.10	CS317	9.67175913976201
CTD-2349P21.10	CS322	8.10683044202915
CTD-2349P21.10	CS327	21.099744371937945
CTD-2349P21.10	CS328	15.887308896507166
CTD-2349P21.10	CS330	22.67300490733327
CTD-2349P21.10	CS331	16.307123535203985
CTD-2349P21.10	CS335	22.738776266203793
CTD-2349P21.10	CS338	1.0310503431651092
CTD-2349P21.10	CS339	1.174554553094111
CTD-2349P21.10	CS343	4.031703687046938
CTD-2349P21.10	CS344	1.0142412524286228
CTD-2349P21.10	CS350	6.1432780553201916
CTD-2349P21.10	CS351	6.049756536034237
CTD-2349P21.10	CS361	6.144271264095247
CTD-2349P21.10	CS388	23.80834608162974
CTD-2349P21.10	CS396	4.043122437958209
CTD-2349P21.10	CS405	4.101979113545742
CTD-2349P21.10	CS415	1.079088642619474
CTD-2349P21.10	CS424	7.270426532054662
CTD-2349P21.10	IM293	2.010645734639758
CTD-2349P21.10	IM296	275.89235033724736
CTD-2349P21.10	IM297	357.0162449452688
CTD-2349P21.10	IM300	12
CTD-2349P21.10	IM305	5.049921032073713
CTD-2349P21.10	IM309	1.0710522602925363
CTD-2349P21.10	IM310	1.0137217399478091
CTD-2349P21.10	IM311	3.0372959597488567
CTD-2349P21.10	IM316	2.010261141413037
CTD-2349P21.10	IM320	1.0484230527074043
CTD-2349P21.10	IM330	4.0423814027271625
CTD-2349P21.10	IM332	54.67656491320884
CTD-2349P21.10	IM340	1.0589639229808667
CTD-2349P21.10	IM348	1.0379622915771762
CTD-2349P21.10	IM354	5.036095436296152
CTD-2349P21.10	IM356	9.081272398483105
CTD-2349P21.10	IM364	1.0175184396804131
CTD-2349P21.10	IM372	7
CTD-2349P21.10	IM374	24.16904109449479
