Gene	sample	counts
CX3CR1	CM317	7.365124808369447
CX3CR1	CMCD140	19.178843866308263
CX3CR1	CMCD147	1.0404565910580479
CX3CR1	CMCD152	34
CX3CR1	CMCD154	7.069295288840326
CX3CR1	CMCD159	1.0863042186135794
CX3CR1	CMCD161	12.036755377105006
CX3CR1	CMCD174	1.092629434806816
CX3CR1	CMCD196	15.137845752390534
CX3CR1	CMCD198	3.088487228505141
CX3CR1	CMCD203	112.36280303866698
CX3CR1	CMCD211	21.691224831357626
CX3CR1	CMCD227	88.78793427361322
CX3CR1	CMCD240	20.459252856489485
CX3CR1	CMCD259	93
CX3CR1	CMCD270	8.041526507961782
CX3CR1	CMCD275	38.32448474348512
CX3CR1	CMCD282	1.0131607869251968
CX3CR1	CMCD286	40.527665089565495
CX3CR1	CMCD287	27
CX3CR1	CMCD294	1.0639520056991958
CX3CR1	CMCD327	4.020555149101134
CX3CR1	CMCD335	12.056465139278075
CX3CR1	CMCD337	3.020022945368956
CX3CR1	CMCD357	3.0634513925593887
CX3CR1	CMCD398	3.0180070731040813
CX3CR1	CMCD403	6.0430860259431185
CX3CR1	CMCD422	11.022949139577387
CX3CR1	CMCD426	1.1140469611806236
CX3CR1	CMCD71	11.070249289305131
CX3CR1	CMCD72	1.1510750061651915
CX3CR1	CMCD76	17.039052636833368
CX3CR1	CMCD88	46.008276054628006
CX3CR1	CMSA256	76
CX3CR1	CMSA316	4.032618045833467
CX3CR1	CMUC110	73
CX3CR1	CMUC192	3.040381349238842
CX3CR1	CMUC199	1.0281874054164815
CX3CR1	CMUC200	34.079607989710304
CX3CR1	CMUC208	9.022022073177732
CX3CR1	CMUC231	28
CX3CR1	CMUC234	38
CX3CR1	CMUC285	11.122396311892507
CX3CR1	CMUC291	54.35663594517577
CX3CR1	CMUC295	8.007199159238127
CX3CR1	CMUC299	32.093665035046186
CX3CR1	CMUC301	39.02105375244751
CX3CR1	CMUC307	13.035882434692967
CX3CR1	CMUC313	1.0420413939922741
CX3CR1	CMUC314	1.055846512835873
CX3CR1	CMUC323	1.0241049068913428
CX3CR1	CMUC324	9.008099054142892
CX3CR1	CMUC331	12.109889536804781
CX3CR1	CMUC333	12.278865048046326
CX3CR1	CMUC334	2.0300260143181053
CX3CR1	CMUC346	14.151891375874724
CX3CR1	CMUC352	18.10897137886878
