Gene	sample	counts
CYP3A4	CM317	4684.347334128053
CYP3A4	CMCD140	4492.895212957633
CYP3A4	CMCD147	4630.581798108698
CYP3A4	CMCD152	12028
CYP3A4	CMCD154	4674.537904939442
CYP3A4	CMCD159	4841.266912464365
CYP3A4	CMCD161	4463.766570590688
CYP3A4	CMCD174	4915.906960162642
CYP3A4	CMCD196	4491.961041034519
CYP3A4	CMCD198	4586.716131461952
CYP3A4	CMCD203	4465.239532764361
CYP3A4	CMCD211	3579.0711651587235
CYP3A4	CMCD227	3664.146509791612
CYP3A4	CMCD240	4154.768208333943
CYP3A4	CMCD259	4455
CYP3A4	CMCD270	4473.211214617868
CYP3A4	CMCD275	8782.414207411359
CYP3A4	CMCD282	4511.05329131065
CYP3A4	CMCD286	4204.423668438866
CYP3A4	CMCD287	4450
CYP3A4	CMCD294	4741.905343662076
CYP3A4	CMCD327	4475.685658862707
CYP3A4	CMCD335	4470.92474101117
CYP3A4	CMCD337	4479.74587829767
CYP3A4	CMCD357	4544.008897190335
CYP3A4	CMCD398	4477.070417645234
CYP3A4	CMCD403	4481.879083511459
CYP3A4	CMCD422	4461.288142672593
CYP3A4	CMCD426	4967.374495294366
CYP3A4	CMCD71	5138.338579246711
CYP3A4	CMCD72	5133.108781378371
CYP3A4	CMCD76	4463.426305240588
CYP3A4	CMCD88	4456.801697813531
CYP3A4	CMSA256	23470
CYP3A4	CMSA316	4486.843903496792
CYP3A4	CMUC110	4457
CYP3A4	CMUC192	4509.812319992378
CYP3A4	CMUC199	4583.558985438829
CYP3A4	CMUC200	4470.4426951208225
CYP3A4	CMUC208	4460.888691737879
CYP3A4	CMUC231	4459
CYP3A4	CMUC234	4451
CYP3A4	CMUC285	4499.160540985165
CYP3A4	CMUC291	4482.277235739732
CYP3A4	CMUC295	4464.013531275255
CYP3A4	CMUC299	4463.100051129109
CYP3A4	CMUC301	4453.402826978047
CYP3A4	CMUC307	4468.435988856838
CYP3A4	CMUC313	4637.611868087054
CYP3A4	CMUC314	4701.748717348476
CYP3A4	CMUC323	4556.718807810892
CYP3A4	CMUC324	4455.6736393361025
CYP3A4	CMUC331	4519.443411430478
CYP3A4	CMUC333	4553.397774609652
CYP3A4	CMUC334	4517.188350880287
CYP3A4	CMUC346	4497.769645843644
CYP3A4	CMUC352	4476.421335659235
CYP3A4	CMUC360	4456.07625842804
CYP3A4	CMUC363	4569.347290837356
CYP3A4	CMUC365	4485.363498799583
CYP3A4	CMUC366	4464.798897354985
CYP3A4	CMUC368	4450
CYP3A4	CMUC377	4471.068825679099
CYP3A4	CMUC379	4778.717755204373
CYP3A4	CMUC380	4531.391276140993
CYP3A4	CMUC383	4513.056633152239
CYP3A4	CMUC394	4483.628994993454
CYP3A4	CMUC419	4562.432026850024
CYP3A4	CMUC427	4451
CYP3A4	CMUC428	4477.910057748849
CYP3A4	CMUC431	4458.012668310652
CYP3A4	CMUC435	4471.684765300159
CYP3A4	CMUC439	4482.269799094871
CYP3A4	CMUC89	4456
CYP3A4	CS219	4461.147048179534
CYP3A4	CS256	33620.02999178678
CYP3A4	CS257	4884.168996623285
CYP3A4	CS259	4456.877969961547
CYP3A4	CS261	4558.657274745759
CYP3A4	CS266	4611.8827413328345
CYP3A4	CS270	4508.519322450026
CYP3A4	CS277	4359.299862238169
CYP3A4	CS288	4491.19058367427
