Gene	sample	counts
DAB2	CM317	359.838954923193
DAB2	CMCD140	887.2738820255242
DAB2	CMCD147	278.84236640355687
DAB2	CMCD152	1308
DAB2	CMCD154	445.3656031969405
DAB2	CMCD159	44.53847296315675
DAB2	CMCD161	648.9817274155782
DAB2	CMCD174	71.02091326244305
DAB2	CMCD196	282.57312071128996
DAB2	CMCD198	137.9524295398963
DAB2	CMCD203	2788.0020503969245
DAB2	CMCD211	1525.616146472153
DAB2	CMCD227	1680.3938671783835
DAB2	CMCD240	1365.1901451512074
DAB2	CMCD259	1899
DAB2	CMCD270	486.5123537316879
DAB2	CMCD275	405.4327070231847
DAB2	CMCD282	501.5145895279724
DAB2	CMCD286	1221.484975722718
DAB2	CMCD287	2064
DAB2	CMCD294	115.97076862121234
DAB2	CMCD327	870.4501897803956
DAB2	CMCD335	980.5924979946168
DAB2	CMCD337	830.506309976463
DAB2	CMCD357	210.35699562241135
DAB2	CMCD398	617.6854476286353
DAB2	CMCD403	631.5024897110559
DAB2	CMCD422	937.9527631494939
DAB2	CMCD426	208.32678174077662
DAB2	CMCD71	628.991436892337
DAB2	CMCD72	55.2516002959292
DAB2	CMCD76	785.8010157221977
DAB2	CMCD88	1206.2169765626386
DAB2	CMSA256	2130
DAB2	CMSA316	901.29013324378
DAB2	CMUC110	3072
DAB2	CMUC192	446.9360583381098
DAB2	CMUC199	241.62404027287315
DAB2	CMUC200	962.2477550035851
DAB2	CMUC208	998.437109431669
DAB2	CMUC231	6229
DAB2	CMUC234	1395
DAB2	CMUC285	441.8624716633659
DAB2	CMUC291	1188.799760208381
DAB2	CMUC295	1020.917892802861
DAB2	CMUC299	1466.2793212886727
DAB2	CMUC301	1474.7957238745546
DAB2	CMUC307	1264.4805961652178
DAB2	CMUC313	1104.5638776318106
DAB2	CMUC314	941.8150894495988
DAB2	CMUC323	545.8479153730857
DAB2	CMUC324	1578.4191342648155
DAB2	CMUC331	552.009131386018
DAB2	CMUC333	1544.0672797918255
DAB2	CMUC334	1024.148124223484
DAB2	CMUC346	1139.2272557579154
DAB2	CMUC352	1511.0930561700507
DAB2	CMUC360	633.9116595829586
DAB2	CMUC363	409.523851514027
DAB2	CMUC365	792.2668724220152
DAB2	CMUC366	1648.5023969360898
DAB2	CMUC368	1088
DAB2	CMUC377	2312.4006015699997
DAB2	CMUC379	116.7178939278328
