Gene	sample	counts
DCAF4	CM317	135.79343957359976
DCAF4	CMCD140	188.76014487150692
DCAF4	CMCD147	26.014504483756735
DCAF4	CMCD152	288
DCAF4	CMCD154	232.2626308351851
DCAF4	CMCD159	31.549829317183505
DCAF4	CMCD161	209.64656477605703
DCAF4	CMCD174	25.181706032013533
DCAF4	CMCD196	271.5365213569181
DCAF4	CMCD198	83.43229432931014
DCAF4	CMCD203	155.49587229352414
DCAF4	CMCD211	374.544613286316
DCAF4	CMCD227	205.52762563336393
DCAF4	CMCD240	413.0525844461259
DCAF4	CMCD259	429
DCAF4	CMCD270	236.22576077195484
DCAF4	CMCD275	95.80082095580195
DCAF4	CMCD282	201.63962375804567
DCAF4	CMCD286	373.20165146816896
DCAF4	CMCD287	544
DCAF4	CMCD294	29.836707780345648
DCAF4	CMCD327	147.74888656025553
DCAF4	CMCD335	191.8981180973334
DCAF4	CMCD337	143.95587878574537
DCAF4	CMCD357	69.43654045144781
DCAF4	CMCD398	204.18901253246065
DCAF4	CMCD403	343.44286909604665
DCAF4	CMCD422	172.35884109157368
DCAF4	CMCD426	18.976486835956006
DCAF4	CMCD71	107.67767880520917
DCAF4	CMCD72	11.535075913209822
DCAF4	CMCD76	204.47764793826184
DCAF4	CMCD88	372.06692809394826
DCAF4	CMSA256	349
DCAF4	CMSA316	132.0549430146214
DCAF4	CMUC110	354
DCAF4	CMUC192	108.43818387397405
DCAF4	CMUC199	53.50057626101439
DCAF4	CMUC200	211.4940378184963
DCAF4	CMUC208	156.38171593508068
DCAF4	CMUC231	295
DCAF4	CMUC234	358
DCAF4	CMUC285	127.39196138519793
DCAF4	CMUC291	149.97963353362226
DCAF4	CMUC295	496.4463478727638
DCAF4	CMUC299	220.64764297716943
DCAF4	CMUC301	203.1095874806883
DCAF4	CMUC307	234.6530568654623
DCAF4	CMUC313	62.52959822139848
DCAF4	CMUC314	70.79037394659503
DCAF4	CMUC323	67.5827958012402
DCAF4	CMUC324	327.2698293043364
DCAF4	CMUC331	109.9842223366649
DCAF4	CMUC333	71.62648184779228
DCAF4	CMUC334	155.31007138981658
DCAF4	CMUC346	111.18082270624738
DCAF4	CMUC352	189.11622721436768
DCAF4	CMUC360	126.17204686785011
DCAF4	CMUC363	27.7179008880271
DCAF4	CMUC365	159.0411653524089
DCAF4	CMUC366	237.7881659939621
DCAF4	CMUC368	390
DCAF4	CMUC377	263.06311078552073
DCAF4	CMUC379	25.743934034771037
DCAF4	CMUC380	70.26202203454574
DCAF4	CMUC383	77.0769222740607
DCAF4	CMUC394	97.73303652008204
DCAF4	CMUC419	75.86965617683185
DCAF4	CMUC427	483
DCAF4	CMUC428	261.63070000330356
DCAF4	CMUC431	256.460953502815
DCAF4	CMUC435	366.77863805270965
DCAF4	CMUC439	173.0916940826937
DCAF4	CMUC89	314
DCAF4	CS219	268.6713278454191
DCAF4	CS256	171.38758432493262
DCAF4	CS257	5.487830333284591
DCAF4	CS259	253.39103964051043
DCAF4	CS261	46.098781430013304
DCAF4	CS266	69.43733565602246
DCAF4	CS270	96.24928890623652
DCAF4	CS277	82.93206989486221
DCAF4	CS288	122.09257708932525
DCAF4	CS290	199.5972522326794
DCAF4	CS292	97.35754803251574
DCAF4	CS293	62.052132490066796
DCAF4	CS301	71.92096893233081
DCAF4	CS306	34.31044798977869
DCAF4	CS308	65.70020728502969
DCAF4	CS315	39.06771384613127
DCAF4	CS317	53.731995220900046
DCAF4	CS322	134.7760560987346
DCAF4	CS327	238.12568648329966
DCAF4	CS328	16.946462822940976
