Gene	sample	counts
DEDD	CM317	125.26681635084009
DEDD	CMCD140	602.6192860336344
DEDD	CMCD147	269.51026645171976
DEDD	CMCD152	867
DEDD	CMCD154	715.9748054875923
DEDD	CMCD159	16.31887723302595
DEDD	CMCD161	715.2057449058788
DEDD	CMCD174	37.225130656020006
DEDD	CMCD196	326.04571151778646
DEDD	CMCD198	281.19773273952677
DEDD	CMCD203	418.33405642838426
DEDD	CMCD211	597.9853911695689
DEDD	CMCD227	532.7276056416794
DEDD	CMCD240	608.8562926485783
DEDD	CMCD259	652
DEDD	CMCD270	389.0185932712618
DEDD	CMCD275	557.6616209321945
DEDD	CMCD282	446.84961847888513
DEDD	CMCD286	503.58602590514954
DEDD	CMCD287	526
DEDD	CMCD294	120.4124278278235
DEDD	CMCD327	578.9344126442666
DEDD	CMCD335	440.05955877817814
DEDD	CMCD337	486.22859757702804
DEDD	CMCD357	222.60537968258268
DEDD	CMCD398	332.93873472041616
DEDD	CMCD403	655.6636591833618
DEDD	CMCD422	533.109903841379
DEDD	CMCD426	81.48726700145815
DEDD	CMCD71	557.5087295148213
DEDD	CMCD72	18.456121461135712
DEDD	CMCD76	478.1168532674064
DEDD	CMCD88	787.1415924998314
DEDD	CMSA256	777
DEDD	CMSA316	584.6707400647359
DEDD	CMUC110	691
DEDD	CMUC192	352.6774578331119
DEDD	CMUC199	325.1188865092413
DEDD	CMUC200	785.8356665862611
DEDD	CMUC208	530.2944085234467
DEDD	CMUC231	1031
DEDD	CMUC234	560
DEDD	CMUC285	349.8223701530039
DEDD	CMUC291	627.0960516204475
DEDD	CMUC295	496.4463478727638
DEDD	CMUC299	562.651489591782
DEDD	CMUC301	533.2877346167826
DEDD	CMUC307	571.5907795440748
DEDD	CMUC313	163.6191153459927
DEDD	CMUC314	216.59741282167136
DEDD	CMUC323	192.50856985807815
DEDD	CMUC324	616.5083022980771
DEDD	CMUC331	237.12194723959863
DEDD	CMUC333	266.0412182917999
DEDD	CMUC334	356.2995755413439
DEDD	CMUC346	612.5052596362356
