Gene	sample	counts
DGCR8	CM317	74.7034087706044
DGCR8	CMCD140	961.9704318206196
DGCR8	CMCD147	97.80291955945651
DGCR8	CMCD152	957
DGCR8	CMCD154	616.0385894560856
DGCR8	CMCD159	361.73930479832194
DGCR8	CMCD161	528.6141736445281
DGCR8	CMCD174	262.2310643536359
DGCR8	CMCD196	801.2966351598723
DGCR8	CMCD198	697.9981136421619
DGCR8	CMCD203	1113.5956372582175
DGCR8	CMCD211	1009.0436440068586
DGCR8	CMCD227	1025.9939071617528
DGCR8	CMCD240	1487.015696251213
DGCR8	CMCD259	1162
DGCR8	CMCD270	470.42930071576427
DGCR8	CMCD275	789.6860935302329
DGCR8	CMCD282	666.6597977967795
DGCR8	CMCD286	1296.8852828660958
DGCR8	CMCD287	1445
DGCR8	CMCD294	419.19709024548314
DGCR8	CMCD327	346.77288160997284
DGCR8	CMCD335	543.5456366957866
DGCR8	CMCD337	440.9233500238676
DGCR8	CMCD357	208.31469469403842
DGCR8	CMCD398	342.0408016184626
DGCR8	CMCD403	491.5043301100403
DGCR8	CMCD422	442.9221381539277
DGCR8	CMCD426	71.29900551555991
DGCR8	CMCD71	524.3272617934522
DGCR8	CMCD72	6.90645003699115
DGCR8	CMCD76	419.962532637246
DGCR8	CMCD88	890.1601236656288
DGCR8	CMSA256	1055
DGCR8	CMSA316	508.1098737750169
DGCR8	CMUC110	1042
DGCR8	CMUC192	241.2035870396148
DGCR8	CMUC199	407.16221254492666
DGCR8	CMUC200	518.2105097258891
DGCR8	CMUC208	467.14025401120256
DGCR8	CMUC231	1035
DGCR8	CMUC234	969
DGCR8	CMUC285	245.70384579907991
DGCR8	CMUC291	302.98791517588717
DGCR8	CMUC295	954.8584997391465
DGCR8	CMUC299	539.574743401714
DGCR8	CMUC301	820.442668641204
DGCR8	CMUC307	490.34973158191235
DGCR8	CMUC313	135.46538121899565
DGCR8	CMUC314	95.02618615522857
DGCR8	CMUC323	132.1095329889832
DGCR8	CMUC324	503.4526471370972
DGCR8	CMUC331	250.2710504272988
DGCR8	CMUC333	169.85763316464084
DGCR8	CMUC334	265.9334078756718
DGCR8	CMUC346	321.4501041091545
DGCR8	CMUC352	384.31261481821525
DGCR8	CMUC360	150.2160330765305
DGCR8	CMUC363	90.3210499579809
DGCR8	CMUC365	360.395858103026
DGCR8	CMUC366	640.1366580920421
DGCR8	CMUC368	799
DGCR8	CMUC377	540.1960588991142
DGCR8	CMUC379	84.59370293852102
DGCR8	CMUC380	175.1435449889327
DGCR8	CMUC383	555.8287152022334
DGCR8	CMUC394	330.49991534721397
DGCR8	CMUC419	294.16043540887097
DGCR8	CMUC427	1089
DGCR8	CMUC428	385.4309234515796
DGCR8	CMUC431	580.0761408739304
DGCR8	CMUC435	544.7205280173278
DGCR8	CMUC439	546.4948064167407
DGCR8	CMUC89	892
DGCR8	CS219	776.9200946345196
DGCR8	CS256	490.11975413105955
DGCR8	CS257	130.2368341266608
DGCR8	CS259	545.8423581188861
DGCR8	CS261	656.2705658733977
DGCR8	CS266	542.7490475966101
DGCR8	CS270	425.46399170653365
DGCR8	CS277	258.55152437671353
DGCR8	CS288	399.5702283497011
DGCR8	CS290	376.9888832818186
