Gene	sample	counts
DIAPH2-AS1	CM317	3.1579869668279015
DIAPH2-AS1	CMCD140	3.0282376182594692
DIAPH2-AS1	CMCD147	3.121740538050808
DIAPH2-AS1	CMCD152	6
DIAPH2-AS1	CMCD154	3.02951257611111
DIAPH2-AS1	CMCD159	3.26377544660519
DIAPH2-AS1	CMCD161	5.01546805684347
DIAPH2-AS1	CMCD174	3.284570352001765
DIAPH2-AS1	CMCD196	3.0282883422704625
DIAPH2-AS1	CMCD198	3.090084975159635
DIAPH2-AS1	CMCD203	12.03839011304703
DIAPH2-AS1	CMCD211	4.018719026677211
DIAPH2-AS1	CMCD227	23.841204573470215
DIAPH2-AS1	CMCD240	11.188783325854427
DIAPH2-AS1	CMCD259	12
DIAPH2-AS1	CMCD270	5.0260800164245705
DIAPH2-AS1	CMCD275	3.0252890828147985
DIAPH2-AS1	CMCD282	3.039793322985613
DIAPH2-AS1	CMCD286	17.006657535258334
DIAPH2-AS1	CMCD287	6
DIAPH2-AS1	CMCD294	3.196790119322748
DIAPH2-AS1	CMCD327	8.04075573117037
DIAPH2-AS1	CMCD335	3.014106566973823
DIAPH2-AS1	CMCD337	3.020053401099553
DIAPH2-AS1	CMCD357	3.0633767846226974
DIAPH2-AS1	CMCD398	5.029286022967011
DIAPH2-AS1	CMCD403	3.0214915169740175
DIAPH2-AS1	CMCD422	15.03129428124189
DIAPH2-AS1	CMCD426	3.3487917945804715
DIAPH2-AS1	CMCD71	3.0190003403329673
DIAPH2-AS1	CMCD72	3.4605227739629463
DIAPH2-AS1	CMCD76	5.011707057310339
DIAPH2-AS1	CMCD88	8.00143931384835
DIAPH2-AS1	CMSA256	13
DIAPH2-AS1	CMSA316	6.048318000669681
DIAPH2-AS1	CMUC110	8
DIAPH2-AS1	CMUC192	8.107527766278434
DIAPH2-AS1	CMUC199	3.0865717073662147
DIAPH2-AS1	CMUC200	15.035121171931017
DIAPH2-AS1	CMUC208	8.019575176157984
DIAPH2-AS1	CMUC231	8
DIAPH2-AS1	CMUC234	18
DIAPH2-AS1	CMUC285	8.088378500647488
DIAPH2-AS1	CMUC291	3.0197241651064886
DIAPH2-AS1	CMUC295	12.01079873885719
DIAPH2-AS1	CMUC299	12.035325980572877
DIAPH2-AS1	CMUC301	3.001619519419039
DIAPH2-AS1	CMUC307	8.022326730443156
DIAPH2-AS1	CMUC313	3.1264799110699237
DIAPH2-AS1	CMUC314	3.169718236414703
DIAPH2-AS1	CMUC323	3.0719452636927365
DIAPH2-AS1	CMUC324	10.008251660683069
DIAPH2-AS1	CMUC331	8.07223650177357
DIAPH2-AS1	CMUC333	3.0697063649053833
DIAPH2-AS1	CMUC334	12.181182069789537
DIAPH2-AS1	CMUC346	22.23616454124948
DIAPH2-AS1	CMUC352	5.02968689399914
DIAPH2-AS1	CMUC360	3.0040963539964314
DIAPH2-AS1	CMUC363	3.0797667653363443
DIAPH2-AS1	CMUC365	3.019768962387511
DIAPH2-AS1	CMUC366	3.0099767847336976
DIAPH2-AS1	CMUC368	5
DIAPH2-AS1	CMUC377	3.012173024261688
DIAPH2-AS1	CMUC379	3.2179917543463796
DIAPH2-AS1	CMUC380	3.054870523241119
DIAPH2-AS1	CMUC383	3.042510089765554
DIAPH2-AS1	CMUC394	17.12847031795252
DIAPH2-AS1	CMUC419	3.075796872033724
DIAPH2-AS1	CMUC427	8
DIAPH2-AS1	CMUC428	3.018815769268887
DIAPH2-AS1	CMUC431	3.0054017988611132
DIAPH2-AS1	CMUC435	5.024364904831638
DIAPH2-AS1	CMUC439	3.0190411758609366
DIAPH2-AS1	CMUC89	6
DIAPH2-AS1	CS219	6.015029727882518
DIAPH2-AS1	CS256	3.006799724998818
DIAPH2-AS1	CS257	3.2926981999707543
DIAPH2-AS1	CS259	8.012364889818512
DIAPH2-AS1	CS261	3.07325209533422
DIAPH2-AS1	CS266	30.054966179472405
DIAPH2-AS1	CS270	3.0394512286179953
DIAPH2-AS1	CS277	2.9270142315833723
DIAPH2-AS1	CS288	15.135443440825444
DIAPH2-AS1	CS290	3.0242007914042337
DIAPH2-AS1	CS292	3.042423376016117
DIAPH2-AS1	CS293	3.0517442208229575
DIAPH2-AS1	CS301	3.0823272399570345
DIAPH2-AS1	CS306	3.1191316354344263
DIAPH2-AS1	CS308	3.0796972164857666
DIAPH2-AS1	CS315	3.0842931983787847
DIAPH2-AS1	CS317	3.223919713254003
DIAPH2-AS1	CS322	3.0400614157609307
DIAPH2-AS1	CS327	8.037997855976359
DIAPH2-AS1	CS328	3.1774617793014333
DIAPH2-AS1	CS330	3.23900070104761
DIAPH2-AS1	CS331	3.057585662850747
DIAPH2-AS1	CS335	29.307756076440445
DIAPH2-AS1	CS338	3.0931510294953277
DIAPH2-AS1	CS339	3.523663659282333
DIAPH2-AS1	CS343	3.0237777652852036
DIAPH2-AS1	CS344	3.0427237572858683
DIAPH2-AS1	CS350	3.0716390276600958
DIAPH2-AS1	CS351	3.0248782680171185
DIAPH2-AS1	CS361	3.0721356320476234
DIAPH2-AS1	CS388	3.105436445429966
DIAPH2-AS1	CS396	5.053903047447761
DIAPH2-AS1	CS405	3.0764843351593063
DIAPH2-AS1	CS415	3.2372659278584215
DIAPH2-AS1	CS424	3.1158970851662837
DIAPH2-AS1	IM293	17.090488744437945
DIAPH2-AS1	IM296	3.20805058531683
DIAPH2-AS1	IM297	5.509509952859086
DIAPH2-AS1	IM300	7
DIAPH2-AS1	IM305	3.0299526192442277
DIAPH2-AS1	IM309	3.2131567808776085
DIAPH2-AS1	IM310	3.0411652198434274
DIAPH2-AS1	IM311	3.0372959597488567
DIAPH2-AS1	IM316	7.035913994945631
DIAPH2-AS1	IM320	3.145269158122213
DIAPH2-AS1	IM330	3.031786052045372
DIAPH2-AS1	IM332	3.09489990074767
DIAPH2-AS1	IM340	3.1768917689425997
DIAPH2-AS1	IM348	3.1138868747315285
DIAPH2-AS1	IM354	3.021657261777691
DIAPH2-AS1	IM356	3.0270907994943683
DIAPH2-AS1	IM364	3.0525553190412396
DIAPH2-AS1	IM372	14
DIAPH2-AS1	IM374	3.1524836210210596
DIAPH2-AS1	IM376	3.046820919051998
DIAPH2-AS1	IM381	3.0370593983761305
DIAPH2-AS1	IM382	12.387153251213794
DIAPH2-AS1	IM385	10
DIAPH2-AS1	IM390	3.0868321999095025
DIAPH2-AS1	IM397	3.033875742259144
DIAPH2-AS1	IM404	12.033691660720336
