Gene	sample	counts
DYRK2	CM317	1100.0321267783856
DYRK2	CMCD140	1434.3752185155686
DYRK2	CMCD147	1146.7193576439968
DYRK2	CMCD152	3352
DYRK2	CMCD154	1276.4346320681477
DYRK2	CMCD159	1033.5288914249768
DYRK2	CMCD161	1734.348854056472
DYRK2	CMCD174	1012.7425252005443
DYRK2	CMCD196	1305.1922755185694
DYRK2	CMCD198	1037.238523328584
DYRK2	CMCD203	1866.9536666983768
DYRK2	CMCD211	1761.0026774899536
DYRK2	CMCD227	2110.3576600033807
DYRK2	CMCD240	3282.0431089172985
DYRK2	CMCD259	3424
DYRK2	CMCD270	1409.3128366054498
DYRK2	CMCD275	1561.0491667324359
DYRK2	CMCD282	1095.3388607158158
DYRK2	CMCD286	2889.242152378888
DYRK2	CMCD287	2839
DYRK2	CMCD294	1031.4976118348068
DYRK2	CMCD327	1465.4277320057997
DYRK2	CMCD335	1552.2648819915187
DYRK2	CMCD337	1302.6497003409406
DYRK2	CMCD357	1154.8930478027569
DYRK2	CMCD398	1494.7038060257958
DYRK2	CMCD403	1628.5839276489953
DYRK2	CMCD422	1487.096047557531
DYRK2	CMCD426	1367.4233161203592
DYRK2	CMCD71	1546.734507697257
DYRK2	CMCD72	1077.3760902937972
DYRK2	CMCD76	2173.076180049763
DYRK2	CMCD88	2694.4846889384316
DYRK2	CMSA256	3050
DYRK2	CMSA316	1243.9374021377312
DYRK2	CMUC110	2677
DYRK2	CMUC192	1071.2071061195381
DYRK2	CMUC199	1013.4243772519071
DYRK2	CMUC200	1556.6362120005913
DYRK2	CMUC208	1572.8391814239847
DYRK2	CMUC231	1631
DYRK2	CMUC234	2033
DYRK2	CMUC285	1227.4114374732562
DYRK2	CMUC291	1141.4557344102527
DYRK2	CMUC295	2176.9572714178657
DYRK2	CMUC299	1941.6992581990908
DYRK2	CMUC301	1961.0580860204389
DYRK2	CMUC307	1545.3006864516128
DYRK2	CMUC313	1395.4522003075426
DYRK2	CMUC314	1142.1551378547647
DYRK2	CMUC323	1117.164094229592
DYRK2	CMUC324	1647.3582233484333
DYRK2	CMUC331	1551.887467465969
DYRK2	CMUC333	1513.365237898354
DYRK2	CMUC334	1284.0996098569804
DYRK2	CMUC346	1204.7958242349716
DYRK2	CMUC352	1360.0273361373677
DYRK2	CMUC360	1242.6945251031905
DYRK2	CMUC363	1166.2050151406957
DYRK2	CMUC365	1286.4215779770798
DYRK2	CMUC366	1644.45065005951
DYRK2	CMUC368	1680
DYRK2	CMUC377	1464.9201474659344
DYRK2	CMUC379	1076.9545737879216
DYRK2	CMUC380	1052.9120403437723
DYRK2	CMUC383	1064.8785314179438
DYRK2	CMUC394	1087.1540866512219
DYRK2	CMUC419	1248.7735300456918
DYRK2	CMUC427	2575
DYRK2	CMUC428	1525.5082354038775
DYRK2	CMUC431	1552.7909294115752
DYRK2	CMUC435	1549.5141366500773
DYRK2	CMUC439	1450.14611147187
DYRK2	CMUC89	2400
DYRK2	CS219	1569.9227589773373
DYRK2	CS256	2355.326451249074
DYRK2	CS257	1032.80966872416
DYRK2	CS259	1623.505435799476
DYRK2	CS261	1011.0999393649585
DYRK2	CS266	1213.5988067642134
DYRK2	CS270	1206.6621377613442
DYRK2	CS277	999.0875243804577
DYRK2	CS288	1442.9122746920257
DYRK2	CS290	1672.3830376465412
DYRK2	CS292	1245.3653019159306
DYRK2	CS293	1112.8693925267717
DYRK2	CS301	1088.0615157048333
DYRK2	CS306	1040.7502556899535
DYRK2	CS308	1450.537388964796
DYRK2	CS315	1303.627925181433
DYRK2	CS317	961.8027144541109
DYRK2	CS322	1254.5320109040108
DYRK2	CS327	1574.4428300393695
DYRK2	CS328	1039.0300018315686
DYRK2	CS330	977.098544816029
DYRK2	CS331	2491.9323152233587
DYRK2	CS335	515.9175681732016
DYRK2	CS338	1133.124327138455
DYRK2	CS339	1172.2054439879228
DYRK2	CS343	1549.182141747786
DYRK2	CS344	1311.4139393902092
DYRK2	CS350	1035.1423523214523
DYRK2	CS351	1572.9366993689016
DYRK2	CS361	1368.124401471875
DYRK2	CS388	1158.3277941453773
DYRK2	CS396	1524.2571591102449
DYRK2	CS405	1128.044256225079
DYRK2	CS415	1063.9814016228013
DYRK2	CS424	1176.7704658311332
DYRK2	IM293	1279.7760100982061
DYRK2	IM296	987.0102300824781
DYRK2	IM297	989.5079875334919
DYRK2	IM300	2880
DYRK2	IM305	1270.5601316697462
DYRK2	IM309	1034.63648344259
DYRK2	IM310	1260.0561227551266
DYRK2	IM311	1167.3340805301439
DYRK2	IM316	1420.249496408311
DYRK2	IM320	1100.8442053427746
DYRK2	IM330	1125.8032206595146
DYRK2	IM332	920.2169038223072
DYRK2	IM340	1029.3129331374023
DYRK2	IM348	1195.732559896907
DYRK2	IM354	1463.4893337876615
DYRK2	IM356	935.3710570437598
DYRK2	IM364	1125.375394286537
DYRK2	IM372	1072
DYRK2	IM374	1016.1505538424549
DYRK2	IM376	1042.0127543157835
DYRK2	IM381	1203.6878748897398
DYRK2	IM382	1031.2305081635484
DYRK2	IM385	2003
DYRK2	IM390	1053.6387242357769
DYRK2	IM397	1312.6569044841228
DYRK2	IM404	1395.908232643559
DYRK2	IM409	1231.9014222882095
DYRK2	IM412	1216
DYRK2	IM421	1334.9423562641732
DYRK2	IM425	955.5311242231556
DYRK2	IM432	1303.383328650646
DYRK2	IM438	2019
DYRK2	IM442	1206.813461509236
DYRK2	IM445	1375.8418808859121
DYRK2	IM448	1055.0670857396344
DYRK2	IM449	1358.2118611226995
DYRK2	IM451	1255.3840162863885
DYRK2	IMSA256	1773.1898377676318
DYRK2	IMSA276	1968
DYRK2	IMSA286	1992
DYRK2	IMSA343	1220.9725241136118
DYRK2	IS_238	3685
DYRK2	IS238	4126.156120846708
DYRK2	IS243	4883
DYRK2	IS253	3948
DYRK2	IS283	2599
DYRK2	IS322	1115.5611784470238
DYRK2	IS399	1282.4100687622583
DYRK2	IS418	1199.8558688846122
DYRK2	IS430	1645.2117645701405
DYRK2	IS437	1250.9749694490558
DYRK2	IS444	1590.6296186470206
DYRK2	R276CMSA	984.8129664365183
DYRK2	R286CMSA	2281
DYRK2	R292CMSA	1495.1486877937393
DYRK2	R292IMSA	955.8362866094064
DYRK2	R308CMSA	1242.6022489044556
DYRK2	R316IMSA	1197.5486426620325
DYRK2	R347CMSA	1034.740719957886
DYRK2	R347IMSA	1147.4048355805407
DYRK2	R371CMSA	1263.0618711000516
DYRK2	SRR10104064	1025.165707305926
DYRK2	SRR10104065	2315.495101154118
DYRK2	SRR10104066	2473.6205755437627
DYRK2	SRR10104067	1311.1316029510824
DYRK2	SRR10104068	1968.2115882339062
DYRK2	SRR10104069	2593.5066184135085
DYRK2	SRR10104070	1312.8432191614227
DYRK2	SRR10104071	663.7789792609157
DYRK2	SRR10104072	1339.657774532393
DYRK2	SRR10104073	1156.7494142436321
DYRK2	SRR10104074	949.2065037880586
DYRK2	SRR10104075	937.9245833743593
DYRK2	SRR10104076	1698.3519211459281
DYRK2	SRR10104077	1284.6708013880132
DYRK2	SRR10104078	1233.338455044866
DYRK2	SRR10104079	1152.694850776779
DYRK2	SRR10104080	1139.8328926543916
