Gene	sample	counts
EBAG9P1	CM317	1.0526623222759672
EBAG9P1	CMCD140	1.009412539419823
EBAG9P1	CMCD147	1.0405801793502694
EBAG9P1	CMCD152	3
EBAG9P1	CMCD154	1.00983752537037
EBAG9P1	CMCD159	1.0879251488683968
EBAG9P1	CMCD161	1.003093611368694
EBAG9P1	CMCD174	1.0948567840005883
EBAG9P1	CMCD196	1.0094294474234875
EBAG9P1	CMCD198	1.0300283250532116
EBAG9P1	CMCD203	7.022394232610767
EBAG9P1	CMCD211	13.663644690702515
EBAG9P1	CMCD227	9.86532603040147
EBAG9P1	CMCD240	3.7295944419514755
EBAG9P1	CMCD259	11
EBAG9P1	CMCD270	1.0052160032849142
EBAG9P1	CMCD275	1.0084296942715996
EBAG9P1	CMCD282	1.0132644409952043
EBAG9P1	CMCD286	7.558514460114815
EBAG9P1	CMCD287	8
EBAG9P1	CMCD294	1.065596706440916
EBAG9P1	CMCD327	2.0101889327925924
EBAG9P1	CMCD335	4.018808755965097
EBAG9P1	CMCD337	1.0066844670331845
EBAG9P1	CMCD357	1.0211255948742326
EBAG9P1	CMCD398	1.0058572045934022
EBAG9P1	CMCD403	1.007163838991339
EBAG9P1	CMCD422	1.0020862854161259
EBAG9P1	CMCD426	1.116263931526824
EBAG9P1	CMCD71	1.006333446777656
EBAG9P1	CMCD72	1.153507591320982
EBAG9P1	CMCD76	1.002341411462068
EBAG9P1	CMCD88	1.0001799142310437
EBAG9P1	CMSA256	2
EBAG9P1	CMSA316	1.0080530001116137
EBAG9P1	CMUC110	1
EBAG9P1	CMUC192	1.0134409707848042
EBAG9P1	CMUC199	1.0288572357887382
EBAG9P1	CMUC200	5.011707057310339
EBAG9P1	CMUC208	1.002446897019748
EBAG9P1	CMUC231	7
EBAG9P1	CMUC234	4
EBAG9P1	CMUC285	1.011047312580936
EBAG9P1	CMUC291	2.013149443404326
EBAG9P1	CMUC295	2.0017997898095317
EBAG9P1	CMUC299	3.008831495143219
EBAG9P1	CMUC301	3.001619519419039
EBAG9P1	CMUC307	2.005581682610789
EBAG9P1	CMUC313	1.0421599703566413
EBAG9P1	CMUC314	1.0565727454715677
EBAG9P1	CMUC323	1.0239817545642456
EBAG9P1	CMUC324	1.000825166068307
EBAG9P1	CMUC331	1.0090295627216963
