Gene	sample	counts
EEF1A1P16	CM317	1.052160686909921
EEF1A1P16	CMCD140	1.0094128350688558
EEF1A1P16	CMCD147	1.0404565910580479
EEF1A1P16	CMCD152	4
EEF1A1P16	CMCD154	1.0098993269771894
EEF1A1P16	CMCD159	1.0863042186135794
EEF1A1P16	CMCD161	1.0030629480920839
EEF1A1P16	CMCD174	1.092629434806816
EEF1A1P16	CMCD196	5.045948584130178
EEF1A1P16	CMCD198	1.029495742835047
EEF1A1P16	CMCD203	3.0097179385357227
EEF1A1P16	CMCD211	2.4101360923730697
EEF1A1P16	CMCD227	1.6442210050669115
EEF1A1P16	CMCD240	2.7898981167940207
EEF1A1P16	CMCD259	2
EEF1A1P16	CMCD270	4.020763253980891
EEF1A1P16	CMCD275	1.008539072196977
EEF1A1P16	CMCD282	2.0263215738503937
EEF1A1P16	CMCD286	4.712519196461104
EEF1A1P16	CMCD287	3
EEF1A1P16	CMCD294	1.0639520056991958
EEF1A1P16	CMCD327	5.025693936376418
EEF1A1P16	CMCD335	1.0047054282731729
EEF1A1P16	CMCD337	1.0066743151229853
EEF1A1P16	CMCD357	1.0211504641864628
EEF1A1P16	CMCD398	1.0060023577013604
EEF1A1P16	CMCD403	1.0071810043238532
EEF1A1P16	CMCD422	1.0020862854161259
EEF1A1P16	CMCD426	1.1140469611806236
EEF1A1P16	CMCD71	2.0127725980554785
EEF1A1P16	CMCD72	1.1510750061651915
EEF1A1P16	CMCD76	3.006891641794124
EEF1A1P16	CMCD88	4.000719656924175
EEF1A1P16	CMSA256	1
EEF1A1P16	CMSA316	3.0244635343751005
EEF1A1P16	CMUC110	4
EEF1A1P16	CMUC192	1.0134604497462807
EEF1A1P16	CMUC199	1.0281874054164815
EEF1A1P16	CMUC200	5.011707057310339
EEF1A1P16	CMUC208	1.002446897019748
EEF1A1P16	CMUC231	1
EEF1A1P16	CMUC234	7
EEF1A1P16	CMUC285	4.044507749779093
EEF1A1P16	CMUC291	3.0198131080653203
EEF1A1P16	CMUC295	3.0026996847142975
EEF1A1P16	CMUC299	2.0058540646903866
EEF1A1P16	CMUC301	2.0010796796126926
EEF1A1P16	CMUC307	3.008280561852223
EEF1A1P16	CMUC313	2.0840827879845483
EEF1A1P16	CMUC314	1.055846512835873
EEF1A1P16	CMUC323	1.0241049068913428
EEF1A1P16	CMUC324	4.003599579619063
EEF1A1P16	CMUC331	1.0091574614003984
EEF1A1P16	CMUC333	5.1161937700193025
EEF1A1P16	CMUC334	1.0150130071590526
EEF1A1P16	CMUC346	1.0108493839910517
EEF1A1P16	CMUC352	1.00605396549271
EEF1A1P16	CMUC360	1.0014402205102033
EEF1A1P16	CMUC363	1.0263755677043285
EEF1A1P16	CMUC365	2.0133846821398103
EEF1A1P16	CMUC366	3.0100469816240225
EEF1A1P16	CMUC368	2
EEF1A1P16	CMUC377	4.016327575458098
EEF1A1P16	CMUC379	1.0708063663103926
EEF1A1P16	CMUC380	1.01827642435426
EEF1A1P16	CMUC383	1.0142859766464112
EEF1A1P16	CMUC394	1.0076216931317499
EEF1A1P16	CMUC419	1.0249492522957178
EEF1A1P16	CMUC427	11
EEF1A1P16	CMUC428	5.031735293101561
EEF1A1P16	CMUC431	7.013010338717639
EEF1A1P16	CMUC435	4.0200776975448544
EEF1A1P16	CMUC439	3.019308322744424
EEF1A1P16	CMUC89	2
EEF1A1P16	CS219	3.007432624391689
EEF1A1P16	CS256	5.0114494287429405
EEF1A1P16	CS257	1.0944271775349645
EEF1A1P16	CS259	4.006182444909256
EEF1A1P16	CS261	2.0476460713678555
EEF1A1P16	CS266	1.0357806251843706
EEF1A1P16	CS270	1.0130095040631752
EEF1A1P16	CS277	0.964744493942961
EEF1A1P16	CS288	1.009015728155811
EEF1A1P16	CS290	1.0079916665289268
EEF1A1P16	CS292	2.0279590626686588
EEF1A1P16	CS293	1.016848591736414
EEF1A1P16	CS301	6.160475061952553
EEF1A1P16	CS306	1.0388615456941386
EEF1A1P16	CS308	3.0797298456186204
EEF1A1P16	CS315	1.028018282586956
EEF1A1P16	CS317	1.0722984600508352
EEF1A1P16	CS322	2.0268374649652277
EEF1A1P16	CS327	5.023801886179532
EEF1A1P16	CS328	5.283147472518424
EEF1A1P16	CS330	1.0768616883015538
EEF1A1P16	CS331	1.0187996043213206
EEF1A1P16	CS335	0.5048120692723962
EEF1A1P16	CS338	1.030832702181411
EEF1A1P16	CS339	1.1707547739034676
EEF1A1P16	CS343	3.0242367358574946
EEF1A1P16	CS344	1.014131256091266
EEF1A1P16	CS350	1.0232380192782662
EEF1A1P16	CS351	1.008311894542825
EEF1A1P16	CS361	1.0239903938396149
EEF1A1P16	CS388	1.034963282410878
EEF1A1P16	CS396	4.04361518553268
EEF1A1P16	CS405	3.076117364596472
EEF1A1P16	CS415	2.1537976595482498
EEF1A1P16	CS424	7.2633537302380775
EEF1A1P16	IM293	2.0106670372621225
EEF1A1P16	IM296	1.0674965693084089
EEF1A1P16	IM297	1.098769887658002
EEF1A1P16	IM300	12
EEF1A1P16	IM305	1.0100500854392669
EEF1A1P16	IM309	5.341216913727846
EEF1A1P16	IM310	2.0275195597735043
EEF1A1P16	IM311	2.0249538551308297
EEF1A1P16	IM316	2.0103727018822033
EEF1A1P16	IM320	5.238048691041013
EEF1A1P16	IM330	1.0105944783553105
EEF1A1P16	IM332	1.0306075684228129
EEF1A1P16	IM340	1.056280146775053
EEF1A1P16	IM348	1.0369614627065955
EEF1A1P16	IM354	1.0072486895623194
EEF1A1P16	IM356	1.0086100524478088
EEF1A1P16	IM364	1.017386683482945
EEF1A1P16	IM372	0.9999907178682895
EEF1A1P16	IM374	1.0494515301768887
EEF1A1P16	IM376	1.0151740030663836
EEF1A1P16	IM381	3.0376673729966845
EEF1A1P16	IM382	1.0318406015848964
EEF1A1P16	IM385	2
EEF1A1P16	IM390	2.057407598492426
EEF1A1P16	IM397	4.045538645684296
EEF1A1P16	IM404	4.011530061022098
EEF1A1P16	IM409	2.0114579810922715
EEF1A1P16	IM412	4
EEF1A1P16	IM421	1.0158984637588822
EEF1A1P16	IM425	16.869013858154634
EEF1A1P16	IM432	1.0420143643186235
EEF1A1P16	IM438	1
EEF1A1P16	IM442	1.0426097281187585
EEF1A1P16	IM445	1.0115547971482344
EEF1A1P16	IM448	1.0230255913150224
EEF1A1P16	IM449	1.008446585812273
EEF1A1P16	IM451	2.0103727018822033
EEF1A1P16	IMSA256	2.0081984421393138
EEF1A1P16	IMSA276	1
EEF1A1P16	IMSA286	4
EEF1A1P16	IMSA343	2.0250415737605434
EEF1A1P16	IS_238	3
EEF1A1P16	IS238	10.748457934710547
EEF1A1P16	IS243	6
EEF1A1P16	IS253	3
EEF1A1P16	IS283	12
EEF1A1P16	IS322	1.0106397239474434
EEF1A1P16	IS399	1.0072529602272131
EEF1A1P16	IS418	1.0947511027862358
EEF1A1P16	IS430	1.0847548398304163
EEF1A1P16	IS437	1.0822383787243768
EEF1A1P16	IS444	1.0378497226493058
EEF1A1P16	R276CMSA	1.0649255307900556
EEF1A1P16	R286CMSA	1
EEF1A1P16	R292CMSA	1.004207620749528
EEF1A1P16	R292IMSA	1.0768750693977573
EEF1A1P16	R308CMSA	1.070354522560454
EEF1A1P16	R316IMSA	9.178785485801342
EEF1A1P16	R347CMSA	1.0679448775774594
EEF1A1P16	R347IMSA	1.0654084912781197
EEF1A1P16	R371CMSA	1.0039962901985677
EEF1A1P16	SRR10104064	1.1130827181735787
EEF1A1P16	SRR10104065	1.0058655806218886
EEF1A1P16	SRR10104066	1.0187563340359607
EEF1A1P16	SRR10104067	1.0232571372704031
EEF1A1P16	SRR10104068	1.004671476542523
EEF1A1P16	SRR10104069	1.011490802424949
EEF1A1P16	SRR10104070	1.0295865545572511
EEF1A1P16	SRR10104071	1.1619835297694339
EEF1A1P16	SRR10104072	1.071723239794756
EEF1A1P16	SRR10104073	1.0458357877247761
EEF1A1P16	SRR10104074	1.099722320793923
EEF1A1P16	SRR10104075	1.1547542285600578
EEF1A1P16	SRR10104076	1.0278239688724724
EEF1A1P16	SRR10104077	1.1040752320803593
EEF1A1P16	SRR10104078	1.0419214016168303
EEF1A1P16	SRR10104079	1.092856600461782
EEF1A1P16	SRR10104080	1.1254280913603063
EEF1A1P16	SRR10104081	1.0158936181922817
EEF1A1P16	SRR10104082	1.085647260281074
EEF1A1P16	SRR10104083	1.065596706440916
EEF1A1P16	SRR10104084	1.0701241548355385
EEF1A1P16	SRR10104085	1.0224852129879336
EEF1A1P16	SRR10104086	1.0249330155513252
EEF1A1P16	SRR10104087	1.0032098048981044
EEF1A1P16	SRR10104088	1.0091188297931257
EEF1A1P16	SRR10104089	1.1387124115642702
EEF1A1P16	SRR10104090	1.0265054935122315
EEF1A1P16	SRR10104091	1.0429313075146665
EEF1A1P16	SRR10104092	1.0127653613232732
EEF1A1P16	SRR10104093	1.0347712127539488
EEF1A1P16	SRR10104094	1.0344440824548444
EEF1A1P16	SRR10104095	1.0555296586127236
EEF1A1P16	SRR10104096	1.1499993829134103
EEF1A1P16	SRR10104097	1.0654329597407752
EEF1A1P16	SRR10104098	1.0299665441303483
EEF1A1P16	SRR10104099	1.0483148195050975
EEF1A1P16	SRR10104100	1.0292800559938342
EEF1A1P16	SRR10104101	1.0055788173830293
EEF1A1P16	SRR10104102	1.0153539684721093
EEF1A1P16	SRR10104103	1.0533097010473917
EEF1A1P16	SRR10104104	1.0155160029658645
EEF1A1P16	SRR10104105	1.0837919884500646
EEF1A1P16	SRR10104106	1.1337110372727635
EEF1A1P16	SRR10104107	1.0095882284245328
EEF1A1P16	SRR10104108	1.0068598403855975
EEF1A1P16	SRR10104109	1.122307744225592
EEF1A1P16	SRR10104110	1.1932010382175424
EEF1A1P16	SRR10104111	1.0329711095071032
EEF1A1P16	SRR10104112	1.189872391069202
EEF1A1P16	SRR10104113	1.0362854178746606
EEF1A1P16	SRR10104114	1.1753108824133915
EEF1A1P16	SRR10104115	1.1481195623107094
EEF1A1P16	SRR10104116	1.0476231912417615
EEF1A1P16	SRR10104117	1.0392927622091388
EEF1A1P16	SRR10104118	1.1479902353871632
EEF1A1P16	SRR10104119	1.1922096850664645
EEF1A1P16	SRR10104120	1.0274397025883788
EEF1A1P16	SRR10104121	1.0845670123047944
EEF1A1P16	SRR10104122	1.0930951060141245
EEF1A1P16	SRR10104123	1.085068060584876
EEF1A1P16	SRR10104124	1.1194016065014738
EEF1A1P16	SRR10104125	1.1032322088701674
EEF1A1P16	SRR10104126	1.0403589846827273
EEF1A1P16	SRR10104127	1.1896601506984525
EEF1A1P16	SRR10104128	1.0289581177608564
EEF1A1P16	SRR10104129	1.0264252644778067
EEF1A1P16	SRR10104130	1.0421022730678582
EEF1A1P16	SRR10104131	2.0227074893955366
EEF1A1P16	SRR10104132	1.0072357936683587
EEF1A1P16	SRR10104133	1.1678104114751833
EEF1A1P16	SRR10104134	1.0304204630626266
EEF1A1P16	SRR10104135	1.1047925227370805
EEF1A1P16	SRR10104136	1.0150534484689004
EEF1A1P16	SRR10104137	1.1111543351913287
