Gene	sample	counts
ELOVL4	CM317	5.2633116113798355
ELOVL4	CMCD140	24.225900946075754
ELOVL4	CMCD147	1.0405801793502694
ELOVL4	CMCD152	70
ELOVL4	CMCD154	121.1805030444444
ELOVL4	CMCD159	29.37397901944671
ELOVL4	CMCD161	53.16396140254078
ELOVL4	CMCD174	1.0948567840005883
ELOVL4	CMCD196	1.0094294474234875
ELOVL4	CMCD198	3.090084975159635
ELOVL4	CMCD203	158.50546982178588
ELOVL4	CMCD211	83.58935575488597
ELOVL4	CMCD227	45.216077639340064
ELOVL4	CMCD240	50.349524966344916
ELOVL4	CMCD259	27
ELOVL4	CMCD270	13.067808042703884
ELOVL4	CMCD275	31.261320522419584
ELOVL4	CMCD282	17.225495496918473
ELOVL4	CMCD286	23.620357687858796
ELOVL4	CMCD287	43
ELOVL4	CMCD294	18.115144009495573
ELOVL4	CMCD327	28.142645059096292
ELOVL4	CMCD335	19.089341590834213
ELOVL4	CMCD337	47.314169950559666
ELOVL4	CMCD357	10.211255948742325
ELOVL4	CMCD398	20.117144091868045
ELOVL4	CMCD403	13.093129906887409
ELOVL4	CMCD422	34.07093370414828
ELOVL4	CMCD426	1.116263931526824
ELOVL4	CMCD71	24.152002722663738
ELOVL4	CMCD72	4.614030365283928
ELOVL4	CMCD76	19.04448681777929
ELOVL4	CMCD88	15.002698713465655
ELOVL4	CMSA256	56
ELOVL4	CMSA316	33.26574900368325
ELOVL4	CMUC110	69
ELOVL4	CMUC192	16.215055532556867
ELOVL4	CMUC199	19.548287479986026
ELOVL4	CMUC200	34.079607989710304
ELOVL4	CMUC208	43.10521657184916
ELOVL4	CMUC231	142
ELOVL4	CMUC234	42
ELOVL4	CMUC285	12.132567750971232
ELOVL4	CMUC291	33.216965816171374
ELOVL4	CMUC295	36.03239621657157
ELOVL4	CMUC299	45.132472427148286
ELOVL4	CMUC301	50.02699199031732
ELOVL4	CMUC307	52.14512374788051
ELOVL4	CMUC313	18.758879466419543
ELOVL4	CMUC314	11.622300200187244
ELOVL4	CMUC323	6.143890527385473
ELOVL4	CMUC324	46.03795763914212
ELOVL4	CMUC331	7.063206939051874
ELOVL4	CMUC333	8.185883639747688
ELOVL4	CMUC334	14.211379081421127
ELOVL4	CMUC346	65.69775887187346
ELOVL4	CMUC352	17.100935439597077
ELOVL4	CMUC360	17.023212672646444
ELOVL4	CMUC363	22.58495627913319
ELOVL4	CMUC365	30.19768962387511
ELOVL4	CMUC366	53.17625653029532
ELOVL4	CMUC368	27
ELOVL4	CMUC377	43.17448001441753
ELOVL4	CMUC379	22.525942280424655
ELOVL4	CMUC380	16.2926427906193
ELOVL4	CMUC383	1.0141700299218512
ELOVL4	CMUC394	25.188926938165473
ELOVL4	CMUC419	18.454781232202343
ELOVL4	CMUC427	37
ELOVL4	CMUC428	14.087806923254806
ELOVL4	CMUC431	23.041413791268536
ELOVL4	CMUC435	11.053602790629606
ELOVL4	CMUC439	57.361782341357795
ELOVL4	CMUC89	112
ELOVL4	CS219	15.037574319706295
ELOVL4	CS256	10.02266574999606
ELOVL4	CS257	1.097566066656918
ELOVL4	CS259	12.018547334727767
ELOVL4	CS261	18.43951257200532
ELOVL4	CS266	1.0363781441197382
ELOVL4	CS270	15.197256143089977
ELOVL4	CS277	65.36998450536197
ELOVL4	CS288	12.108354752660356
ELOVL4	CS290	10.080669304680779
ELOVL4	CS292	6.084846752032234
ELOVL4	CS293	1.0172480736076523
ELOVL4	CS301	1.0274424133190114
ELOVL4	CS306	4.158842180579235
ELOVL4	CS308	11.292223127114477
ELOVL4	CS315	7.196684129550498
ELOVL4	CS317	19.34351827952402
ELOVL4	CS322	5.066769026268218
ELOVL4	CS327	10.04749731997045
ELOVL4	CS328	24.360540307977654
ELOVL4	CS330	1.0796669003492032
ELOVL4	CS331	5.095976104751245
ELOVL4	CS335	17.18040873446509
ELOVL4	CS338	1.0310503431651092
ELOVL4	CS339	1.174554553094111
ELOVL4	CS343	10.079259217617345
ELOVL4	CS344	25.35603131071557
ELOVL4	CS350	16.382074814187177
ELOVL4	CS351	4.033171024022824
ELOVL4	CS361	3.0721356320476234
ELOVL4	CS388	3.105436445429966
ELOVL4	CS396	13.140147923364179
ELOVL4	CS405	31.7903381299795
ELOVL4	CS415	4.316354570477896
ELOVL4	CS424	5.193161808610473
ELOVL4	IM293	18.095811611757824
ELOVL4	IM296	23.52570429232342
ELOVL4	IM297	1.1019019905718173
ELOVL4	IM300	45
ELOVL4	IM305	7.069889444903198
ELOVL4	IM309	1.0710522602925363
ELOVL4	IM310	7.096052179634664
ELOVL4	IM311	36.44755151698628
ELOVL4	IM316	48.246267393912895
ELOVL4	IM320	1.0484230527074043
ELOVL4	IM330	17.18012096159044
ELOVL4	IM332	83.5622973201871
ELOVL4	IM340	32.82788161240686
ELOVL4	IM348	20.759245831543524
ELOVL4	IM354	24.173258094221527
ELOVL4	IM356	24.216726395954947
ELOVL4	IM364	18.315331914247437
ELOVL4	IM372	30
ELOVL4	IM374	1.0508278736736867
ELOVL4	IM376	21.327746433363988
ELOVL4	IM381	7.086471929544305
ELOVL4	IM382	1.032262770934483
ELOVL4	IM385	167
ELOVL4	IM390	1.0289440666365008
ELOVL4	IM397	20.225838281727626
ELOVL4	IM404	94.26391800897596
ELOVL4	IM409	31.174648237497546
ELOVL4	IM412	6
ELOVL4	IM421	9.143440796329953
ELOVL4	IM425	30.619229394996147
ELOVL4	IM432	8.348331968939286
ELOVL4	IM438	24
ELOVL4	IM442	8.351650252659073
ELOVL4	IM445	8.093187534623013
ELOVL4	IM448	17.39683846515401
ELOVL4	IM449	21.17479516226926
ELOVL4	IM451	49.25045380146761
ELOVL4	IMSA256	16.065140093024976
ELOVL4	IMSA276	110
ELOVL4	IMSA286	33
ELOVL4	IMSA343	31.38486587688389
ELOVL4	IS_238	23
ELOVL4	IS238	64.46319544038255
ELOVL4	IS243	40
ELOVL4	IS253	24
ELOVL4	IS283	36
ELOVL4	IS322	31.324634539726212
ELOVL4	IS399	33.24393736775689
ELOVL4	IS418	12.075402157118694
ELOVL4	IS430	2.1733312609909383
ELOVL4	IS437	9.75630392117981
ELOVL4	IS444	26.99501963761262
ELOVL4	R276CMSA	8.535757022201675
ELOVL4	R286CMSA	21
ELOVL4	R292CMSA	17.070199927799575
ELOVL4	R292IMSA	28.049371841811027
ELOVL4	R308CMSA	1.0712088352624616
ELOVL4	R316IMSA	6.120350814286367
ELOVL4	R347CMSA	13.91068186086093
ELOVL4	R347IMSA	1.0673533354237588
ELOVL4	R371CMSA	24.096569877902414
ELOVL4	SRR10104064	2.2359121206236114
ELOVL4	SRR10104065	19.11138441439107
ELOVL4	SRR10104066	3.056368091693282
ELOVL4	SRR10104067	3.0705658148737296
ELOVL4	SRR10104068	14.06583064587784
ELOVL4	SRR10104069	10.115080415029285
ELOVL4	SRR10104070	1.0296809562050373
ELOVL4	SRR10104071	1.1645245250191503
ELOVL4	SRR10104072	8.594436404377822
ELOVL4	SRR10104073	9.421488441803337
ELOVL4	SRR10104074	5.518642463884062
ELOVL4	SRR10104075	1.1607977517009396
ELOVL4	SRR10104076	4.112232254590626
ELOVL4	SRR10104077	2.2149496575655396
ELOVL4	SRR10104078	5.21275762909918
ELOVL4	SRR10104079	1.0967600863718163
ELOVL4	SRR10104080	2.2593317991167323
ELOVL4	SRR10104081	5.079493806537958
ELOVL4	SRR10104082	1.089411904515549
ELOVL4	SRR10104083	6.408860947399247
ELOVL4	SRR10104084	3.217953755962148
ELOVL4	SRR10104085	8.181046387017215
ELOVL4	SRR10104086	9.22582110549193
ELOVL4	SRR10104087	9.029039481034687
ELOVL4	SRR10104088	10.091143690578038
ELOVL4	SRR10104089	1.1448723975995108
ELOVL4	SRR10104090	1.0265578899448458
ELOVL4	SRR10104091	4.174285062050762
ELOVL4	SRR10104092	5.063900834156046
ELOVL4	SRR10104093	4.142514849553965
ELOVL4	SRR10104094	9.316692755259156
ELOVL4	SRR10104095	3.171648971626683
ELOVL4	SRR10104096	1.154072664928297
ELOVL4	SRR10104097	5.340902023808307
ELOVL4	SRR10104098	3.0902772803883396
ELOVL4	SRR10104099	1.0493908160133256
ELOVL4	SRR10104100	3.0886467422879953
ELOVL4	SRR10104101	12.066945808596353
ELOVL4	SRR10104102	3.0461586350656877
ELOVL4	SRR10104103	2.1084371033773968
ELOVL4	SRR10104104	5.07772783936658
ELOVL4	SRR10104105	2.1745843115574206
ELOVL4	SRR10104106	2.2764771444506136
ELOVL4	SRR10104107	8.077705453991271
ELOVL4	SRR10104108	6.041260233784105
ELOVL4	SRR10104109	1.1285448548113846
ELOVL4	SRR10104110	1.1982558131462344
ELOVL4	SRR10104111	1.033999484700198
ELOVL4	SRR10104112	1.196151394106599
ELOVL4	SRR10104113	3.110300200885822
ELOVL4	SRR10104114	1.1797749232980566
ELOVL4	SRR10104115	1.1539300414205504
ELOVL4	SRR10104116	3.145451514503503
ELOVL4	SRR10104117	1.0397805115928114
ELOVL4	SRR10104118	1.1532185893604232
ELOVL4	SRR10104119	1.196116023768437
ELOVL4	SRR10104120	1.0276522924898637
ELOVL4	SRR10104121	1.0875994884831564
ELOVL4	SRR10104122	1.0974240840983978
ELOVL4	SRR10104123	1.088908451656757
ELOVL4	SRR10104124	2.2476630869528877
ELOVL4	SRR10104125	4.431726820758774
ELOVL4	SRR10104126	2.0827520263067414
ELOVL4	SRR10104127	2.390006909245555
ELOVL4	SRR10104128	3.087732068617691
ELOVL4	SRR10104129	4.105981525870187
ELOVL4	SRR10104130	8.34249656063494
ELOVL4	SRR10104131	9.10273754568485
ELOVL4	SRR10104132	10.072357936683586
ELOVL4	SRR10104133	3.522633987118878
ELOVL4	SRR10104134	6.1839647186967515
ELOVL4	SRR10104135	5.545027984020263
ELOVL4	SRR10104136	9.135953348832395
ELOVL4	SRR10104137	3.34713978973719
ELOVL4	SRR10104138	1.2032421439416108
ELOVL4	SRR10104139	6.068307968526444
ELOVL4	SRR10104140	1.1520788995831306
ELOVL4	SRR10104141	3.188913820076923
ELOVL4	SRR10104142	2.1087696310457424
ELOVL4	SRR10104143	9.073863797722124
ELOVL4	SRR10104144	4.251668214267881
ELOVL4	SRR10104145	4.269774482282075
ELOVL4	SRR10104146	3.0289045062827435
ELOVL4	SRR10104147	16.027612856573008
ELOVL4	SRR10104148	3.1649559277105763
ELOVL4	SRR10104149	5.245144193137084
ELOVL4	SRR10104150	1.011649190933472
ELOVL4	SRR10104151	6.045993667390618
ELOVL4	SRR10104152	15.084347394301059
ELOVL4	SRR10104153	2.2180896118372013
ELOVL4	SRR10104154	6.184952803711505
ELOVL4	SRR10104155	4.378118497771257
ELOVL4	SRR10104156	8.032570046512488
ELOVL4	SRR10104157	5.255265164373563
ELOVL4	SRR10104158	2.041248244135728
ELOVL4	SRR10104159	9.114151618445286
ELOVL4	SRR10104160	2.268244378805969
ELOVL4	SRR10104161	6.010354821214879
ELOVL4	SRR10104162	1.0205680066223681
ELOVL4	SRR10104163	6.184426217005109
ELOVL4	SRR10104164	5.098597029579932
ELOVL4	SRR10104165	3.1200683266416567
ELOVL4	SRR10104166	8.331591465130206
ELOVL4	SRR10104167	7.158712574668846
ELOVL4	SRR10104168	2.059116375270047
ELOVL4	SRR10104169	3.0752159770583662
ELOVL4	SRR10104170	3.090826978149619
ELOVL4	SRR10104171	4.096806883014316
