Gene	sample	counts
EXD3	CM317	128.36360380301036
EXD3	CMCD140	1209.2765764124892
EXD3	CMCD147	292.36830208731146
EXD3	CMCD152	358
EXD3	CMCD154	533.226844643956
EXD3	CMCD159	344.35843730050465
EXD3	CMCD161	508.5529146826865
EXD3	CMCD174	348.5487897033743
EXD3	CMCD196	987.9967327726889
EXD3	CMCD198	425.1817417908744
EXD3	CMCD203	322.03981942332234
EXD3	CMCD211	295.6433606644299
EXD3	CMCD227	226.0803881967003
EXD3	CMCD240	318.9783513534497
EXD3	CMCD259	242
EXD3	CMCD270	416.14899678702227
EXD3	CMCD275	1025.6842364243255
EXD3	CMCD282	612.962276089744
EXD3	CMCD286	279.9236402697896
EXD3	CMCD287	379
EXD3	CMCD294	540.4876188951914
EXD3	CMCD327	267.36691741522543
EXD3	CMCD335	351.64689989561055
EXD3	CMCD337	295.9622486461577
EXD3	CMCD357	173.59557891169868
EXD3	CMCD398	281.68066015638095
EXD3	CMCD403	356.542075530644
EXD3	CMCD422	290.60502277067656
EXD3	CMCD426	118.08897788514611
EXD3	CMCD71	514.2633988031747
EXD3	CMCD72	93.23707549938052
EXD3	CMCD76	298.68456975154965
EXD3	CMCD88	452.0813212324317
EXD3	CMSA256	511
EXD3	CMSA316	581.7051531114777
EXD3	CMUC110	274
EXD3	CMUC192	292.89006997667514
EXD3	CMUC199	351.64009265243664
EXD3	CMUC200	334.78203142833064
EXD3	CMUC208	703.7177217078631
EXD3	CMUC231	305
EXD3	CMUC234	231
EXD3	CMUC285	155.71354836649508
EXD3	CMUC291	167.09632531294773
EXD3	CMUC295	498.4481476625734
EXD3	CMUC299	233.68199853643003
EXD3	CMUC301	237.1279420341041
EXD3	CMUC307	191.5271957712582
EXD3	CMUC313	122.96088449108835
EXD3	CMUC314	118.25480943761778
EXD3	CMUC323	125.96490354763516
EXD3	CMUC324	414.372556490573
EXD3	CMUC331	192.7490751274761
EXD3	CMUC333	111.53302418642079
EXD3	CMUC334	159.35704212397127
EXD3	CMUC346	459.9364697159286
EXD3	CMUC352	278.6769484414807
EXD3	CMUC360	232.33413115836714
EXD3	CMUC363	238.1191317074042
EXD3	CMUC365	284.89393252278313
EXD3	CMUC366	405.3529935253684
EXD3	CMUC368	292
EXD3	CMUC377	333.3551887630221
EXD3	CMUC379	169.18740587704204
EXD3	CMUC380	172.0887157158699
EXD3	CMUC383	318.48579666697316
EXD3	CMUC394	444.3611666711017
EXD3	CMUC419	422.27909194583566
EXD3	CMUC427	359
EXD3	CMUC428	170.07265290683276
EXD3	CMUC431	320.59475834137777
EXD3	CMUC435	162.8131467505666
EXD3	CMUC439	299.91796005927944
EXD3	CMUC89	245
EXD3	CS219	590.459271922235
EXD3	CS256	444.0144193866245
EXD3	CS257	306.4396097097901
EXD3	CS259	385.59506032251585
EXD3	CS261	576.4123690900512
EXD3	CS266	843.1254289000776
EXD3	CS270	976.541161916901
EXD3	CS277	353.09648478312374
EXD3	CS288	489.3726281555683
EXD3	CS290	455.61223327107484
EXD3	CS292	627.6533298959498
EXD3	CS293	799.2429931048215
EXD3	CS301	742.3372449652826
EXD3	CS306	698.114958706461
EXD3	CS308	159.11937535696205
EXD3	CS315	317.6576493193694
EXD3	CS317	125.4589198259477
EXD3	CS322	165.18725339466604
EXD3	CS327	161.76642073498095
EXD3	CS328	181.74027305463378
EXD3	CS330	277.83031558180085
EXD3	CS331	717.2349214422096
EXD3	CS335	108.0297828242928
EXD3	CS338	156.68657073157448
EXD3	CS339	99.51415578179476
EXD3	CS343	213.71272933392964
EXD3	CS344	174.43057604769777
EXD3	CS350	347.9009265546105
EXD3	CS351	454.7486644388141
EXD3	CS361	115.71091450387648
EXD3	CS388	161.45427205609698
EXD3	CS396	127.3738783442794
EXD3	CS405	174.3133173271334
EXD3	CS415	108.76678180718662
EXD3	CS424	254.2173805583327
EXD3	IM293	362.92540022581306
EXD3	IM296	323.45146050044787
EXD3	IM297	227.44536674520646
EXD3	IM300	514
EXD3	IM305	461.592889045745
EXD3	IM309	179.46488830125563
EXD3	IM310	157.13276588244656
EXD3	IM311	328.04252453119443
EXD3	IM316	235.21360612021778
EXD3	IM320	102.66575434440385
EXD3	IM330	280.94526498277634
EXD3	IM332	219.51941207405912
EXD3	IM340	197.52438744693492
EXD3	IM348	159.6920652568157
EXD3	IM354	248.7904263218929
EXD3	IM356	278.3763744755952
EXD3	IM364	236.03371056804323
EXD3	IM372	205.99808788086764
EXD3	IM374	258.1650764235146
EXD3	IM376	275.11215483098994
EXD3	IM381	263.26450565971265
EXD3	IM382	189.85867069162094
EXD3	IM385	308
