Gene	sample	counts
FABP5	CM317	938.5273327236496
FABP5	CMCD140	1148.711806308358
FABP5	CMCD147	701.2677423731243
FABP5	CMCD152	1304
FABP5	CMCD154	1383.5620779587496
FABP5	CMCD159	38.02064765147528
FABP5	CMCD161	2404.341886576725
FABP5	CMCD174	281.89839418015856
FABP5	CMCD196	1505.7110575044453
FABP5	CMCD198	306.789731364844
FABP5	CMCD203	255.82602477553644
FABP5	CMCD211	810.6091057348091
FABP5	CMCD227	746.4763363003779
FABP5	CMCD240	3532.01101586123
FABP5	CMCD259	1982
FABP5	CMCD270	2731.1034402665205
FABP5	CMCD275	543.6025599141706
FABP5	CMCD282	623.093883958996
FABP5	CMCD286	764.3706136659911
FABP5	CMCD287	1500
FABP5	CMCD294	119.16262463830992
FABP5	CMCD327	943.8253212514912
FABP5	CMCD335	1472.8981578484716
FABP5	CMCD337	870.7732825813823
FABP5	CMCD357	648.4305447584039
FABP5	CMCD398	755.5077706337217
FABP5	CMCD403	963.8722211379275
FABP5	CMCD422	922.9214688682521
FABP5	CMCD426	246.2043784209178
FABP5	CMCD71	1363.6534351825867
FABP5	CMCD72	128.92040069050145
FABP5	CMCD76	1929.4221368178962
FABP5	CMCD88	1931.3474143801454
FABP5	CMSA256	1240
FABP5	CMSA316	655.3004324479384
FABP5	CMUC110	976
FABP5	CMUC192	610.103190747261
FABP5	CMUC199	207.69385589412926
FABP5	CMUC200	1273.9759339682882
FABP5	CMUC208	2597.339910178167
FABP5	CMUC231	915
FABP5	CMUC234	1620
FABP5	CMUC285	1000.0045411328807
FABP5	CMUC291	514.3748327404596
FABP5	CMUC295	2650.3829217078196
FABP5	CMUC299	870.5406640756278
FABP5	CMUC301	1248.6737200783202
FABP5	CMUC307	601.6561123704446
FABP5	CMUC313	483.5072068124152
FABP5	CMUC314	346.3176562101663
FABP5	CMUC323	607.2942097865662
FABP5	CMUC324	990.8908959557181
FABP5	CMUC331	665.0347670628626
FABP5	CMUC333	629.2918337123742
FABP5	CMUC334	564.3472319804332
FABP5	CMUC346	1351.5056263960362
FABP5	CMUC352	1064.4050954912873
FABP5	CMUC360	1268.8247593864276
FABP5	CMUC363	704.0936394451693
FABP5	CMUC365	743.9456400506598
FABP5	CMUC366	1576.2612693771132
FABP5	CMUC368	1580
FABP5	CMUC377	1473.992220193122
FABP5	CMUC379	413.3312573958116
FABP5	CMUC380	420.54816325830933
FABP5	CMUC383	764.7716263913941
FABP5	CMUC394	662.0074523875597
FABP5	CMUC419	593.4456170792206
FABP5	CMUC427	1642
FABP5	CMUC428	949.9916233375748
FABP5	CMUC431	1081.0054507823331
FABP5	CMUC435	913.5626567670682
FABP5	CMUC439	538.4433175560889
FABP5	CMUC89	923
FABP5	CS219	3289.1288135430436
FABP5	CS256	1062.4272788935034
FABP5	CS257	259.37924107578664
FABP5	CS259	2834.3740797732985
FABP5	CS261	541.6023858767977
FABP5	CS266	1116.5715139487515
FABP5	CS270	1963.2124188744338
FABP5	CS277	191.01940980070628
FABP5	CS288	3594.1140236909982
FABP5	CS290	5682.04902422356
FABP5	CS292	1892.0858054698585
FABP5	CS293	895.8436093197809
FABP5	CS301	1069.8691690924268
FABP5	CS306	441.5161569200089
FABP5	CS308	407.5509162368641
FABP5	CS315	276.53691801589116
FABP5	CS317	1.0722984600508352
FABP5	CS322	1045.8481319220573
FABP5	CS327	1177.5791621204824
FABP5	CS328	101.43643147235375
FABP5	CS330	78.61090324601342
FABP5	CS331	577.6593756501887
FABP5	CS335	74.71218625231464
FABP5	CS338	631.9004464372049
FABP5	CS339	32.78113366929709
FABP5	CS343	1041.3455160469307
FABP5	CS344	268.7447828641855
FABP5	CS350	410.31844573058476
FABP5	CS351	2004.5240463511363
FABP5	CS361	176.12634774041376
FABP5	CS388	791.7469110443217
FABP5	CS396	426.60140207369767
FABP5	CS405	443.98627295675743
FABP5	CS415	439.37472254784296
FABP5	CS424	483.53183404156346
FABP5	IM293	802.2561478675868
FABP5	IM296	44.83485591095317
FABP5	IM297	3.2963096629740063
FABP5	IM300	2008
FABP5	IM305	894.9043756991905
FABP5	IM309	34.18378824785821
FABP5	IM310	819.1179021484957
FABP5	IM311	1164.3484667002272
FABP5	IM316	695.5889548512423
FABP5	IM320	783.6120841797355
FABP5	IM330	488.117133045615
FABP5	IM332	32.97944218953001
FABP5	IM340	377.09201239869395
FABP5	IM348	334.9385524542303
FABP5	IM354	488.51561443772493
FABP5	IM356	106.91266555946773
FABP5	IM364	1043.8387372535014
FABP5	IM372	410.996185043867
FABP5	IM374	374.6541962731493
FABP5	IM376	485.2531734657314
FABP5	IM381	577.15680086937
FABP5	IM382	329.15715190558194
FABP5	IM385	797
FABP5	IM390	311.6972511716025
FABP5	IM397	866.7566548378604
FABP5	IM404	1559.4823112223405
FABP5	IM409	686.9129005430107
FABP5	IM412	512
FABP5	IM421	1014.8825652951233
FABP5	IM425	1.0543133661346646
FABP5	IM432	543.9314981743215
FABP5	IM438	1067
FABP5	IM442	471.2595971096788
FABP5	IM445	693.9265908436887
FABP5	IM448	309.97675416845175
FABP5	IM449	930.7961987047281
FABP5	IM451	2030.4764289010252
FABP5	IMSA256	786.2096900975413
FABP5	IMSA276	684
FABP5	IMSA286	1275
FABP5	IMSA343	1353.7402920589234
FABP5	IS_238	941
FABP5	IS238	2660.4992545059727
FABP5	IS243	978
FABP5	IS253	874
FABP5	IS283	1256
FABP5	IS322	581.11784126978
FABP5	IS399	183.3200387613528
FABP5	IS418	78.82207940060897
FABP5	IS430	37.96641939406457
FABP5	IS437	111.4705530086108
FABP5	IS444	205.49424508456252
FABP5	R276CMSA	76.674638216884
FABP5	R286CMSA	1381
FABP5	R292CMSA	878.681668155837
FABP5	R292IMSA	134.60938367471968
FABP5	R308CMSA	420.64932736625843
FABP5	R316IMSA	672.0910705714538
FABP5	R347CMSA	191.1621330863652
FABP5	R347IMSA	329.2112238049389
FABP5	R371CMSA	1602.378079156914
FABP5	SRR10104064	92.38586560840704
FABP5	SRR10104065	404.35796340999923
FABP5	SRR10104066	277.1017228577813
FABP5	SRR10104067	136.09319925696363
FABP5	SRR10104068	437.0320922959976
FABP5	SRR10104069	295.3553143080851
FABP5	SRR10104070	186.35516637486245
FABP5	SRR10104071	3.485950589308302
FABP5	SRR10104072	111.45921693865462
FABP5	SRR10104073	143.27950291829436
FABP5	SRR10104074	69.28250621001715
FABP5	SRR10104075	46.19016914240231
FABP5	SRR10104076	179.8691945526827
FABP5	SRR10104077	92.74231949475018
FABP5	SRR10104078	152.12052463605724
FABP5	SRR10104079	73.22139223093939
FABP5	SRR10104080	34.888270832169496
FABP5	SRR10104081	239.75089389337847
FABP5	SRR10104082	32.56941780843222
FABP5	SRR10104083	155.57711914037372
FABP5	SRR10104084	157.30825076082417
FABP5	SRR10104085	128.83313683647964
FABP5	SRR10104086	191.6624739080978
FABP5	SRR10104087	645.0639045494812
FABP5	SRR10104088	543.9150492584947
FABP5	SRR10104089	71.73888192854902
FABP5	SRR10104090	198.11556024786069
FABP5	SRR10104091	125.15175690175998
FABP5	SRR10104092	221.7956141297968
FABP5	SRR10104093	277.3186850180583
FABP5	SRR10104094	107.58218457530381
FABP5	SRR10104095	118.21932176462504
FABP5	SRR10104096	119.59993582299467
FABP5	SRR10104097	105.47786301433675
FABP5	SRR10104098	134.9256172810756
FABP5	SRR10104099	85.96181519941798
FABP5	SRR10104100	303.63761651818106
FABP5	SRR10104101	522.9009850391752
FABP5	SRR10104102	225.40858100080828
FABP5	SRR10104103	131.66371263092395
FABP5	SRR10104104	283.3289648274762
FABP5	SRR10104105	72.61406322615433
FABP5	SRR10104106	43.08101941636501
FABP5	SRR10104107	568.398172603012
FABP5	SRR10104108	316.1539898810776
FABP5	SRR10104109	38.15846330367013
FABP5	SRR10104110	19.09121661148068
FABP5	SRR10104111	467.93591260671775
FABP5	SRR10104112	9.518979128553616
FABP5	SRR10104113	75.64883550485023
FABP5	SRR10104114	18.804974118614265
FABP5	SRR10104115	32.147347744699864
FABP5	SRR10104116	89.04797125554974
FABP5	SRR10104117	87.30059202556767
FABP5	SRR10104118	27.551765649291912
FABP5	SRR10104119	21.45977433119636
FABP5	SRR10104120	75.00309828895165
FABP5	SRR10104121	67.24315476289725
FABP5	SRR10104122	37.16523360448023
FABP5	SRR10104123	60.763811392753055
FABP5	SRR10104124	64.92529317708548
FABP5	SRR10104125	112.52968530475707
FABP5	SRR10104126	134.2063090240718
FABP5	SRR10104127	24.982863164667503
FABP5	SRR10104128	219.16807908306242
FABP5	SRR10104129	183.7301223415274
FABP5	SRR10104130	135.47329549882159
FABP5	SRR10104131	392.40525294273414
FABP5	SRR10104132	403.9015532610118
FABP5	SRR10104133	54.88708933933362
FABP5	SRR10104134	105.10288723238791
FABP5	SRR10104135	128.15593263750134
FABP5	SRR10104136	268.9891638442586
FABP5	SRR10104137	51.11309941880112
FABP5	SRR10104138	23.974250791290277
FABP5	SRR10104139	283.18760430843554
FABP5	SRR10104140	63.01637572508556
FABP5	SRR10104141	112.48913001718523
FABP5	SRR10104142	103.16962014589294
FABP5	SRR10104143	343.793987404538
FABP5	SRR10104144	80.64232408408012
FABP5	SRR10104145	74.51711153509946
FABP5	SRR10104146	530.0548392233666
FABP5	SRR10104147	998.7038974949389
FABP5	SRR10104148	226.42651186885385
FABP5	SRR10104149	108.9868013456425
FABP5	SRR10104150	212.44693794888053
FABP5	SRR10104151	478.63843500041116
FABP5	SRR10104152	654.660676912666
FABP5	SRR10104153	56.35938431823835
FABP5	SRR10104154	147.38449246227256
FABP5	SRR10104155	79.6141708642973
FABP5	SRR10104156	799.2374529001355
FABP5	SRR10104157	184.82805520137555
FABP5	SRR10104158	146.9663285684968
FABP5	SRR10104159	357.47349274411283
FABP5	SRR10104160	66.59142597245582
FABP5	SRR10104161	612.0544659603818
FABP5	SRR10104162	146.94934970935395
FABP5	SRR10104163	202.966699585756
FABP5	SRR10104164	208.01468922812452
FABP5	SRR10104165	117.42050383685978
FABP5	SRR10104166	84.3299416459892
FABP5	SRR10104167	123.73950542777955
FABP5	SRR10104168	96.72635647845836
FABP5	SRR10104169	88.14259016312265
FABP5	SRR10104170	91.6880182859725
FABP5	SRR10104171	117.77195688799785
FABP5	SRR10104172	78.60280136740927
FABP5	SRR10104173	98.74819331029394
FABP5	SRR10104174	156.16517790443527
FABP5	SRR10104175	300.6623924704244
FABP5	SRR10104176	228.04048086561414
FABP5	SRR10104177	178.42942347301275
FABP5	SRR10104178	154.7656629636891
FABP5	SRR10104179	87.97355852189732
FABP5	SRR10104180	258.5677473591198
FABP5	SRR10104181	131.4618598483886
FABP5	SRR10104182	123.22094456656025
FABP5	SRR10104183	104.85327945215123
FABP5	SRR10104184	250.24257858789807
FABP5	SRR10104185	78.84716859799175
FABP5	SRR10104186	119.87529499309979
FABP5	SRR10104187	57.22716234758627
FABP5	SRR10104188	65.44634681724438
FABP5	SRR10104189	240.94572059231703
FABP5	SRR10104190	49.41137119366373
FABP5	SRR10104191	57.10643792083546
FABP5	SRR10104192	72.85883342486486
FABP5	SRR10104193	75.94046666438206
FABP5	SRR10104194	91.82346650927414
FABP5	SRR10104195	152.20911991128227
FABP5	SRR10104196	95.78003797051971
FABP5	SRR10104197	182.0329086094216
FABP5	SRR10104198	117.98445770889916
FABP5	SRR10104199	146.41456174949576
FABP5	SRR10104200	177.11512824720265
FABP5	SRR10104201	162.1548646937302
FABP5	SRR10104202	49.14848478668864
FABP5	SRR10104203	160.56697851927206
FABP5	SRR10104204	124.82499549437918
FABP5	SRR10104205	229.0169342571199
FABP5	SRR10104206	313.8506136466124
FABP5	SRR10104207	189.0204393931002
FABP5	SRR10104208	370.43895500438526
FABP5	SRR10104209	172.92058208727073
FABP5	SRR10104210	206.31934340522523
FABP5	SRR10104211	90.67316478459752
FABP5	SRR10104212	183.38138373726403
FABP5	SRR10104213	88.04012311493312
FABP5	SRR10104214	124.66035149413939
FABP5	SRR10104215	228.42421071806976
FABP5	SRR10104216	61.60648524208411
FABP5	SRR10104217	195.77710733149738
FABP5	SRR10104218	62.868313948507385
FABP5	SRR10104219	121.44019115628429
FABP5	SRR10104220	59.027451685759736
FABP5	SRR10104221	67.61203122807035
FABP5	SRR10104222	95.56341131302128
FABP5	SRR10104223	25.963678850822273
FABP5	SRR10104224	207.15086488228337
FABP5	SRR10104225	225.93362237262662
FABP5	SRR10104226	189.14839651622836
FABP5	SRR10104227	91.62480003483347
FABP5	SRR10104228	41.558789314614245
FABP5	SRR10104229	170.1273327187688
FABP5	SRR10104230	58.51598730025904
FABP5	SRR10104231	122.91765142235406
FABP5	SRR10104232	162.35617105553806
FABP5	SRR10104233	45.08320499876677
FABP5	SRR10104234	158.63209478926487
FABP5	SRR10104235	100.24238644758076
FABP5	SRR10104236	600.5375650458374
FABP5	SRR10104237	182.32309869666864
FABP5	SRR10104238	72.89441517250913
FABP5	SRR10104239	77.62514520668513
FABP5	SRR10104240	158.01882478706838
FABP5	SRR10104241	125.95378751615789
FABP5	SRR10104242	84.18508628914485
FABP5	SRR10104243	79.08740243628382
FABP5	SRR10104244	120.6262641726607
FABP5	SRR10104245	31.254352866990107
FABP5	SRR10104246	49.89728564286314
FABP5	SRR10104247	75.11476794026154
FABP5	SRR10104248	38.75505207934158
FABP5	SRR10104249	106.84248505693041
FABP5	SRR10104250	28.929938820965425
FABP5	SRR10104251	126.70082192346446
FABP5	SRR10104252	29.596914302945265
FABP5	SRR10104253	58.295365963190136
FABP5	SRR10104254	48.76107547256772
