Gene	sample	counts
FAM120B	CM317	85.26564810435333
FAM120B	CMCD140	256.39078501263504
FAM120B	CMCD147	158.16818726124094
FAM120B	CMCD152	1100
FAM120B	CMCD154	277.70531947685174
FAM120B	CMCD159	1.0879251488683968
FAM120B	CMCD161	433.3364401112758
FAM120B	CMCD174	1.0948567840005883
FAM120B	CMCD196	350.2720182559502
FAM120B	CMCD198	19.57053817601102
FAM120B	CMCD203	1233.9349865873205
FAM120B	CMCD211	956.455128349176
FAM120B	CMCD227	901.8552212792009
FAM120B	CMCD240	1186.943431151057
FAM120B	CMCD259	1089
FAM120B	CMCD270	330.71606508073677
FAM120B	CMCD275	364.0431196320474
FAM120B	CMCD282	184.4141282611272
FAM120B	CMCD286	1063.8609102611601
FAM120B	CMCD287	1196
FAM120B	CMCD294	20.246337422377405
FAM120B	CMCD327	369.874763633837
FAM120B	CMCD335	466.1818156919513
FAM120B	CMCD337	459.0481169671321
FAM120B	CMCD357	127.64069935927907
FAM120B	CMCD398	349.0324499939106
FAM120B	CMCD403	339.41421374008127
FAM120B	CMCD422	533.109903841379
FAM120B	CMCD426	42.41802939801931
FAM120B	CMCD71	228.43769241852786
FAM120B	CMCD72	6.9210455479258925
FAM120B	CMCD76	499.16602290810977
FAM120B	CMCD88	807.1451907844522
FAM120B	CMSA256	973
FAM120B	CMSA316	480.8412810532397
FAM120B	CMUC110	1236
FAM120B	CMUC192	127.69356231888533
FAM120B	CMUC199	61.73143414732429
FAM120B	CMUC200	491.14729161641327
FAM120B	CMUC208	372.91024569134623
FAM120B	CMUC231	1245
FAM120B	CMUC234	842
FAM120B	CMUC285	210.2978410168347
FAM120B	CMUC291	300.9658417889467
FAM120B	CMUC295	606.5453363122881
FAM120B	CMUC299	595.7486360383574
FAM120B	CMUC301	702.3789675440552
FAM120B	CMUC307	538.4986817809968
FAM120B	CMUC313	165.70343528670597
FAM120B	CMUC314	70.79037394659503
FAM120B	CMUC323	161.78911722115078
FAM120B	CMUC324	579.4777711535497
FAM120B	CMUC331	289.59148450112684
FAM120B	CMUC333	235.34415464274605
FAM120B	CMUC334	221.29147426784326
FAM120B	CMUC346	353.7571631562417
FAM120B	CMUC352	410.42245055032987
FAM120B	CMUC360	170.23212672646446
FAM120B	CMUC363	124.21725953523256
FAM120B	CMUC365	287.88464108094274
FAM120B	CMUC366	765.5374289172704
FAM120B	CMUC368	630
FAM120B	CMUC377	526.1262215710415
FAM120B	CMUC379	60.06917941446575
FAM120B	CMUC380	157.83497703412448
FAM120B	CMUC383	136.91295403944991
FAM120B	CMUC394	137.02776254362016
FAM120B	CMUC419	115.85501551327027
FAM120B	CMUC427	1099
FAM120B	CMUC428	389.4272342356864
FAM120B	CMUC431	606.0893627703246
FAM120B	CMUC435	488.36826874963526
FAM120B	CMUC439	344.1706940481468
FAM120B	CMUC89	940
FAM120B	CS219	450.12472463654177
FAM120B	CS256	497.1242211998046
FAM120B	CS257	28.536717733079872
FAM120B	CS259	404.62442693583483
FAM120B	CS261	51.22086825557034
FAM120B	CS266	80.83749524133957
FAM120B	CS270	241.12979747036096
FAM120B	CS277	32.197156547417094
FAM120B	CS288	321.8804305082211
FAM120B	CS290	340.7266224982103
FAM120B	CS292	172.40399130757996
FAM120B	CS293	87.4833343302581
