Gene	sample	counts
FAM72D	CM317	14.737272511863539
FAM72D	CMCD140	13.1223630124577
FAM72D	CMCD147	1.0405801793502694
FAM72D	CMCD152	13
FAM72D	CMCD154	1.00983752537037
FAM72D	CMCD159	10.879251488683966
FAM72D	CMCD161	12.037123336424328
FAM72D	CMCD174	1.0948567840005883
FAM72D	CMCD196	5.0471472371174375
FAM72D	CMCD198	11.330311575585327
FAM72D	CMCD203	4.01279670434901
FAM72D	CMCD211	32.149752213417685
FAM72D	CMCD227	26.307536081070584
FAM72D	CMCD240	19.580370820245246
FAM72D	CMCD259	44
FAM72D	CMCD270	20.104320065698282
FAM72D	CMCD275	1.0084296942715996
FAM72D	CMCD282	13.172437732937656
FAM72D	CMCD286	27.399614917916203
FAM72D	CMCD287	21
FAM72D	CMCD294	1.065596706440916
FAM72D	CMCD327	23.117172727114813
FAM72D	CMCD335	6.028213133947646
FAM72D	CMCD337	5.0334223351659215
FAM72D	CMCD357	27.57039106160428
FAM72D	CMCD398	7.041000432153816
FAM72D	CMCD403	21.150440618818124
FAM72D	CMCD422	28.05841599165153
FAM72D	CMCD426	2.232527863053648
FAM72D	CMCD71	14.088668254887182
FAM72D	CMCD72	1.153507591320982
FAM72D	CMCD76	9.02107270315861
FAM72D	CMCD88	19.00341837038983
FAM72D	CMSA256	8
FAM72D	CMSA316	5.040265000558068
FAM72D	CMUC110	36
FAM72D	CMUC192	9.120968737063238
FAM72D	CMUC199	4.115428943154953
FAM72D	CMUC200	22.05151105216549
FAM72D	CMUC208	16.039150352315968
FAM72D	CMUC231	12
FAM72D	CMUC234	67
FAM72D	CMUC285	38.41979787807557
FAM72D	CMUC291	13.085471382128118
FAM72D	CMUC295	21.018897793000082
FAM72D	CMUC299	15.044157475716096
FAM72D	CMUC301	20.01079679612693
FAM72D	CMUC307	13.036280936970128
FAM72D	CMUC313	1.0421599703566413
FAM72D	CMUC314	6.339436472829406
FAM72D	CMUC323	12.287781054770946
FAM72D	CMUC324	18.014852989229524
FAM72D	CMUC331	6.054177376330178
FAM72D	CMUC333	6.139412729810767
FAM72D	CMUC334	11.166083563973743
