Gene	sample	counts
FAM83H-AS1	CM317	61.05441469200609
FAM83H-AS1	CMCD140	123.14832980921841
FAM83H-AS1	CMCD147	35.379726097909156
FAM83H-AS1	CMCD152	86
FAM83H-AS1	CMCD154	34.334475862592576
FAM83H-AS1	CMCD159	36.98945506152549
FAM83H-AS1	CMCD161	97.30008030276332
FAM83H-AS1	CMCD174	107.29596483205766
FAM83H-AS1	CMCD196	98.92408584750177
FAM83H-AS1	CMCD198	161.71444703335422
FAM83H-AS1	CMCD203	35.11197116305384
FAM83H-AS1	CMCD211	30.542264602746798
FAM83H-AS1	CMCD227	143.86933794335476
FAM83H-AS1	CMCD240	299.2999539666059
FAM83H-AS1	CMCD259	97
FAM83H-AS1	CMCD270	127.6624324171841
FAM83H-AS1	CMCD275	56.47206287920957
FAM83H-AS1	CMCD282	102.33970854051564
FAM83H-AS1	CMCD286	349.5812937803102
FAM83H-AS1	CMCD287	305
FAM83H-AS1	CMCD294	55.41102873492763
FAM83H-AS1	CMCD327	53.270006719003696
FAM83H-AS1	CMCD335	83.39028168627577
FAM83H-AS1	CMCD337	56.374330153858324
FAM83H-AS1	CMCD357	36.76052141547237
FAM83H-AS1	CMCD398	38.22257377454929
FAM83H-AS1	CMCD403	69.4943048904024
FAM83H-AS1	CMCD422	79.16481654787395
FAM83H-AS1	CMCD426	41.30176546649248
FAM83H-AS1	CMCD71	49.310338892105136
FAM83H-AS1	CMCD72	39.21925810491339
FAM83H-AS1	CMCD76	169.39569853708946
FAM83H-AS1	CMCD88	302.0543340977752
FAM83H-AS1	CMSA256	92
FAM83H-AS1	CMSA316	34.27380200379486
FAM83H-AS1	CMUC110	161
FAM83H-AS1	CMUC192	73.9811908672907
FAM83H-AS1	CMUC199	61.73143414732429
FAM83H-AS1	CMUC200	164.38399147977913
FAM83H-AS1	CMUC208	71.1737296884021
FAM83H-AS1	CMUC231	43
FAM83H-AS1	CMUC234	144
FAM83H-AS1	CMUC285	42.46398712839931
FAM83H-AS1	CMUC291	47.30901192000166
FAM83H-AS1	CMUC295	130.11698633761955
FAM83H-AS1	CMUC299	248.7300702651728
FAM83H-AS1	CMUC301	263.1419778690691
FAM83H-AS1	CMUC307	126.3516460044797
FAM83H-AS1	CMUC313	86.49927753960122
FAM83H-AS1	CMUC314	35.9234733460333
FAM83H-AS1	CMUC323	58.36696001016199
FAM83H-AS1	CMUC324	90.07426494614762
FAM83H-AS1	CMUC331	65.58692157691026
FAM83H-AS1	CMUC333	76.74265912263458
FAM83H-AS1	CMUC334	115.7212296630006
FAM83H-AS1	CMUC346	56.60114610499867
FAM83H-AS1	CMUC352	60.35624272798969
FAM83H-AS1	CMUC360	47.06417621261076
FAM83H-AS1	CMUC363	52.356035010717854
FAM83H-AS1	CMUC365	54.3558413229752
FAM83H-AS1	CMUC366	34.113070226981904
FAM83H-AS1	CMUC368	48
FAM83H-AS1	CMUC377	68.27592188326493
FAM83H-AS1	CMUC379	51.487868069542074
FAM83H-AS1	CMUC380	42.76818732537566
FAM83H-AS1	CMUC383	43.60931128663961
FAM83H-AS1	CMUC394	45.34006848869785
FAM83H-AS1	CMUC419	58.44014056864076
FAM83H-AS1	CMUC427	50
FAM83H-AS1	CMUC428	35.219517308137014
FAM83H-AS1	CMUC431	36.06482158633336
FAM83H-AS1	CMUC435	56.272886934114354
FAM83H-AS1	CMUC439	42.266576462053116
FAM83H-AS1	CMUC89	231
FAM83H-AS1	CS219	113.28305987512076
FAM83H-AS1	CS256	60.13599449997636
FAM83H-AS1	CS257	54.8783033328459
FAM83H-AS1	CS259	68.10510156345735
FAM83H-AS1	CS261	46.098781430013304
FAM83H-AS1	CS266	65.2918230795435
FAM83H-AS1	CS270	71.93367907729255
FAM83H-AS1	CS277	126.83728336861279
FAM83H-AS1	CS288	94.84877889583944
FAM83H-AS1	CS290	74.59695285463776
FAM83H-AS1	CS292	82.14543115243515
FAM83H-AS1	CS293	95.62131891911933
FAM83H-AS1	CS301	93.49725961203005
FAM83H-AS1	CS306	79.01800143100546
FAM83H-AS1	CS308	43.11576103080073
FAM83H-AS1	CS315	48.320593441267626
FAM83H-AS1	CS317	53.731995220900046
FAM83H-AS1	CS322	37.49409079438481
FAM83H-AS1	CS327	52.246986063846336
FAM83H-AS1	CS328	42.36615705735244
FAM83H-AS1	CS330	39.947675312920524
FAM83H-AS1	CS331	40.76780883800996
FAM83H-AS1	CS335	30.823674494187365
FAM83H-AS1	CS338	41.24201372660437
FAM83H-AS1	CS339	41.10940935829389
FAM83H-AS1	CS343	42.33288871399285
FAM83H-AS1	CS344	51.72630387385976
FAM83H-AS1	CS350	38.90742768369455
FAM83H-AS1	CS351	42.34829575223966
FAM83H-AS1	CS361	36.865627584571484
FAM83H-AS1	CS388	35.194946381539616
FAM83H-AS1	CS396	43.46356620805075
FAM83H-AS1	CS405	38.96880157868455
FAM83H-AS1	CS415	37.76810249168159
FAM83H-AS1	CS424	46.73845627749426
FAM83H-AS1	IM293	87.46308945682948
FAM83H-AS1	IM296	34.21920624337952
FAM83H-AS1	IM297	41.872275641729054
FAM83H-AS1	IM300	107
FAM83H-AS1	IM305	52.51917873356661
FAM83H-AS1	IM309	49.268403973456664
FAM83H-AS1	IM310	33.4528174182777
FAM83H-AS1	IM311	51.63403131573057
FAM83H-AS1	IM316	58.297573100978084
FAM83H-AS1	IM320	47.17903737183319
FAM83H-AS1	IM330	34.36024192318088
FAM83H-AS1	IM332	39.20206540947049
FAM83H-AS1	IM340	33.886845535387735
FAM83H-AS1	IM348	41.51849166308705
FAM83H-AS1	IM354	58.418707061035356
FAM83H-AS1	IM356	46.41539225891365
FAM83H-AS1	IM364	35.61314538881446
FAM83H-AS1	IM372	52
FAM83H-AS1	IM374	33.626491957557974
FAM83H-AS1	IM376	32.49942313655465
FAM83H-AS1	IM381	38.469419046097656
FAM83H-AS1	IM382	51.613138546724144
FAM83H-AS1	IM385	37
FAM83H-AS1	IM390	32.92621013236803
FAM83H-AS1	IM397	39.44038464936887
FAM83H-AS1	IM404	38.10669025894773
FAM83H-AS1	IM409	35.19718349394884
FAM83H-AS1	IM412	40
FAM83H-AS1	IM421	77.21127783567516
FAM83H-AS1	IM425	33.78673588413368
FAM83H-AS1	IM432	44.87228433304867
FAM83H-AS1	IM438	36
FAM83H-AS1	IM442	51.15385779753682
FAM83H-AS1	IM445	66.76879716063985
FAM83H-AS1	IM448	37.86370724768814
FAM83H-AS1	IM449	42.34959032453852
FAM83H-AS1	IM451	35.17889557247686
FAM83H-AS1	IMSA256	78.31755795349676
FAM83H-AS1	IMSA276	39
FAM83H-AS1	IMSA286	119
FAM83H-AS1	IMSA343	37.459356046603354
FAM83H-AS1	IS_238	84
FAM83H-AS1	IS238	89.02060322719495
FAM83H-AS1	IS243	116
FAM83H-AS1	IS253	80
FAM83H-AS1	IS283	69
FAM83H-AS1	IS322	39.40841119513943
FAM83H-AS1	IS399	35.25872145065125
FAM83H-AS1	IS418	38.42173413628675
FAM83H-AS1	IS430	42.3799595893233
FAM83H-AS1	IS437	40.109249453739224
FAM83H-AS1	IS444	42.56906942854298
FAM83H-AS1	R276CMSA	36.276967344357125
FAM83H-AS1	R286CMSA	180
FAM83H-AS1	R292CMSA	53.218858598433975
FAM83H-AS1	R292IMSA	84.14811552543307
FAM83H-AS1	R308CMSA	39.63472690471108
FAM83H-AS1	R316IMSA	45.902631107147755
FAM83H-AS1	R347CMSA	36.38178332840551
FAM83H-AS1	R347IMSA	54.435020106611695
FAM83H-AS1	R371CMSA	71.28568588879465
FAM83H-AS1	SRR10104064	34.65663786966598
FAM83H-AS1	SRR10104065	108.63313246074924
FAM83H-AS1	SRR10104066	74.37162356453652
FAM83H-AS1	SRR10104067	110.54036933545426
FAM83H-AS1	SRR10104068	170.79937212851664
FAM83H-AS1	SRR10104069	109.24286848231627
FAM83H-AS1	SRR10104070	31.920109642356156
FAM83H-AS1	SRR10104071	12.809769775210654
FAM83H-AS1	SRR10104072	40.82357292079465
FAM83H-AS1	SRR10104073	39.77961786539187
FAM83H-AS1	SRR10104074	12.141013420544935
FAM83H-AS1	SRR10104075	19.733561778915973
FAM83H-AS1	SRR10104076	60.65542575521172
FAM83H-AS1	SRR10104077	42.084043493745256
FAM83H-AS1	SRR10104078	46.91481866189262
FAM83H-AS1	SRR10104079	18.64492146832088
