Gene	sample	counts
FOXN3	CM317	788.4440793846994
FOXN3	CMCD140	1058.8737538513944
FOXN3	CMCD147	1031.214957736117
FOXN3	CMCD152	2349
FOXN3	CMCD154	1493.5497000227772
FOXN3	CMCD159	757.1959036124041
FOXN3	CMCD161	1235.811329206231
FOXN3	CMCD174	752.1666106084042
FOXN3	CMCD196	817.6378524130249
FOXN3	CMCD198	744.710479013472
FOXN3	CMCD203	3643.619407548901
FOXN3	CMCD211	2357.3805810488516
FOXN3	CMCD227	1543.1014132552964
FOXN3	CMCD240	1913.2819487211068
FOXN3	CMCD259	2025
FOXN3	CMCD270	852.4231707856072
FOXN3	CMCD275	1109.2726636987593
FOXN3	CMCD282	815.6778750011395
FOXN3	CMCD286	1531.5439924807645
FOXN3	CMCD287	1509
FOXN3	CMCD294	774.6888055825459
FOXN3	CMCD327	1103.5937241031331
FOXN3	CMCD335	1058.956107196803
FOXN3	CMCD337	1125.4732341431002
FOXN3	CMCD357	848.5553693404872
FOXN3	CMCD398	956.5702015683255
FOXN3	CMCD403	1019.2498050592352
FOXN3	CMCD422	1256.616201911822
FOXN3	CMCD426	800.3612389047328
FOXN3	CMCD71	1064.70078669076
FOXN3	CMCD72	794.7667304201566
FOXN3	CMCD76	956.2337065348128
FOXN3	CMCD88	1113.2002445391515
FOXN3	CMSA256	2016
FOXN3	CMSA316	1545.3452491711037
FOXN3	CMUC110	2207
FOXN3	CMUC192	803.6586898323498
FOXN3	CMUC199	803.5375011510046
FOXN3	CMUC200	1115.6059909572816
FOXN3	CMUC208	1239.0243647164084
FOXN3	CMUC231	4344
FOXN3	CMUC234	2168
FOXN3	CMUC285	904.8873447599377
FOXN3	CMUC291	1065.9626302825905
FOXN3	CMUC295	1129.0150814525757
FOXN3	CMUC299	1275.744553940725
FOXN3	CMUC301	1587.8567257726718
FOXN3	CMUC307	1148.1955132946766
FOXN3	CMUC313	1413.1689198036056
FOXN3	CMUC314	940.3497434696952
FOXN3	CMUC323	842.7369840063741
FOXN3	CMUC324	1467.209693456138
FOXN3	CMUC331	895.0092221341446
FOXN3	CMUC333	1685.2687943330554
FOXN3	CMUC334	841.5166613212938
FOXN3	CMUC346	1335.1806072268437
FOXN3	CMUC352	1253.3979739845859
FOXN3	CMUC360	895.2207134909365
FOXN3	CMUC363	891.0791841039824
FOXN3	CMUC365	919.0163542199325
FOXN3	CMUC366	1492.948485227914
FOXN3	CMUC368	1438
FOXN3	CMUC377	1231.9787669230304
FOXN3	CMUC379	739.0654395815518
FOXN3	CMUC380	868.6015187748915
FOXN3	CMUC383	973.6032287249773
FOXN3	CMUC394	865.4915295953656
FOXN3	CMUC419	784.3282023685996
FOXN3	CMUC427	1922
FOXN3	CMUC428	1269.9151669391117
FOXN3	CMUC431	1226.2039339353344
FOXN3	CMUC435	1154.5990551303105
FOXN3	CMUC439	1284.0988467995185
FOXN3	CMUC89	1961
FOXN3	CS219	959.3972415972617
FOXN3	CS256	1335.0190778994752
FOXN3	CS257	759.5157181265873
FOXN3	CS259	1060.6368022897254
