Gene	sample	counts
FTL	CM317	23796.484457370512
FTL	CMCD140	56054.697139061616
FTL	CMCD147	43267.3238573842
FTL	CMCD152	34809
FTL	CMCD154	31959.338002921468
FTL	CMCD159	17219.679256288982
FTL	CMCD161	36676.11171247356
FTL	CMCD174	13833.515465847435
FTL	CMCD196	29284.557699202796
FTL	CMCD198	36133.393642866664
FTL	CMCD203	15428.200129045856
FTL	CMCD211	19702.975643993028
FTL	CMCD227	21266.354479535432
FTL	CMCD240	16145.414339207937
FTL	CMCD259	25701
FTL	CMCD270	26038.110133089132
FTL	CMCD275	43808.20277854682
FTL	CMCD282	46824.976347270385
FTL	CMCD286	14798.626498597294
FTL	CMCD287	18263
FTL	CMCD294	22161.21470385173
FTL	CMCD327	69406.79837699623
FTL	CMCD335	48555.2473895703
FTL	CMCD337	26888.542114456355
FTL	CMCD357	26959.75795586949
FTL	CMCD398	15386.597658665274
FTL	CMCD403	36413.001434892874
FTL	CMCD422	21557.88225815712
FTL	CMCD426	11581.238289590798
FTL	CMCD71	72668.3445252613
FTL	CMCD72	12600.916927590408
FTL	CMCD76	57611.57730660527
FTL	CMCD88	32056.76643101918
FTL	CMSA256	39751
FTL	CMSA316	25478.539577821033
FTL	CMUC110	24760
FTL	CMUC192	33995.87736497626
FTL	CMUC199	28477.739429396486
FTL	CMUC200	41430.77990137311
FTL	CMUC208	51833.52170420011
FTL	CMUC231	30430
FTL	CMUC234	21439
FTL	CMUC285	24217.61627825116
FTL	CMUC291	59006.41676090249
FTL	CMUC295	26689.996597530484
FTL	CMUC299	26421.552302684322
FTL	CMUC301	30527.471052331435
FTL	CMUC307	22563.796720212682
FTL	CMUC313	20081.380468802123
FTL	CMUC314	47020.65689172118
FTL	CMUC323	22263.411307735827
FTL	CMUC324	24621.299910446418
FTL	CMUC331	19236.139583726417
FTL	CMUC333	24637.463284730606
FTL	CMUC334	29454.0982447511
FTL	CMUC346	70092.43357302586
FTL	CMUC352	33347.8300445931
FTL	CMUC360	27144.013289260423
FTL	CMUC363	34313.73471045577
FTL	CMUC365	22392.593445757524
FTL	CMUC366	30983.69769645377
FTL	CMUC368	26749
FTL	CMUC377	41678.434079034225
FTL	CMUC379	16342.03479248903
FTL	CMUC380	35155.4499814588
FTL	CMUC383	40226.04006682031
FTL	CMUC394	27332.00084206459
FTL	CMUC419	37599.56622936425
FTL	CMUC427	26859
FTL	CMUC428	18726.720488697996
FTL	CMUC431	28189.667072717624
FTL	CMUC435	22918.13807689904
FTL	CMUC439	17411.81680824864
FTL	CMUC89	19215
FTL	CS219	32866.12243315008
FTL	CS256	48780.314205230825
FTL	CS257	11860.298916294658
FTL	CS259	33481.669783329104
FTL	CS261	47516.57506332749
FTL	CS266	40360.71044459908
FTL	CS270	29943.66035393495
FTL	CS277	12078.81206233405
FTL	CS288	37501.59272811456
FTL	CS290	36484.96641443114
