Gene	sample	counts
GATA4	CM317	20.000584123243375
GATA4	CMCD140	1.009412539419823
GATA4	CMCD147	1.0405801793502694
GATA4	CMCD152	1060
GATA4	CMCD154	90.8853772833333
GATA4	CMCD159	1.0879251488683968
GATA4	CMCD161	1.003093611368694
GATA4	CMCD174	44.88912814402412
GATA4	CMCD196	1.0094294474234875
GATA4	CMCD198	1.0300283250532116
GATA4	CMCD203	6.019195056523515
GATA4	CMCD211	0.803743805335442
GATA4	CMCD227	0.8221105025334557
GATA4	CMCD240	0.9323986104878689
GATA4	CMCD259	18
GATA4	CMCD270	4.020864013139657
GATA4	CMCD275	794.6425990860204
GATA4	CMCD282	1.0132644409952043
GATA4	CMCD286	2.8344429225430554
GATA4	CMCD287	2
GATA4	CMCD294	1.065596706440916
GATA4	CMCD327	5.025472331981481
GATA4	CMCD335	11.051724078904018
GATA4	CMCD337	1.0066844670331845
GATA4	CMCD357	2.042251189748465
GATA4	CMCD398	1.0058572045934022
GATA4	CMCD403	7.050146872939374
GATA4	CMCD422	1.0020862854161259
GATA4	CMCD426	1.116263931526824
GATA4	CMCD71	1.006333446777656
GATA4	CMCD72	1.153507591320982
GATA4	CMCD76	8.018731291696543
GATA4	CMCD88	3.000539742693131
GATA4	CMSA256	1400
GATA4	CMSA316	2.0161060002232274
GATA4	CMUC110	16
GATA4	CMUC192	1.0134409707848042
GATA4	CMUC199	1.0288572357887382
GATA4	CMUC200	28.0655595209379
GATA4	CMUC208	2.004893794039496
GATA4	CMUC231	1
GATA4	CMUC234	8
GATA4	CMUC285	2.022094625161872
GATA4	CMUC291	1.006574721702163
GATA4	CMUC295	2.0017997898095317
GATA4	CMUC299	1.0029438317144064
GATA4	CMUC301	1.0005398398063463
GATA4	CMUC307	1.0027908413053945
GATA4	CMUC313	1.0421599703566413
GATA4	CMUC314	1.0565727454715677
GATA4	CMUC323	1.0239817545642456
GATA4	CMUC324	4.003300664273228
GATA4	CMUC331	75.67721720412722
GATA4	CMUC333	1.023235454968461
GATA4	CMUC334	1.0150985058157946
GATA4	CMUC346	36.386451067499145
GATA4	CMUC352	5.02968689399914
GATA4	CMUC360	1.0013654513321437
GATA4	CMUC363	1.0265889217787814
GATA4	CMUC365	1.0065896541291703
GATA4	CMUC366	10.033255949112325
GATA4	CMUC368	19
GATA4	CMUC377	4.016230699015584
GATA4	CMUC379	1.0726639181154598
GATA4	CMUC380	1.0182901744137063
GATA4	CMUC383	1.0141700299218512
GATA4	CMUC394	1.007557077526619
GATA4	CMUC419	1.0252656240112412
GATA4	CMUC427	9
GATA4	CMUC428	1.0062719230896289
GATA4	CMUC431	2.0036011992407423
GATA4	CMUC435	1.0048729809663277
GATA4	CMUC439	5.031735293101561
GATA4	CMUC89	3
GATA4	CS219	1.0025049546470863
GATA4	CS256	1825.1274330742826
GATA4	CS257	1.097566066656918
GATA4	CS259	2.003091222454628
GATA4	CS261	1.0244173651114068
GATA4	CS266	1.0363781441197382
GATA4	CS270	1.0131504095393318
GATA4	CS277	107.32385515805697
GATA4	CS288	1.0090295627216963
GATA4	CS290	1.0080669304680778
GATA4	CS292	1.0141411253387056
GATA4	CS293	1.0172480736076523
GATA4	CS301	1.0274424133190114
GATA4	CS306	1.0397105451448088
GATA4	CS308	7.185960171800121
GATA4	CS315	33.92722518216663
GATA4	CS317	18.268878375106016
GATA4	CS322	3.0400614157609307
GATA4	CS327	37.17574008389066
GATA4	CS328	1.059153926433811
GATA4	CS330	1.0796669003492032
GATA4	CS331	1.019195220950249
GATA4	CS335	16.675102595216114
GATA4	CS338	2.0621006863302185
GATA4	CS339	1.174554553094111
GATA4	CS343	1.0079259217617345
GATA4	CS344	1.0142412524286228
GATA4	CS350	1.0238796758866986
GATA4	CS351	11.091220316062767
GATA4	CS361	1.0240452106825413
GATA4	CS388	4.140581927239954
GATA4	CS396	21.226392799280596
GATA4	CS405	1.0254947783864354
GATA4	CS415	1.079088642619474
GATA4	CS424	1.0386323617220947
GATA4	IM293	8.042582938559033
GATA4	IM296	1.06935019510561
GATA4	IM297	1.1019019905718173
GATA4	IM300	3
GATA4	IM305	42.41933666941919
GATA4	IM309	1.0710522602925363
GATA4	IM310	2.0274434798956182
GATA4	IM311	261.2074525384017
GATA4	IM316	31.159047691902078
GATA4	IM320	1.0484230527074043
GATA4	IM330	47.49798148204416
GATA4	IM332	8.253066401993788
GATA4	IM340	99.54260876020146
GATA4	IM348	734.8773024366408
GATA4	IM354	33.2382298795546
GATA4	IM356	11.099332931479351
GATA4	IM364	370.3767120436704
GATA4	IM372	19
GATA4	IM374	1.0508278736736867
GATA4	IM376	87.34219967949062
GATA4	IM381	35.432359647721526
GATA4	IM382	1.032262770934483
GATA4	IM385	10
GATA4	IM390	1.0289440666365008
GATA4	IM397	192.14546367641245
GATA4	IM404	4.011230553573445
GATA4	IM409	1.005633814112824
GATA4	IM412	14
GATA4	IM421	19.30281945891879
GATA4	IM425	69.68514276102572
GATA4	IM432	1.0435414961174108
GATA4	IM438	24
GATA4	IM442	1.0439562815823842
GATA4	IM445	98.12989885730403
GATA4	IM448	12.280121269520478
GATA4	IM449	28.23306021635901
GATA4	IM451	46.2351198952553
GATA4	IMSA256	1103.4743101396532
GATA4	IMSA276	2
GATA4	IMSA286	14
GATA4	IMSA343	22.273130622304695
GATA4	IS_238	4
GATA4	IS238	61.393519467031
GATA4	IS243	2
GATA4	IS253	1105
GATA4	IS283	21
GATA4	IS322	2.020944163853304
GATA4	IS399	4.029568165788714
GATA4	IS418	4.391055329861343
GATA4	IS430	1.0866656304954692
GATA4	IS437	2.168067538039958
GATA4	IS444	3.1148099581860715
GATA4	R276CMSA	1.0669696277752094
GATA4	R286CMSA	1
GATA4	R292CMSA	49.20234096836349
GATA4	R292IMSA	53.941099695790435
GATA4	R308CMSA	1.0712088352624616
GATA4	R316IMSA	1.020058469047728
GATA4	R347CMSA	1.070052450835456
GATA4	R347IMSA	24.54912671474645
GATA4	R371CMSA	4.016094979650402
GATA4	SRR10104064	1.1179560603118057
GATA4	SRR10104065	1.00586233759953
GATA4	SRR10104066	1.0187893638977605
GATA4	SRR10104067	1.023521938291243
GATA4	SRR10104068	1.0047021889912742
GATA4	SRR10104069	1.0115080415029285
GATA4	SRR10104070	1.0296809562050373
GATA4	SRR10104071	1.1645245250191503
GATA4	SRR10104072	2.1486091010944555
GATA4	SRR10104073	1.0468320490892598
GATA4	SRR10104074	2.2074569855536246
GATA4	SRR10104075	1.1607977517009396
GATA4	SRR10104076	1.0280580636476564
GATA4	SRR10104077	1.1074748287827698
GATA4	SRR10104078	32.31909730041492
GATA4	SRR10104079	1.0967600863718163
GATA4	SRR10104080	1.1296658995583662
