Gene	sample	counts
GDF3	CM317	1.0526623222759672
GDF3	CMCD140	1.009412539419823
GDF3	CMCD147	1.0405801793502694
GDF3	CMCD152	8
GDF3	CMCD154	1.00983752537037
GDF3	CMCD159	1.0879251488683968
GDF3	CMCD161	3.009280834106082
GDF3	CMCD174	1.0948567840005883
GDF3	CMCD196	2.018858894846975
GDF3	CMCD198	1.0300283250532116
GDF3	CMCD203	1.0031991760872525
GDF3	CMCD211	9.644925664025305
GDF3	CMCD227	3.288442010133823
GDF3	CMCD240	0.9323986104878689
GDF3	CMCD259	4
GDF3	CMCD270	6.031296019709485
GDF3	CMCD275	6.050578165629597
GDF3	CMCD282	2.0265288819904086
GDF3	CMCD286	2.8344429225430554
GDF3	CMCD287	2
GDF3	CMCD294	10.65596706440916
GDF3	CMCD327	1.0050944663962962
GDF3	CMCD335	1.0047021889912742
GDF3	CMCD337	1.0066844670331845
GDF3	CMCD357	2.042251189748465
GDF3	CMCD398	1.0058572045934022
GDF3	CMCD403	4.028655355965356
GDF3	CMCD422	1.0020862854161259
GDF3	CMCD426	1.116263931526824
GDF3	CMCD71	6.0380006806659345
GDF3	CMCD72	1.153507591320982
GDF3	CMCD76	1.002341411462068
GDF3	CMCD88	2.0003598284620874
GDF3	CMSA256	6
GDF3	CMSA316	5.040265000558068
GDF3	CMUC110	4
GDF3	CMUC192	1.0134409707848042
GDF3	CMUC199	4.115428943154953
GDF3	CMUC200	1.002341411462068
GDF3	CMUC208	5.01223448509874
GDF3	CMUC231	6
GDF3	CMUC234	1
GDF3	CMUC285	2.022094625161872
GDF3	CMUC291	1.006574721702163
GDF3	CMUC295	2.0017997898095317
GDF3	CMUC299	1.0029438317144064
GDF3	CMUC301	3.001619519419039
GDF3	CMUC307	6.016745047832367
GDF3	CMUC313	1.0421599703566413
GDF3	CMUC314	1.0565727454715677
GDF3	CMUC323	1.0239817545642456
GDF3	CMUC324	7.005776162478148
GDF3	CMUC331	1.0090295627216963
GDF3	CMUC333	1.023235454968461
GDF3	CMUC334	1.0150985058157946
GDF3	CMUC346	1.0107347518749763
GDF3	CMUC352	2.011874757599656
GDF3	CMUC360	1.0013654513321437
GDF3	CMUC363	7.18612245245147
GDF3	CMUC365	1.0065896541291703
GDF3	CMUC366	2.006651189822465
GDF3	CMUC368	1
GDF3	CMUC377	5.02028837376948
GDF3	CMUC379	1.0726639181154598
GDF3	CMUC380	1.0182901744137063
GDF3	CMUC383	1.0141700299218512
GDF3	CMUC394	7.052899542686332
GDF3	CMUC419	1.0252656240112412
GDF3	CMUC427	2
GDF3	CMUC428	1.0062719230896289
GDF3	CMUC431	4.007202398481485
GDF3	CMUC435	1.0048729809663277
GDF3	CMUC439	4.025388234481249
GDF3	CMUC89	1
GDF3	CS219	1.0025049546470863
GDF3	CS256	1.002266574999606
GDF3	CS257	1.097566066656918
GDF3	CS259	2.003091222454628
GDF3	CS261	2.0488347302228136
GDF3	CS266	1.0363781441197382
GDF3	CS270	1.0131504095393318
GDF3	CS277	15.610742568444651
GDF3	CS288	5.045147813608481
GDF3	CS290	1.0080669304680778
GDF3	CS292	1.0141411253387056
GDF3	CS293	10.172480736076524
GDF3	CS301	1.0274424133190114
GDF3	CS306	1.0397105451448088
GDF3	CS308	1.026565738828589
GDF3	CS315	4.112390931171713
GDF3	CS317	1.074639904418001
GDF3	CS322	1.0133538052536437
GDF3	CS327	1.0047497319970449
GDF3	CS328	1.059153926433811
GDF3	CS330	1.0796669003492032
GDF3	CS331	1.019195220950249
GDF3	CS335	4.042449113991785
GDF3	CS338	3.0931510294953277
GDF3	CS339	1.174554553094111
GDF3	CS343	1.0079259217617345
GDF3	CS344	1.0142412524286228
GDF3	CS350	1.0238796758866986
GDF3	CS351	1.008292756005706
GDF3	CS361	1.0240452106825413
GDF3	CS388	1.0351454818099886
GDF3	CS396	1.0107806094895522
GDF3	CS405	1.0254947783864354
GDF3	CS415	1.079088642619474
GDF3	CS424	1.0386323617220947
GDF3	IM293	12.063874407838549
GDF3	IM296	1.06935019510561
GDF3	IM297	1.1019019905718173
GDF3	IM300	8
GDF3	IM305	6.059905238488455
GDF3	IM309	1.0710522602925363
GDF3	IM310	1.0137217399478091
GDF3	IM311	6.074591919497713
GDF3	IM316	5.025652853532593
GDF3	IM320	1.0484230527074043
GDF3	IM330	1.0105953506817906
GDF3	IM332	1.0316333002492235
