Gene	sample	counts
GNB1	CM317	4003.274811615503
GNB1	CMCD140	4047.7442830734904
GNB1	CMCD147	3950.0423608136225
GNB1	CMCD152	9196
GNB1	CMCD154	4607.888628264998
GNB1	CMCD159	3239.841093330085
GNB1	CMCD161	5262.229085240168
GNB1	CMCD174	3265.957786673755
GNB1	CMCD196	4970.430599113252
GNB1	CMCD198	3407.333699276024
GNB1	CMCD203	6488.692270932349
GNB1	CMCD211	6442.810343568904
GNB1	CMCD227	6318.74132247214
GNB1	CMCD240	6759.889926037049
GNB1	CMCD259	7932
GNB1	CMCD270	4522.466798778829
GNB1	CMCD275	4786.007329013011
GNB1	CMCD282	4067.2434661547504
GNB1	CMCD286	6277.346259125354
GNB1	CMCD287	6498
GNB1	CMCD294	3298.021806434635
GNB1	CMCD327	5466.708802729455
GNB1	CMCD335	5539.927870097887
GNB1	CMCD337	5186.4383741549655
GNB1	CMCD357	4071.227746763565
GNB1	CMCD398	4367.431982344553
GNB1	CMCD403	5027.761884244765
GNB1	CMCD422	5863.206855969753
GNB1	CMCD426	3722.7402116419576
GNB1	CMCD71	4671.399859941878
GNB1	CMCD72	3597.7901773301433
GNB1	CMCD76	5582.039320432255
GNB1	CMCD88	7158.28764615158
GNB1	CMSA256	8507
GNB1	CMSA316	5125.949505567555
GNB1	CMUC110	8373
GNB1	CMUC192	3927.083761791116
GNB1	CMUC199	3456.9603122501603
GNB1	CMUC200	5792.53101683929
GNB1	CMUC208	4594.214129041505
GNB1	CMUC231	9474
GNB1	CMUC234	7966
GNB1	CMUC285	4528.4809130500125
GNB1	CMUC291	5461.674439955936
GNB1	CMUC295	5738.159097489022
GNB1	CMUC299	7008.571496020272
GNB1	CMUC301	7230.901422280465
GNB1	CMUC307	5446.157059129598
GNB1	CMUC313	4606.347068976354
GNB1	CMUC314	4011.8067145555424
GNB1	CMUC323	4041.655985265077
GNB1	CMUC324	5713.7108730839645
GNB1	CMUC331	4366.07091789678
GNB1	CMUC333	5082.410504828346
GNB1	CMUC334	4952.665609875263
GNB1	CMUC346	4795.936397646762
GNB1	CMUC352	5427.032158625073
GNB1	CMUC360	4242.785417294293
GNB1	CMUC363	3713.1721300738527
GNB1	CMUC365	4585.015874558371
GNB1	CMUC366	6606.899042490466
GNB1	CMUC368	6992
GNB1	CMUC377	6290.421332333159
GNB1	CMUC379	3522.62830709117
GNB1	CMUC380	3978.4597114343505
GNB1	CMUC383	4100.289430974045
GNB1	CMUC394	3775.316369492241
GNB1	CMUC419	3870.377730642436
GNB1	CMUC427	8258
GNB1	CMUC428	5273.871148912745
GNB1	CMUC431	5765.362450815236
GNB1	CMUC435	5166.051995147891
GNB1	CMUC439	5462.451834191054
GNB1	CMUC89	6699
GNB1	CS219	4743.853445390013
GNB1	CS256	6836.460308072313
GNB1	CS257	3289.4055017707838
GNB1	CS259	5104.877980425619
GNB1	CS261	3406.1877389954275
GNB1	CS266	3529.903958871828
GNB1	CS270	3683.8148890850102
GNB1	CS277	2948.4790026149835
GNB1	CS288	4309.565262384364
GNB1	CS290	4566.543195020393
GNB1	CS292	3766.520139507953
GNB1	CS293	3455.591706045195
GNB1	CS301	3445.0144118586454
GNB1	CS306	3291.723585928464
GNB1	CS308	3883.4981899885515
GNB1	CS315	4192.582554329561
GNB1	CS317	3187.381956503791
GNB1	CS322	4339.180994096102
GNB1	CS327	6200.310596153764
GNB1	CS328	3251.6025541517997
GNB1	CS330	3247.6380362504037
GNB1	CS331	4563.956199415215
