Gene	sample	counts
GREM1	CM317	51.58045379152239
GREM1	CMCD140	530.950995734827
GREM1	CMCD147	286.15954932132405
GREM1	CMCD152	9106
GREM1	CMCD154	3897.972847929628
GREM1	CMCD159	698.4479455735107
GREM1	CMCD161	2116.5275199879443
GREM1	CMCD174	276.99876635214883
GREM1	CMCD196	90.84865026811387
GREM1	CMCD198	156.56430540808816
GREM1	CMCD203	3863.320027112009
GREM1	CMCD211	12900.088075633845
GREM1	CMCD227	14109.060444479168
GREM1	CMCD240	2703.023571804332
GREM1	CMCD259	6666
GREM1	CMCD270	2675.8850007444416
GREM1	CMCD275	977.1683737491799
GREM1	CMCD282	647.4759777959356
GREM1	CMCD286	1928.3660016367921
GREM1	CMCD287	2237
GREM1	CMCD294	92.70691346035969
GREM1	CMCD327	2757.9792157914367
GREM1	CMCD335	3592.8150278327967
GREM1	CMCD337	1835.1857834014952
GREM1	CMCD357	185.8448582671103
GREM1	CMCD398	580.3796070503931
GREM1	CMCD403	2678.048647877971
GREM1	CMCD422	3931.184497687462
GREM1	CMCD426	53.580668713287544
GREM1	CMCD71	1859.704209645108
GREM1	CMCD72	56.52187197472812
GREM1	CMCD76	231.54086604773767
GREM1	CMCD88	2770.498362419991
GREM1	CMSA256	8479
GREM1	CMSA316	4438.4573594914345
GREM1	CMUC110	14692
GREM1	CMUC192	2164.7099135963417
GREM1	CMUC199	930.0869411530193
GREM1	CMUC200	12380.921114379462
GREM1	CMUC208	3963.6750308160836
GREM1	CMUC231	16828
GREM1	CMUC234	10103
GREM1	CMUC285	1770.3438443292189
GREM1	CMUC291	7299.679881784085
GREM1	CMUC295	1556.3993365769109
GREM1	CMUC299	7244.263296473157
GREM1	CMUC301	10964.91610443775
GREM1	CMUC307	23978.73459729459
GREM1	CMUC313	2256.276335822128
GREM1	CMUC314	723.7523306480239
GREM1	CMUC323	496.6311509636591
GREM1	CMUC324	22647.672682959717
GREM1	CMUC331	1364.2079687997334
GREM1	CMUC333	2902.918985745524
GREM1	CMUC334	859.7884344259782
GREM1	CMUC346	21579.186952530745
GREM1	CMUC352	11726.212024669596
GREM1	CMUC360	638.8711579499078
GREM1	CMUC363	3001.746007281157
GREM1	CMUC365	2818.451031561677
GREM1	CMUC366	5592.53686603521
GREM1	CMUC368	1915
GREM1	CMUC377	4703.006148547249
GREM1	CMUC379	181.2802021615127
GREM1	CMUC380	1171.0337005757622
GREM1	CMUC383	398.5688217592876
GREM1	CMUC394	523.9296803138418
GREM1	CMUC419	851.9957335533416
GREM1	CMUC427	12913
GREM1	CMUC428	4840.167950061115
GREM1	CMUC431	4125.414869236688
GREM1	CMUC435	912.4246667174256
GREM1	CMUC439	18390.992496286206
GREM1	CMUC89	16737
GREM1	CS219	214.53606029447647
GREM1	CS256	993.2461758246096
GREM1	CS257	111.95173879900564
GREM1	CS259	955.4745131108575
GREM1	CS261	1959.7104194581211
GREM1	CS266	446.6789801156071
GREM1	CS270	323.19498064304685
GREM1	CS277	129.76429760019616
GREM1	CS288	484.3341901064142
GREM1	CS290	366.93636269038035
GREM1	CS292	288.0160795961924
GREM1	CS293	161.74244370361674
GREM1	CS301	258.9154881563909
GREM1	CS306	165.3139766780246
GREM1	CS308	64.6736415462011
GREM1	CS315	212.81623068813613
GREM1	CS317	96.71759139762008
GREM1	CS322	374.9409079438481
GREM1	CS327	325.53891316704255
GREM1	CS328	49.78023454238912
GREM1	CS330	70.17834852269822
GREM1	CS331	31.59505184945772
GREM1	CS335	81.85959455833365
GREM1	CS338	120.63289015031778
GREM1	CS339	49.33129122995266
GREM1	CS343	401.15451686117035
GREM1	CS344	2738.4513815572814
GREM1	CS350	207.84757420499983
GREM1	CS351	159.31025544890156
GREM1	CS361	297.9971563086195
GREM1	CS388	116.97143944452871
GREM1	CS396	340.6330653979791
GREM1	CS405	420.45285913843855
GREM1	CS415	128.4115484717174
GREM1	CS424	113.21092742770831
GREM1	IM293	3244.17689284125
GREM1	IM296	3935.208717988645
GREM1	IM297	2186.1735492944854
GREM1	IM300	3280
GREM1	IM305	825.1570966408447
GREM1	IM309	299.8946328819101
GREM1	IM310	167.2640870913885
GREM1	IM311	8654.268621311076
GREM1	IM316	767.9197560197803
GREM1	IM320	45.082191266418384
GREM1	IM330	3385.4944247839985
GREM1	IM332	2264.4350940470454
GREM1	IM340	375.93219265820767
GREM1	IM348	295.8192530994952
GREM1	IM354	14214.882978489517
GREM1	IM356	279.50138381998
GREM1	IM364	894.3987084790832
GREM1	IM372	162
GREM1	IM374	194.403156629632
GREM1	IM376	870.3751758758541
GREM1	IM381	3693.064228425375
GREM1	IM382	242.58175116960348
GREM1	IM385	10915
GREM1	IM390	1893.2570826111616
GREM1	IM397	349.90700227388794
GREM1	IM404	5107.299302337389
GREM1	IM409	19007.484720546487
GREM1	IM412	1344
GREM1	IM421	2455.521822747722
GREM1	IM425	417.05502106977514
GREM1	IM432	297.4093263934621
GREM1	IM438	3344
GREM1	IM442	2705.9346818615395
GREM1	IM445	5243.373873993884
GREM1	IM448	570.0022955935755
GREM1	IM449	8439.668357533033
GREM1	IM451	21671.20478394782
GREM1	IMSA256	3116.6371780468453
GREM1	IMSA276	67195
GREM1	IMSA286	10889
GREM1	IMSA343	8960.885415364493
GREM1	IS_238	465
GREM1	IS238	10968.463865447313
GREM1	IS243	636
GREM1	IS253	3999
GREM1	IS283	4978
GREM1	IS322	4327.851926891851
GREM1	IS399	952.9928712090309
GREM1	IS418	175.64221319445375
GREM1	IS430	34.77330017585501
GREM1	IS437	201.6302810377161
GREM1	IS444	157.81703788142764
GREM1	R276CMSA	2018.7065357506963
GREM1	R286CMSA	5714
GREM1	R292CMSA	3787.576125156471
GREM1	R292IMSA	1754.164562107105
GREM1	R308CMSA	102.83604818519632
GREM1	R316IMSA	2838.822719359827
GREM1	R347CMSA	20.33099656587367
GREM1	R347IMSA	451.49046088424996
GREM1	R371CMSA	3624.525719134488
GREM1	SRR10104064	53.661890894966675
GREM1	SRR10104065	1675.7666544408169
GREM1	SRR10104066	45.84552137539922
GREM1	SRR10104067	513.808013022204
GREM1	SRR10104068	1257.8871406170754
GREM1	SRR10104069	249.84248625122333
GREM1	SRR10104070	126.6507576132196
GREM1	SRR10104071	10.480720725172352
GREM1	SRR10104072	27.93191831422792
GREM1	SRR10104073	103.63637285983671
GREM1	SRR10104074	194.25621472871896
GREM1	SRR10104075	32.50233704762631
GREM1	SRR10104076	104.86192249206094
GREM1	SRR10104077	32.11677003470032
GREM1	SRR10104078	108.42535868526294
GREM1	SRR10104079	86.6440468233735
GREM1	SRR10104080	28.241647488959156
GREM1	SRR10104081	200.1320559775955
GREM1	SRR10104082	104.58354283349271
GREM1	SRR10104083	154.88080622881512
GREM1	SRR10104084	51.48726009539437
GREM1	SRR10104085	635.0537257922114
GREM1	SRR10104086	85.08257241731447
GREM1	SRR10104087	481.54877232185
GREM1	SRR10104088	201.82287381156075
GREM1	SRR10104089	30.91155473518679
GREM1	SRR10104090	63.64658917658044
GREM1	SRR10104091	88.7035575685787
GREM1	SRR10104092	105.32913735044575
GREM1	SRR10104093	1166.117930149441
GREM1	SRR10104094	142.8559555806404
GREM1	SRR10104095	21.14432647751122
GREM1	SRR10104096	31.15996195306402
GREM1	SRR10104097	11.749984452378277
GREM1	SRR10104098	49.444436486213434
GREM1	SRR10104099	31.481724480399766
GREM1	SRR10104100	134.8709077465758
GREM1	SRR10104101	104.58019700783505
GREM1	SRR10104102	289.38507033124034
GREM1	SRR10104103	67.4699873080767
GREM1	SRR10104104	591.04752050227
GREM1	SRR10104105	131.56235084922395
GREM1	SRR10104106	151.38573010596582
GREM1	SRR10104107	1570.1039976195534
GREM1	SRR10104108	302.06301168920527
GREM1	SRR10104109	69.96978099830584
GREM1	SRR10104110	11.982558131462344
GREM1	SRR10104111	93.05995362301782
GREM1	SRR10104112	17.942270911598985
GREM1	SRR10104113	92.27223929294605
GREM1	SRR10104114	44.831447085326154
GREM1	SRR10104115	30.002181076934313
GREM1	SRR10104116	56.61812726106305
GREM1	SRR10104117	36.3923179057484
GREM1	SRR10104118	13.83862307232508
GREM1	SRR10104119	25.118436499137175
GREM1	SRR10104120	128.45653656123295
GREM1	SRR10104121	22.839589258146283
GREM1	SRR10104122	41.70211519573912
GREM1	SRR10104123	50.08978877621083
GREM1	SRR10104124	74.17288186944529
GREM1	SRR10104125	72.01556083733009
GREM1	SRR10104126	344.6954603537657
GREM1	SRR10104127	14.340041455473331
GREM1	SRR10104128	84.39800987555022
GREM1	SRR10104129	119.07346425023543
GREM1	SRR10104130	56.31185178428584
GREM1	SRR10104131	641.237289329355
GREM1	SRR10104132	365.62659310161416
GREM1	SRR10104133	28.181071896951025
GREM1	SRR10104134	123.67929437393502
GREM1	SRR10104135	125.31763243885794
GREM1	SRR10104136	193.88523218077637
GREM1	SRR10104137	80.33135495369257
GREM1	SRR10104138	9.625937151532886
GREM1	SRR10104139	144.6280065832136
GREM1	SRR10104140	25.345735790828872
GREM1	SRR10104141	240.2315077791282
GREM1	SRR10104142	325.8049079965672
GREM1	SRR10104143	587.7847326746665
GREM1	SRR10104144	277.42135098097924
GREM1	SRR10104145	128.09323446846224
GREM1	SRR10104146	287.74592809686067
GREM1	SRR10104147	603.0389337285594
GREM1	SRR10104148	533.8225664738505
GREM1	SRR10104149	202.46256585509144
GREM1	SRR10104150	70.81544336534304
GREM1	SRR10104151	168.28015707570552
GREM1	SRR10104152	152.8547202622507
GREM1	SRR10104153	39.92561301306963
GREM1	SRR10104154	76.28108457910857
GREM1	SRR10104155	341.49324282615805
GREM1	SRR10104156	992.0224007442923
GREM1	SRR10104157	140.8411064052115
GREM1	SRR10104158	101.04178808471853
GREM1	SRR10104159	93.16688321077403
GREM1	SRR10104160	39.69427662910446
GREM1	SRR10104161	1134.9553354060763
GREM1	SRR10104162	31.637608205293414
GREM1	SRR10104163	168.01024556197214
GREM1	SRR10104164	296.738347121552
GREM1	SRR10104165	159.1234846587245
GREM1	SRR10104166	65.61128278790038
GREM1	SRR10104167	80.79118477126269
GREM1	SRR10104168	147.22682083180837
GREM1	SRR10104169	332.1233255223035
GREM1	SRR10104170	112.30004687276949
GREM1	SRR10104171	279.60706976572703
GREM1	SRR10104172	66.2068498061448
GREM1	SRR10104173	13.823327270658256
GREM1	SRR10104174	19.657329304041447
GREM1	SRR10104175	903.3108555527034
GREM1	SRR10104176	439.7776892139393
GREM1	SRR10104177	115.89122316530809
GREM1	SRR10104178	37.408625562434864
GREM1	SRR10104179	64.18511708475013
GREM1	SRR10104180	349.57948591797197
GREM1	SRR10104181	211.62999207848503
GREM1	SRR10104182	39.36089781052372
GREM1	SRR10104183	46.180014665430015
GREM1	SRR10104184	147.12194575364884
GREM1	SRR10104185	220.01473485668603
GREM1	SRR10104186	69.25874858444618
GREM1	SRR10104187	148.39024711596434
GREM1	SRR10104188	58.165653551226136
GREM1	SRR10104189	13.83501182287721
GREM1	SRR10104190	10.383616362102526
GREM1	SRR10104191	30.99374671907863
GREM1	SRR10104192	57.468096913619036
GREM1	SRR10104193	30.17495300225394
GREM1	SRR10104194	54.29163703868115
GREM1	SRR10104195	69.89937086633509
GREM1	SRR10104196	50.004048038039336
GREM1	SRR10104197	196.28880691820075
GREM1	SRR10104198	139.54943032519995
GREM1	SRR10104199	21.74425518736107
GREM1	SRR10104200	487.4581854418846
GREM1	SRR10104201	12.317730255173291
GREM1	SRR10104202	35.336610088242956
GREM1	SRR10104203	758.9189597066724
GREM1	SRR10104204	33.01801141740526
GREM1	SRR10104205	511.58172831230803
GREM1	SRR10104206	162.6895910803959
GREM1	SRR10104207	51.665642049607996
GREM1	SRR10104208	1063.786653149206
GREM1	SRR10104209	186.22809163310546
GREM1	SRR10104210	111.89566553231619
GREM1	SRR10104211	247.56830385008087
GREM1	SRR10104212	480.884428031281
GREM1	SRR10104213	211.60248342673964
GREM1	SRR10104214	138.08651770407116
GREM1	SRR10104215	706.5116448368503
GREM1	SRR10104216	437.59041114882507
GREM1	SRR10104217	133.26593418021005
GREM1	SRR10104218	38.42457770471449
GREM1	SRR10104219	62.99839186761656
GREM1	SRR10104220	18.65030053829238
GREM1	SRR10104221	51.42844684289698
GREM1	SRR10104222	273.27985871426796
GREM1	SRR10104223	4.743117760943567
GREM1	SRR10104224	239.9932363143856
GREM1	SRR10104225	376.8836742718975
GREM1	SRR10104226	336.9193597613757
GREM1	SRR10104227	230.4059657010656
GREM1	SRR10104228	65.4556015790603
GREM1	SRR10104229	197.14181336480482
GREM1	SRR10104230	280.47290885111863
GREM1	SRR10104231	238.85674011815493
GREM1	SRR10104232	36.120144287831394
GREM1	SRR10104233	123.64097564256657
GREM1	SRR10104234	355.1454247287318
GREM1	SRR10104235	81.47663565632521
GREM1	SRR10104236	82.76506746080446
GREM1	SRR10104237	187.4259560838811
GREM1	SRR10104238	31.149090624379586
GREM1	SRR10104239	217.36443763870884
GREM1	SRR10104240	15.096338405152247
GREM1	SRR10104241	114.58774349586575
GREM1	SRR10104242	42.69990127821774
GREM1	SRR10104243	86.68642932709909
GREM1	SRR10104244	39.538007402721306
GREM1	SRR10104245	71.93750746959842
GREM1	SRR10104246	416.2688344291233
GREM1	SRR10104247	100.69389129695699
GREM1	SRR10104248	227.73398628021147
GREM1	SRR10104249	153.0797372376391
GREM1	SRR10104250	60.45535770372655
GREM1	SRR10104251	18.858165052659206
GREM1	SRR10104252	5.950043693173205
GREM1	SRR10104253	46.32432101625522
