Gene	sample	counts
IFI27L2	CM317	670.2263575616197
IFI27L2	CMCD140	4656.421408172632
IFI27L2	CMCD147	2442.9920758042967
IFI27L2	CMCD152	1712
IFI27L2	CMCD154	5744.307371846254
IFI27L2	CMCD159	3676.0534757883524
IFI27L2	CMCD161	3698.293089615513
IFI27L2	CMCD174	1746.021836821292
IFI27L2	CMCD196	4163.916771624223
IFI27L2	CMCD198	5271.018203315441
IFI27L2	CMCD203	529.7103571822872
IFI27L2	CMCD211	928.7057742610896
IFI27L2	CMCD227	741.5436732851771
IFI27L2	CMCD240	659.3459216023202
IFI27L2	CMCD259	1169
IFI27L2	CMCD270	2245.596277348328
IFI27L2	CMCD275	6257.984942982242
IFI27L2	CMCD282	9678.724997496405
IFI27L2	CMCD286	584.3523803611769
IFI27L2	CMCD287	512
IFI27L2	CMCD294	3449.3324024767926
IFI27L2	CMCD327	2415.3485058225065
IFI27L2	CMCD335	2355.0295238723174
IFI27L2	CMCD337	1710.3396613939522
IFI27L2	CMCD357	1903.4244652435668
IFI27L2	CMCD398	698.1656362447442
IFI27L2	CMCD403	2095.9436699979383
IFI27L2	CMCD422	1364.8415207367636
IFI27L2	CMCD426	182.70370163362227
IFI27L2	CMCD71	6122.854243284765
IFI27L2	CMCD72	128.92040069050145
IFI27L2	CMCD76	2910.671109256712
IFI27L2	CMCD88	1595.2869631985147
IFI27L2	CMSA256	1879
IFI27L2	CMSA316	1490.0523679354662
IFI27L2	CMUC110	1337
IFI27L2	CMUC192	4225.116614992244
IFI27L2	CMUC199	4700.872817564154
IFI27L2	CMUC200	3713.674929466961
IFI27L2	CMUC208	5422.235265979817
IFI27L2	CMUC231	1257
IFI27L2	CMUC234	1347
IFI27L2	CMUC285	2002.031336140651
IFI27L2	CMUC291	3058.0640741008147
IFI27L2	CMUC295	979.8809971117657
IFI27L2	CMUC299	789.3035744556671
IFI27L2	CMUC301	1522.8216361852592
IFI27L2	CMUC307	2441.721056036721
IFI27L2	CMUC313	518.9366142081525
IFI27L2	CMUC314	1268.0716619158834
IFI27L2	CMUC323	799.8259322821386
IFI27L2	CMUC324	1720.5469193412923
IFI27L2	CMUC331	821.4541735799244
IFI27L2	CMUC333	640.5474600064166
IFI27L2	CMUC334	957.1572657509865
IFI27L2	CMUC346	6284.450620272369
IFI27L2	CMUC352	1516.123325997514
IFI27L2	CMUC360	1139.6389709406112
IFI27L2	CMUC363	2427.3782176207365
IFI27L2	CMUC365	1172.7965773464393
IFI27L2	CMUC366	1732.7837124215623
IFI27L2	CMUC368	2238
IFI27L2	CMUC377	2046.3188996959009
IFI27L2	CMUC379	1030.1157243905977
IFI27L2	CMUC380	3753.3669001698017
IFI27L2	CMUC383	7703.5019926294935
IFI27L2	CMUC394	4178.607161417367
IFI27L2	CMUC419	2735.5895543772704
IFI27L2	CMUC427	2121
IFI27L2	CMUC428	1188.4958762305887
IFI27L2	CMUC431	1680.116905432783
IFI27L2	CMUC435	815.0707531772193
