Gene	sample	counts
IGKV1D-43	CM317	1.052160686909921
IGKV1D-43	CMCD140	1.0094128350688558
IGKV1D-43	CMCD147	1.0404565910580479
IGKV1D-43	CMCD152	9
IGKV1D-43	CMCD154	1.0098993269771894
IGKV1D-43	CMCD159	1.0863042186135794
IGKV1D-43	CMCD161	4.012251792368335
IGKV1D-43	CMCD174	1.092629434806816
IGKV1D-43	CMCD196	12.110276601912428
IGKV1D-43	CMCD198	1.029495742835047
IGKV1D-43	CMCD203	1.0032393128452408
IGKV1D-43	CMCD211	23.297982226273007
IGKV1D-43	CMCD227	15.62009954813566
IGKV1D-43	CMCD240	12.089558506107423
IGKV1D-43	CMCD259	30
IGKV1D-43	CMCD270	2.0103816269904455
IGKV1D-43	CMCD275	17.14516422734861
IGKV1D-43	CMCD282	11.144768656177165
IGKV1D-43	CMCD286	23.562595982305517
IGKV1D-43	CMCD287	1
IGKV1D-43	CMCD294	1.0639520056991958
IGKV1D-43	CMCD327	3.0154163618258507
IGKV1D-43	CMCD335	12.056465139278075
IGKV1D-43	CMCD337	4.026697260491941
IGKV1D-43	CMCD357	9.190354177678165
IGKV1D-43	CMCD398	3.0180070731040813
IGKV1D-43	CMCD403	22.15798209512477
IGKV1D-43	CMCD422	9.018776568745134
IGKV1D-43	CMCD426	1.1140469611806236
IGKV1D-43	CMCD71	5.031931495138696
IGKV1D-43	CMCD72	1.1510750061651915
IGKV1D-43	CMCD76	12.027566567176496
IGKV1D-43	CMCD88	7.001259399617306
IGKV1D-43	CMSA256	27
IGKV1D-43	CMSA316	2.0163090229167335
IGKV1D-43	CMUC110	33
IGKV1D-43	CMUC192	54.726864286299154
IGKV1D-43	CMUC199	1.0281874054164815
IGKV1D-43	CMUC200	109.25521384936539
IGKV1D-43	CMUC208	9.022022073177732
IGKV1D-43	CMUC231	1
IGKV1D-43	CMUC234	32
IGKV1D-43	CMUC285	183.01397567750396
IGKV1D-43	CMUC291	38.25096603549406
IGKV1D-43	CMUC295	4.003599579619063
IGKV1D-43	CMUC299	20.058540646903868
IGKV1D-43	CMUC301	17.009177276707888
IGKV1D-43	CMUC307	221.61000138978042
IGKV1D-43	CMUC313	1.0420413939922741
IGKV1D-43	CMUC314	9.502618615522858
IGKV1D-43	CMUC323	7.168734348239399
IGKV1D-43	CMUC324	20.017997898095317
IGKV1D-43	CMUC331	4.036629845601594
IGKV1D-43	CMUC333	1.0232387540038606
IGKV1D-43	CMUC334	2.0300260143181053
IGKV1D-43	CMUC346	5.054246919955259
IGKV1D-43	CMUC352	26.157403102810463
IGKV1D-43	CMUC360	7.010081543571422
IGKV1D-43	CMUC363	1.0263755677043285
IGKV1D-43	CMUC365	7.046846387489335
IGKV1D-43	CMUC366	3.0100469816240225
IGKV1D-43	CMUC368	46
IGKV1D-43	CMUC377	27.11021113434216
IGKV1D-43	CMUC379	1.0708063663103926
IGKV1D-43	CMUC380	108.9555774059058
IGKV1D-43	CMUC383	4.057143906585645
IGKV1D-43	CMUC394	13.099082010712749
IGKV1D-43	CMUC419	1.0249492522957178
IGKV1D-43	CMUC427	28
IGKV1D-43	CMUC428	8.050776468962498
IGKV1D-43	CMUC431	40.07434479267222
IGKV1D-43	CMUC435	12.060233092634563
IGKV1D-43	CMUC439	1.0064361075814747
IGKV1D-43	CMUC89	869
IGKV1D-43	CS219	3.007432624391689
IGKV1D-43	CS256	12.027478628983056
IGKV1D-43	CS257	1.0944271775349645
IGKV1D-43	CS259	23.03554905822822
IGKV1D-43	CS261	6.142938214103566
IGKV1D-43	CS266	1.0357806251843706
IGKV1D-43	CS270	1.0130095040631752
IGKV1D-43	CS277	6.7532114576007265
IGKV1D-43	CS288	3.0270471844674325
IGKV1D-43	CS290	1.0079916665289268
IGKV1D-43	CS292	4.0559181253373175
IGKV1D-43	CS293	1.016848591736414
IGKV1D-43	CS301	2.0534916873175177
IGKV1D-43	CS306	1.0388615456941386
IGKV1D-43	CS308	4.106306460824827
IGKV1D-43	CS315	1.028018282586956
IGKV1D-43	CS317	1.0722984600508352
IGKV1D-43	CS322	32.42939943944364
IGKV1D-43	CS327	9.042843395123159
IGKV1D-43	CS328	1.0566294945036847
IGKV1D-43	CS330	1.0768616883015538
IGKV1D-43	CS331	1.0187996043213206
IGKV1D-43	CS335	0.5048120692723962
IGKV1D-43	CS338	1.030832702181411
IGKV1D-43	CS339	1.1707547739034676
IGKV1D-43	CS343	4.032315647809993
IGKV1D-43	CS344	1.014131256091266
IGKV1D-43	CS350	1.0232380192782662
IGKV1D-43	CS351	7.058183261799775
IGKV1D-43	CS361	1.0239903938396149
IGKV1D-43	CS388	4.139853129643512
IGKV1D-43	CS396	14.152653149364378
IGKV1D-43	CS405	1.0253724548654906
IGKV1D-43	CS415	1.0768988297741249
IGKV1D-43	CS424	1.0376219614625826
IGKV1D-43	IM293	6.032001111786367
IGKV1D-43	IM296	1.0674965693084089
IGKV1D-43	IM297	1.098769887658002
IGKV1D-43	IM300	17
IGKV1D-43	IM305	4.0402003417570675
IGKV1D-43	IM309	1.068243382745569
IGKV1D-43	IM310	1.0137597798867521
IGKV1D-43	IM311	1.0124769275654149
IGKV1D-43	IM316	1.0051863509411016
IGKV1D-43	IM320	1.0476097382082026
IGKV1D-43	IM330	3.0317834350659316
IGKV1D-43	IM332	1.0306075684228129
IGKV1D-43	IM340	1.056280146775053
IGKV1D-43	IM348	1.0369614627065955
IGKV1D-43	IM354	2.0144973791246388
IGKV1D-43	IM356	1.0086100524478088
IGKV1D-43	IM364	1.017386683482945
IGKV1D-43	IM372	1.999981435736579
