Gene	sample	counts
IL7R	CM317	52.60803434549605
IL7R	CMCD140	301.8144376855879
IL7R	CMCD147	76.99378773829555
IL7R	CMCD152	7027
IL7R	CMCD154	33.32667779024725
IL7R	CMCD159	1.0863042186135794
IL7R	CMCD161	1634.9926053900967
IL7R	CMCD174	1.092629434806816
IL7R	CMCD196	135.23142205468878
IL7R	CMCD198	33.97335951355655
IL7R	CMCD203	271.8778537810603
IL7R	CMCD211	4628.264676053752
IL7R	CMCD227	7253.480963852679
IL7R	CMCD240	4952.069157309386
IL7R	CMCD259	3912
IL7R	CMCD270	661.4155552798567
IL7R	CMCD275	558.7306459971252
IL7R	CMCD282	360.6852401453701
IL7R	CMCD286	2622.98818475025
IL7R	CMCD287	2442
IL7R	CMCD294	37.23832019947185
IL7R	CMCD327	2710.85930928144
IL7R	CMCD335	1414.6252430086274
IL7R	CMCD337	235.56178973877857
IL7R	CMCD357	377.8256717489912
IL7R	CMCD398	873.2100464847808
IL7R	CMCD403	2844.2791562105613
IL7R	CMCD422	2765.758147748508
IL7R	CMCD426	99.1501795450755
IL7R	CMCD71	466.963242748871
IL7R	CMCD72	157.69727584463126
IL7R	CMCD76	863.9801984088449
IL7R	CMCD88	2134.3839369690472
IL7R	CMSA256	5973
IL7R	CMSA316	497.0201741489749
IL7R	CMUC110	2755
IL7R	CMUC192	206.74593174824125
IL7R	CMUC199	117.21336421747888
IL7R	CMUC200	1689.9476197250465
IL7R	CMUC208	781.9085796754034
IL7R	CMUC231	886
IL7R	CMUC234	4187
IL7R	CMUC285	558.1420694695148
IL7R	CMUC291	2220.5692387973654
IL7R	CMUC295	519.4670454555734
IL7R	CMUC299	3036.863053941245
IL7R	CMUC301	1782.9619945349093
IL7R	CMUC307	841.3157971313384
IL7R	CMUC313	192.7776578885707
IL7R	CMUC314	27.452009333732697
IL7R	CMUC323	763.9822605409416
IL7R	CMUC324	1086.9772858665756
IL7R	CMUC331	2128.3130860934402
IL7R	CMUC333	267.06531479500757
IL7R	CMUC334	480.1011523862319
IL7R	CMUC346	111.19343223901569
IL7R	CMUC352	364.191535508361
IL7R	CMUC360	335.48247387091806
IL7R	CMUC363	234.01362943658688
IL7R	CMUC365	544.6205565188186
IL7R	CMUC366	2094.9926992103196
IL7R	CMUC368	2845
IL7R	CMUC377	942.8328983387885
IL7R	CMUC379	31.05338462300139
IL7R	CMUC380	377.7805534354304
IL7R	CMUC383	205.9000532592215
IL7R	CMUC394	486.6812777826352
IL7R	CMUC419	211.13954597291783
IL7R	CMUC427	6232
IL7R	CMUC428	1684.6249761304027
IL7R	CMUC431	3298.118576436924
IL7R	CMUC435	1287.4298826387396
IL7R	CMUC439	493.1536927149226
IL7R	CMUC89	2566
IL7R	CS219	301.7457399806328
IL7R	CS256	1561.5676419963002
IL7R	CS257	20.79411637316433
IL7R	CS259	904.3956869382645
IL7R	CS261	73.71525856924279
IL7R	CS266	42.46700563255919
IL7R	CS270	125.61317850383374
IL7R	CS277	4.823722469714805
IL7R	CS288	163.46054796124136
IL7R	CS290	382.0288416144632
IL7R	CS292	124.7194823541225
IL7R	CS293	25.421214793410353
IL7R	CS301	60.57800477586677
IL7R	CS306	54.0208003760952
IL7R	CS308	349.03604917011035
IL7R	CS315	132.61435845371733
IL7R	CS317	8.578387680406681
IL7R	CS322	1010.3784762851659
IL7R	CS327	895.2414961171927
IL7R	CS328	33.81214382411791
IL7R	CS330	9.691755194713984
IL7R	CS331	39.7331845685315
IL7R	CS335	71.17850176740787
IL7R	CS338	421.6105751921971
IL7R	CS339	11.707547739034677
IL7R	CS343	1625.0232060674273
IL7R	CS344	18.25436260964279
IL7R	CS350	126.88151439050502
IL7R	CS351	780.4334063761466
IL7R	CS361	479.22750431693976
IL7R	CS388	430.5447254829253
IL7R	CS396	396.27428818220255
IL7R	CS405	432.707175953237
IL7R	CS415	19.384178935934248
IL7R	CS424	61.21969572629237
IL7R	IM293	651.4561200729277
IL7R	IM296	1.0674965693084089
IL7R	IM297	1.098769887658002
