Gene	sample	counts
KCNG3	CM317	3.156482060729763
KCNG3	CMCD140	5.047064175344279
KCNG3	CMCD147	1.0404565910580479
KCNG3	CMCD152	5
KCNG3	CMCD154	4.039597307908758
KCNG3	CMCD159	1.0863042186135794
KCNG3	CMCD161	21.06432190993376
KCNG3	CMCD174	1.092629434806816
KCNG3	CMCD196	6.055138300956214
KCNG3	CMCD198	8.235965942680377
KCNG3	CMCD203	13.042111066988133
KCNG3	CMCD211	5.62365088220383
KCNG3	CMCD227	18.90854155826948
KCNG3	CMCD240	74.39728311450722
KCNG3	CMCD259	11
KCNG3	CMCD270	13.067480575437896
KCNG3	CMCD275	1.008539072196977
KCNG3	CMCD282	3.0394823607755903
KCNG3	CMCD286	21.677588303721077
KCNG3	CMCD287	78
KCNG3	CMCD294	6.383712034195175
KCNG3	CMCD327	9.046249085477552
KCNG3	CMCD335	6.028232569639037
KCNG3	CMCD337	2.0133486302459707
KCNG3	CMCD357	1.0211504641864628
KCNG3	CMCD398	4.0240094308054415
KCNG3	CMCD403	1.0071810043238532
KCNG3	CMCD422	1.0020862854161259
KCNG3	CMCD426	3.342140883541871
KCNG3	CMCD71	3.0191588970832175
KCNG3	CMCD72	10.359675055486724
KCNG3	CMCD76	28.06432199007849
KCNG3	CMCD88	22.003958113082962
KCNG3	CMSA256	7
KCNG3	CMSA316	1.0081545114583668
KCNG3	CMUC110	4
KCNG3	CMUC192	2.0269208994925614
KCNG3	CMUC199	1.0281874054164815
KCNG3	CMUC200	3.0070242343862037
KCNG3	CMUC208	16.039150352315968
KCNG3	CMUC231	3
KCNG3	CMUC234	18
KCNG3	CMUC285	1.0111269374447733
KCNG3	CMUC291	1.0066043693551068
KCNG3	CMUC295	19.01709800319055
KCNG3	CMUC299	13.038051420487513
KCNG3	CMUC301	17.009177276707888
KCNG3	CMUC307	6.016561123704446
KCNG3	CMUC313	5.21020696996137
KCNG3	CMUC314	2.111693025671746
KCNG3	CMUC323	1.0241049068913428
KCNG3	CMUC324	2.0017997898095317
KCNG3	CMUC331	3.0274723842011952
KCNG3	CMUC333	6.139432524023163
KCNG3	CMUC334	3.045039021477158
KCNG3	CMUC346	1.0108493839910517
KCNG3	CMUC352	3.0181618964781305
KCNG3	CMUC360	3.0043206615306097
KCNG3	CMUC363	1.0263755677043285
KCNG3	CMUC365	1.0066923410699051
KCNG3	CMUC366	1.0033489938746742
KCNG3	CMUC368	1
KCNG3	CMUC377	1.0040818938645244
KCNG3	CMUC379	1.0708063663103926
KCNG3	CMUC380	4.07310569741704
KCNG3	CMUC383	1.0142859766464112
KCNG3	CMUC394	1.0076216931317499
KCNG3	CMUC419	5.124746261478588
KCNG3	CMUC427	5
KCNG3	CMUC428	6.038082351721873
KCNG3	CMUC431	2.003717239633611
KCNG3	CMUC435	4.0200776975448544
KCNG3	CMUC439	6.038616645488848
KCNG3	CMUC89	60
KCNG3	CS219	48.118921990267026
KCNG3	CS256	14.032058400480233
KCNG3	CS257	1.0944271775349645
KCNG3	CS259	9.013910501045824
KCNG3	CS261	1.0238230356839277
KCNG3	CS266	16.57249000294993
KCNG3	CS270	7.091066528442227
KCNG3	CS277	7.717955951543688
KCNG3	CS288	29.261456116518517
KCNG3	CS290	33.26372499545458
KCNG3	CS292	8.111836250674635
KCNG3	CS293	11.185334509100555
KCNG3	CS301	3.0802375309762766
KCNG3	CS306	12.466338548329663
KCNG3	CS308	1.0265766152062068
KCNG3	CS315	4.112073130347824
KCNG3	CS317	1.0722984600508352
KCNG3	CS322	1.0134187324826138
KCNG3	CS327	1.0047603772359066
KCNG3	CS328	1.0566294945036847
KCNG3	CS330	25.84468051923729
KCNG3	CS331	9.169196438891884
KCNG3	CS335	6.562556900541151
KCNG3	CS338	1.030832702181411
KCNG3	CS339	3.512264321710403
KCNG3	CS343	3.0242367358574946
KCNG3	CS344	1.014131256091266
KCNG3	CS350	1.0232380192782662
KCNG3	CS351	4.0332475781713
KCNG3	CS361	3.071971181518845
KCNG3	CS388	1.034963282410878
KCNG3	CS396	2.02180759276634
KCNG3	CS405	3.076117364596472
KCNG3	CS415	5.384494148870624
KCNG3	CS424	1.0376219614625826
KCNG3	IM293	3.0160005558931835
KCNG3	IM296	1.0674965693084089
KCNG3	IM297	1.098769887658002
KCNG3	IM300	3
KCNG3	IM305	5.050250427196334
KCNG3	IM309	1.068243382745569
KCNG3	IM310	1.0137597798867521
KCNG3	IM311	1.0124769275654149
KCNG3	IM316	4.020745403764407
KCNG3	IM320	1.0476097382082026
KCNG3	IM330	1.0105944783553105
KCNG3	IM332	1.0306075684228129
KCNG3	IM340	1.056280146775053
KCNG3	IM348	1.0369614627065955
KCNG3	IM354	20.14497379124639
KCNG3	IM356	3.025830157343426
KCNG3	IM364	1.017386683482945
KCNG3	IM372	4.999953589341447
KCNG3	IM374	1.0494515301768887
KCNG3	IM376	1.0151740030663836
KCNG3	IM381	1.012555790998895
KCNG3	IM382	1.0318406015848964
KCNG3	IM385	10
KCNG3	IM390	1.028703799246213
KCNG3	IM397	1.011384661421074
KCNG3	IM404	3.0086475457665736
KCNG3	IM409	3.017186971638407
KCNG3	IM412	3
KCNG3	IM421	1.0158984637588822
KCNG3	IM425	1.0543133661346646
KCNG3	IM432	3.1260430929558707
KCNG3	IM438	4
KCNG3	IM442	7.298268096831309
KCNG3	IM445	1.0115547971482344
KCNG3	IM448	1.0230255913150224
KCNG3	IM449	3.0253397574368193
KCNG3	IM451	1.0051863509411016
KCNG3	IMSA256	1.0040992210696569
KCNG3	IMSA276	2
KCNG3	IMSA286	5
KCNG3	IMSA343	11.13772865568299
KCNG3	IS_238	20
KCNG3	IS238	3.5828193115701823
KCNG3	IS243	12
KCNG3	IS253	2
KCNG3	IS283	1
